GROUP,CONAME,DIST,DISTNAME,PP111,RK111,PCT111,SBA11,PP211,RK211,PCT211,SBB11,PP311,RK311,PCT311,SBC11
,Statewide,200,,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.
,Statewide,6057,,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.
,Statewide,6110,,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.
,Statewide,6232,,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.
,Statewide,6240,,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.
,Statewide,8065,,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.
A. K-6,Statewide,N.A.,1. State average - Operating Type K-6,893,N.A.,0.053,0.474,898,N.A.,0.053,0.478,1034,N.A.,0.055,0.484
A. K-6,Statewide,N.A.,2. State median - Operating Type K-6,881,N.A.,0.05,0.436,884,N.A.,0.048,0.428,1006,N.A.,0.05,0.45
A. K-6,Statewide,N.A.,5. State average - All operating types,1050,N.A.,0.059,0.483,1096,N.A.,0.06,0.476,1219,N.A.,0.06,0.491
A. K-6,Statewide,N.A.,6. State median - All operating types,956,N.A.,0.055,0.463,991,N.A.,0.055,0.458,1102,N.A.,0.055,0.473
A. K-6,Bergen,1270,Edgewater Boro,1113,37|56,0.067,0.4833,1118,37|56,0.059,0.4857,1848,52|57,0.069,0.5266
A. K-6,Bergen,3870,Oradell Boro,814,22|56,0.054,0.4713,846,24|56,0.056,0.5291,926,21|57,0.057,0.5066
A. K-6,Bergen,4410,River Edge Boro,786,19|56,0.049,0.5737,884,29|56,0.052,0.5652,902,18|57,0.049,0.551
A. K-6,Bergen,4620,Saddle River School District,2731,55|56,0.077,0.5206,3045,56|56,0.07,0.4736,3688,57|57,0.079,0.5238
A. K-6,Burlington,830,Chesterfield Twp,1186,44|56,0.069,0.5871,1169,40|56,0.069,0.6423,1259,43|57,0.066,0.6121
A. K-6,Burlington,2960,Mansfield Twp,1243,45|56,0.062,0.5454,1281,46|56,0.06,0.5041,1233,42|57,0.058,0.5247
A. K-6,Burlington,3650,North Hanover Twp,824,23|56,0.047,0.4827,639,13|56,0.036,0.4462,883,17|57,0.043,0.4573
A. K-6,Burlington,5010,Springfield Twp,1117,38|56,0.076,0.6091,662,14|56,0.045,0.3302,1005,28|57,0.067,0.5898
A. K-6,Camden,2540,Laurel Springs Boro,267,3|56,0.017,0.1647,112,3|56,0.006,0.0673,90,1|57,0.005,0.0545
A. K-6,Camden,3770,Oaklyn Boro,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.
A. K-6,Camden,5560,Waterford Twp,791,20|56,0.044,0.4038,870,25|56,0.048,0.4365,868,15|57,0.045,0.4588
A. K-6,Cape May,710,Cape May City,1180,42|56,0.057,0.3806,1606,50|56,0.067,0.5184,1654,49|57,0.058,0.4519
A. K-6,Cape May,2840,Lower Twp,1376,50|56,0.081,0.6571,1747,53|56,0.1,0.7079,1793,51|57,0.099,0.6769
A. K-6,Cape May,5610,West Cape May Boro,1376,50|56,0.066,0.5242,1438,48|56,0.069,0.5923,1889,54|57,0.068,0.4682
A. K-6,Essex,1400,Essex Fells Boro,1159,41|56,0.056,0.5024,1214,43|56,0.056,0.5144,1549,47|57,0.068,0.5682
A. K-6,Essex,1465,Fairfield Twp,850,26|56,0.052,0.4835,834,23|56,0.049,0.4535,999,27|57,0.05,0.4282
A. K-6,Essex,3630,North Caldwell Boro,1104,36|56,0.063,0.4931,1090,35|56,0.058,0.4236,1230,41|57,0.059,0.5114
A. K-6,Essex,4530,Roseland Boro,725,16|56,0.041,0.4308,716,16|56,0.04,0.4059,964,24|57,0.051,0.4705
A. K-6,Gloucester,1180,East Greenwich Twp,654,13|56,0.051,0.4805,718,17|56,0.05,0.4297,834,13|57,0.053,0.5079
A. K-6,Gloucester,1330,Elk Twp,828,24|56,0.055,0.5217,831,22|56,0.054,0.4815,871,16|57,0.048,0.4577
A. K-6,Gloucester,1590,Franklin Twp,1153,40|56,0.075,0.5501,1112,36|56,0.073,0.5691,1101,33|57,0.07,0.5522
A. K-6,Gloucester,2070,Harrison Twp,754,17|56,0.054,0.4316,806,20|56,0.058,0.4741,904,20|57,0.06,0.5059
A. K-6,Gloucester,2990,Mantua Twp,997,33|56,0.061,0.5272,881,28|56,0.062,0.5651,1103,34|57,0.062,0.5671
A. K-6,Gloucester,3490,National Park Boro,610,11|56,0.039,0.537,565,10|56,0.035,0.4804,803,12|57,0.037,0.379
A. K-6,Gloucester,4880,South Harrison Twp,195,2|56,0.014,0.1025,45,1|56,0.004,0.0314,130,3|57,0.009,0.0843
A. K-6,Gloucester,5120,Swedesboro-Woolwich,563,8|56,0.04,0.3361,517,8|56,0.033,0.3172,554,4|57,0.033,0.3225
A. K-6,Gloucester,5590,Wenonah Boro,603,9|56,0.035,0.3216,585,11|56,0.031,0.2676,789,11|57,0.043,0.3028
A. K-6,Gloucester,5740,Westville Boro,439,4|56,0.027,0.4283,386,6|56,0.025,0.4072,622,6|57,0.03,0.4293
A. K-6,Gloucester,5870,Woodbury Heights Boro,442,5|56,0.03,0.3874,469,7|56,0.032,0.4523,691,8|57,0.04,0.5195
A. K-6,Hunterdon,1970,Hampton Boro,1860,N.A.,0.062,0.5094,1426,N.R.,0.055,0.5241,1574,48|57,0.053,0.4675
A. K-6,Hunterdon,2590,Lebanon Boro,1294,47|56,0.056,0.508,1720,52|56,0.066,0.4497,1501,46|57,0.056,0.4475
A. K-6,Hunterdon,3180,Milford Boro,3089,56|56,0.114,0.6406,1921,54|56,0.073,0.4391,2052,55|57,0.063,0.289
A. K-6,Monmouth,130,Atlantic Highlands Boro,792,21|56,0.041,0.4467,876,27|56,0.045,0.4537,903,19|57,0.042,0.4097
A. K-6,Monmouth,2160,Highlands Boro,994,32|56,0.042,0.355,1193,42|56,0.045,0.388,1193,37|57,0.041,0.3085
A. K-6,Monmouth,4520,Roosevelt Boro,715,15|56,0.034,0.2114,128,4|56,0.006,0.0384,91,2|57,0.003,0.0192
A. K-6,Morris,3240,Mine Hill Twp,77,1|56,0.005,0.0456,89,2|56,0.005,0.05,1202,38|57,0.059,0.4646
A. K-6,Ocean,230,Beach Haven Boro,1478,52|56,0.058,0.308,1659,51|56,0.064,0.3357,1747,50|57,0.059,0.2709
A. K-6,Ocean,320,Berkeley Twp,631,12|56,0.043,0.4907,615,12|56,0.041,0.5087,723,10|57,0.044,0.4862
A. K-6,Ocean,1150,Eagleswood Twp,652,7|56,0.033,0.3415,1036,33|56,0.047,0.4671,1305,44|57,0.059,0.5327
A. K-6,Ocean,2350,Island Heights Boro,758,18|56,0.037,0.2216,562,9|56,0.026,0.1266,1076,32|57,0.053,0.3643
A. K-6,Ocean,2690,Little Egg Harbor Twp,670,14|56,0.042,0.5004,813,21|56,0.05,0.5424,983,26|57,0.052,0.581
A. K-6,Ocean,2760,Long Beach Island,2285,54|56,0.076,0.4972,2378,55|56,0.074,0.4432,2238,56|57,0.069,0.3594
A. K-6,Ocean,3800,Ocean Gate Boro,980,31|56,0.046,0.464,1180,41|56,0.047,0.5047,939,22|57,0.038,0.4893
A. K-6,Ocean,3820,Ocean Twp,1326,48|56,0.076,0.5502,1280,45|56,0.081,0.5771,1165,35|57,0.06,0.5241
A. K-6,Ocean,4710,Seaside Heights Boro,862,27|56,0.037,0.2651,875,26|56,0.038,0.4829,834,13|57,0.037,0.4315
A. K-6,Ocean,5020,Stafford Twp,1076,34|56,0.066,0.5324,1004,32|56,0.065,0.5395,1210,39|57,0.067,0.5776
A. K-6,Ocean,5220,Tuckerton Boro,1132,39|56,0.058,0.4474,1157,39|56,0.062,0.5156,1062,31|57,0.054,0.4716
A. K-6,Sussex,1630,Fredon Twp,1515,53|56,0.075,0.4992,1581,49|56,0.074,0.4913,1872,53|57,0.081,0.4561
