CO,DIST,IND1,IND2,IND3,IND4,IND5,IND6,IND7,IND8,IND9,IND10,IND11,IND12,IND13,IND15,IND16A,IND16B,IND17A,IND17B,IND18A,IND18B,IND19,DISTNAME,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,County,ENROLL
80,6665,5674938,2538636,2282411,120000,136225,870939,627939,1315172,970172,950191,0,0,0,0,21,87000,168,103938,168,229906,9,Gray CS,Essex,K. Charter,C,,,1,Essex,336.0
80,7021,14061766,6995119,5162848,254848,1577423,1936925,1230540,3767722,2349074,1362000,0,0,0,125000,21.1,66259,152.2,67898,84.6,121272,4.6,People's Achieve Community Charter Schoo,Essex,K. Charter,C,,,1,Essex,761.0
80,7210,26875220,14591755,12655755,600000,1336000,2868872,1798044,5958048,5105044,3456545,0,0,0,90000,20.3,71009,75.4,78750,53.4,120600,3.3,Marion P. Thomas CS,Essex,K. Charter,C,,,1,Essex,1281.0
80,7290,10424136,5409133,4397887,832000,179246,1997291,976366,2702242,2100304,315469,0,0,0,513788,11.1,75178,334,85000,66.8,147472,6.2,New Horizons Comm. CS,Essex,K. Charter,C,,,1,Essex,334.0
80,7320,129606164,55295499,44297649,4973000,6024850,24228576,8449991,43300371,9493335,6781719,0,0,0,0,25.6,79000,458.6,89000,713.3,146300,29.4,North Star Academy Charter School,Essex,K. Charter,C,,,1,Essex,6420.0
80,7325,117675463,66241475,52847227,2333693,11060555,18215249,13490581,22590873,13521438,10473205,0,0,0,1967525,23.4,76120,215.8,77813,,,,Team Academy Charter School,Essex,K. Charter,C,,,1,Essex,6259.0
80,7730,12363850,6510625,5465199,659431,385995,2494236,1994006,1799238,1399917,1559751,0,0,0,0,18.8,67091,136.1,58645,206.2,135530,12.5,Robert Treat Academy CS,Essex,K. Charter,C,,,1,Essex,701.0
80,7735,13228117,7418588,6888588,155000,375000,1462877,843877,3314947,2967417,1031705,0,0,0,0,13.3,66220,186,74998,50.7,162864,4.1,Maria L. Varisco-Rogers CS,Essex,K. Charter,C,,,1,Essex,558.0
80,6030,8170117,4699646,3881155,362250,456241,1360956,840301,1618515,1205885,491000,0,0,0,0,21.9,52756,70,68312,70,106219,4.2,The Ethical Community Charter School,Hudson,K. Charter,C,,,1,Hudson,350.0
80,6036,6934128,4287841,1278802,164241,2844798,623749,400912,1301276,1083618,721262,0,0,0,0,30.9,68344,144,80000,432,120000,17,Hola Hoboken Dual Lang CS,Hudson,K. Charter,C,,,1,Hudson,432.0
80,6064,9700150,5963984,5238984,325000,400000,1264806,1239806,1710806,1184806,740554,0,0,0,50000,13.8,69227,124.3,92830,124.3,125460,10,Dr Lena Edwards Academic Charter School,Hudson,K. Charter,C,,,1,Hudson,373.0
80,6082,24299338,11501937,10819086,382750,300101,5349872,4816651,3893048,2818322,3554481,0,0,0,644334,20.2,72500,129.8,73000,155.7,101250,8.9,Beloved Community Charter School,Hudson,K. Charter,C,,,1,Hudson,1557.0
