GROUP,CONAME,DIST,DISTNAME,pp3vv,stpct01vv,ltpct01vv,fdpct01vv,tupct01vv,fbpct01vv,otpct01vv,strat01vv,ssrat01vv,sarat01vv,pctsevv
A. K-6,Sussex,4650,Sandyston-Walpack Twp,30251,0.24,0.62,0.139,0,0,0.001,8.9,67.8,81.3,0.1639
A. K-6,Sussex,5040,Stillwater Twp,29951,0.413,0.535,0.039,0.003,0,0.01,9,93.7,78.1,0.1708
A. K-6,Warren,400,Blairstown Twp,26735,0.299,0.645,0.054,0.003,0,0,7.8,51,86.8,0.2161
A. K-6,Warren,1620,Franklin Twp,32386,0.297,0.601,0.039,0.005,0.052,0.006,7.8,48.5,66.3,0.0352
A. K-6,Warren,1670,Frelinghuysen Twp,25706,0.25,0.663,0.069,0.018,0,0,10,65.5,65.5,0.0992
A. K-6,Warren,2470,Knowlton Twp,30687,0.316,0.624,0.057,0.004,0,0,9.1,41.6,59.7,0.1899
A. K-6,Warren,2970,Mansfield Twp,27765,0.47,0.43,0.076,0.005,0.02,0,9.2,48.2,137.5,0.1982
A. K-6,Warren,5480,Washington Boro,21949,0.531,0.407,0.062,0,0,0,11.2,63,184.7,0.0993
A. K-6,Warren,5530,Washington Twp,30313,0.329,0.613,0.049,0.008,0,0.001,8.9,56.2,96,0.1563
B. K-8 / 0 - 400,Atlantic,570,Brigantine City,52944,0.257,0.689,0.044,0.003,0,0.007,6.7,30,97.5,0.0974
B. K-8 / 0 - 400,Atlantic,1410,Estell Manor City,26279,0.512,0.409,0.073,0,0,0.006,12.1,77.6,64.7,0.0979
B. K-8 / 0 - 400,Atlantic,1540,Folsom Boro,28568,0.781,0.162,0.057,0,0,0,9.4,47,125.3,0.1676
B. K-8 / 0 - 400,Atlantic,3020,Margate City,43362,0.251,0.662,0.028,0.059,0,0,6.6,45.8,84.8,0.1445
B. K-8 / 0 - 400,Atlantic,4240,Port Republic City,23607,0.39,0.535,0.075,0,0,0,9.8,77.9,109,0.0826
B. K-8 / 0 - 400,Atlantic,5760,Weymouth Twp,27038,0.404,0.524,0.059,0.013,0,0,9.7,162,32.4,0.1296
B. K-8 / 0 - 400,Bergen,80,Alpine Boro,41714,0.169,0.749,0.059,0.024,0,0,7.8,65.6,32.8,0.0915
B. K-8 / 0 - 400,Bergen,3350,Moonachie Boro,26409,0.216,0.711,0.068,0,0,0.005,10.1,357,89.3,0.1036
B. K-8 / 0 - 400,Bergen,4870,South Hackensack Twp,37130,0.192,0.78,0.028,0,0,0,8.8,121,60.5,0.0909
B. K-8 / 0 - 400,Burlington,380,Beverly City,31018,0.636,0.259,0.104,0,0,0.001,9.5,68.6,114.3,0.137
B. K-8 / 0 - 400,Burlington,1030,Delanco Twp,26351,0.335,0.52,0.045,0.001,0.099,0,13.1,71.8,110,0.1591
B. K-8 / 0 - 400,Burlington,3540,New Hanover Twp,32828,0.484,0.299,0.216,0,0,0.001,8.4,90,90,0.1333
B. K-8 / 0 - 400,Burlington,4460,Riverton,23969,0.311,0.655,0.028,0.006,0,0,9.7,56.7,123.6,0.1287
B. K-8 / 0 - 400,Burlington,5890,Woodland Twp,32240,0.359,0.568,0.072,0,0,0.001,7.6,51.5,103,0.2039
B. K-8 / 0 - 400,Camden,580,Brooklawn Boro,27201,0.678,0.16,0.131,0,0,0.031,8.8,105.8,91.7,0.1673
B. K-8 / 0 - 400,Camden,1720,Gibbsboro Boro,27569,0.47,0.471,0.043,0.002,0.015,0,8.9,63.1,94.7,0.1268
B. K-8 / 0 - 400,Camden,2560,Lawnside Boro,29783,0.513,0.381,0.106,0,0,0,11.9,106.7,53.3,0.1688
B. K-8 / 0 - 400,Camden,2890,Magnolia Boro,29607,0.491,0.436,0.073,0,0,0,9.6,78,130,0.1282
B. K-8 / 0 - 400,Camden,3110,Merchantville Boro,24211,0.509,0.45,0.04,0,0,0.001,10.3,58,188.5,0.1247
B. K-8 / 0 - 400,Cape May,170,Avalon Boro,43642,0.239,0.617,0.032,0.113,0,0,6.9,13.8,83,0.0482
B. K-8 / 0 - 400,Cape May,3680,North Wildwood City,53404,0.255,0.639,0.048,0.058,0,0,5.6,24.1,42.3,0.1598
B. K-8 / 0 - 400,Cape May,5060,Stone Harbor Boro,38288,0.146,0.681,0.04,0.134,0,0,8.6,86,57.3,0
B. K-8 / 0 - 400,Cape May,5800,Wildwood Crest Boro,43612,0.235,0.678,0.085,0,0,0.002,7.3,48.6,60.8,0.1687
