GROUP,CONAME,DIST,DISTNAME,PP114,PP214,PP314
A. K-6,Statewide,N.A.,1. State average - Operating Type K-6,0.314,0.327,0.366
A. K-6,Statewide,N.A.,2. State median - Operating Type K-6,0.289,0.311,0.349
A. K-6,Statewide,N.A.,5. State average - All operating types,0.300,0.306,0.335
A. K-6,Statewide,N.A.,6. State median - All operating types,0.284,0.292,0.325
A. K-6,Bergen,1270,Edgewater Boro,0.250,0.281,0.350
A. K-6,Bergen,3870,Oradell Boro,0.237,0.269,0.289
A. K-6,Bergen,4410,River Edge Boro,0.276,0.313,0.339
A. K-6,Bergen,4620,Saddle River School District,0.259,0.285,0.384
A. K-6,Burlington,830,Chesterfield Twp,0.288,0.290,0.299
A. K-6,Burlington,2960,Mansfield Twp,0.293,0.339,0.329
A. K-6,Burlington,3650,North Hanover Twp,0.287,0.303,0.349
A. K-6,Burlington,5010,Springfield Twp,0.326,0.343,0.337
A. K-6,Camden,2540,Laurel Springs Boro,0.270,0.296,0.358
A. K-6,Camden,3770,Oaklyn Boro,0.332,0.324,0.380
A. K-6,Camden,5560,Waterford Twp,0.306,0.329,0.321
A. K-6,Cape May,710,Cape May City,0.274,0.294,0.302
A. K-6,Cape May,2840,Lower Twp,0.347,0.372,0.433
A. K-6,Cape May,5610,West Cape May Boro,0.159,0.154,0.193
A. K-6,Essex,1400,Essex Fells Boro,0.245,0.276,0.325
A. K-6,Essex,1465,Fairfield Twp,0.273,0.257,0.320
A. K-6,Essex,3630,North Caldwell Boro,0.339,0.362,0.392
A. K-6,Essex,4530,Roseland Boro,0.326,0.314,0.357
A. K-6,Gloucester,1180,East Greenwich Twp,0.261,0.281,0.292
A. K-6,Gloucester,1330,Elk Twp,0.306,0.324,0.345
A. K-6,Gloucester,1590,Franklin Twp,0.456,0.473,0.456
A. K-6,Gloucester,2070,Harrison Twp,0.254,0.276,0.298
A. K-6,Gloucester,2990,Mantua Twp,0.328,0.318,0.346
A. K-6,Gloucester,3490,National Park Boro,0.252,0.242,0.357
A. K-6,Gloucester,4880,South Harrison Twp,0.336,0.321,0.324
A. K-6,Gloucester,5120,Swedesboro-Woolwich,0.346,0.388,0.384
A. K-6,Gloucester,5590,Wenonah Boro,0.216,0.218,0.231
A. K-6,Gloucester,5740,Westville Boro,0.289,0.289,0.322
A. K-6,Gloucester,5870,Woodbury Heights Boro,0.259,0.229,0.274
A. K-6,Hunterdon,1970,Hampton Boro,0.271,0.275,0.324
A. K-6,Hunterdon,2590,Lebanon Boro,0.344,0.359,0.464
A. K-6,Hunterdon,3180,Milford Boro,0.321,0.342,0.446
A. K-6,Monmouth,130,Atlantic Highlands Boro,0.268,0.244,0.326
A. K-6,Monmouth,2160,Highlands Boro,0.235,0.280,0.332
A. K-6,Monmouth,4520,Roosevelt Boro,0.196,0.255,0.401
A. K-6,Morris,3240,Mine Hill Twp,0.251,0.295,0.361
A. K-6,Ocean,230,Beach Haven Boro,0.335,0.437,0.482
A. K-6,Ocean,320,Berkeley Twp,0.318,0.337,0.369
A. K-6,Ocean,1150,Eagleswood Twp,0.332,0.385,0.411
A. K-6,Ocean,2350,Island Heights Boro,0.267,0.274,0.353
A. K-6,Ocean,2690,Little Egg Harbor Twp,0.357,0.353,0.443
A. K-6,Ocean,2760,Long Beach Island,0.288,0.322,0.360
A. K-6,Ocean,3800,Ocean Gate Boro,0.254,0.271,0.291
A. K-6,Ocean,3820,Ocean Twp,0.367,0.460,0.469
A. K-6,Ocean,4710,Seaside Heights Boro,0.312,0.309,0.426
A. K-6,Ocean,5020,Stafford Twp,0.414,0.388,0.483
A. K-6,Ocean,5220,Tuckerton Boro,0.344,0.313,0.373
A. K-6,Sussex,1630,Fredon Twp,0.375,0.368,0.389
A. K-6,Sussex,1980,Hampton Twp,0.278,0.327,0.384
A. K-6,Sussex,4650,Sandyston-Walpack Twp,0.341,0.336,0.337
A. K-6,Sussex,5040,Stillwater Twp,0.330,0.326,0.378
A. K-6,Warren,400,Blairstown Twp,0.246,0.250,0.243
A. K-6,Warren,1620,Franklin Twp,0.318,0.326,0.345
A. K-6,Warren,1670,Frelinghuysen Twp,0.247,0.254,0.267
A. K-6,Warren,2470,Knowlton Twp,0.242,0.257,0.294
A. K-6,Warren,2970,Mansfield Twp,0.325,0.302,0.370
A. K-6,Warren,5480,Washington Boro,0.360,0.349,0.410
A. K-6,Warren,5530,Washington Twp,0.254,0.254,0.263
B. K-8 / 0 - 400,Statewide,N.A.,1. State average - Operating Type K-8,0.298,0.308,0.345
B. K-8 / 0 - 400,Statewide,N.A.,2. State median - Operating Type K-8,0.292,0.299,0.337
B. K-8 / 0 - 400,Statewide,N.A.,5. State average - All operating types,0.300,0.306,0.335
B. K-8 / 0 - 400,Statewide,N.A.,6. State median - All operating types,0.284,0.292,0.325
B. K-8 / 0 - 400,Atlantic,570,Brigantine City,0.307,0.352,0.430
B. K-8 / 0 - 400,Atlantic,1410,Estell Manor City,0.268,0.298,0.357
B. K-8 / 0 - 400,Atlantic,1540,Folsom Boro,0.342,0.294,0.333
B. K-8 / 0 - 400,Atlantic,3020,Margate City,0.288,0.260,0.329
B. K-8 / 0 - 400,Atlantic,4240,Port Republic City,0.289,0.247,0.305
B. K-8 / 0 - 400,Atlantic,5760,Weymouth Twp,0.320,0.308,0.341
B. K-8 / 0 - 400,Bergen,80,Alpine Boro,0.249,0.268,0.395
B. K-8 / 0 - 400,Bergen,3350,Moonachie Boro,0.249,0.272,0.315
B. K-8 / 0 - 400,Bergen,4870,South Hackensack Twp,0.267,0.285,0.332
B. K-8 / 0 - 400,Burlington,380,Beverly City,0.240,0.280,0.286
B. K-8 / 0 - 400,Burlington,1030,Delanco Twp,0.258,0.287,0.352
B. K-8 / 0 - 400,Burlington,3540,New Hanover Twp,0.219,0.216,0.337
B. K-8 / 0 - 400,Burlington,4460,Riverton,0.201,0.253,0.268
B. K-8 / 0 - 400,Burlington,5890,Woodland Twp,0.326,0.315,0.323
B. K-8 / 0 - 400,Camden,580,Brooklawn Boro,0.240,0.258,0.256
B. K-8 / 0 - 400,Camden,1720,Gibbsboro Boro,0.297,0.317,0.303
B. K-8 / 0 - 400,Camden,2560,Lawnside Boro,0.321,0.335,0.324
B. K-8 / 0 - 400,Camden,2890,Magnolia Boro,0.381,0.399,0.505
B. K-8 / 0 - 400,Camden,3110,Merchantville Boro,0.269,0.256,0.333
B. K-8 / 0 - 400,Cape May,170,Avalon Boro,0.328,0.326,0.385
B. K-8 / 0 - 400,Cape May,3680,North Wildwood City,0.309,0.332,0.431
B. K-8 / 0 - 400,Cape May,5060,Stone Harbor Boro,0.372,0.421,0.383
B. K-8 / 0 - 400,Cape May,5800,Wildwood Crest Boro,0.342,0.381,0.421
B. K-8 / 0 - 400,Cape May,5840,Woodbine Boro,0.458,0.304,0.426
B. K-8 / 0 - 400,Cumberland,1020,Deerfield Twp,0.288,0.323,0.356
B. K-8 / 0 - 400,Cumberland,1120,Downe Twp,0.376,0.362,0.421
B. K-8 / 0 - 400,Cumberland,1820,Greenwich Twp,0.379,0.355,0.367
B. K-8 / 0 - 400,Cumberland,3050,Maurice River Twp,0.363,0.335,0.352
B. K-8 / 0 - 400,Cumberland,5070,Stow Creek Twp,0.407,0.387,0.500
B. K-8 / 0 - 400,Hudson,1200,East Newark Boro,0.304,0.281,0.318
B. K-8 / 0 - 400,Hunterdon,370,Bethlehem Twp,0.376,0.352,0.373
B. K-8 / 0 - 400,Hunterdon,430,Bloomsbury Boro,0.231,0.239,0.353
B. K-8 / 0 - 400,Hunterdon,670,Califon Boro,0.310,0.276,0.334
B. K-8 / 0 - 400,Hunterdon,910,Clinton-Glen Gardner,0.344,0.366,0.401
B. K-8 / 0 - 400,Hunterdon,1160,East Amwell Twp,0.308,0.336,0.394
B. K-8 / 0 - 400,Hunterdon,1600,Franklin Twp,0.284,0.286,0.433
B. K-8 / 0 - 400,Hunterdon,1680,Frenchtown Boro,0.292,0.272,0.328
B. K-8 / 0 - 400,Hunterdon,2140,High Bridge Boro,0.319,0.336,0.363
B. K-8 / 0 - 400,Hunterdon,2450,Kingwood Twp,0.356,0.355,0.462
B. K-8 / 0 - 400,Monmouth,180,Avon Boro,0.268,0.294,0.373
B. K-8 / 0 - 400,Monmouth,270,Belmar Boro,0.339,0.343,0.371
B. K-8 / 0 - 400,Monmouth,500,Bradley Beach Boro,0.320,0.339,0.327
B. K-8 / 0 - 400,Monmouth,1000,Deal Boro,0.266,0.282,0.305
B. K-8 / 0 - 400,Monmouth,1490,Farmingdale Boro,0.183,0.254,0.279
B. K-8 / 0 - 400,Monmouth,3250,Monmouth Beach Boro,0.231,0.259,0.295
B. K-8 / 0 - 400,Monmouth,3500,Neptune City,0.348,0.315,0.407
B. K-8 / 0 - 400,Monmouth,4690,Sea Girt Boro,0.176,0.229,0.275
B. K-8 / 0 - 400,Monmouth,4980,Spring Lake Boro,0.261,0.270,0.305
B. K-8 / 0 - 400,Monmouth,4990,Spring Lake Heights Boro,0.237,0.278,0.293
B. K-8 / 0 - 400,Morris,2010,Harding Township,0.309,0.328,0.339
B. K-8 / 0 - 400,Morris,3410,Mount Arlington Boro,0.239,0.268,0.277
B. K-8 / 0 - 400,Morris,3520,Netcong Boro,0.203,0.216,0.269
B. K-8 / 0 - 400,Morris,4440,Riverdale Boro,0.255,0.264,0.292
B. K-8 / 0 - 400,Ocean,210,Bay Head Boro,0.245,0.238,0.265
B. K-8 / 0 - 400,Ocean,2550,Lavallette Boro,0.273,0.250,0.277
B. K-8 / 0 - 400,Salem,60,Alloway Twp,0.233,0.239,0.273
B. K-8 / 0 - 400,Salem,1350,Elsinboro Twp,0.337,0.328,0.341
B. K-8 / 0 - 400,Salem,2800,Lower Alloways Creek,0.239,0.238,0.264
B. K-8 / 0 - 400,Salem,2950,Mannington Twp,0.325,0.313,0.425
B. K-8 / 0 - 400,Salem,3860,Oldmans Twp,0.249,0.287,0.333
B. K-8 / 0 - 400,Salem,4280,Quinton Twp,0.244,0.261,0.320
B. K-8 / 0 - 400,Salem,5320,Upper Pittsgrove Twp,0.297,0.296,0.292
B. K-8 / 0 - 400,Sussex,1800,Green Twp,0.314,0.305,0.315
B. K-8 / 0 - 400,Sussex,1930,Hamburg Boro,0.237,0.258,0.379
B. K-8 / 0 - 400,Sussex,2490,Lafayette Twp,0.264,0.256,0.285
B. K-8 / 0 - 400,Sussex,3300,Montague Twp,0.301,0.325,0.370
B. K-8 / 0 - 400,Sussex,3840,Ogdensburg Boro,0.290,0.303,0.309
B. K-8 / 0 - 400,Sussex,5030,Stanhope Boro,0.260,0.275,0.277
B. K-8 / 0 - 400,Union,1710,Garwood Boro,0.268,0.289,0.318
B. K-8 / 0 - 400,Union,5810,Winfield Twp,0.219,0.211,0.191
B. K-8 / 0 - 400,Warren,70,Alpha Boro,0.290,0.301,0.359
B. K-8 / 0 - 400,Warren,2040,Harmony Twp,0.268,0.298,0.387
B. K-8 / 0 - 400,Warren,2250,Hope Twp,0.302,0.306,0.291
B. K-8 / 0 - 400,Warren,3890,Oxford Twp,0.321,0.315,0.304
B. K-8 / 0 - 400,Warren,4200,Pohatcong Twp,0.344,0.265,0.361
B. K-8 / 0 - 400,Warren,5780,White Twp,0.418,0.368,0.524
C. K-8 / 401 - 750,Statewide,N.A.,1. State average - Operating Type K-8,0.298,0.308,0.345
C. K-8 / 401 - 750,Statewide,N.A.,2. State median - Operating Type K-8,0.292,0.299,0.337
C. K-8 / 401 - 750,Statewide,N.A.,5. State average - All operating types,0.300,0.306,0.335
C. K-8 / 401 - 750,Statewide,N.A.,6. State median - All operating types,0.284,0.292,0.325
C. K-8 / 401 - 750,Atlantic,1300,Egg Harbor City,0.370,0.367,0.393
C. K-8 / 401 - 750,Atlantic,3480,Mullica Twp,0.286,0.289,0.317
C. K-8 / 401 - 750,Atlantic,5350,Ventnor City,0.346,0.326,0.359
C. K-8 / 401 - 750,Bergen,740,Carlstadt Boro,0.289,0.305,0.350
C. K-8 / 401 - 750,Bergen,1380,Englewood Cliffs Boro,0.366,0.377,0.384
C. K-8 / 401 - 750,Bergen,2050,Harrington Park Boro,0.283,0.331,0.344
C. K-8 / 401 - 750,Bergen,2090,Haworth Boro,0.256,0.290,0.300
C. K-8 / 401 - 750,Bergen,2200,Ho Ho Kus Boro,0.248,0.279,0.301
C. K-8 / 401 - 750,Bergen,3730,Northvale Boro,0.216,0.251,0.268
C. K-8 / 401 - 750,Bergen,3740,Norwood Boro,0.242,0.246,0.294
C. K-8 / 401 - 750,Bergen,4470,Rochelle Park Twp,0.231,0.261,0.255
C. K-8 / 401 - 750,Burlington,1250,Eastampton Twp,0.313,0.334,0.306
C. K-8 / 401 - 750,Burlington,1910,Hainesport Twp,0.304,0.311,0.343
C. K-8 / 401 - 750,Burlington,3070,Medford Lakes Boro,0.248,0.280,0.262
C. K-8 / 401 - 750,Burlington,4740,Shamong Twp,0.322,0.324,0.345
C. K-8 / 401 - 750,Burlington,4930,Southampton Township School District,0.279,0.288,0.239
C. K-8 / 401 - 750,Burlington,5130,Tabernacle Twp,0.398,0.449,0.423
C. K-8 / 401 - 750,Camden,190,Barrington Boro,0.321,0.259,0.318
C. K-8 / 401 - 750,Camden,340,Berlin Twp,0.348,0.353,0.393
C. K-8 / 401 - 750,Camden,880,Clementon Boro,0.350,0.315,0.357
C. K-8 / 401 - 750,Camden,3420,Mount Ephraim Boro,0.346,0.353,0.377
C. K-8 / 401 - 750,Camden,4790,Somerdale Boro,0.356,0.295,0.327
C. K-8 / 401 - 750,Camden,5900,Woodlynne Boro,0.455,0.474,0.425
C. K-8 / 401 - 750,Cape May,1080,Dennis Twp,0.410,0.444,0.472
C. K-8 / 401 - 750,Cumberland,950,Commercial Twp,0.293,0.302,0.365
C. K-8 / 401 - 750,Cumberland,1460,Fairfield Twp,0.347,0.383,0.424
C. K-8 / 401 - 750,Cumberland,2270,Hopewell Twp,0.278,0.303,0.295
C. K-8 / 401 - 750,Cumberland,2570,Lawrence Twp,0.319,0.340,0.387
C. K-8 / 401 - 750,Gloucester,1830,Greenwich Twp,0.329,0.346,0.358
C. K-8 / 401 - 750,Hunterdon,20,Alexandria Twp,0.292,0.283,0.335
C. K-8 / 401 - 750,Hunterdon,1040,Delaware Twp,0.269,0.305,0.302
C. K-8 / 401 - 750,Hunterdon,2220,Holland Twp,0.420,0.346,0.378
C. K-8 / 401 - 750,Hunterdon,2600,Lebanon Twp,0.369,0.372,0.408
C. K-8 / 401 - 750,Hunterdon,5180,Tewksbury Twp,0.383,0.389,0.473
C. K-8 / 401 - 750,Hunterdon,5270,Union Twp,0.332,0.320,0.348
C. K-8 / 401 - 750,Middlesex,970,Cranbury Twp,0.338,0.323,0.398
C. K-8 / 401 - 750,Middlesex,2370,Jamesburg Boro,0.294,0.300,0.306
C. K-8 / 401 - 750,Monmouth,560,Brielle Boro,0.254,0.255,0.265
C. K-8 / 401 - 750,Monmouth,2720,Little Silver Boro,0.292,0.313,0.353
C. K-8 / 401 - 750,Monmouth,3830,Oceanport Boro,0.253,0.278,0.322
C. K-8 / 401 - 750,Monmouth,4770,Shrewsbury Boro,0.245,0.291,0.301
C. K-8 / 401 - 750,Monmouth,5230,Union Beach,0.239,0.282,0.424
C. K-8 / 401 - 750,Monmouth,5640,West Long Branch Boro,0.300,0.297,0.297
C. K-8 / 401 - 750,Morris,460,Boonton Twp,0.330,0.335,0.353
C. K-8 / 401 - 750,Morris,3090,Mendham Boro,0.292,0.288,0.322
C. K-8 / 401 - 750,Morris,3380,Morris Plains Boro,0.266,0.265,0.289
C. K-8 / 401 - 750,Morris,4480,Rockaway Boro,0.231,0.261,0.290
C. K-8 / 401 - 750,Morris,5770,Wharton Boro,0.300,0.313,0.379
C. K-8 / 401 - 750,Ocean,2500,Lakehurst Boro,0.268,0.273,0.295
C. K-8 / 401 - 750,Passaic,420,Bloomingdale Boro,0.247,0.253,0.294
C. K-8 / 401 - 750,Passaic,3640,North Haledon Boro,0.275,0.284,0.301
C. K-8 / 401 - 750,Somerset,240,Bedminster Twp,0.350,0.353,0.437
C. K-8 / 401 - 750,Somerset,1810,Green Brook Twp,0.296,0.319,0.374
C. K-8 / 401 - 750,Somerset,4850,South Bound Brook,0.257,0.301,0.334
C. K-8 / 401 - 750,Somerset,5540,Watchung Boro,0.334,0.333,0.375
C. K-8 / 401 - 750,Sussex,90,Andover Reg,0.228,0.231,0.316
C. K-8 / 401 - 750,Sussex,1560,Frankford Twp,0.265,0.275,0.296
C. K-8 / 401 - 750,Sussex,1570,Franklin Boro,0.291,0.319,0.358
C. K-8 / 401 - 750,Sussex,2030,Hardyston Twp,0.281,0.276,0.281
C. K-8 / 401 - 750,Union,3470,Mountainside Boro,0.355,0.362,0.356
C. K-8 / 401 - 750,Warren,30,Allamuchy Twp,0.359,0.332,0.362
C. K-8 / 401 - 750,Warren,1785,Great Meadows Regional,0.325,0.344,0.433
C. K-8 / 401 - 750,Warren,1840,Greenwich Twp,0.373,0.378,0.476
C. K-8 / 401 - 750,Warren,2790,Lopatcong Twp,0.274,0.277,0.402
D. K-8 / 751 +,Statewide,N.A.,1. State average - Operating Type K-8,0.298,0.308,0.345
D. K-8 / 751 +,Statewide,N.A.,2. State median - Operating Type K-8,0.292,0.299,0.337
D. K-8 / 751 +,Statewide,N.A.,5. State average - All operating types,0.300,0.306,0.335
D. K-8 / 751 +,Statewide,N.A.,6. State median - All operating types,0.284,0.292,0.325
D. K-8 / 751 +,Atlantic,10,Absecon City,0.292,0.279,0.322
D. K-8 / 751 +,Atlantic,1690,Galloway Twp,0.365,0.357,0.432
D. K-8 / 751 +,Atlantic,1940,Hamilton Twp,0.320,0.286,0.377
D. K-8 / 751 +,Atlantic,2680,Linwood City,0.298,0.332,0.418
D. K-8 / 751 +,Atlantic,3720,Northfield City,0.282,0.281,0.300
D. K-8 / 751 +,Atlantic,4800,Somers Point City,0.360,0.361,0.406
D. K-8 / 751 +,Bergen,40,Allendale Boro,0.272,0.307,0.368
D. K-8 / 751 +,Bergen,930,Closter Boro,0.212,0.224,0.269
D. K-8 / 751 +,Bergen,1070,Demarest Boro,0.257,0.294,0.343
D. K-8 / 751 +,Bergen,1230,East Rutherford Boro,0.221,0.250,0.274
