CO,DIST,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind15,distname,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,ENROLL,ind16a,ind16b,ind17a,ind17b,ind18a,ind18b,ind19,County
80,6020,4573846,2368928,2261928,14166,92834,0,0,1421551,1212223,783367,0,0,0,18611,Pride Academy Charter School,Essex,K. Charter,C,,,1,298.7,13.1,70900,99.7,63400,42.7,114750,3.7,Essex
80,6022,4002690,1624594,1038588,43704,542302,0,0,1616731,777173,761365,0,0,0,0,Burch Charter School Of Excellence,Essex,K. Charter,C,,,1,320.8,17.8,52726,160.5,62950,80.3,104500,5,Essex
80,6029,4505832,1486885,1392391,20723,73771,340989,291877,962675,582448,1715284,649123,0,0,0,Newark Educators Community Charter Schoo,Essex,K. Charter,C,,,1,133.5,7.4,74174,44.7,80000,67,139863,10.5,Essex
80,6053,37069143,16716436,12356489,1367646,2992301,207137,139370,18561158,12311319,1394986,0,189426,0,0,Great Oaks Legacy Charter School,Essex,K. Charter,C,,,1,1924.2,19,65696,137.4,78970,113.2,89500,6.8,Essex
80,6058,6763208,3658783,3104052,74409,480322,0,0,2003715,1463942,1100710,315370,0,0,0,Roseville Community CS,Essex,K. Charter,C,,,1,277.7,10.7,68631,46.3,72699,92.7,100998,10.7,Essex
80,6094,9413541,5018812,4808579,86121,124112,716546,560334,1571671,1368310,2106512,96745,0,0,0,Phillip's Academy Charter School,Essex,K. Charter,C,,,1,575,16.2,65560,84.6,63585,95.8,103000,7.1,Essex
80,6099,5506561,3109586,2579337,46527,483722,5349,0,2107084,1507047,284542,0,0,0,38616,Link Community Charter School,Essex,K. Charter,C,,,1,332.5,13.9,70455,166.5,78571,95.1,88780,7.4,Essex
80,6109,4920069,2384767,1821543,37635,525589,0,0,1685268,939093,682405,0,58408,0,0,Lead Charter School,Essex,K. Charter,C,,,1,210,35,79500,105,71100,42,106575,1.6,Essex
80,6320,1679685,1061382,903870,72409,85103,0,0,351999,86456,266304,0,0,0,0,Discovery CS,Essex,K. Charter,C,,,1,99.7,20,62000,,,50,75343,2.5,Essex
80,6410,6706966,2968119,2851855,72918,43346,0,0,2987288,2493021,751559,0,0,0,0,East Orange Community CS,Essex,K. Charter,C,,,1,445.5,446,85018,223,74108,74.3,91062,0.5,Essex
