GROUP,CONAME,DIST,DISTNAME,PP11,RK11,PP21,RK21,PP31,RK31,E11,E21,E31
A. K-6,Statewide,N.A.,1. State average - Operating Type K-6,16730,N.A.,17029,N.A.,18966,N.A.,,,
A. K-6,Statewide,N.A.,2. State median - Operating Type K-6,17594,N.A.,18459,N.A.,20303,N.A.,,,
A. K-6,Statewide,N.A.,5. State average - All operating types,17667,N.A.,18401,N.A.,20154,N.A.,,,
A. K-6,Statewide,N.A.,6. State median - All operating types,17431,N.A.,18180,N.A.,19990,N.A.,,,
A. K-6,Bergen,1270,Edgewater Boro,16607,20|57,19010,33|57,26960,50|58,666,659,657
A. K-6,Bergen,3870,Oradell Boro,14934,8|57,15047,8|57,16140,6|58,785,796,799
A. K-6,Bergen,4410,River Edge Boro,15988,15|57,16881,19|57,18363,18|58,1176,1171,1211
A. K-6,Bergen,4620,Saddle River School District,35490,57|57,43748,57|57,46837,58|58,117,108,124
A. K-6,Burlington,830,Chesterfield Twp,17072,24|57,16858,18|57,19008,22|58,711,719,693
A. K-6,Burlington,2960,Mansfield Twp,20182,40|57,21243,42|57,21367,36|58,528,547,592
A. K-6,Burlington,3650,North Hanover Twp,17671,31|57,17865,27|57,20563,32|58,1300,1402,1460
A. K-6,Burlington,5010,Springfield Twp,14658,7|57,14865,7|57,14941,2|58,259,286,299
A. K-6,Camden,2540,Laurel Springs Boro,15671,11|57,17318,22|57,16727,10|58,174,181,186
A. K-6,Camden,3770,Oaklyn Boro,19022,34|57,20032,37|57,20677,33|58,263,277,289
A. K-6,Camden,5560,Waterford Twp,17874,32|57,18306,29|57,19129,23|58,919,936,967
A. K-6,Cape May,710,Cape May City,20826,44|57,24080,50|57,28381,52|58,167,157,172
A. K-6,Cape May,2840,Lower Twp,17018,22|57,17544,24|57,18033,16|58,1496,1449,1529
A. K-6,Cape May,5610,West Cape May Boro,20989,45|57,20852,40|57,27774,51|58,84,83,74
A. K-6,Essex,1400,Essex Fells Boro,20732,43|57,21645,44|57,22841,43|58,254,245,251
A. K-6,Essex,1465,Fairfield Twp,16451,18|57,16887,20|57,20083,28|58,708,698,706
A. K-6,Essex,3630,North Caldwell Boro,17578,29|57,18837,31|57,20825,35|58,711,694,714
A. K-6,Essex,4530,Roseland Boro,17538,28|57,17891,28|57,18786,20|58,466,467,497
A. K-6,Gloucester,1180,East Greenwich Twp,12928,1|57,14466,4|57,15691,4|58,1336,1266,1265
A. K-6,Gloucester,1330,Elk Twp,14962,9|57,15361,11|57,17958,14|58,329,337,343
A. K-6,Gloucester,1590,Franklin Twp,15400,10|57,15154,9|57,15705,5|58,1272,1314,1364
A. K-6,Gloucester,2070,Harrison Twp,13900,3|57,14003,2|57,15152,3|58,1300,1329,1289
A. K-6,Gloucester,2990,Mantua Twp,16450,17|57,14244,3|57,17771,12|58,1357,1476,1281
A. K-6,Gloucester,3490,National Park Boro,15800,12|57,16202,16|57,21890,39|58,278,289,293
A. K-6,Gloucester,4880,South Harrison Twp,13755,2|57,12716,1|57,13895,1|58,329,342,375
A. K-6,Gloucester,5120,Swedesboro-Woolwich,14162,4|57,15462,13|57,16571,9|58,1684,1659,1633
A. K-6,Gloucester,5590,Wenonah Boro,17053,23|57,19007,32|57,18426,19|58,171,165,179
A. K-6,Gloucester,5740,Westville Boro,16543,19|57,15273,10|57,20502,31|58,351,373,355
A. K-6,Gloucester,5870,Woodbury Heights Boro,14639,6|57,14652,5|57,17109,11|58,249,254,261
A. K-6,Hunterdon,1970,Hampton Boro,30080,N.A.,25742,N.A.,29490,55|58,82,105,101
A. K-6,Hunterdon,2590,Lebanon Boro,23209,52|57,26008,53|57,26720,49|58,97,93,101
A. K-6,Hunterdon,3180,Milford Boro,26994,55|57,26220,54|57,32484,56|58,56,60,65
A. K-6,Monmouth,130,Atlantic Highlands Boro,19337,37|57,19338,34|57,21453,37|58,258,278,286
A. K-6,Monmouth,2160,Highlands Boro,23595,53|57,26527,55|57,29042,53|58,181,162,179
A. K-6,Monmouth,4520,Roosevelt Boro,21015,46|57,21069,41|57,26591,48|58,82,88,88
A. K-6,Morris,3240,Mine Hill Twp,15857,14|57,17529,23|57,20342,30|58,351,360,359
A. K-6,Ocean,230,Beach Haven Boro,25499,54|57,25982,52|57,29384,54|58,76,71,79
A. K-6,Ocean,320,Berkeley Twp,14553,5|57,14829,6|57,16389,7|58,2411,2427,2437
A. K-6,Ocean,1150,Eagleswood Twp,19843,39|57,21918,46|57,22219,41|58,139,139,153
A. K-6,Ocean,2350,Island Heights Boro,20558,42|57,21910,45|57,20263,29|58,121,128,143
A. K-6,Ocean,2690,Little Egg Harbor Twp,15830,13|57,16377,17|57,18829,21|58,1677,1667,1622
A. K-6,Ocean,2760,Long Beach Island,29949,56|57,32326,56|57,32532,57|58,202,204,227
A. K-6,Ocean,3800,Ocean Gate Boro,21526,49|57,24928,51|57,24879,46|58,133,126,138
A. K-6,Ocean,3820,Ocean Twp,17495,27|57,15845,15|57,19311,24|58,519,549,566
A. K-6,Ocean,4710,Seaside Heights Boro,23164,51|57,23078,49|57,22384,42|58,207,200,220
A. K-6,Ocean,5020,Stafford Twp,16285,16|57,15423,12|57,18019,15|58,2313,2446,2449
A. K-6,Ocean,5220,Tuckerton Boro,19669,38|57,18612,30|57,19546,27|58,295,283,287
A. K-6,Sussex,1630,Fredon Twp,20287,41|57,21434,43|57,23073,44|58,184,177,182
A. K-6,Sussex,1980,Hampton Twp,18688,33|57,19522,35|57,21875,38|58,300,315,320
A. K-6,Sussex,4650,Sandyston-Walpack Twp,19049,35|57,22290,47|57,25298,47|58,127,123,126
A. K-6,Sussex,5040,Stillwater Twp,21617,50|57,20379,39|57,21942,40|58,265,284,299
A. K-6,Warren,400,Blairstown Twp,16863,21|57,17802,26|57,18292,17|58,436,434,443
A. K-6,Warren,1620,Franklin Twp,21476,48|57,22472,48|57,23502,45|58,198,197,210
A. K-6,Warren,1670,Frelinghuysen Twp,17192,26|57,17234,21|57,16533,8|58,129,130,135
A. K-6,Warren,2470,Knowlton Twp,21196,47|57,20148,38|57,20760,34|58,164,176,183
A. K-6,Warren,2970,Mansfield Twp,17102,25|57,17610,25|57,17905,13|58,560,550,558
A. K-6,Warren,5480,Washington Boro,17610,30|57,15743,14|57,19438,25|58,513,562,578
A. K-6,Warren,5530,Washington Twp,19155,36|57,19627,36|57,19485,26|58,395,386,389
B. K-8 / 0 - 400,Statewide,N.A.,1. State average - Operating Type K-8,17914,N.A.,18570,N.A.,20367,N.A.,,,
B. K-8 / 0 - 400,Statewide,N.A.,2. State median - Operating Type K-8,18112,N.A.,18851,N.A.,20554,N.A.,,,
B. K-8 / 0 - 400,Statewide,N.A.,5. State average - All operating types,17667,N.A.,18401,N.A.,20154,N.A.,,,
B. K-8 / 0 - 400,Statewide,N.A.,6. State median - All operating types,17431,N.A.,18180,N.A.,19990,N.A.,,,
B. K-8 / 0 - 400,Atlantic,570,Brigantine City,32006,73|75,34592,74|75,39291,75|76,409,390,385
B. K-8 / 0 - 400,Atlantic,1410,Estell Manor City,17210,19|75,17610,22|75,19343,17|76,188,195,190
B. K-8 / 0 - 400,Atlantic,1540,Folsom Boro,15740,10|75,16180,8|75,17667,7|76,378,374,377
B. K-8 / 0 - 400,Atlantic,3020,Margate City,30155,71|75,30759,70|75,35393,72|76,356,335,340
B. K-8 / 0 - 400,Atlantic,4240,Port Republic City,17803,25|75,18550,31|75,18925,14|76,109,107,110
B. K-8 / 0 - 400,Atlantic,5760,Weymouth Twp,17920,27|75,17299,17|75,20618,26|76,163,161,154
B. K-8 / 0 - 400,Bergen,80,Alpine Boro,28806,68|75,30228,69|75,31181,67|76,158,155,173
B. K-8 / 0 - 400,Bergen,3350,Moonachie Boro,16834,17|75,16760,13|75,19810,20|76,359,376,373
B. K-8 / 0 - 400,Bergen,4870,South Hackensack Twp,21997,52|75,24011,55|75,23945,50|76,261,237,248
B. K-8 / 0 - 400,Burlington,380,Beverly City,16261,13|75,17073,16|75,20650,28|76,331,343,342
B. K-8 / 0 - 400,Burlington,1030,Delanco Twp,14548,5|75,15941,6|75,19795,19|76,366,360,356
B. K-8 / 0 - 400,Burlington,3540,New Hanover Twp,18660,32|75,18344,27|75,23815,49|76,185,179,176
B. K-8 / 0 - 400,Burlington,4460,Riverton,15293,7|75,17396,18|75,18803,13|76,297,274,268
B. K-8 / 0 - 400,Burlington,5890,Woodland Twp,24194,63|75,22210,46|75,24022,51|76,101,102,107
B. K-8 / 0 - 400,Camden,580,Brooklawn Boro,15494,8|75,17499,19|75,21904,36|76,285,275,262
B. K-8 / 0 - 400,Camden,1720,Gibbsboro Boro,16353,14|75,18977,36|75,19000,15|76,297,295,336
B. K-8 / 0 - 400,Camden,2560,Lawnside Boro,19314,39|75,18288,26|75,23320,45|76,314,326,332
B. K-8 / 0 - 400,Camden,2890,Magnolia Boro,16545,16|75,18361,28|75,23335,46|76,398,391,394
B. K-8 / 0 - 400,Camden,3110,Merchantville Boro,14149,3|75,16461,9|75,19069,16|76,389,379,393
B. K-8 / 0 - 400,Cape May,170,Avalon Boro,40829,75|75,32305,73|75,33512,70|76,73,83,92
B. K-8 / 0 - 400,Cape May,3680,North Wildwood City,37341,74|75,38856,75|75,46209,76|76,184,170,176
B. K-8 / 0 - 400,Cape May,5060,Stone Harbor Boro,24930,65|75,28476,66|75,26217,58|76,92,86,92
B. K-8 / 0 - 400,Cape May,5800,Wildwood Crest Boro,31705,72|75,30961,71|75,37676,74|76,235,238,244
B. K-8 / 0 - 400,Cape May,5840,Woodbine Boro,17510,22|75,15514,5|75,16259,1|76,230,249,278
B. K-8 / 0 - 400,Cumberland,1020,Deerfield Twp,17876,26|75,17983,24|75,20090,21|76,281,314,335
B. K-8 / 0 - 400,Cumberland,1120,Downe Twp,18955,36|75,16898,14|75,17726,8|76,156,161,161
B. K-8 / 0 - 400,Cumberland,1820,Greenwich Twp,18837,34|75,17729,23|75,22860,42|76,75,82,83
B. K-8 / 0 - 400,Cumberland,3050,Maurice River Twp,14176,4|75,16686,12|75,16579,2|76,400,391,405
B. K-8 / 0 - 400,Cumberland,5070,Stow Creek Twp,15251,6|75,14216,1|75,17363,6|76,123,123,122
B. K-8 / 0 - 400,Hudson,1200,East Newark Boro,16030,12|75,16613,10|75,17252,5|76,221,238,268
B. K-8 / 0 - 400,Hunterdon,370,Bethlehem Twp,21388,48|75,21147,43|75,22243,38|76,350,359,381
B. K-8 / 0 - 400,Hunterdon,430,Bloomsbury Boro,19880,42|75,24567,57|75,29075,66|76,107,96,102
B. K-8 / 0 - 400,Hunterdon,670,Califon Boro,25970,66|75,26602,64|75,32905,69|76,86,87,83
B. K-8 / 0 - 400,Hunterdon,910,Clinton-Glen Gardner,19824,41|75,20677,42|75,21237,31|76,422,440,433
B. K-8 / 0 - 400,Hunterdon,1160,East Amwell Twp,21041,45|75,22042,45|75,23510,47|76,366,379,385
B. K-8 / 0 - 400,Hunterdon,1600,Franklin Twp,22186,54|75,23140,51|75,24939,55|76,259,276,293
B. K-8 / 0 - 400,Hunterdon,1680,Frenchtown Boro,22804,57|75,23517,52|75,22711,41|76,108,106,121
B. K-8 / 0 - 400,Hunterdon,2140,High Bridge Boro,22966,59|75,22899,50|75,26811,60|76,345,354,352
B. K-8 / 0 - 400,Hunterdon,2450,Kingwood Twp,18695,33|75,18750,32|75,22005,37|76,322,331,342
B. K-8 / 0 - 400,Monmouth,180,Avon Boro,23948,62|75,26631,65|75,31804,68|76,125,121,119
B. K-8 / 0 - 400,Monmouth,270,Belmar Boro,19230,N.A.,20511,N.A.,21307,33|76,402,405,408
B. K-8 / 0 - 400,Monmouth,500,Bradley Beach Boro,21808,49|75,26380,63|75,28226,63|76,235,210,209
B. K-8 / 0 - 400,Monmouth,1000,Deal Boro,23033,60|75,25163,59|75,27103,61|76,159,155,170
B. K-8 / 0 - 400,Monmouth,1490,Farmingdale Boro,19134,38|75,19870,39|75,25193,56|76,161,164,146
B. K-8 / 0 - 400,Monmouth,3250,Monmouth Beach Boro,21165,46|75,22461,48|75,24818,54|76,253,256,262
B. K-8 / 0 - 400,Monmouth,3500,Neptune City,19333,40|75,23625,53|75,24605,53|76,241,220,236
B. K-8 / 0 - 400,Monmouth,4690,Sea Girt Boro,29398,69|75,29592,68|75,35306,71|76,133,134,130
B. K-8 / 0 - 400,Monmouth,4980,Spring Lake Boro,29488,70|75,32097,72|75,36936,73|76,156,152,152
B. K-8 / 0 - 400,Monmouth,4990,Spring Lake Heights Boro,17989,28|75,19856,38|75,21287,32|76,320,303,309
