CO,DIST,IND1,IND2,IND3,IND4,IND5,IND6,IND7,IND8,IND9,IND10,IND11,IND12,IND13,IND15,IND16A,IND16B,IND17A,IND17B,IND18A,IND18B,IND19,DISTNAME,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,County,ENROLL
3,40,19030438,11129967,10130963,543973,455031,3211233,2749104,2046805,1683068,2427081,1258031,0,215351,48000,12,86665,83.3,102625,179.2,174047,17.1,Allendale Boro,Bergen,D. K-8 / 751 +,2,I,,1,Bergen,932.0
3,80,5394258,2689121,2457177,61394,170550,1516197,1292311,403274,321392,630685,235878,0,147985,0,8.2,78979,64.8,96802,32.4,131937,4.5,Alpine Boro,Bergen,B. K-8 / 0 - 400,2,I,,1,Bergen,173.0
3,285,57413105,30945498,27252698,687300,3005500,14083046,12601496,5373103,4109403,6279965,2789781,75000,63650,0,2.6,88135,3.7,92826,30.1,140000,20,Bergen Co Special Service,Bergen,I. CSSD,7,,,1,Bergen,590.5
3,290,76086847,40301501,34727951,2439850,3133700,8378604,7678604,13939594,11039244,10495268,5610268,0,2576038,0,11.6,94812,67.1,91937,112.8,147544,11.4,Bergen County Vocational Technical Schoo,Bergen,J. VOC,8,,,1,Bergen,2790.5
3,300,70719024,43644879,35391890,1681823,6571166,9380347,7422942,7215846,5823903,8403425,5085268,0,1361310,408861,12.5,87965,69.9,86465,166.6,146031,15.7,Bergenfield Boro,Bergen,G. K-12 / 3501 +,3,FG,,1,Bergen,3623.5
3,440,25111641,13670041,11018470,594729,2056842,4462481,2553764,3136800,2231737,2963870,1250862,0,840927,549377,11.9,75400,65,73100,118.1,118692,11.7,Bogota Boro,Bergen,E. K-12 / 0 - 1800,3,DE,,1,Bergen,1285.5
3,740,12021297,7048446,6585129,340282,123035,1989353,1667026,1352677,1153947,1575447,689922,0,55375,0,11.6,81659,73,89537,85.2,97236,8.5,Carlstadt Boro,Bergen,C. K-8 / 401 - 750,2,DE,,1,Bergen,517.0
3,745,16525055,8272339,7975163,219000,78176,3701176,2544591,1781959,1153072,2040707,963777,0,679194,200000,13.9,68631,106.2,63500,90.8,143430,7.4,Carlstadt-East Rutherford,Bergen,H. 7-12 / 9-12,5,CD,,1,Bergen,812.0
3,890,53803901,32905105,30797880,733465,1373760,8708999,5026789,5698898,4155903,4451148,2147628,101200,1170100,254000,12.4,72941,75.5,85790,140.6,128954,13.2,Cliffside Park Boro,Bergen,F. K-12 / 1801 - 3500,3,B,,1,Bergen,3069.4
3,930,22418281,13329290,12700368,282930,345992,4278377,3426610,2402872,2055099,2269343,1162584,0,132702,29000,11.7,89054,63.3,86216,148.8,152519,15,Closter Boro,Bergen,D. K-8 / 751 +,2,I,,1,Bergen,1207.0
3,990,31993373,20831133,18238803,661061,1931269,3545882,2926276,3796710,3220755,2998661,1590111,10000,810987,0,11.6,101107,65.6,99640,121.9,142618,12.4,Cresskill Boro,Bergen,E. K-12 / 0 - 1800,3,I,,1,Bergen,1684.0
3,1070,17307373,9639446,9013316,382086,244044,3406611,2391564,1824926,1493818,2170004,1023524,0,181750,0,9.7,76681,50.9,74956,127.2,169483,15.7,Demarest Boro,Bergen,D. K-8 / 751 +,2,I,,1,Bergen,771.0
3,1130,43284280,26484609,25086224,1193517,204868,4595860,4083630,5613981,4872067,5400569,3256394,0,1074683,7500,12,84732,79.2,79522,140.8,150031,13.5,Dumont Boro,Bergen,F. K-12 / 1801 - 3500,3,FG,,1,Bergen,2571.5
3,1230,18718882,12088739,11335636,313050,440053,2713796,2207695,1951485,1568549,1840714,843697,3000,56008,0,9.5,88112,58.9,76786,127.7,147000,15.7,East Rutherford Boro,Bergen,D. K-8 / 751 +,2,CD,,1,Bergen,793.0
3,1270,17712972,10003889,8855989,784100,363800,3403432,2003566,1685762,1444122,2305269,1214208,0,14483,0,9.8,66701,97.1,64824,113.3,143377,12.8,Edgewater Boro,Bergen,A. K-6,1,DE,,1,Bergen,657.0
3,1345,44455948,23997635,22477251,1147684,372700,7955207,6057897,6247108,5004784,5198319,2587058,0,1038581,0,12.8,58284,64.3,61238,142.9,113808,13.4,Elmwood Park,Bergen,F. K-12 / 1801 - 3500,3,CD,,1,Bergen,2541.9
3,1360,22202580,12302730,11778415,251145,273170,2955468,2334942,2692057,2510932,3012553,1685991,0,1151866,0,11.6,75900,64.5,81400,98.5,154898,10,Emerson Boro,Bergen,E. K-12 / 0 - 1800,3,GH,,1,Bergen,1054.0
3,1370,58868721,35776429,29770882,1184053,4821494,9562485,7595569,6317646,4859966,6127330,1145727,0,1054656,0,10.8,82251,63,95108,142.7,166412,15.4,Englewood City,Bergen,F. K-12 / 1801 - 3500,3,DE,,1,Bergen,2834.0
3,1380,12417745,6677644,6270937,203432,203275,3011579,2379527,1026495,838477,1622916,1021693,0,43683,0,8.7,84476,46.6,84476,83.8,149972,11.4,Englewood Cliffs Boro,Bergen,C. K-8 / 401 - 750,2,I,,1,Bergen,392.0
3,1450,104441781,61230556,57952439,1239389,2038728,17625399,13893476,10727423,8780354,12428102,3787820,0,1823086,314491,11.6,85806,68.7,90779,183.2,166141,18.5,Fair Lawn Public Schools,Bergen,G. K-12 / 3501 +,3,GH,,1,Bergen,5514.9
3,1470,31764383,17915189,13713057,2297051,1905081,5118736,3462128,4259883,3211703,4265775,1286200,0,132397,1125000,13.7,65200,81.6,65200,141,132047,12,Fairview Boro,Bergen,D. K-8 / 751 +,2,A,,1,Bergen,1662.0
3,1550,73616653,42386815,39954133,2137283,295399,14440839,11360998,7718842,5866430,7470900,2436800,0,1417181,0,12.2,83775,69,91975,202,142162,19.5,Fort Lee Boro,Bergen,G. K-12 / 3501 +,3,FG,,1,Bergen,4046.0
3,1580,33457768,22610762,21507239,820623,282900,5165775,4843327,2526826,2280631,2967731,389886,35001,147343,67000,8.3,90227,42.1,81666,109.2,166091,15.7,Franklin Lakes Boro,Bergen,D. K-8 / 751 +,2,I,,1,Bergen,1187.0
3,1700,97560792,60534554,59040035,750219,744300,14703954,11597056,10633616,8949855,10190771,5937471,0,1219597,0,11.2,74900,66,85250,129.4,167962,13.5,Garfield City,Bergen,G. K-12 / 3501 +,3,B,1,1,Bergen,4648.0
3,1760,51929943,28022812,25333489,776335,1912988,9300866,5903062,6330461,5403393,6841691,1712533,0,1418654,0,11.6,82174,53.7,83479,128.8,151629,13.5,Glen Rock Boro,Bergen,F. K-12 / 1801 - 3500,3,J,,1,Bergen,2622.5
3,1860,120410370,71158518,63479843,3442641,4236034,20296839,16064023,10210291,8467170,16812944,5544763,0,1912931,377500,11.8,104596,58.8,108295,142.9,186317,14.6,Hackensack City,Bergen,G. K-12 / 3501 +,3,CD,,1,Bergen,5029.0
3,2050,13103205,8083433,7823290,128000,132143,2181948,1591892,1390559,1112130,1294233,504238,0,153032,0,11.3,88630,64,77974,125.4,158574,13.1,Harrington Park Boro,Bergen,C. K-8 / 401 - 750,2,I,,1,Bergen,612.0
3,2080,32500675,18962420,17770173,294720,897527,5822560,4701073,3259289,2780575,3396256,1780825,0,1047629,0,11.9,93945,66.1,81738,142.4,149381,14.1,Hasbrouck Heights Boro,Bergen,E. K-12 / 0 - 1800,3,FG,,1,Bergen,1731.5
3,2090,10029460,6074591,5743215,221876,109500,1619235,1243285,1067725,796500,1175184,671784,0,92725,0,9.5,69767,69.8,66148,113.5,115000,13.6,Haworth Boro,Bergen,C. K-8 / 401 - 750,2,I,,1,Bergen,431.0
3,2180,24627086,14418833,14143602,228506,46725,4737760,3000473,2260161,1791741,3078764,583365,0,119109,0,8.9,80725,61.6,96078,140.3,162294,18.1,Hillsdale Boro,Bergen,D. K-8 / 751 +,2,GH,,1,Bergen,1127.0
3,2200,11231300,6291411,6061619,175899,53893,2297750,2114485,1452320,1243481,1157191,726875,0,16991,0,10.9,82668,64.5,91964,92.5,143639,9.9,Ho Ho Kus Boro,Bergen,C. K-8 / 401 - 750,2,J,,1,Bergen,576.0
3,2620,36921738,20829138,20127378,497462,204298,5754261,5087803,5091947,3966781,4000779,2682700,0,913532,0,10.9,69452,56.8,70550,128.4,150055,14,Leonia Boro,Bergen,F. K-12 / 1801 - 3500,3,GH,,1,Bergen,2069.0
