GROUP,CONAME,DIST,DISTNAME,SARAT0018,RK0018,SALAM0018,RKSAL0018,SARAT0118,RK0118,SALAM0118,RKSAL0118
A. K-6,Statewide,N.A.,1. State Average - Operating Type K-6,131.5,N.A.,121970,N.A.,128.9,N.A.,123458,N.A.
A. K-6,Statewide,N.A.,2. State Median - Operating Type K-6,115.3,N.A.,120000,N.A.,115.0,N.A.,123540,N.A.
A. K-6,Statewide,N.A.,5. State Average - All Operating Types,140.4,N.A.,137272,N.A.,137.8,N.A.,139433,N.A.
A. K-6,Statewide,N.A.,6. State Median - All Operating Types,123.7,N.A.,135612,N.A.,122.0,N.A.,137723,N.A.
A. K-6,Bergen,1270,Edgewater Boro,110.0,31|56,143377,50|56,113.3,30|56,143377,50|56
A. K-6,Bergen,3870,Oradell Boro,113.7,29|56,135960,43|56,110.4,32|56,140000,47|56
A. K-6,Bergen,4410,River Edge Boro,131.1,23|56,167544,55|56,119.0,27|56,175550,56|56
A. K-6,Bergen,4620,Saddle River School District,35.7,56|56,126000,40|56,28.8,56|56,126511,32|56
A. K-6,Burlington,830,Chesterfield Twp,142.8,16|56,119002,29|56,115.3,28|56,122528,29|56
A. K-6,Burlington,2960,Mansfield Twp,91.5,35|56,116645,27|56,91.8,37|56,120827,26|56
A. K-6,Burlington,3650,North Hanover Twp,141.8,18|56,136704,45|56,142.1,19|56,131755,41|56
A. K-6,Burlington,5010,Springfield Twp,81.2,41|56,61250,3|56,84.7,39|56,60000,2|56
A. K-6,Camden,2540,Laurel Springs Boro,92.5,34|56,91138,8|56,94.0,35|56,109178,19|56
A. K-6,Camden,3770,Oaklyn Boro,140.0,19|56,124691,36|56,134.5,21|56,129119,39|56
A. K-6,Camden,5560,Waterford Twp,117.3,27|56,115995,24|56,132.3,22|56,109046,18|56
A. K-6,Cape May,710,Cape May City,52.3,53|56,131325,41|56,51.7,52|56,131325,40|56
A. K-6,Cape May,2840,Lower Twp,142.5,17|56,111120,19|56,158.6,11|56,110078,20|56
A. K-6,Cape May,5610,West Cape May Boro,76.0,43|56,125000,37|56,81.0,40|56,128875,37|56
A. K-6,Essex,1400,Essex Fells Boro,122.0,25|56,138207,47|56,123.5,24|56,138207,45|56
A. K-6,Essex,1465,Fairfield Twp,144.4,15|56,148406,53|56,146.3,17|56,153303,53|56
A. K-6,Essex,3630,North Caldwell Boro,175.0,8|56,170500,56|56,135.6,20|56,170000,55|56
A. K-6,Essex,4530,Roseland Boro,155.3,12|56,144703,51|56,147.3,16|56,149334,51|56
A. K-6,Gloucester,1180,East Greenwich Twp,139.9,20|56,115556,23|56,121.5,26|56,107686,17|56
A. K-6,Gloucester,1330,Elk Twp,335.0,1|56,115440,22|56,173.5,7|56,100000,12|56
A. K-6,Gloucester,1590,Franklin Twp,164.3,9|56,121526,33|56,164.4,8|56,128054,36|56
A. K-6,Gloucester,2070,Harrison Twp,133.3,22|56,116617,26|56,151.2,15|56,123911,30|56
A. K-6,Gloucester,2990,Mantua Twp,179.1,7|56,120000,30|56,152.4,14|56,121473,27|56
