CONAME,DIST,DISTNAME,EXP11A,ADE11A,PP11A,RK11A,EXP21A,ADE21A,PP21A,RK21A,BOTY
Essex,4530,Roseland Boro,12805963,468,27362,35,13439107,470,28584,31,A. K-6|K-6
Essex,4900,South Orange-Maplewood,187492986,6923,27082,49,199980120,7024,28472,53,"N. K-12|K-12,3500+"
Essex,5370,Verona Boro,55509472,2169,25591,32,57449726,2223,25839,20,"M. K-12|K-12,1800-3500"
Essex,5630,West Essex Regional,55167965,1664,33156,29,55212288,1682,32823,21,"F. G7-12|7-12,9-12"
Essex,5680,West Orange Town,227403886,6682,34030,89,240836789,6961,34596,88,"N. K-12|K-12,3500+"
Essex,6020,Pride Academy Charter Sc,6322661,299,21118,32,6415652,299,21479,30,O. Charter
Essex,6022,Burch Charter School Of,10090734,335,30131,80,6364977,321,19841,19,O. Charter
Essex,6029,Newark Educators Communi,5833439,190,30718,82,7300151,134,54683,85,O. Charter
Essex,6053,Great Oaks Legacy Charte,47883913,1872,25576,67,57976888,1924,30130,82,O. Charter
Essex,6058,Roseville Community Cs,8971657,264,34022,85,10447311,278,37621,83,O. Charter
Essex,6094,Phillip's Academy Cs,13274377,518,25641,68,14028469,575,24397,54,O. Charter
Essex,6099,Link Community Charter S,8013112,319,25112,64,8751641,333,26321,70,O. Charter
Essex,6109,Lead Charter School,5468813,234,23351,51,6092628,210,29013,77,O. Charter
Essex,6320,Discovery Cs,2295667,100,22957,48,2576872,100,25846,66,O. Charter
Essex,6410,East Orange Community Cs,9737024,454,21457,34,9484280,446,21289,29,O. Charter
Essex,6665,Gray Cs,6890160,352,19602,22,7707608,337,22858,40,O. Charter
Essex,7210,Marion P. Thomas Cs,34988057,1274,27467,73,37074872,1282,28915,76,O. Charter
Essex,7290,New Horizons Comm. Cs,9743029,412,23648,54,10846950,383,28328,74,O. Charter
Essex,7320,North Star Academy Chart,127027746,6371,19940,24,148857832,6400,23261,44,O. Charter
Essex,7325,Team Academy Charter Sch,131325056,5577,23549,53,144780911,6041,23966,50,O. Charter
Essex,7730,Robert Treat Academy Cs,14329507,690,20773,29,15326087,695,22058,35,O. Charter
Essex,7735,Maria L. Varisco-Rogers,11567783,556,20809,31,12886081,558,23093,43,O. Charter
Gloucester,860,Clayton Boro,37173872,1465,25381,14,39491933,1499,26342,13,"L. K-12|K-12,0-1800"
Gloucester,870,Clearview Regional,49742707,2258,22035,2,50501603,2199,22971,2,"F. G7-12|7-12,9-12"
Gloucester,1100,Deptford Twp,99606109,4047,24610,16,98206481,4134,23757,7,"N. K-12|K-12,3500+"
Gloucester,1180,East Greenwich Twp,27636437,1345,20555,3,30339857,1275,23806,14,A. K-6|K-6
Gloucester,1330,Elk Twp,8475331,334,25347,24,8575596,343,25040,21,A. K-6|K-6
Gloucester,1590,Franklin Twp,29791445,1286,23166,13,31014395,1327,23366,13,A. K-6|K-6
Gloucester,1715,Gateway Regional,29954101,878,34132,31,30734794,896,34286,27,"F. G7-12|7-12,9-12"
Gloucester,1730,Glassboro,57537036,1867,30825,65,56778309,1914,29666,54,"M. K-12|K-12,1800-3500"
Gloucester,1774,Gloucester Co Spec Serv,41073960,527,77979,3,42097323,509,82673,4,P. CSSD
Gloucester,1775,Gloucester Co Vocational,36893312,1672,22066,5,38651695,1705,22668,7,Q. County Voc
Gloucester,1830,Greenwich Twp,14115997,499,28277,45,14596786,496,29404,44,"J. K-12|K-8,401-750"
Gloucester,2070,Harrison Twp,26794072,1308,20481,2,27369394,1333,20537,2,A. K-6|K-6
Gloucester,2440,Kingsway Regional,61927319,2841,21795,1,66945119,2937,22796,1,"F. G7-12|7-12,9-12"
Gloucester,2750,Logan Twp,25150614,1117,22509,8,26218647,1011,25925,28,"K. K-12|K-8,751+"
Gloucester,2990,Mantua Twp,30812047,1363,22606,6,29680817,1483,20014,1,A. K-6|K-6
Gloucester,3280,Monroe Twp,134895557,5720,23584,6,147421215,5849,25206,13,"N. K-12|K-12,3500+"
Gloucester,3490,National Park Boro,6633306,283,23423,15,7314471,293,24989,20,A. K-6|K-6
Gloucester,3580,Newfield Boro,4870102,273,17839,2,4476026,241,18573,2,K-12|Non-Operating
Gloucester,4020,Paulsboro Boro,32823736,1292,25415,15,39427142,1293,30493,34,"L. K-12|K-12,0-1800"
Gloucester,4140,Pitman Boro,30967062,1152,26875,24,34254735,1142,30002,31,"L. K-12|K-12,0-1800"
Gloucester,4880,South Harrison Twp,7536600,331,22769,9,7875429,345,22824,9,A. K-6|K-6
Gloucester,4940,Delsea Regional H.S Dist.,47334583,1659,28538,12,49048301,1638,29949,12,"F. G7-12|7-12,9-12"
Gloucester,5120,Swedesboro-Woolwich,38661190,1697,22786,10,40430855,1668,24240,17,A. K-6|K-6
Gloucester,5500,Washington Twp,187488535,7089,26447,40,191820716,7132,26894,37,"N. K-12|K-12,3500+"
Gloucester,5590,Wenonah Boro,4389696,172,25531,26,4863170,167,29047,33,A. K-6|K-6
Gloucester,5620,West Deptford Twp,69234811,2912,23777,13,74162819,2862,25912,21,"M. K-12|K-12,1800-3500"
Gloucester,5740,Westville Boro,8737239,357,24482,20,9419464,384,24544,18,A. K-6|K-6
Gloucester,5860,Woodbury City,41786539,1697,24631,11,48399234,1716,28205,23,"L. K-12|K-12,0-1800"
Gloucester,5870,Woodbury Heights Boro,5909093,256,23132,12,5635624,259,21751,3,A. K-6|K-6
Hudson,220,Bayonne City,234488573,9818,23883,10,245527746,10272,23902,9,"N. K-12|K-12,3500+"
Hudson,1200,East Newark Boro,7863337,344,22894,5,8109258,355,22862,1,"I. K-12|K-8,0-400"
Hudson,1850,Guttenberg Town,26290118,1291,20359,2,28263250,1324,21349,2,"K. K-12|K-8,751+"
Hudson,2060,Harrison Town,72269880,2323,31107,66,80751376,2460,32822,68,"M. K-12|K-12,1800-3500"
Hudson,2210,Hoboken City,92730631,3037,30533,63,94473768,3194,29576,52,"M. K-12|K-12,1800-3500"
Hudson,2295,Hudson County Vocational,94169470,2589,36379,19,96539923,2507,38516,18,Q. County Voc
Hudson,2390,Jersey City,820536537,25069,32731,86,818014519,25612,31939,76,"N. K-12|K-12,3500+"
Hudson,2410,Kearny Town,134295314,5193,25862,33,145012332,5416,26774,32,"N. K-12|K-12,3500+"
Hudson,3610,North Bergen Twp,161826019,7211,22442,3,169955812,7252,23435,4,"N. K-12|K-12,3500+"
Hudson,4730,Secaucus Town,54141080,2166,24997,27,55514480,2216,25052,14,"M. K-12|K-12,1800-3500"
Hudson,5240,Union City,378476435,12852,29450,72,400496903,12879,31097,74,"N. K-12|K-12,3500+"
Hudson,5580,Weehawken Twp,36509985,1268,28795,32,40109035,1217,32957,41,"L. K-12|K-12,0-1800"
Hudson,5670,West New York Town,214846565,7839,27409,55,250470857,8506,29447,64,"N. K-12|K-12,3500+"
Hudson,6030,The Ethical Community Ch,6276723,365,17187,9,7612961,373,20437,26,O. Charter
Hudson,6036,Hola Hoboken Dual Lang Cs,7166179,414,17297,10,7070000,423,16714,4,O. Charter
Hudson,6064,Dr Lena Edwards Academic,8192248,382,21474,36,9495150,365,26007,67,O. Charter
Hudson,6082,Beloved Community Charte,26885056,1430,18801,19,40589290,1548,26224,69,O. Charter
Hudson,6093,Jersey City Global Cs,7809635,431,18103,14,8357085,409,20433,25,O. Charter
Hudson,6103,Empowerment Academy,17897949,880,20350,27,21430098,990,21653,31,O. Charter
Hudson,6105,Hudson Arts And Science,14025204,786,17837,13,15546106,832,18696,13,O. Charter
Hudson,6420,Elysian Cs Of Hoboken,5608785,288,19495,21,5812681,288,20183,23,O. Charter
Hudson,6720,Hoboken Cs,6319190,296,21356,33,6566384,297,22079,36,O. Charter
Hudson,6910,Jersey City Comm. Cs,9310419,560,16632,8,10433331,575,18145,10,O. Charter
Hudson,6915,Jersey City Golden Door,9863418,570,17298,11,12435553,620,20044,21,O. Charter
Hudson,7115,Learning Community Cs,11054387,593,18657,17,13352335,593,22520,37,O. Charter
Hudson,7830,Soaring Heights Cs,6319266,269,23483,52,4657335,270,17275,5,O. Charter
Hudson,8060,University Academy Cs,12617458,433,29153,77,10096036,419,24096,51,O. Charter
Hunterdon,20,Alexandria Twp,13229474,463,28588,48,13243525,451,29338,43,"D. K-8|K-8,401-750"
Hunterdon,370,Bethlehem Twp,10863742,353,30763,50,11015292,361,30495,40,"C. K-8|K-8,0-400"
Hunterdon,430,Bloomsbury Boro,3421120,139,24575,14,3744432,122,30806,41,"I. K-12|K-8,0-400"
Hunterdon,670,Califon Boro,3219993,86,37399,68,3367433,88,38073,64,"C. K-8|K-8,0-400"
Hunterdon,910,Clinton Town,12176867,422,28870,45,13367298,443,30196,39,"C. K-8|K-8,0-400"
Hunterdon,920,Clinton Twp,37226015,1200,31031,64,39624035,1174,33746,70,"E. K-8|K-8,751+"
Hunterdon,1040,Delaware Twp,11980718,402,29833,51,12836739,414,30985,50,"D. K-8|K-8,401-750"
Hunterdon,1050,Delaware Valley Regional,25458876,698,36487,39,24520198,708,34624,30,"G. G9-12|7-12,9-12"
Hunterdon,1160,East Amwell Twp,11200953,367,30502,49,11842745,380,31154,44,"C. K-8|K-8,0-400"
Hunterdon,1376,South-Hunterdon,31425725,788,39861,49,32491678,831,39086,49,"L. K-12|K-12,0-1800"
Hunterdon,1510,Flemington-Raritan Reg,87140720,3066,28421,49,92195305,3170,29080,50,"E. K-8|K-8,751+"
Hunterdon,1600,Franklin Twp,9879354,264,37453,69,10976845,282,38910,66,"C. K-8|K-8,0-400"
Hunterdon,1680,Frenchtown Boro,3692852,109,34015,61,3633242,107,34102,57,"C. K-8|K-8,0-400"
Hunterdon,1970,Hampton Boro,4342110,125,34769,55,4803941,149,32228,47,B. K-8|K-6
Hunterdon,2140,High Bridge Boro,11129094,346,32172,58,11678678,357,32706,49,"C. K-8|K-8,0-400"
Hunterdon,2220,Holland Twp,14352393,526,27264,35,14767146,519,28462,36,"D. K-8|K-8,401-750"
Hunterdon,2300,Hunterdon Central Reg,81550154,2526,32287,25,82069896,2527,32477,20,"G. G9-12|7-12,9-12"
Hunterdon,2308,Hunterdon Co Vocational,9972047,517,19291,1,10623861,577,18408,1,Q. County Voc
Hunterdon,2450,Kingwood Twp,9106158,324,28112,38,9523574,332,28714,32,"C. K-8|K-8,0-400"
Hunterdon,2590,Lebanon Boro,3800634,125,30410,44,4077277,118,34453,51,B. K-8|K-6
Hunterdon,2600,Lebanon Twp,16222055,588,27581,40,18986489,584,32523,55,"D. K-8|K-8,401-750"
Hunterdon,3180,Milford Boro,2452284,83,29522,41,2503818,80,31335,42,B. K-8|K-6
Hunterdon,3660,N Hunt/Voorhees Regional,70867994,2032,34873,33,73027409,1992,36655,36,"G. G9-12|7-12,9-12"
Hunterdon,4350,Readington Twp,45535664,1439,31642,69,46593039,1417,32886,68,"E. K-8|K-8,751+"
Hunterdon,5180,Tewksbury Twp,18559511,499,37211,63,19139723,508,37696,61,"D. K-8|K-8,401-750"
Hunterdon,5270,Union Twp,13594781,423,32166,57,14742666,438,33646,57,"D. K-8|K-8,401-750"
Mercer,1245,East Windsor Regional,136442701,5033,27112,50,147125010,5112,28779,57,"N. K-12|K-12,3500+"
Mercer,1430,Ewing Twp,102176358,3442,29689,74,114027000,3528,32324,79,"N. K-12|K-12,3500+"
Mercer,1950,Hamilton Twp,275948381,11695,23596,8,291624793,11942,24420,10,"N. K-12|K-12,3500+"
Mercer,2280,Hopewell Valley Regional,114967099,3449,33335,70,119147106,3469,34350,70,"M. K-12|K-12,1800-3500"
Mercer,2580,Lawrence Twp,105960546,3684,28760,66,111595010,3732,29901,67,"N. K-12|K-12,3500+"
Mercer,3103,Mercer Co Special Service,48024685,459,104538,6,48988915,488,100377,6,P. CSSD
Mercer,3105,Mercer County Vocational,15911961,628,25342,8,17425945,925,18835,3,Q. County Voc
Mercer,4255,Princeton,126515287,3799,33306,87,123701178,3822,32363,80,"N. K-12|K-12,3500+"
Mercer,5210,Trenton City,444767766,14906,29838,77,455886584,15053,30286,71,"N. K-12|K-12,3500+"
Mercer,5510,Robbinsville Twp,71585154,3148,22742,6,74324117,3076,24166,8,"M. K-12|K-12,1800-3500"
Mercer,5715,W Windsor-Plainsboro Reg,241208694,9111,26475,44,253340930,9064,27950,46,"N. K-12|K-12,3500+"
Mercer,6017,Foundation Academy Cs,25954371,1054,24620,60,22692939,1046,21687,32,O. Charter
Mercer,6025,Paul Robeson Humanities,9605401,432,22260,42,11084448,439,25244,63,O. Charter
Mercer,6183,Trenton Stem-To-Civics Cs,15338065,557,27532,75,14335088,584,24567,56,O. Charter
Mercer,6810,International Charter Sc,2127978,88,24182,58,2679574,108,24811,58,O. Charter
Mercer,7500,Pace Cs Of Hamilton,11255415,433,25982,69,8415998,440,19132,15,O. Charter
Mercer,7540,Princeton Cs,10719477,423,25324,66,9690162,421,23017,41,O. Charter
Mercer,7895,Achievers Early College Prep Charter Sch,7868842,354,22222,41,6804059,342,19907,20,O. Charter
Mercer,8140,Village Cs,7803557,357,21883,38,8997940,358,25155,62,O. Charter
Middlesex,750,Carteret Boro,95765196,3875,24713,19,97324887,3963,24559,11,"N. K-12|K-12,3500+"
Middlesex,970,Cranbury Twp,22948652,718,31982,56,24614620,694,35448,60,"J. K-12|K-8,401-750"
Middlesex,1140,Dunellen Boro,31907018,1247,25593,20,34762340,1317,26396,14,"L. K-12|K-12,0-1800"
Middlesex,1170,East Brunswick Twp,219780124,8172,26896,47,242701818,8216,29539,65,"N. K-12|K-12,3500+"
Middlesex,1290,Edison Twp,365229537,16302,22404,2,363554441,16799,21641,1,"N. K-12|K-12,3500+"
Middlesex,2150,Highland Park Boro,47546458,1610,29541,35,49242172,1607,30636,36,"L. K-12|K-12,0-1800"
Middlesex,2370,Jamesburg Boro,20413879,943,21660,3,21825332,964,22648,3,"J. K-12|K-8,401-750"
Middlesex,3120,Metuchen Boro,57325159,2286,25079,28,62075151,2299,27003,34,"M. K-12|K-12,1800-3500"
Middlesex,3140,Middlesex Boro,51372601,2017,25475,31,54840537,2052,26720,28,"M. K-12|K-12,1800-3500"
Middlesex,3150,Middlesex Co Vocational,63702193,2184,29162,13,65321527,2153,30344,13,Q. County Voc
Middlesex,3220,Milltown Boro,24373507,1097,22217,5,27444960,1156,23736,11,"K. K-12|K-8,751+"
Middlesex,3290,Monroe Twp,172300467,6925,24880,25,181962750,6962,26135,22,"N. K-12|K-12,3500+"
Middlesex,3530,New Brunswick City,307332321,9766,31471,82,330078410,9632,34268,87,"N. K-12|K-12,3500+"
Middlesex,3620,North Brunswick Twp,163048406,5886,27701,56,172069594,5898,29174,62,"N. K-12|K-12,3500+"
Middlesex,3845,Old Bridge Twp,200277810,8048,24885,26,207370269,8082,25660,18,"N. K-12|K-12,3500+"
Middlesex,4090,Perth Amboy City,449068295,10344,43415,94,494257150,10175,48577,95,"N. K-12|K-12,3500+"
Middlesex,4130,Piscataway Twp,167704043,7108,23593,7,170369120,7356,23161,3,"N. K-12|K-12,3500+"
Middlesex,4660,Sayreville Boro,150016565,6314,23761,9,151862726,6424,23639,5,"N. K-12|K-12,3500+"
Middlesex,4830,South Amboy City,25965697,1174,22123,3,26461826,1189,22266,1,"L. K-12|K-12,0-1800"
Middlesex,4860,South Brunswick Twp,199630528,8118,24590,15,202083656,7985,25310,15,"N. K-12|K-12,3500+"
Middlesex,4910,South Plainfield Boro,88544547,3487,25392,29,96174155,3562,27002,39,"N. K-12|K-12,3500+"
Middlesex,4920,South River Boro,53376306,2429,21975,3,58000123,2489,23304,4,"M. K-12|K-12,1800-3500"
Middlesex,4970,Spotswood,38951184,1597,24396,9,39102733,1653,23656,4,"L. K-12|K-12,0-1800"
Middlesex,5850,Woodbridge Twp,341681781,13816,24731,20,373280691,13908,26839,35,"N. K-12|K-12,3500+"
Middlesex,6032,Academy For Urban Leader,12578887,415,30347,81,10496465,370,28346,75,O. Charter
Middlesex,6041,Hatikvah International Cs,10038845,570,17624,12,10606769,596,17794,9,O. Charter
Middlesex,6635,Greater Brunswick Cs,9690323,394,24576,59,9773139,396,24711,57,O. Charter
Middlesex,7896,Middlesex Charter School,4959641,309,16030,6,7062384,439,16102,3,O. Charter
Monmouth,50,Allenhurst,426326,11,38757,15,362474,14,25891,8,K-12|Non-Operating
Monmouth,100,Asbury Park City,83789416,1647,50888,50,85890757,1509,56912,50,"L. K-12|K-12,0-1800"
Monmouth,130,Atlantic Highlands Boro,7860004,260,30216,42,8138659,280,29063,34,A. K-6|K-6
Monmouth,180,Avon Boro,5621465,162,34753,64,5785705,147,39314,68,"I. K-12|K-8,0-400"
Monmouth,270,Belmar Boro,17833667,578,30877,51,18765298,563,33322,54,"I. K-12|K-8,0-400"
Monmouth,500,Bradley Beach Boro,9728596,341,28506,42,10208623,305,33479,55,"I. K-12|K-8,0-400"
Monmouth,560,Brielle Boro,18231319,730,24974,16,19022211,716,26566,19,"J. K-12|K-8,401-750"
Monmouth,945,Colts Neck Twp,34857186,1021,34135,74,36533759,1030,35478,75,"E. K-8|K-8,751+"
Monmouth,1000,Deal Boro,5360357,172,31088,53,5737377,165,34812,59,"I. K-12|K-8,0-400"
Monmouth,1260,Eatontown Boro,30452054,972,31338,67,32485175,988,32887,69,"E. K-8|K-8,751+"
Monmouth,1440,Fair Haven Boro,23127300,989,23385,14,23802897,967,24609,18,"E. K-8|K-8,751+"
Monmouth,1490,Farmingdale Boro,4426157,161,27495,33,4778762,164,29115,33,"C. K-8|K-8,0-400"
Monmouth,1640,Freehold Boro,45617734,1661,27460,45,49425744,1687,29293,51,"E. K-8|K-8,751+"
Monmouth,1650,Freehold Regional,238316519,10419,22874,3,247722428,10278,24103,3,"G. G9-12|7-12,9-12"
Monmouth,1660,Freehold Twp,100579558,3506,28685,51,107321519,3474,30890,60,"E. K-8|K-8,751+"
Monmouth,2105,Hazlet Twp,71613791,2692,26605,42,73184772,2670,27409,38,"M. K-12|K-12,1800-3500"
Monmouth,2120,Henry Hudson Regional,12562149,295,42576,46,13391097,296,45222,46,"F. G7-12|7-12,9-12"
Monmouth,2160,Highlands Boro,6112632,182,33678,53,8031389,162,49598,58,A. K-6|K-6
Monmouth,2230,Holmdel Twp,84194721,2953,28515,54,90739242,2927,31004,62,"M. K-12|K-12,1800-3500"
Monmouth,2290,Howell Twp,144266289,5453,26454,38,147106749,5545,26530,32,"E. K-8|K-8,751+"
Monmouth,2320,Interlaken,792079,45,17602,1,971712,52,18687,4,K-12|Non-Operating
Monmouth,2400,Keansburg Boro,53989513,1586,34034,44,53691757,1596,33648,42,"L. K-12|K-12,0-1800"
Monmouth,2430,Keyport Boro,27291278,938,29085,33,27915777,931,29983,30,"L. K-12|K-12,0-1800"
Monmouth,2720,Little Silver Boro,20286948,777,26113,27,20298678,731,27766,30,"D. K-8|K-8,401-750"
Monmouth,2770,Long Branch City,182496530,5430,33612,88,179620815,5474,32812,82,"N. K-12|K-12,3500+"
Monmouth,2920,Manalapan-Englishtown Reg,110269941,4701,23457,16,113487221,4739,23947,12,"E. K-8|K-8,751+"
Monmouth,2930,Manasquan Boro,44379252,1493,29729,37,44248693,1447,30591,35,"L. K-12|K-12,0-1800"
Monmouth,3030,Marlboro Twp,114531024,4563,25100,30,121387172,4619,26282,30,"E. K-8|K-8,751+"
Monmouth,3040,Matawan-Aberdeen Regional,105844864,3787,27949,58,111744586,3893,28703,56,"N. K-12|K-12,3500+"
Monmouth,3160,Middletown Twp,233890050,9161,25531,31,238662306,8965,26622,29,"N. K-12|K-12,3500+"
Monmouth,3200,Millstone Twp,44714508,1688,26491,39,47722800,1606,29723,53,"K. K-12|K-8,751+"
Monmouth,3250,Monmouth Beach Boro,7558298,253,29853,47,7937263,256,30981,42,"C. K-8|K-8,0-400"
Monmouth,3260,Monmouth Co Vocational,59702595,1984,30091,15,60654794,2024,29967,12,Q. County Voc
Monmouth,3270,Monmouth Regional,36242003,927,39105,43,37610463,893,42108,41,"G. G9-12|7-12,9-12"
Monmouth,3500,Neptune City,10760253,406,26483,26,12817301,378,33945,56,"I. K-12|K-8,0-400"
Monmouth,3510,Neptune Twp,130990145,3570,36695,74,127756168,3530,36188,72,"M. K-12|K-12,1800-3500"
Monmouth,3810,Ocean Twp,102982356,3278,31421,68,105776187,3251,32538,66,"M. K-12|K-12,1800-3500"
Monmouth,3830,Oceanport Boro,17012927,561,30336,52,18772164,555,33832,58,"D. K-8|K-8,401-750"
Monmouth,4360,Red Bank Boro,35920888,1363,26359,36,36537975,1279,28564,44,"E. K-8|K-8,751+"
Monmouth,4365,Red Bank Regional,38437402,1287,29857,16,40482981,1310,30911,14,"G. G9-12|7-12,9-12"
Monmouth,4520,Roosevelt Boro,3174141,119,26678,32,3312093,128,25947,24,H. K-12|K-6
Monmouth,4570,Rumson Boro,28428805,914,31093,65,29288182,912,32129,65,"E. K-8|K-8,751+"
Monmouth,4580,Rumson-Fair Haven Reg,29163410,941,30994,18,29143744,881,33081,25,"G. G9-12|7-12,9-12"
Monmouth,4690,Sea Girt Boro,6339741,167,38083,70,6535703,178,36821,62,"I. K-12|K-8,0-400"
Monmouth,4760,Shore Regional,24238773,611,39676,44,25036752,587,42691,43,"G. G9-12|7-12,9-12"
Monmouth,4770,Shrewsbury Boro,11379747,451,25248,21,13108913,467,28093,34,"D. K-8|K-8,401-750"
Monmouth,4840,Lake Como,3787644,145,26212,11,3818151,131,29258,12,K-12|Non-Operating
Monmouth,4980,Spring Lake Boro,8080627,208,38825,71,9179572,194,47217,74,"I. K-12|K-8,0-400"
Monmouth,4990,Spring Lake Heights Boro,12862901,470,27381,32,13205039,443,29834,37,"I. K-12|K-8,0-400"
Monmouth,5185,Tinton Falls,39823317,1362,29249,56,42503364,1386,30660,59,"E. K-8|K-8,751+"
Monmouth,5230,Union Beach,19271707,846,22778,6,20182880,865,23339,6,"J. K-12|K-8,401-750"
Monmouth,5310,Upper Freehold Regional,52531630,2109,24912,26,55545052,2078,26727,29,"M. K-12|K-12,1800-3500"
Monmouth,5420,Wall Twp,102450465,3291,31127,67,105263835,3229,32595,67,"M. K-12|K-12,1800-3500"
Monmouth,5640,West Long Branch Boro,16371238,534,30684,54,17403365,551,31563,52,"D. K-8|K-8,401-750"
Monmouth,5645,Loch Arbour,266568,6,44428,16,273804,7,39115,15,K-12|Non-Operating
Monmouth,6010,Academy Charter High Sch,4950641,167,29591,78,5294431,179,29561,79,O. Charter
Monmouth,6740,Hope Academy Cs,6117363,262,23331,50,6361900,276,23084,42,O. Charter
Monmouth,7720,The Red Bank Cs,4613244,177,26049,70,4879216,179,27197,72,O. Charter
Monmouth,7891,College Achieve Greater,10605570,426,24907,63,14022972,537,26138,68,O. Charter
Morris,450,Boonton Town,43173562,1458,29604,36,44947917,1466,30653,37,"L. K-12|K-12,0-1800"
Morris,460,Boonton Twp,17269226,630,27402,36,17313570,596,29044,38,"J. K-12|K-8,401-750"
Morris,630,Butler Boro,33687960,1142,29504,34,35954043,1202,29911,29,"L. K-12|K-12,0-1800"
Morris,785,Sch Dist Of The Chathams,99814243,3795,26303,37,101887410,3582,28443,52,"N. K-12|K-12,3500+"
Morris,820,Chester Twp,31705002,1038,30549,62,32144412,1021,31477,62,"E. K-8|K-8,751+"
Morris,1090,Denville Twp,44349238,1644,26974,42,45733378,1733,26391,31,"E. K-8|K-8,751+"
Morris,1110,Dover Town,86053849,3516,24476,19,97576959,3566,27366,37,"M. K-12|K-12,1800-3500"
Morris,1190,East Hanover Twp,28453989,931,30574,63,28899184,972,29741,54,"E. K-8|K-8,751+"
Morris,1530,Florham Park Boro,28497508,961,29646,59,30585435,967,31625,64,"E. K-8|K-8,751+"
Morris,1990,Hanover Park Regional,49520466,1381,35850,38,53007261,1238,42812,44,"G. G9-12|7-12,9-12"
Morris,2000,Hanover Twp,36842154,1275,28890,53,38545531,1246,30936,61,"E. K-8|K-8,751+"
Morris,2010,Harding Township,14013504,403,34814,65,14750145,376,39270,67,"I. K-12|K-8,0-400"
Morris,2380,Jefferson Twp,75293256,2540,29643,59,77458850,2530,30620,59,"M. K-12|K-12,1800-3500"
Morris,2460,Kinnelon Boro,54695895,1677,32620,43,56755596,1651,34383,44,"L. K-12|K-12,0-1800"
Morris,2650,Lincoln Park Boro,30075176,1259,23882,22,30475475,1253,24330,14,"K. K-12|K-8,751+"
Morris,2870,Madison Boro,65925299,2511,26251,37,67954674,2546,26696,27,"M. K-12|K-12,1800-3500"
Morris,3090,Mendham Boro,15244548,469,32502,59,16140295,492,32801,56,"D. K-8|K-8,401-750"
Morris,3100,Mendham Twp,25666202,787,32618,71,27664548,810,34169,73,"E. K-8|K-8,751+"
Morris,3240,Mine Hill Twp,12648317,497,25471,25,12952618,499,25943,23,H. K-12|K-6
Morris,3340,Montville Twp,104840843,3407,30772,64,112020313,3450,32466,65,"M. K-12|K-12,1800-3500"
Morris,3365,Morris County Vocational,31283255,1532,20424,3,31640910,1489,21246,6,Q. County Voc
Morris,3370,Morris Hills Regional,98732296,2603,37924,40,101376623,2666,38030,37,"G. G9-12|7-12,9-12"
Morris,3380,Morris Plains Boro,22549416,808,27916,42,24212641,828,29245,42,"J. K-12|K-8,401-750"
Morris,3385,Morris School District,154733147,5472,28276,60,163969307,5733,28602,55,"N. K-12|K-12,3500+"
Morris,3410,Mount Arlington Boro,14750424,505,29205,46,16746443,512,32718,50,"I. K-12|K-8,0-400"
Morris,3450,Mount Olive Twp,126161049,4608,27377,52,133566534,4780,27942,45,"N. K-12|K-12,3500+"
Morris,3460,Mountain Lakes Boro,49981516,1426,35051,47,50595945,1403,36070,46,"L. K-12|K-12,0-1800"
Morris,3520,Netcong Boro,8178510,289,28311,40,8609745,306,28158,30,"C. K-8|K-8,0-400"
Morris,3950,Parsippany-Troy Hills Twp,199603477,7081,28189,59,210091865,7074,29701,66,"N. K-12|K-12,3500+"
Morris,4000,Long Hill Twp,25295503,854,29616,58,25769611,854,30159,56,"E. K-8|K-8,751+"
Morris,4080,Pequannock Twp,52259217,2100,24888,25,56249064,2096,26842,32,"M. K-12|K-12,1800-3500"
Morris,4330,Randolph Twp,122561696,4319,28381,64,121230727,4248,28540,54,"N. K-12|K-12,3500+"
Morris,4440,Riverdale Boro,10889111,421,25858,20,10974671,422,25996,13,"I. K-12|K-8,0-400"
Morris,4480,Rockaway Boro,15326539,545,28140,44,16910691,558,30306,47,"D. K-8|K-8,401-750"
Morris,4490,Rockaway Twp,68508740,2388,28692,52,70590079,2344,30118,55,"E. K-8|K-8,751+"
Morris,4560,Roxbury Twp,102719829,3462,29673,60,103226500,3472,29734,55,"M. K-12|K-12,1800-3500"
Morris,5520,Washington Twp,60642893,1941,31243,66,57906868,1995,29022,49,"E. K-8|K-8,751+"
Morris,5660,West Morris Regional,70590671,2228,31682,21,69434153,2108,32933,23,"G. G9-12|7-12,9-12"
Morris,5770,Wharton Boro,20244373,767,26381,30,21410367,773,27716,29,"D. K-8|K-8,401-750"
Morris,8050,Unity Cs,7278867,235,31027,83,6453765,253,25509,64,O. Charter
Ocean,185,Barnegat Twp,95622986,3324,28769,67,95004746,3619,26250,25,"N. K-12|K-12,3500+"
Ocean,210,Bay Head Boro,5313631,159,33431,60,5547318,151,36737,61,"I. K-12|K-8,0-400"
Ocean,230,Beach Haven Boro,3829799,77,50046,58,3148572,72,43774,56,A. K-6|K-6
Ocean,320,Berkeley Twp,54315071,2417,22470,5,55254282,2438,22668,7,A. K-6|K-6
Ocean,530,Brick Twp,200015289,8314,24058,12,210008081,8245,25471,17,"N. K-12|K-12,3500+"
Ocean,770,Central Regional,55572091,2374,23411,4,60861451,2269,26819,4,"F. G7-12|7-12,9-12"
Ocean,1150,Eagleswood Twp,4525736,141,32127,51,4976396,141,35203,54,A. K-6|K-6
