CONAME,DIST,DISTNAME,EXP11A,ADE11A,PP11A,RK11A,EXP21A,ADE21A,PP21A,RK21A,BOTY
Bergen,2050,Harrington Park Boro,17830405,648,27506,39,19291560,644,29976,46,"D. K-8|K-8,401-750"
Bergen,2080,Hasbrouck Heights Boro,44520358,1735,25667,21,49147633,1749,28098,21,"L. K-12|K-12,0-1800"
Bergen,2090,Haworth Boro,14269993,427,33444,61,13675194,438,31231,51,"D. K-8|K-8,401-750"
Bergen,2180,Hillsdale Boro,31353453,1096,28599,50,33642556,1115,30171,57,"E. K-8|K-8,751+"
Bergen,2200,Ho Ho Kus Boro,20274254,859,23598,9,21418135,818,26191,18,"J. K-12|K-8,401-750"
Bergen,2620,Leonia Boro,51889466,2140,24245,17,52927172,2127,24882,11,"M. K-12|K-12,1800-3500"
Bergen,2710,Little Ferry Boro,29646170,1110,26700,40,30604527,1113,27496,37,"K. K-12|K-8,751+"
Bergen,2740,Lodi Borough,83275099,3150,26435,40,85512305,3189,26812,30,"M. K-12|K-12,1800-3500"
Bergen,2860,Lyndhurst Twp,63689362,2449,26007,36,65289263,2611,25004,13,"M. K-12|K-12,1800-3500"
Bergen,2900,Mahwah Twp,91277894,2781,32823,69,100707562,2754,36568,73,"M. K-12|K-12,1800-3500"
Bergen,3060,Maywood Boro,27518362,1213,22694,10,29574695,1294,22849,7,"K. K-12|K-8,751+"
Bergen,3170,Midland Park Boro,30819554,882,34935,46,32872018,882,37287,48,"L. K-12|K-12,0-1800"
Bergen,3330,Montvale Boro,23162496,959,24157,25,26270184,964,27249,35,"E. K-8|K-8,751+"
Bergen,3350,Moonachie Boro,12751948,474,26899,29,12840185,486,26409,17,"I. K-12|K-8,0-400"
Bergen,3550,New Milford Boro,51807104,2049,25281,29,56423892,2037,27704,41,"M. K-12|K-12,1800-3500"
Bergen,3600,North Arlington Boro,42445010,1958,21683,1,46892598,2054,22829,2,"M. K-12|K-12,1800-3500"
Bergen,3700,Northern Highlands Reg,42386893,1336,31726,23,43646189,1316,33155,26,"G. G9-12|7-12,9-12"
Bergen,3710,Northern Valley Regional,82312033,2148,38326,41,87949104,2065,42591,42,"G. G9-12|7-12,9-12"
Bergen,3730,Northvale Boro,14138801,553,25586,25,14923850,534,27954,33,"D. K-8|K-8,401-750"
Bergen,3740,Norwood Boro,15301652,639,23960,12,16538459,637,25959,17,"D. K-8|K-8,401-750"
Bergen,3760,Oakland Boro,41088531,1302,31568,68,45069334,1334,33785,71,"E. K-8|K-8,751+"
Bergen,3850,Old Tappan Boro,18795150,729,25784,34,21156136,752,28138,40,"E. K-8|K-8,751+"
Bergen,3870,Oradell Boro,17185811,801,21465,4,18262593,809,22571,6,A. K-6|K-6
Bergen,3910,Palisades Park,36803072,1830,20109,1,44826680,1815,24692,7,"L. K-12|K-12,0-1800"
Bergen,3930,Paramus Boro,111947284,3695,30295,81,121352281,3650,33244,85,"N. K-12|K-12,3500+"
Bergen,3940,Park Ridge Boro,42152188,1232,34217,45,43784272,1200,36480,47,"L. K-12|K-12,0-1800"
