CO,DIST,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind15,distname,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,ENROLL,County,enrol1
80,6060,5714667,2205597,2108867,92474,4256,456060,446782,2323778,566351,729232,56235,0,0,0,Atlantic Community Charter School,Atlantic,K. Charter,C,,,1,317.5,Atlantic,
80,6104,7548333,3984258,3204154,85860,694244,421519,381850,1813265,831288,1229621,254959,99670,0,0,Principle Academy Charter School,Atlantic,K. Charter,C,,,1,466.7,Atlantic,
80,7410,6497957,2893307,2767187,125935,185,870131,802862,1586959,977676,906146,16333,0,241415,26563,Charter~tech High School,Atlantic,K. Charter,C,,,1,361.1,Atlantic,
80,6013,15818700,8563061,7729953,543537,289571,0,0,5124734,2660752,2130905,0,0,0,234572,Bergen Arts And Sciences Charter School,Bergen,K. Charter,C,,,1,1200.1,Bergen,
80,6430,4672125,2951832,2777006,75033,99793,0,0,1199668,1033957,520625,0,0,0,30089,Englewood On The Palisades Charter Schoo,Bergen,K. Charter,C,,,1,310.9,Bergen,
80,7890,5914208,3968293,3804958,111951,51384,0,0,128790,0,1817125,606946,0,0,60884,Teaneck Community CS,Bergen,K. Charter,C,,,1,349.1,Bergen,
80,6026,1624718,931999,884566,46657,776,0,0,632417,533062,60302,0,0,0,0,Riverbank Charter School Of Excelle,Burlington,K. Charter,C,,,1,154.2,Burlington,
80,6076,5575757,2981373,2676167,162726,142480,0,0,2289578,1524870,304806,0,0,0,0,Benjamin Banneker Prep CS,Burlington,K. Charter,C,,,1,352.9,Burlington,
80,1799,27989447,11295065,9379390,1113012,802663,0,0,14479180,7420134,2215202,0,0,0,341338,Kipp Cooper Norcross,Camden,K. Charter,C,,,1,1890,Camden,
80,1801,19679728,5715172,4967465,342676,405031,0,0,9973561,4696143,3990995,0,0,0,217138,Camden Prep,Camden,K. Charter,C,,,1,1105.9,Camden,
80,1802,54758573,29524817,21909367,1751276,5864174,2924073,1753497,12037066,4523745,10022245,155985,0,250372,0,Mastery Schools Of Camden,Camden,K. Charter,C,,,1,2812.7,Camden,
