GROUP,DISTNAME,csg1PP1,csg1RK1,csg1PP2,csg1RK2,csg1PP3,csg1RK3,csg2PP1,csg2RK1,csg2pct1,csg2PP2,csg2RK2,csg2pct2,csg2PP3,csg2RK3,csg2pct3,csg3PP1,csg3RK1,csg3pct1,csg3sba,csg3PP2,csg3RK2,csg3pct2,csg3sbb,csg3PP3,csg3RK3,csg3pct3,csg3sbc,csg4PP1,csg4RK1,csg4pct1,csg4PP2,csg4RK2,csg4pct2,csg4PP3,csg4RK3,csg4pct3,csg5PP1,csg5RK1,csg5pct1,csg5PP2,csg5RK2,csg5pct2,csg5PP3,csg5RK3,csg5pct3,csg6PP1,csg6RK1,csg6pct1,csg6PP2,csg6RK2,csg6pct2,csg6PP3,csg6RK3,csg6pct3,csg7PP1,csg7RK1,csg7pct1,csg7sba,csg7PP2,csg7RK2,csg7pct2,csg7sbb,csg7PP3,csg7RK3,csg7pct3,csg7sbc,csg8PP1,csg8RK1,csg8pct1,csg8PP2,csg8RK2,csg8pct2,csg8PP3,csg8RK3,csg8pct3,csg9PP1,csg9RK1,csg9pct1,csg9sba,csg9PP2,csg9RK2,csg9pct2,csg9sbb,csg9PP3,csg9RK3,csg9pct3,csg9sbc,csg10PP1,csg10RK1,csg10pct1,csg10PP2,csg10RK2,csg10pct2,csg10PP3,csg10RK3,csg10pct3,csg11PP1,csg11RK1,csg11pct1,csg11sba,csg11PP2,csg11RK2,csg11pct2,csg11sbb,csg11PP3,csg11RK3,csg11pct3,csg11sbc,csg12PP1,csg12RK1,csg12pct1,csg12PP2,csg12RK2,csg12pct2,csg12PP3,csg12RK3,csg12pct3,csg13PP1,csg13RK1,csg13pct1,csg13PP2,csg13RK2,csg13pct2,csg13PP3,csg13RK3,csg13pct3,csg14PP1,csg14PP2,csg14PP3,csg15PP1,csg15PP2,csg15PP3,csg16STRAT00,csg16RK00,csg16SALT00,csg16RKSAL00,csg16STRAT01,csg16RK01,csg16SALT01,csg16RKSAL01,csg17SSRAT00,csg17RK00,csg17SALS00,csg17RKSAL00,csg17SSRAT01,csg17RK01,csg17SALS01,csg17RKSAL01,csg18SARAT00,csg18RK00,csg18SALAM00,csg18RKSAL00,csg18SARAT01,csg18RK01,csg18SALAM01,csg18RKSAL01,csg19FARAT00,csg19RK00,csg19FARAT01,csg19RK01,csg8aPP1,csg8aRK1,csg8apct1,csg8aPP2,csg8aRK2,csg8apct2,csg8aPP3,csg8aRK3,csg8apct3,csg1aEXP1,csg1aADE1,csg1aPP1,csg1aRK1,csg1aEXP2,csg1aADE2,csg1aPP2,csg1aRK2
A. K-6,1. State average - Operating Type K-6,16730,N.A.,17029,N.A.,18966,N.A.,10096,N.A.,0.603,10227,N.A.,0.601,11225,N.A.,0.592,9504,N.A.,0.568,0.941,9628,N.A.,0.565,0.941,10479,N.A.,0.553,0.934,379,N.A.,0.023,344,N.A.,0.02,421,N.A.,0.022,213,N.A.,0.013,255,N.A.,0.015,325,N.A.,0.017,2959,N.A.,0.177,3094,N.A.,0.182,3631,N.A.,0.191,2364,N.A.,0.141,0.799,2472,N.A.,0.145,0.799,2832,N.A.,0.149,0.78,1677,N.A.,0.1,1707,N.A.,0.1,1815,N.A.,0.096,1311,N.A.,0.078,0.782,1344,N.A.,0.079,0.787,1413,N.A.,0.075,0.779,1884,N.A.,0.113,1880,N.A.,0.11,2136,N.A.,0.113,893,N.A.,0.053,0.474,898,N.A.,0.053,0.478,1034,N.A.,0.055,0.484,25,N.A.,0.001,110,N.A.,0.006,71,N.A.,0.004,38,N.A.,0.002,40,N.A.,0.002,54,N.A.,0.003,0.314,0.327,0.366,202,184,210,10.4,,69951,,10.5,,72286,,66,,72144,,64.3,,73494,,131.5,,121970,,128.9,,123458,,14.6,,14.3,,50,N.A.,0.003,47,N.A.,0.003,47,N.A.,0.002,,,25418,,,,25954,
A. K-6,2. State median - Operating Type K-6,17594,N.A.,18459,N.A.,20303,N.A.,10553,N.A.,0.6,10731,N.A.,0.581,11933,N.A.,0.588,9870,N.A.,0.561,0.935,10106,N.A.,0.547,0.942,11206,N.A.,0.552,0.939,365,N.A.,0.021,340,N.A.,0.018,379,N.A.,0.019,233,N.A.,0.013,264,N.A.,0.014,393,N.A.,0.019,3057,N.A.,0.174,3379,N.A.,0.183,3746,N.A.,0.185,2391,N.A.,0.136,0.782,2501,N.A.,0.135,0.74,3072,N.A.,0.151,0.82,1803,N.A.,0.102,1848,N.A.,0.1,1968,N.A.,0.097,1373,N.A.,0.078,0.762,1364,N.A.,0.074,0.738,1373,N.A.,0.068,0.698,2021,N.A.,0.115,2065,N.A.,0.112,2238,N.A.,0.11,881,N.A.,0.05,0.436,884,N.A.,0.048,0.428,1006,N.A.,0.05,0.45,31,N.A.,0.002,132,N.A.,0.007,49,N.A.,0.002,33,N.A.,0.002,33,N.A.,0.002,58,N.A.,0.003,0.289,0.311,0.349,182,126,85,9.8,,67537,,9.9,,69343,,62.1,,72148,,64.7,,73603,,115.3,,120000,,115,,123540,,13.1,,13.1,,48,N.A.,0.003,45,N.A.,0.002,50,N.A.,0.002,,,27347,,,,28862,
B. K-8 / 0 - 400,1. State average - Operating Type K-8,17914,N.A.,18570,N.A.,20367,N.A.,10885,N.A.,0.608,11210,N.A.,0.604,12210,N.A.,0.599,10243,N.A.,0.572,0.941,10552,N.A.,0.568,0.941,11428,N.A.,0.561,0.936,338,N.A.,0.019,340,N.A.,0.018,411,N.A.,0.02,304,N.A.,0.017,318,N.A.,0.017,371,N.A.,0.018,2968,N.A.,0.166,3144,N.A.,0.169,3554,N.A.,0.174,2468,N.A.,0.138,0.832,2594,N.A.,0.14,0.825,2897,N.A.,0.142,0.815,1871,N.A.,0.104,1916,N.A.,0.103,2006,N.A.,0.098,1524,N.A.,0.085,0.815,1551,N.A.,0.084,0.809,1603,N.A.,0.079,0.799,1982,N.A.,0.111,2071,N.A.,0.112,2339,N.A.,0.115,890,N.A.,0.05,0.449,901,N.A.,0.049,0.435,1002,N.A.,0.049,0.428,36,N.A.,0.002,41,N.A.,0.002,42,N.A.,0.002,140,N.A.,0.008,142,N.A.,0.008,170,N.A.,0.008,0.298,0.308,0.345,141,154,160,10.3,,75726,,10.2,,76910,,59.2,,77549,,60.4,,78718,,132,,132041,,129.5,,133250,,15.1,,14.9,,46,N.A.,0.003,45,N.A.,0.002,49,N.A.,0.002,,,27074,,,,28175,
B. K-8 / 0 - 400,2. State median - Operating Type K-8,18112,N.A.,18851,N.A.,20554,N.A.,11100,N.A.,0.613,11399,N.A.,0.605,12212,N.A.,0.594,10361,N.A.,0.572,0.933,10561,N.A.,0.56,0.926,11345,N.A.,0.552,0.929,350,N.A.,0.019,360,N.A.,0.019,397,N.A.,0.019,233,N.A.,0.013,243,N.A.,0.013,286,N.A.,0.014,3045,N.A.,0.168,3178,N.A.,0.169,3804,N.A.,0.185,2438,N.A.,0.135,0.801,2560,N.A.,0.136,0.806,2914,N.A.,0.142,0.766,1961,N.A.,0.108,2020,N.A.,0.107,2114,N.A.,0.103,1531,N.A.,0.085,0.781,1552,N.A.,0.082,0.768,1636,N.A.,0.08,0.774,2001,N.A.,0.11,2088,N.A.,0.111,2389,N.A.,0.116,906,N.A.,0.05,0.453,924,N.A.,0.049,0.443,1037,N.A.,0.05,0.434,36,N.A.,0.002,42,N.A.,0.002,41,N.A.,0.002,143,N.A.,0.008,150,N.A.,0.008,178,N.A.,0.009,0.292,0.299,0.337,105,113,127,9.7,,73310,,9.8,,74275,,62.8,,75704,,61.8,,76878,,116.3,,131445,,117.4,,131992,,14.1,,14.2,,41,N.A.,0.002,44,N.A.,0.002,51,N.A.,0.002,,,27770,,,,28741,
C. K-8 / 401 - 750,1. State average - Operating Type K-8,17914,N.A.,18570,N.A.,20367,N.A.,10885,N.A.,0.608,11210,N.A.,0.604,12210,N.A.,0.599,10243,N.A.,0.572,0.941,10552,N.A.,0.568,0.941,11428,N.A.,0.561,0.936,338,N.A.,0.019,340,N.A.,0.018,411,N.A.,0.02,304,N.A.,0.017,318,N.A.,0.017,371,N.A.,0.018,2968,N.A.,0.166,3144,N.A.,0.169,3554,N.A.,0.174,2468,N.A.,0.138,0.832,2594,N.A.,0.14,0.825,2897,N.A.,0.142,0.815,1871,N.A.,0.104,1916,N.A.,0.103,2006,N.A.,0.098,1524,N.A.,0.085,0.815,1551,N.A.,0.084,0.809,1603,N.A.,0.079,0.799,1982,N.A.,0.111,2071,N.A.,0.112,2339,N.A.,0.115,890,N.A.,0.05,0.449,901,N.A.,0.049,0.435,1002,N.A.,0.049,0.428,36,N.A.,0.002,41,N.A.,0.002,42,N.A.,0.002,140,N.A.,0.008,142,N.A.,0.008,170,N.A.,0.008,0.298,0.308,0.345,141,154,160,10.3,,75726,,10.2,,76910,,59.2,,77549,,60.4,,78718,,132,,132041,,129.5,,133250,,15.1,,14.9,,46,N.A.,0.003,45,N.A.,0.002,49,N.A.,0.002,,,27074,,,,28175,
C. K-8 / 401 - 750,2. State median - Operating Type K-8,18112,N.A.,18851,N.A.,20554,N.A.,11100,N.A.,0.613,11399,N.A.,0.605,12212,N.A.,0.594,10361,N.A.,0.572,0.933,10561,N.A.,0.56,0.926,11345,N.A.,0.552,0.929,350,N.A.,0.019,360,N.A.,0.019,397,N.A.,0.019,233,N.A.,0.013,243,N.A.,0.013,286,N.A.,0.014,3045,N.A.,0.168,3178,N.A.,0.169,3804,N.A.,0.185,2438,N.A.,0.135,0.801,2560,N.A.,0.136,0.806,2914,N.A.,0.142,0.766,1961,N.A.,0.108,2020,N.A.,0.107,2114,N.A.,0.103,1531,N.A.,0.085,0.781,1552,N.A.,0.082,0.768,1636,N.A.,0.08,0.774,2001,N.A.,0.11,2088,N.A.,0.111,2389,N.A.,0.116,906,N.A.,0.05,0.453,924,N.A.,0.049,0.443,1037,N.A.,0.05,0.434,36,N.A.,0.002,42,N.A.,0.002,41,N.A.,0.002,143,N.A.,0.008,150,N.A.,0.008,178,N.A.,0.009,0.292,0.299,0.337,105,113,127,9.7,,73310,,9.8,,74275,,62.8,,75704,,61.8,,76878,,116.3,,131445,,117.4,,131992,,14.1,,14.2,,41,N.A.,0.002,44,N.A.,0.002,51,N.A.,0.002,,,27770,,,,28741,
D. K-8 / 751 +,1. State average - Operating Type K-8,17914,N.A.,18570,N.A.,20367,N.A.,10885,N.A.,0.608,11210,N.A.,0.604,12210,N.A.,0.599,10243,N.A.,0.572,0.941,10552,N.A.,0.568,0.941,11428,N.A.,0.561,0.936,338,N.A.,0.019,340,N.A.,0.018,411,N.A.,0.02,304,N.A.,0.017,318,N.A.,0.017,371,N.A.,0.018,2968,N.A.,0.166,3144,N.A.,0.169,3554,N.A.,0.174,2468,N.A.,0.138,0.832,2594,N.A.,0.14,0.825,2897,N.A.,0.142,0.815,1871,N.A.,0.104,1916,N.A.,0.103,2006,N.A.,0.098,1524,N.A.,0.085,0.815,1551,N.A.,0.084,0.809,1603,N.A.,0.079,0.799,1982,N.A.,0.111,2071,N.A.,0.112,2339,N.A.,0.115,890,N.A.,0.05,0.449,901,N.A.,0.049,0.435,1002,N.A.,0.049,0.428,36,N.A.,0.002,41,N.A.,0.002,42,N.A.,0.002,140,N.A.,0.008,142,N.A.,0.008,170,N.A.,0.008,0.298,0.308,0.345,141,154,160,10.3,,75726,,10.2,,76910,,59.2,,77549,,60.4,,78718,,132,,132041,,129.5,,133250,,15.1,,14.9,,46,N.A.,0.003,45,N.A.,0.002,49,N.A.,0.002,,,27074,,,,28175,
D. K-8 / 751 +,2. State median - Operating Type K-8,18112,N.A.,18851,N.A.,20554,N.A.,11100,N.A.,0.613,11399,N.A.,0.605,12212,N.A.,0.594,10361,N.A.,0.572,0.933,10561,N.A.,0.56,0.926,11345,N.A.,0.552,0.929,350,N.A.,0.019,360,N.A.,0.019,397,N.A.,0.019,233,N.A.,0.013,243,N.A.,0.013,286,N.A.,0.014,3045,N.A.,0.168,3178,N.A.,0.169,3804,N.A.,0.185,2438,N.A.,0.135,0.801,2560,N.A.,0.136,0.806,2914,N.A.,0.142,0.766,1961,N.A.,0.108,2020,N.A.,0.107,2114,N.A.,0.103,1531,N.A.,0.085,0.781,1552,N.A.,0.082,0.768,1636,N.A.,0.08,0.774,2001,N.A.,0.11,2088,N.A.,0.111,2389,N.A.,0.116,906,N.A.,0.05,0.453,924,N.A.,0.049,0.443,1037,N.A.,0.05,0.434,36,N.A.,0.002,42,N.A.,0.002,41,N.A.,0.002,143,N.A.,0.008,150,N.A.,0.008,178,N.A.,0.009,0.292,0.299,0.337,105,113,127,9.7,,73310,,9.8,,74275,,62.8,,75704,,61.8,,76878,,116.3,,131445,,117.4,,131992,,14.1,,14.2,,41,N.A.,0.002,44,N.A.,0.002,51,N.A.,0.002,,,27770,,,,28741,
E. K-12 / 0 - 1800,1. State average - Operating Type K-12,17609,N.A.,18326,N.A.,20031,N.A.,10336,N.A.,0.587,10687,N.A.,0.583,11635,N.A.,0.581,9742,N.A.,0.553,0.943,10025,N.A.,0.547,0.938,10768,N.A.,0.538,0.925,295,N.A.,0.017,309,N.A.,0.017,459,N.A.,0.023,298,N.A.,0.017,353,N.A.,0.019,408,N.A.,0.02,2917,N.A.,0.166,3065,N.A.,0.167,3467,N.A.,0.173,2486,N.A.,0.141,0.852,2591,N.A.,0.141,0.845,2901,N.A.,0.145,0.837,1793,N.A.,0.102,1845,N.A.,0.101,1941,N.A.,0.097,1464,N.A.,0.083,0.817,1520,N.A.,0.083,0.824,1581,N.A.,0.079,0.815,2132,N.A.,0.121,2269,N.A.,0.124,2498,N.A.,0.125,1076,N.A.,0.061,0.505,1129,N.A.,0.062,0.498,1248,N.A.,0.062,0.5,51,N.A.,0.003,31,N.A.,0.002,26,N.A.,0.001,321,N.A.,0.018,342,N.A.,0.019,371,N.A.,0.019,0.304,0.308,0.334,106,123,108,11.7,,81103,,11.7,,83208,,68,,85100,,66.6,,87225,,147.5,,139816,,144.8,,141962,,14.8,,14.5,,44,N.A.,0.002,44,N.A.,0.002,48,N.A.,0.002,,,27631,,,,28927,
E. K-12 / 0 - 1800,2. State median - Operating Type K-12,17159,N.A.,17875,N.A.,19635,N.A.,10044,N.A.,0.585,10451,N.A.,0.585,11390,N.A.,0.58,9427,N.A.,0.549,0.939,9775,N.A.,0.547,0.935,10529,N.A.,0.536,0.924,282,N.A.,0.016,294,N.A.,0.016,351,N.A.,0.018,233,N.A.,0.014,246,N.A.,0.014,278,N.A.,0.014,2760,N.A.,0.161,2963,N.A.,0.166,3339,N.A.,0.17,2349,N.A.,0.137,0.851,2433,N.A.,0.136,0.821,2682,N.A.,0.137,0.803,1811,N.A.,0.106,1872,N.A.,0.105,1971,N.A.,0.1,1505,N.A.,0.088,0.831,1551,N.A.,0.087,0.829,1631,N.A.,0.083,0.827,1970,N.A.,0.115,2058,N.A.,0.115,2254,N.A.,0.115,981,N.A.,0.057,0.498,1002,N.A.,0.056,0.487,1099,N.A.,0.056,0.488,16,N.A.,0.001,15,N.A.,0.001,18,N.A.,0.001,398,N.A.,0.023,416,N.A.,0.023,450,N.A.,0.023,0.282,0.292,0.323,87,98,72,11.4,,79293,,11.4,,82000,,66,,84732,,64.6,,86567,,140.8,,137932,,140.6,,140342,,14.8,,14.3,,37,N.A.,0.002,37,N.A.,0.002,43,N.A.,0.002,,,26382,,,,27543,
