CONAME,DISTNAME,DIST,GENERAL_CURR_EXP,L76400,GRANTS_ENTITLE,L92180,DEBT_SERVICE,SDA_DEBT_SERVICE,EXP23,TOTENR2A,PP23
Bergen,Englewood City,1370,27243.644011,1334.5949877,3535.8482226,832.89566713,614.04121444,436.18332929,100498578.27,2956.0833333,33997
Bergen,Englewood Cliffs Boro,1380,38980.952419,1352.8740203,1014.2796051,0,0,127.20901198,17929121.44,432.28415301,41475
Bergen,Fair Lawn Public Schools,1450,23183.80056,1242.8479266,622.37448799,760.73433055,646.38195861,179.0719843,148080084.64,5559.5611111,26635
Bergen,Fairview Boro,1470,16281.171535,203.97079277,4862.4283727,275.73991655,0,9.2486694483,46661430.38,2157,21633
Bergen,Fort Lee Boro,1550,22599.404774,1756.9738102,995.28342702,529.40503411,1038.7007169,210.55456975,110019636.74,4055.2277778,27130
Bergen,Franklin Lakes Boro,1580,34178.66446,67.635722004,1059.5023868,26.091452489,523.19139914,280.04534873,44030054.59,1218.4833333,36135
Bergen,Garfield City,1700,24555.157005,593.35211104,3239.0999738,795.77189746,0,1898.8626014,148361592.42,4773.1944444,31082
Bergen,Glen Rock Boro,1760,24191.176077,1984.0289027,749.65399315,251.99142939,1634.5662681,59.294593347,75663313.12,2620.7637363,28871
Bergen,Hackensack City,1860,27742.660506,1081.3763956,3194.5646795,709.65141196,163.70154633,69.382171738,175607564.24,5327.6833333,32961
Bergen,Harrington Park Boro,2050,27012.864135,389.33159535,1725.0651313,17.008192122,482.52704091,348.95452638,19291560.44,643.57222222,29976
Bergen,Hasbrouck Heights Boro,2080,24376.371623,1430.8035039,1089.163337,414.83423642,600.00419253,186.92176683,49147633.17,1749.1444444,28098
Bergen,Haworth Boro,2090,27620.708477,1919.1991575,1039.1159268,0,483.08613624,168.90450284,13675193.59,437.87222222,31231
Bergen,Hillsdale Boro,2180,27551.038967,282.87520739,1330.5125331,415.38675396,401.8653872,189.66373705,33642555.55,1115.05,30171
Bergen,Ho Ho Kus Boro,2200,24043.076078,65.682336668,845.31890624,7.321271776,866.85472004,363.15969629,21418135.33,817.75409836,26191
Bergen,Leonia Boro,2620,21397.630956,654.98844589,1030.1805985,405.62068529,1186.9346714,206.77953494,52927171.93,2127.1153846,24882
Bergen,Little Ferry Boro,2710,24329.889793,1188.1644123,1615.597704,355.19341153,0,7.1113341652,30604527.31,1113.0555556,27496
Bergen,Lodi Borough,2740,22748.967705,2088.7873119,1337.3907818,547.79692726,0,89.025718018,85512304.69,3189.3333333,26812
Bergen,Lyndhurst Twp,2860,22317.768832,224.1235793,1362.5417966,566.30947163,441.81981813,91.090484113,65289263.46,2611.1888889,25004
Bergen,Mahwah Twp,2900,31834.107987,2086.8321159,1427.0371899,496.21630633,406.64278621,317.27260147,100707561.98,2753.9723757,36568
Bergen,Maywood Boro,3060,20242.704833,249.50901997,1087.7915556,293.21512728,599.52872098,376.32194538,29574695.31,1294.35,22849
Bergen,Midland Park Boro,3170,32721.634122,504.51999442,1878.8669239,574.72316489,1066.5854679,540.51162215,32872018.16,881.59836066,37287
Bergen,Montvale Boro,3330,24276.809242,29.450787684,1688.5467481,8.4525928515,938.73983805,306.8859621,26270183.5,964.08287293,27249
Bergen,Moonachie Boro,3350,22509.166905,239.81009404,3183.8159443,453.08614326,0,23.084516151,12840184.82,486.20555556,26409
Bergen,New Milford Boro,3550,25004.312613,650.0661442,1344.7800418,475.28035071,0,229.47514988,56423892.49,2036.6758242,27704
Bergen,North Arlington Boro,3600,19130.207956,1165.9858658,1900.8603861,423.14539096,160.62281435,47.772929159,46892598.17,2054.1166667,22829
Bergen,Northern Highlands Regional High Sc,3700,28286.929703,1524.2904867,1258.4717093,917.44186993,939.79758347,227.73017916,43646188.57,1316.441989,33155
Bergen,Northern Valley Regional,3710,37807.08043,1110.8213953,1915.8509227,711.22361407,710.05071933,335.82425915,87949104.18,2064.9764307,42591
Bergen,Northvale Boro,3730,26284.053833,77.045626708,1210.6482221,22.656842454,0,359.24255588,14923849.86,533.87845304,27954
Bergen,Norwood Boro,3740,24137.243761,189.9105321,828.08978182,13.823575577,607.91084602,181.9902684,16538459,637.1,25959
Bergen,Oakland Boro,3760,30114.034258,2369.0740918,672.97021085,494.90198691,79.711062339,54.275703499,45069334.09,1334.0055556,33785
Bergen,Old Tappan Boro,3850,23790.287097,2753.2329672,1580.184918,0,0,14.594208376,21156135.84,751.86263736,28138
Bergen,Oradell Boro,3870,19891.402755,1042.8844701,700.74209363,13.543071367,578.52817182,343.77042474,18262593.29,809.12222222,22571
Bergen,Palisades Park,3910,18866.355218,554.17811445,4630.5632773,573.49947515,0,67.855901593,44826679.61,1815.4000921,24692
Bergen,Paramus Boro,3930,28855.488808,1911.1047186,1257.6426778,444.52403201,380.13936551,394.62735367,121352281,3650.4033149,33244
Bergen,Park Ridge Boro,3940,32689.396914,1740.241623,950.68168247,181.27560302,831.95811867,86.752553011,43784271.86,1200.2166667,36480
Bergen,Pascack Valley Regional,3960,38388.617141,2861.0852571,1465.7312556,573.15653323,1143.5438245,676.50167273,80126394.8,1776.2983425,45109
Bergen,Ramapo-Indian Hill Reg,4300,33798.616187,3407.2327588,836.59474113,808.38134491,781.33334068,1039.8005323,82014553.22,2016.4888889,40672
Bergen,Ramsey Boro,4310,31542.230882,1953.6146409,1293.2260599,316.26379954,1609.1954736,253.15302024,93051519.58,2517.1043956,36968
Bergen,Ridgefield Boro,4370,28711.351199,146.4742061,1493.4912765,560.9137693,432.67415589,66.241653069,50050520.45,1593.4,31411
Bergen,Ridgefield Park Twp,4380,25638.298073,1070.0334665,1155.7101643,657.80618767,0,4.2081338648,59410265.14,2082.666636,28526
Bergen,Ridgewood Village,4390,24343.131504,184.08914961,739.91161156,544.50198899,559.98959651,170.32392896,147686169.8,5564.2551565,26542
Bergen,River Dell Regional,4405,27453.340566,801.8953187,1027.323434,367.01917498,814.14519424,364.21528711,49883886.92,1618.1388889,30828
Bergen,River Edge Boro,4410,21294.983325,174.85485277,1110.0838481,53.669325804,1184.9016561,112.22445238,28064881.85,1172.7555556,23931
Bergen,River Vale Twp,4430,28403.996181,233.31432756,1049.4353144,17.888626037,2176.2498109,543.33172216,33394613.65,1029.9281768,32424
Bergen,Rochelle Park Twp,4470,25658.674866,1136.2530877,912.54374228,514.17146974,719.55074105,195.74334603,18872965.49,647.73333333,29137
Bergen,Rockleigh,4500,27094.043478,0,0,0,0,0,623163,23,27094
Bergen,Rutherford Boro,4600,23953.476731,522.89346533,987.77494274,52.011862161,1446.9882383,295.50430668,68322373.02,2506.4474638,27259
Bergen,Saddle Brook Twp,4610,24742.36215,255.84511288,777.70655107,495.79166249,1067.6817079,299.14371478,50303195.13,1820.038674,27639
Bergen,Saddle River School District,4620,34644.336661,926.67339147,2018.4060803,0,1682.2907779,121.33811075,12225117.7,310.33695652,39393
Bergen,South Hackensack Twp,4870,32231.49612,1322.9093291,1126.554897,237.85821409,1702.0707947,508.99573136,12325103.92,331.94565217,37130
Bergen,Teaneck Twp,5150,31240.551374,386.15818721,3174.58755,1553.9015305,180.03474173,220.20525533,141766952.01,3857.0333333,36755
Bergen,Tenafly Boro,5160,26291.326758,911.92383484,1038.5548654,258.44112319,777.33393871,145.8960574,104767682.66,3560.6833333,29423
Bergen,Upper Saddle River Boro,5330,27614.81072,140.90892009,644.00197785,190.06803797,258.76335047,9.2005508307,32423289.33,1123.5555556,28858
Bergen,Waldwick Boro,5410,25029.864256,2185.4900202,719.56095286,254.80980773,934.9374063,188.03803355,46624265.99,1590.5824176,29313
Bergen,Wallington Boro,5430,20926.294349,584.74267377,1530.7031282,187.7876218,371.38978277,268.26800561,29381243.54,1230.9277778,23869
Bergen,Westwood Regional,5755,25285.911087,939.89774018,1248.7686964,473.87693263,633.35968161,90.369158116,80723173.78,2815.3828729,28672
Bergen,Wood-Ridge Boro,5830,23072.260046,160.54180776,989.9099272,544.85735046,853.38835497,534.33050548,31796547.69,1215.6833333,26155
Bergen,Woodcliff Lake Boro,5880,25935.661221,582.16248571,873.98802139,0,799.46394984,485.41266885,21479790.18,749.03314917,28677
Bergen,Wyckoff Twp,5920,25050.307183,1097.4917181,800.42720956,254.29224594,763.79040339,353.19464044,57465621.64,2029.1888889,28320
Bergen,Bergen Arts And Sciences Charter Sc,6013,16890.479397,204.4035594,2381.1848645,714.21677088,0,0,25185361,1247.4,20190
Bergen,Englewood On The Palisades Charter,6430,21450.451996,0,3142.1577037,467.00758825,0,0,7595570,303.1,25060
Bergen,Teaneck Community Cs,7890,22495.214964,449.57844779,835.51088777,1289.586823,0,0,8980035,358.2,25070
Burlington,Bass River Twp,200,14311.27619,0,34.133333333,0,0,0,1506268,105,14345
Burlington,Beverly City,380,23100.234193,2072.9327553,4717.8157222,687.59208168,198.85980191,240.40901428,13553591.39,436.96111111,31018
Burlington,Bordentown Regional,475,24827.670126,1508.1328776,1269.4907707,294.96827535,1468.9744568,381.63952697,63691171.26,2140.8166667,29751
Burlington,Burlington City,600,24511.705589,506.20037301,3508.5508785,822.48471814,109.94904561,5177.6012654,64689998.59,1867.6833333,34636
Burlington,Burlington Co Spec Serv,605,89199.181052,2850.8790402,738.35651859,1758.9659203,793.96485494,89.219196359,51259468.5,537.13888889,95431
Burlington,Burlington Co Vocational,610,22562.961092,1118.8324128,3088.2842989,454.32065916,1296.6265142,748.64738168,58791226.51,2008.6055556,29270
Burlington,Burlington Twp,620,23067.09695,348.48101094,1581.3449283,520.36062232,804.84543787,439.64432095,98476635.19,3679.75,26762
Burlington,Chesterfield Twp,830,21851.190856,217.46726706,458.53966055,319.24489089,3196.3796328,0.4089366124,18796702.15,721.75,26043
Burlington,Cinnaminson Twp,840,22224.585943,190.07968722,740.67287124,408.231347,951.81046503,1.1161172211,70231726.31,2864.6722222,24516
Burlington,Delanco Twp,1030,22816.335314,182.73017242,1344.2672504,359.22033277,1102.7916797,545.20362487,13280819.59,504.00543478,26351
Burlington,Delran Twp,1060,22468.241545,896.12886422,1660.785317,557.22928038,812.53011211,71.421677249,76210257.91,2879.5166667,26466
Burlington,Eastampton Twp,1250,18565.614032,846.66500129,2225.2844665,467.5869637,1144.939199,1477.8666768,15398235.79,622.70555556,24728
Burlington,Edgewater Park Twp,1280,20686.764558,248.25163307,3442.2726258,552.38708057,844.78616493,49.827578025,30835923.45,1194.0666667,25824
Burlington,Evesham Twp,1420,21254.22509,162.35382065,626.90998743,322.80046666,0,33.129377074,98879620.77,4414.3833333,22399
Burlington,Florence Twp,1520,22278.205305,201.23174631,1562.0854575,436.82169705,1345.9016677,457.75724747,40554882.95,1543.0666667,26282
Burlington,Hainesport Twp,1910,23404.668706,104.06678766,1770.012756,528.91158932,942.51490796,519.0220337,14607957.22,535.69444444,27269
Burlington,Lenape Regional,2610,28671.277922,534.86986903,1350.8408888,356.48540763,1093.7317009,428.58201101,214968544.04,6627.5111111,32436
Burlington,Lumberton Twp,2850,21208.277679,833.65789733,3385.1499673,602.21690476,847.24995751,407.51038098,33890140.7,1242.1222222,27284
Burlington,Mansfield Twp,2960,27898.95686,103.23620595,690.32704504,343.07633077,2325.1808474,799.38233065,17634844.86,548.34444444,32160
Burlington,Maple Shade Twp,3010,21672.53571,62.483659261,2548.9612482,594.07540036,1454.8416512,293.53160319,66671691.35,2503.9666667,26626
Burlington,Medford Lakes Boro,3070,20922.916453,207.81831261,1056.6396054,19.704038639,547.46685849,364.50099681,11248571.96,486.55,23119
Burlington,Medford Twp,3080,24169.687775,632.54116861,585.88289177,451.6625474,789.31081009,331.12286998,72599946.06,2692.8555556,26960
Burlington,Moorestown Twp,3360,24466.929015,47.503313397,956.81825176,480.66183135,1259.1011232,491.17298422,108412963.57,3913.5164835,27702
Burlington,Mount Holly Twp,3430,22532.587858,256.18745527,3238.314121,561.03910798,425.02775468,1006.891663,32193789.77,1148.9555556,28020
Burlington,Mount Laurel Twp,3440,21849.415078,135.02215885,1046.3373136,339.64783461,776.44507812,197.09420543,102445476.69,4208.25,24344
Burlington,New Hanover Twp,3540,26634.843661,566.87619923,3874.0594006,597.13320542,0,1155.3974921,6748588.63,205.57222222,32828
Burlington,North Hanover Twp,3650,21668.620807,4589.0403726,4517.0264711,673.57970889,0,0,44339611,1409.9222222,31448
Burlington,Northern Burlington Reg,3690,23050.514905,795.41433587,975.72307652,555.78028527,1582.9982252,399.10962003,58664174.63,2144.1944444,27360
Burlington,Palmyra Boro,3920,22706.16198,47.75656483,2553.8313829,613.83392695,805.78999181,18.141173152,26866167.01,1004.5111111,26746
Burlington,Pemberton Twp,4050,25701.104256,461.5598801,3041.3973799,608.39706039,0,2074.7482533,139714859.63,4381.5333333,31887
Burlington,Rancocas Valley Regional,4320,23138.370631,1859.7735221,1485.4036735,446.9943992,1328.8116027,0,57772010,2044.35,28259
Burlington,Riverside Twp,4450,20491.542622,328.7017416,2802.236351,496.09285241,478.61541535,489.16873889,39763688.78,1585.0722222,25086
Burlington,Riverton,4460,22110.292377,627.22144095,771.56228538,211.32354384,0,248.97160611,8143460.72,339.74444444,23969
Burlington,Shamong Twp,4740,23601.513652,436.61785353,767.48872487,399.60358608,258.17652734,441.79736613,18348507.62,708.29444444,25905
Burlington,Southampton Township School Distric,4930,24436.529689,262.83943231,1185.5654213,424.96134792,832.75829883,705.33313549,19392874.24,696.38333333,27848
Burlington,Springfield Twp,5010,19169.088532,4.7465336715,1451.2897793,428.42730723,981.3898499,759.23660901,6603133.52,289.68508287,22794
Burlington,Tabernacle Twp,5130,22218.527144,2044.6058788,3292.0434624,479.99172917,566.035597,466.5910448,19915476.67,685.13888889,29068
Burlington,Washington Twp,5490,25743,273.04347826,1192.173913,0,0,1725.0527536,1996395.64,69,28933
Burlington,Westampton,5720,21301.865147,1037.863091,1908.3955547,873.80472145,1177.5393205,290.52201651,24710816.18,929.32777778,26590
Burlington,Willingboro Twp,5805,23264.122692,256.74791256,3598.7743921,659.73377013,455.13794964,949.59114988,108487219.11,3717.3388889,29184
Burlington,Woodland Twp,5890,29598.792732,0,2629.9568833,11.170311056,0,0,3489434,108.23333333,32240
Burlington,Riverbank Charter School Of Excelle,6026,15594.839974,0,1449.1966035,232.24689745,0,0,2644999,153.1,17276
Burlington,Benjamin Banneker Prep Cs,6076,18429.719966,607.43769252,1332.4810977,416.38196584,0,0,7422688,357.1,20786
Camden,Audubon Public School Disrict,150,21683.928493,120.2555905,2247.4803615,455.06436606,1145.9921667,428.74960436,37665314.78,1444.1407612,26081
Camden,Barrington Boro,190,22806.426063,26.650078153,1254.5660235,387.88272154,575.57002572,374.43873301,20152419.22,792.60555556,25426
Camden,Bellmawr Boro,260,20729.832508,355.63572004,3389.0805226,629.23333717,195.28749856,133.2616093,29457421.48,1158.2666667,25432
Camden,Berlin Boro,330,17661.330279,385.73953324,1031.0223811,432.57256867,588.82581002,261.21053851,17972164.64,882.68888889,20361
Camden,Berlin Twp,340,23512.494919,17.273882114,2469.5807927,368.52769309,381.8597561,280.49029472,21278194.96,787.2,27030
Camden,Black Horse Pike Regional,390,24898.049551,576.2302069,1582.2379527,341.10341058,0,82.85138656,98864663.91,3597.6333333,27480
Camden,Brooklawn Boro,580,21678.250387,77.765298218,3984.0540279,575.44345469,419.54976762,465.7045701,9364317.56,344.26666667,27201
Camden,Camden City,680,24235.511267,54.826093923,14626.535869,1680.5429411,0,5400.9878496,325504472.89,7076.4297115,45998
Camden,Camden County Vocational,700,24518.411556,2951.7093307,7279.4923165,576.13544069,0,551.07738755,75547675.97,2105.7513812,35877
Camden,Cherry Hill Twp,800,24059.536606,849.46943773,868.18920502,299.29936484,0,147.36818724,284106585.52,10833.89536,26224
Camden,Clementon Boro,880,19283.223581,61.525748605,2699.393023,485.55607616,0,279.51766836,17849732.21,782.56666667,22809
Camden,Collingswood Boro,940,20870.984818,173.5896087,2791.2397098,471.0412792,561.6648019,537.36032721,57145870.54,2249.3166667,25406
Camden,Eastern Camden County Reg,1255,22184.705399,1832.1170029,1353.9141004,458.02899418,1720.2902961,60.800105312,53810312.55,1948.9530387,27610
Camden,Gibbsboro Boro,1720,22859.93036,316.1163276,2817.8432447,186.64188837,767.31872718,621.18672405,8130745.3,294.92307692,27569
Camden,Gloucester City,1770,20525.265718,240.37805695,3469.3393271,778.96706302,387.74020437,4525.5729401,71585352.46,2391.9779006,29927
Camden,Gloucester Twp,1780,20972.025279,408.60144363,1386.7115431,549.94294357,101.19934707,86.070071583,156953987.27,6677.6,23505
Camden,Kipp Cooper Norcross,1799,18755.243483,209.66937234,5581.5868952,888.82047694,16206.271643,0,83347980,2001.5560467,41642
Camden,Camden Prep,1801,20546.351287,186.46856254,4179.1153077,0,0,0,29070383,1166.9259259,24912
Camden,Mastery Schools Of Camden,1802,21416.460038,0,4966.600028,0,0,0,75139216,2848.0098901,26383
Camden,Haddon Heights Boro,1880,20129.334656,402.36686924,1082.0863447,409.00812935,678.88263747,433.16078971,34197534.06,1478.1833333,23135
