GROUP,CONAME,DIST,DISTNAME,PP18A,RK18A,PCT18A,PP28A,RK28A,PCT28A,PP38A,RK38A,PCT38A
A. K-6,Statewide,N.A.,1. State average - Operating Type K-6,50,N.A.,0.003,47,N.A.,0.003,47,N.A.,0.002
A. K-6,Statewide,N.A.,2. State median - Operating Type K-6,48,N.A.,0.003,45,N.A.,0.002,50,N.A.,0.002
A. K-6,Statewide,N.A.,5. State average - All operating types,46,N.A.,0.003,47,N.A.,0.003,51,N.A.,0.003
A. K-6,Statewide,N.A.,6. State median - All operating types,42,N.A.,0.002,42,N.A.,0.002,48,N.A.,0.002
A. K-6,Bergen,1270,Edgewater Boro,68,37|57,0.004,58,36|57,0.003,61,36|58,0.002
A. K-6,Bergen,3870,Oradell Boro,78,42|57,0.005,60,38|57,0.004,65,38|58,0.004
A. K-6,Bergen,4410,River Edge Boro,30,19|57,0.002,30,16|57,0.002,21,6|58,0.001
A. K-6,Bergen,4620,Saddle River School District,569,57|57,0.016,503,57|57,0.012,403,58|58,0.009
A. K-6,Burlington,830,Chesterfield Twp,187,54|57,0.011,41,25|57,0.002,72,43|58,0.004
A. K-6,Burlington,2960,Mansfield Twp,84,43|57,0.004,59,37|57,0.003,85,47|58,0.004
A. K-6,Burlington,3650,North Hanover Twp,17,10|57,96E-5,51,31|57,0.003,36,16|58,0.002
A. K-6,Burlington,5010,Springfield Twp,34,21|57,0.002,15,10|57,0.001,42,25|58,0.003
A. K-6,Camden,2540,Laurel Springs Boro,34,21|57,0.002,55,33|57,0.003,13,2|58,8E-4
A. K-6,Camden,3770,Oaklyn Boro,18,11|57,94E-5,61,40|57,0.003,24,8|58,0.001
A. K-6,Camden,5560,Waterford Twp,51,31|57,0.003,42,26|57,0.002,54,32|58,0.003
A. K-6,Cape May,710,Cape May City,62,36|57,0.003,60,38|57,0.003,87,48|58,0.003
A. K-6,Cape May,2840,Lower Twp,58,34|57,0.003,64,41|57,0.004,36,16|58,0.002
A. K-6,Cape May,5610,West Cape May Boro,163,53|57,0.008,73,45|57,0.004,165,54|58,0.006
A. K-6,Essex,1400,Essex Fells Boro,54,33|57,0.003,40,23|57,0.002,60,35|58,0.003
A. K-6,Essex,1465,Fairfield Twp,77,41|57,0.005,80,48|57,0.005,64,37|58,0.003
A. K-6,Essex,3630,North Caldwell Boro,38,26|57,0.002,25,12|57,0.001,84,46|58,0.004
A. K-6,Essex,4530,Roseland Boro,193,55|57,0.011,57,35|57,0.003,66,39|58,0.004
A. K-6,Gloucester,1180,East Greenwich Twp,38,26|57,0.003,35,20|57,0.002,67,40|58,0.004
