GROUP,CONAME,DIST,DISTNAME,PP115,PP215,PP315
A. K-6,Statewide,N.A.,1. State average - Operating Type K-6,122,123,109
A. K-6,Statewide,N.A.,2. State median - Operating Type K-6,117,85,74
A. K-6,Statewide,N.A.,5. State average - All operating types,85,88,73
A. K-6,Statewide,N.A.,6. State median - All operating types,72,64,57
A. K-6,Bergen,1270,Edgewater Boro,0,0,0
A. K-6,Bergen,3870,Oradell Boro,0,40,0
A. K-6,Bergen,4410,River Edge Boro,8,3,0
A. K-6,Bergen,4620,Saddle River Boro,0,0,0
A. K-6,Burlington,200,Bass River Twp,0,0,0
A. K-6,Burlington,830,Chesterfield Twp,13,58,0
A. K-6,Burlington,2960,Mansfield Twp,4,N.R.,47
A. K-6,Burlington,3650,North Hanover Twp,250,267,119
A. K-6,Burlington,5010,Springfield Twp,0,16,117
A. K-6,Camden,2540,Laurel Springs Boro,0,0,0
A. K-6,Camden,5560,Waterford Twp,156,43,16
A. K-6,Cape May,710,Cape May City,532,286,130
A. K-6,Cape May,2840,Lower Twp,93,135,231
A. K-6,Cape May,5610,West Cape May Boro,285,660,218
A. K-6,Essex,1400,Essex Fells Boro,117,110,0
A. K-6,Essex,1465,Fairfield Twp,95,79,24
A. K-6,Essex,3630,North Caldwell Boro,28,34,0
A. K-6,Essex,4530,Roseland Boro,123,7,0
A. K-6,Gloucester,1180,East Greenwich Twp,39,24,8
A. K-6,Gloucester,1330,Elk Twp,19,23,71
A. K-6,Gloucester,1590,Franklin Twp,200,109,60
A. K-6,Gloucester,2070,Harrison Twp,126,231,0
A. K-6,Gloucester,2990,Mantua Twp,22,0,0
A. K-6,Gloucester,3490,National Park Boro,0,9,0
A. K-6,Gloucester,4880,South Harrison Twp,76,0,18
A. K-6,Gloucester,5120,Swedesboro-Woolwich,23,131,19
A. K-6,Gloucester,5590,Wenonah Boro,0,70,0
A. K-6,Gloucester,5740,Westville Boro,0,0,0
A. K-6,Gloucester,5870,Woodbury Heights Boro,0,28,74
A. K-6,Hunterdon,2590,Lebanon Boro,142,207,0
A. K-6,Monmouth,130,Atlantic Highlands Boro,0,52,0
A. K-6,Monmouth,2160,Highlands Boro,0,0,0
A. K-6,Monmouth,4520,Roosevelt Boro,0,0,0
A. K-6,Morris,3240,Mine Hill Twp,72,22,11
A. K-6,Ocean,230,Beach Haven Boro,0,0,0
A. K-6,Ocean,320,Berkeley Twp,459,230,183
A. K-6,Ocean,1150,Eagleswood Twp,0,0,0
A. K-6,Ocean,2350,Island Heights Boro,0,0,0
A. K-6,Ocean,2690,Little Egg Harbor Twp,26,91,104
A. K-6,Ocean,2760,Long Beach Island,18,0,0
A. K-6,Ocean,3800,Ocean Gate Boro,32,423,0
A. K-6,Ocean,3820,Ocean Twp,220,333,0
A. K-6,Ocean,4710,Seaside Heights Boro,122,138,25
A. K-6,Ocean,5020,Stafford Twp,44,107,220
A. K-6,Ocean,5220,Tuckerton Boro,176,197,57
A. K-6,Sussex,1630,Fredon Twp,235,156,0
A. K-6,Sussex,1980,Hampton Twp,46,12,0
A. K-6,Sussex,4650,Sandyston-Walpack Twp,364,0,0
A. K-6,Sussex,5040,Stillwater Twp,49,63,155
A. K-6,Warren,400,Blairstown Twp,133,13,47
A. K-6,Warren,1620,Franklin Twp,26,27,0
A. K-6,Warren,1670,Frelinghuysen Twp,328,320,106
A. K-6,Warren,2470,Knowlton Twp,301,350,131
A. K-6,Warren,2970,Mansfield Twp,119,67,0
A. K-6,Warren,5480,Washington Boro,0,0,0
A. K-6,Warren,5530,Washington Twp,142,327,200
B. K-8 / 0 - 400,Statewide,N.A.,1. State average - Operating Type K-8,102,105,92
B. K-8 / 0 - 400,Statewide,N.A.,2. State median - Operating Type K-8,75,58,60
B. K-8 / 0 - 400,Statewide,N.A.,5. State average - All operating types,85,88,73
B. K-8 / 0 - 400,Statewide,N.A.,6. State median - All operating types,72,64,57
B. K-8 / 0 - 400,Atlantic,1410,Estell Manor City,0,0,0
B. K-8 / 0 - 400,Atlantic,1540,Folsom Boro,39,9,0
B. K-8 / 0 - 400,Atlantic,3020,Margate City,137,123,51
B. K-8 / 0 - 400,Atlantic,4240,Port Republic City,0,0,0
B. K-8 / 0 - 400,Atlantic,5760,Weymouth Twp,0,0,0
B. K-8 / 0 - 400,Bergen,80,Alpine Boro,25,90,0
B. K-8 / 0 - 400,Bergen,3350,Moonachie Boro,17,0,0
B. K-8 / 0 - 400,Bergen,4870,South Hackensack Twp,51,0,0
B. K-8 / 0 - 400,Burlington,380,Beverly City,113,224,13
B. K-8 / 0 - 400,Burlington,3540,New Hanover Twp,45,67,24
B. K-8 / 0 - 400,Burlington,4460,Riverton,161,34,28
B. K-8 / 0 - 400,Burlington,5890,Woodland Twp,77,33,0
B. K-8 / 0 - 400,Camden,580,Brooklawn Boro,8,0,70
B. K-8 / 0 - 400,Camden,1720,Gibbsboro Boro,0,33,73
B. K-8 / 0 - 400,Camden,2560,Lawnside Boro,156,176,89
B. K-8 / 0 - 400,Camden,5900,Woodlynne Boro,72,83,13
B. K-8 / 0 - 400,Cape May,170,Avalon Boro,159,0,513
B. K-8 / 0 - 400,Cape May,3680,North Wildwood City,42,0,90
B. K-8 / 0 - 400,Cape May,5060,Stone Harbor Boro,1243,583,269
B. K-8 / 0 - 400,Cape May,5800,Wildwood Crest Boro,465,638,992
B. K-8 / 0 - 400,Cape May,5840,Woodbine Boro,0,0,71
B. K-8 / 0 - 400,Cumberland,1020,Deerfield Twp,0,0,0
B. K-8 / 0 - 400,Cumberland,1120,Downe Twp,0,0,608
B. K-8 / 0 - 400,Cumberland,1820,Greenwich Twp,0,0,0
B. K-8 / 0 - 400,Cumberland,3050,Maurice River Twp,205,264,14
B. K-8 / 0 - 400,Cumberland,5070,Stow Creek Twp,194,188,0
B. K-8 / 0 - 400,Hudson,1200,East Newark Boro,0,0,0
B. K-8 / 0 - 400,Hunterdon,370,Bethlehem Twp,677,44,0
B. K-8 / 0 - 400,Hunterdon,430,Bloomsbury Boro,0,0,0
B. K-8 / 0 - 400,Hunterdon,670,Califon Boro,120,0,0
B. K-8 / 0 - 400,Hunterdon,910,Clinton-Glen Gardner,0,43,0
B. K-8 / 0 - 400,Hunterdon,1040,Delaware Twp,191,144,26
B. K-8 / 0 - 400,Hunterdon,1160,East Amwell Twp,280,353,361
B. K-8 / 0 - 400,Hunterdon,1600,Franklin Twp,179,423,52
B. K-8 / 0 - 400,Hunterdon,1680,Frenchtown Boro,353,787,0
B. K-8 / 0 - 400,Hunterdon,1970,Hampton Boro,0,159,0
B. K-8 / 0 - 400,Hunterdon,2140,High Bridge Boro,38,61,0
B. K-8 / 0 - 400,Hunterdon,2450,Kingwood Twp,162,179,0
B. K-8 / 0 - 400,Hunterdon,3180,Milford Boro,41,143,0
B. K-8 / 0 - 400,Monmouth,180,Avon Boro,0,560,1084
B. K-8 / 0 - 400,Monmouth,500,Bradley Beach Boro,19,22,13
B. K-8 / 0 - 400,Monmouth,1000,Deal Boro,333,231,196
B. K-8 / 0 - 400,Monmouth,1490,Farmingdale Boro,0,220,0
B. K-8 / 0 - 400,Monmouth,3250,Monmouth Beach Boro,265,38,242
B. K-8 / 0 - 400,Monmouth,3500,Neptune City,0,0,50
B. K-8 / 0 - 400,Monmouth,4690,Sea Girt Boro,189,37,0
B. K-8 / 0 - 400,Monmouth,4980,Spring Lake Boro,95,89,0
B. K-8 / 0 - 400,Monmouth,4990,Spring Lake Heights Boro,0,221,0
B. K-8 / 0 - 400,Morris,2010,Harding Township,0,0,339
B. K-8 / 0 - 400,Morris,3410,Mount Arlington Boro,86,74,137
B. K-8 / 0 - 400,Morris,3520,Netcong Boro,24,38,0
B. K-8 / 0 - 400,Morris,4440,Riverdale Boro,0,37,0
B. K-8 / 0 - 400,Ocean,210,Bay Head Boro,332,196,567
B. K-8 / 0 - 400,Ocean,2500,Lakehurst Boro,0,0,0
B. K-8 / 0 - 400,Ocean,2550,Lavallette Boro,505,193,270
B. K-8 / 0 - 400,Salem,60,Alloway Twp,73,92,57
B. K-8 / 0 - 400,Salem,1350,Elsinboro Twp,0,39,0
B. K-8 / 0 - 400,Salem,2800,Lower Alloways Creek,70,117,432
B. K-8 / 0 - 400,Salem,2950,Mannington Twp,40,431,0
B. K-8 / 0 - 400,Salem,3860,Oldmans Twp,38,57,31
B. K-8 / 0 - 400,Salem,4280,Quinton Twp,0,0,0
B. K-8 / 0 - 400,Salem,5320,Upper Pittsgrove Twp,277,327,222
B. K-8 / 0 - 400,Sussex,1930,Hamburg Boro,141,27,0
B. K-8 / 0 - 400,Sussex,2490,Lafayette Twp,198,47,15
B. K-8 / 0 - 400,Sussex,3300,Montague Twp,0,0,0
B. K-8 / 0 - 400,Sussex,3840,Ogdensburg Boro,22,159,0
B. K-8 / 0 - 400,Sussex,5030,Stanhope Boro,0,137,0
B. K-8 / 0 - 400,Union,1710,Garwood Boro,207,54,74
B. K-8 / 0 - 400,Union,5810,Winfield Twp,66,0,0
B. K-8 / 0 - 400,Warren,70,Alpha Boro,0,0,0
B. K-8 / 0 - 400,Warren,2040,Harmony Twp,233,827,239
B. K-8 / 0 - 400,Warren,2250,Hope Twp,0,0,0
B. K-8 / 0 - 400,Warren,3890,Oxford Twp,0,0,0
B. K-8 / 0 - 400,Warren,4200,Pohatcong Twp,0,0,0
B. K-8 / 0 - 400,Warren,5780,White Twp,0,0,0
C. K-8 / 401 - 750,Statewide,N.A.,1. State average - Operating Type K-8,102,105,92
C. K-8 / 401 - 750,Statewide,N.A.,2. State median - Operating Type K-8,75,58,60
C. K-8 / 401 - 750,Statewide,N.A.,5. State average - All operating types,85,88,73
C. K-8 / 401 - 750,Statewide,N.A.,6. State median - All operating types,72,64,57
C. K-8 / 401 - 750,Atlantic,570,Brigantine City,115,268,201
C. K-8 / 401 - 750,Atlantic,1300,Egg Harbor City,0,0,0
C. K-8 / 401 - 750,Atlantic,3480,Mullica Twp,23,55,34
C. K-8 / 401 - 750,Atlantic,5350,Ventnor City,734,717,893
C. K-8 / 401 - 750,Bergen,740,Carlstadt Boro,32,0,36
C. K-8 / 401 - 750,Bergen,1070,Demarest Boro,240,209,298
C. K-8 / 401 - 750,Bergen,1380,Englewood Cliffs Boro,26,14,14
C. K-8 / 401 - 750,Bergen,2050,Harrington Park Boro,12,38,0
C. K-8 / 401 - 750,Bergen,2090,Haworth Boro,317,0,49
C. K-8 / 401 - 750,Bergen,2200,Ho Ho Kus Boro,0,10,0
C. K-8 / 401 - 750,Bergen,3730,Northvale Boro,116,105,39
C. K-8 / 401 - 750,Bergen,3740,Norwood Boro,0,0,0
C. K-8 / 401 - 750,Bergen,3850,Old Tappan Boro,11,100,0
C. K-8 / 401 - 750,Bergen,4470,Rochelle Park Twp,82,10,24
C. K-8 / 401 - 750,Bergen,5880,Woodcliff Lake Boro,218,153,0
C. K-8 / 401 - 750,Burlington,1030,Delanco Twp,109,217,168
C. K-8 / 401 - 750,Burlington,1250,Eastampton Twp,0,0,0
C. K-8 / 401 - 750,Burlington,1910,Hainesport Twp,13,22,16
C. K-8 / 401 - 750,Burlington,3070,Medford Lakes Boro,12,0,0
C. K-8 / 401 - 750,Burlington,4930,Southampton Twp,153,51,164
C. K-8 / 401 - 750,Burlington,5130,Tabernacle Twp,11,337,156
C. K-8 / 401 - 750,Camden,190,Barrington Boro,0,0,0
C. K-8 / 401 - 750,Camden,340,Berlin Twp,164,0,0
C. K-8 / 401 - 750,Camden,880,Clementon Boro,77,340,251
C. K-8 / 401 - 750,Camden,2890,Magnolia Boro,0,10,0
C. K-8 / 401 - 750,Camden,3110,Merchantville Boro,0,0,0
