CO,DIST,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind15,enroll,distname,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,COUNTY
3,890,36938895,24188192,22887701,602962,697529,4914333,3461986,4190041,2912022,2623092,1491133,0,774593,140137,2938,Cliffside Park Boro,Bergen,F. K-12 / 1801 - 3500,3,B,,1,Bergen
3,930,16820016,10904332,10058130,681551,164651,2351525,1950628,1870291,1647845,1598244,972919,0,93620,60255,1118,Closter Boro,Bergen,D. K-8 / 751 +,2,I,,1,Bergen
3,990,25215852,16093593,15086970,568028,438595,3097396,2612315,3124740,2750861,2197913,1281913,0,702210,2890,1799,Cresskill Boro,Bergen,F. K-12 / 1801 - 3500,3,I,,1,Bergen
3,1070,11376246,6561402,5876999,383765,300638,2212142,1711261,1224186,1032057,1181785,633634,2198,114300,160392,668,Demarest Boro,Bergen,C. K-8 / 401 - 750,2,I,,1,Bergen
3,1130,35266911,21450231,20289221,1025477,135533,3749067,3405563,4541032,3915779,4561339,2534236,0,892072,261,2552,Dumont Boro,Bergen,F. K-12 / 1801 - 3500,3,FG,,1,Bergen
3,1230,13026179,8296036,7713500,296896,285640,1993061,1576471,1453068,1148213,1209032,627143,0,43524,270458,809,East Rutherford Boro,Bergen,D. K-8 / 751 +,2,CD,,1,Bergen
3,1270,10163012,6026569,5597717,313906,114946,1563999,1065362,1320856,1031726,1214428,651177,0,27576,0,906,Edgewater Boro,Bergen,A. K-6,1,DE,,1,Bergen
3,1345,26436180,14208356,13222168,473759,512429,4092307,3166328,4182298,3297517,3242196,1929612,35000,564547,146816,2533,Elmwood Park,Bergen,F. K-12 / 1801 - 3500,3,CD,,1,Bergen
3,1360,17207414,9928927,8997614,371286,560027,2151934,1593354,2151711,2027209,2150685,1098284,0,776716,88882,1163,Emerson Boro,Bergen,E. K-12 / 0 - 1800,3,GH,,1,Bergen
3,1370,52385890,31420475,27487190,613857,3319428,8080515,5410987,5827025,4585695,6196671,1009966,0,811218,140032,3104,Englewood City,Bergen,F. K-12 / 1801 - 3500,3,DE,,1,Bergen
3,1380,9766098,5793023,5318558,252821,221644,2147209,1790316,987793,721422,813629,451040,0,1337,13965,545,Englewood Cliffs Boro,Bergen,C. K-8 / 401 - 750,2,I,,1,Bergen
3,1450,73861483,43767512,41716091,863214,1188207,12203432,11065828,8743727,7318844,7163382,3154120,0,1469596,249913,4777,Fair Lawn Boro,Bergen,G. K-12 / 3501 +,3,GH,,1,Bergen
3,1470,13078796,7530008,7046822,327884,155302,1765156,1475989,2063321,1673741,1611043,884311,3476,47666,0,1332,Fairview Boro,Bergen,D. K-8 / 751 +,2,A,,1,Bergen
3,1550,52875359,31060397,29139139,1609771,311487,9537267,7674039,5339943,4454645,5787318,2078205,0,1069267,308461,3705,Fort Lee Boro,Bergen,G. K-12 / 3501 +,3,FG,,1,Bergen
3,1580,26320952,16939149,15742893,1094232,102024,4149899,3898213,2434578,2218583,2649318,250033,0,141988,403729,1183,Franklin Lakes Boro,Bergen,D. K-8 / 751 +,2,I,,1,Bergen
3,1700,81024332,48475943,47743195,675347,57401,12978348,10661991,8754828,7417300,9624991,5290017,0,1007670,386620,4886,Garfield City,Bergen,G. K-12 / 3501 +,3,B,1,1,Bergen
3,1760,39079339,20811303,19013114,1285231,512958,7441089,4364158,5204060,4529660,4616273,1040613,0,994105,152179,2434,Glen Rock Boro,Bergen,F. K-12 / 1801 - 3500,3,J,,1,Bergen
3,1860,85187097,57272320,52928356,2733452,1610512,12109256,10245285,6310186,5601422,8082171,3771269,5504,1407407,90695,5650,Hackensack City,Bergen,G. K-12 / 3501 +,3,CD,,1,Bergen
3,2050,9889890,6941381,6731749,119904,89728,1193136,912689,810601,640945,847449,311814,0,97323,7500,628,Harrington Park Boro,Bergen,C. K-8 / 401 - 750,2,I,,1,Bergen
3,2080,25331826,14797852,14045262,501871,250719,4503366,3227628,2684970,2092800,2531645,1229867,0,804420,49407,1859,Hasbrouck Heights Boro,Bergen,E. K-12 / 0 - 1800,3,FG,,1,Bergen
3,2090,7671109,4514073,4288000,92308,133765,1389829,1159563,888296,659011,828813,386637,0,50098,134290,424,Haworth Boro,Bergen,C. K-8 / 401 - 750,2,I,,1,Bergen
3,2180,18859106,11185832,10920079,241190,24563,3574839,2664276,2075434,1741459,1905128,693082,0,99534,15965,1179,Hillsdale Boro,Bergen,D. K-8 / 751 +,2,GH,,1,Bergen
3,2200,8846421,5127332,5026840,59805,40687,1638938,1368491,1223943,843393,821089,390716,0,34323,0,618,Ho Ho Kus Boro,Bergen,C. K-8 / 401 - 750,2,J,,1,Bergen
3,2620,27594744,16121388,15439149,655989,26250,3781018,3479333,3677686,2849089,3153983,1630597,0,764663,19941,1821,Leonia Boro,Bergen,F. K-12 / 1801 - 3500,3,GH,,1,Bergen
3,2710,12530134,7691690,7136804,303018,251868,1371969,1161064,1495003,1226407,1786659,744342,102283,63045,0,984,Little Ferry Boro,Bergen,D. K-8 / 751 +,2,CD,,1,Bergen
3,2740,37689343,21413549,20230219,814744,368586,6540981,4693859,4766006,4149418,4330653,2034795,0,638155,65879,3202,Lodi Borough,Bergen,F. K-12 / 1801 - 3500,3,B,,1,Bergen
3,2860,34428803,19454670,18457485,496115,501070,4837437,4347918,4377494,3531465,4264676,1746899,345000,897050,89928,2385,Lyndhurst Twp,Bergen,F. K-12 / 1801 - 3500,3,DE,,1,Bergen
3,2900,48327215,27564875,26296297,662191,606387,8458323,6424547,5721848,4576317,5005186,766823,2600,1473360,202680,2970,Mahwah Twp,Bergen,F. K-12 / 1801 - 3500,3,I,,1,Bergen
3,3060,12182238,8365953,7431088,524865,410000,1289741,1039750,1258579,981004,1180854,633983,0,75882,58419,968,Maywood Boro,Bergen,D. K-8 / 751 +,2,FG,,1,Bergen
3,3170,17519811,10017158,9454153,338007,224998,2801082,2463272,2302854,1905876,1723978,934114,0,623287,189217,964,Midland Park Boro,Bergen,E. K-12 / 0 - 1800,3,GH,,1,Bergen
3,3330,13745280,8581597,8163305,320750,97542,1996690,1554002,1739029,1620381,1311684,362193,0,112770,82265,1002,Montvale Boro,Bergen,D. K-8 / 751 +,2,I,,1,Bergen
