GROUP,CONAME,DIST,DISTNAME,DE120,DE220,DE320,DE420
A. K-6,Bergen,1270,Edgewater Boro,2188332,-389942,1798390,-213921
A. K-6,Bergen,3870,Oradell Boro,2499701,678694,3178395,-252263
A. K-6,Bergen,4410,River Edge Boro,2202070,428877,2630947,-85457
A. K-6,Bergen,4620,Saddle River Boro,1434853,131763,1566616,-6743
A. K-6,Burlington,200,Bass River Twp,163039,-22619,140420,45607
A. K-6,Burlington,830,Chesterfield Twp,406693,-267747,138946,293346
A. K-6,Burlington,2960,Mansfield Twp,1630462,464094,2094556,62403
A. K-6,Burlington,3650,North Hanover Twp,5803220,-1157129,4646091,1348997
A. K-6,Burlington,5010,Springfield Twp,773167,229671,1002838,-105113
A. K-6,Camden,2540,Laurel Springs Boro,562874,142260,704048,-136587
A. K-6,Camden,5560,Waterford Twp,2762307,-147882,2614425,-406724
A. K-6,Cape May,710,Cape May City,909085,391780,1300865,29103
A. K-6,Cape May,2840,Lower Twp,1976096,702723,2678819,699009
A. K-6,Cape May,5610,West Cape May Boro,812523,-70716,741807,138032
A. K-6,Essex,1400,Essex Fells Boro,953813,20425,974238,114269
A. K-6,Essex,1465,Fairfield Twp,739592,36309,775901,-87664
A. K-6,Essex,3630,North Caldwell Boro,3731596,481506,4213102,959327
A. K-6,Essex,4530,Roseland Boro,1050374,-126186,924188,730844
A. K-6,Gloucester,1180,East Greenwich Twp,3227718,-75385,3152333,281213
A. K-6,Gloucester,1330,Elk Twp,876429,457742,1334171,136248
A. K-6,Gloucester,1590,Franklin Twp,3422345,1972372,5394717,-930895
A. K-6,Gloucester,2070,Harrison Twp,1635843,363366,1999209,214090
A. K-6,Gloucester,2990,Mantua Twp,1312651,402173,1714824,357365
A. K-6,Gloucester,3490,National Park Boro,1253591,178851,1432442,-63589
A. K-6,Gloucester,4880,South Harrison Twp,1237645,-261312,976333,-109456
A. K-6,Gloucester,5120,Swedesboro-Woolwich,3873607,236563,4110170,-422588
A. K-6,Gloucester,5590,Wenonah Boro,209983,92821,302804,30460
A. K-6,Gloucester,5740,Westville Boro,648942,-108259,540683,339974
A. K-6,Gloucester,5870,Woodbury Heights Boro,865662,80427,946089,223785
A. K-6,Hunterdon,2590,Lebanon Boro,586667,38099,624766,276286
A. K-6,Monmouth,130,Atlantic Highlands Boro,910297,-22207,888090,-61014
A. K-6,Monmouth,2160,Highlands Boro,1220515,76692,1297207,110928
A. K-6,Monmouth,4520,Roosevelt Boro,676937,255788,932725,20421
A. K-6,Morris,3240,Mine Hill Twp,1618882,254653,1873535,149731
A. K-6,Ocean,230,Beach Haven Boro,718811,178279,897090,20744
A. K-6,Ocean,320,Berkeley Twp,7790379,-516680,7273699,641292
A. K-6,Ocean,1150,Eagleswood Twp,588078,24660,612738,29895
A. K-6,Ocean,2350,Island Heights Boro,290116,179699,469815,45694
A. K-6,Ocean,2690,Little Egg Harbor Twp,1550950,638130,2189080,221637
A. K-6,Ocean,2760,Long Beach Island,2658773,-1028533,1630240,523696
A. K-6,Ocean,3800,Ocean Gate Boro,1148681,53988,1202669,-21142
A. K-6,Ocean,3820,Ocean Twp,5666460,394062,6060522,434554
A. K-6,Ocean,4710,Seaside Heights Boro,919951,603367,1523318,-144473
A. K-6,Ocean,5020,Stafford Twp,4338772,-195307,4143467,1760699
A. K-6,Ocean,5220,Tuckerton Boro,1730076,206201,1936277,-8155
A. K-6,Sussex,1630,Fredon Twp,808506,807695,1616201,874398
A. K-6,Sussex,1980,Hampton Twp,1658866,10922,1669788,330908
A. K-6,Sussex,4650,Sandyston-Walpack Twp,2133555,-486499,1647056,-173924
A. K-6,Sussex,5040,Stillwater Twp,1700885,180337,1881222,251616
A. K-6,Warren,400,Blairstown Twp,1333545,184950,1518495,-496685
A. K-6,Warren,1620,Franklin Twp,1409475,115439,1524914,66738
A. K-6,Warren,1670,Frelinghuysen Twp,388922,16775,405697,10838
A. K-6,Warren,2470,Knowlton Twp,799913,345509,1145422,407271
A. K-6,Warren,2970,Mansfield Twp,2000094,-45923,1954171,-59599
A. K-6,Warren,5480,Washington Boro,1028013,390765,1418778,190106
A. K-6,Warren,5530,Washington Twp,816374,266,816640,277262
B. K-8 / 0 - 400,Atlantic,1410,Estell Manor City,636269,684302,1320571,60425
B. K-8 / 0 - 400,Atlantic,1540,Folsom Boro,3458822,-33791,3414736,100004
B. K-8 / 0 - 400,Atlantic,3020,Margate City,1901160,-8168,1892992,-29047
B. K-8 / 0 - 400,Atlantic,4240,Port Republic City,416872,51194,468066,-49789
B. K-8 / 0 - 400,Atlantic,5760,Weymouth Twp,607100,394427,1001526,308054
B. K-8 / 0 - 400,Bergen,80,Alpine Boro,822650,-79745,742905,152236
B. K-8 / 0 - 400,Bergen,3350,Moonachie Boro,1833401,-241983,1591418,-185837
B. K-8 / 0 - 400,Bergen,4870,South Hackensack Twp,1208045,-186695,1021350,151595
B. K-8 / 0 - 400,Burlington,380,Beverly City,1885270,583138,2468408,951485
B. K-8 / 0 - 400,Burlington,3540,New Hanover Twp,5180565,-1469735,3710830,-1373689
B. K-8 / 0 - 400,Burlington,4460,Riverton,888227,130423,1018650,200835
B. K-8 / 0 - 400,Burlington,5890,Woodland Twp,196376,-61135,135241,-121278
B. K-8 / 0 - 400,Camden,580,Brooklawn Boro,1023901,-151581,872320,219409
B. K-8 / 0 - 400,Camden,1720,Gibbsboro Boro,533466,121241,654707,269861
B. K-8 / 0 - 400,Camden,2560,Lawnside Boro,1311132,27369,1338501,42919
B. K-8 / 0 - 400,Camden,5900,Woodlynne Boro,2761049,805121,3566170,882750
B. K-8 / 0 - 400,Cape May,170,Avalon Boro,1332717,172020,1504737,563854
B. K-8 / 0 - 400,Cape May,3680,North Wildwood City,2418314,11152,2383757,-48233
B. K-8 / 0 - 400,Cape May,5060,Stone Harbor Boro,1007940,23068,1005963,62166
B. K-8 / 0 - 400,Cape May,5800,Wildwood Crest Boro,2134638,512822,2647460,713918
B. K-8 / 0 - 400,Cape May,5840,Woodbine Boro,120635,121541,242176,261010
B. K-8 / 0 - 400,Cumberland,1020,Deerfield Twp,811087,4837,815924,-72775
B. K-8 / 0 - 400,Cumberland,1120,Downe Twp,871052,114632,985684,282208
B. K-8 / 0 - 400,Cumberland,1820,Greenwich Twp,358647,10129,368776,54172
B. K-8 / 0 - 400,Cumberland,3050,Maurice River Twp,1615983,-66670,1549313,32824
B. K-8 / 0 - 400,Cumberland,5070,Stow Creek Twp,431601,136375,567976,70759
B. K-8 / 0 - 400,Hudson,1200,East Newark Boro,1455109,-313385,1141724,10840
B. K-8 / 0 - 400,Hunterdon,370,Bethlehem Twp,2152171,106863,2259034,443074
B. K-8 / 0 - 400,Hunterdon,430,Bloomsbury Boro,839082,-177998,661084,76304
B. K-8 / 0 - 400,Hunterdon,670,Califon Boro,457754,-11023,446731,2000
B. K-8 / 0 - 400,Hunterdon,910,Clinton-Glen Gardner,1192506,17253,1209759,405428
B. K-8 / 0 - 400,Hunterdon,1040,Delaware Twp,2157509,106664,2264173,951828
B. K-8 / 0 - 400,Hunterdon,1160,East Amwell Twp,1498354,654079,2152433,-343200
B. K-8 / 0 - 400,Hunterdon,1600,Franklin Twp,886833,328265,1215098,-37412
B. K-8 / 0 - 400,Hunterdon,1680,Frenchtown Boro,629821,91344,721165,-112797
B. K-8 / 0 - 400,Hunterdon,1970,Hampton Boro,685448,44909,730357,78256
B. K-8 / 0 - 400,Hunterdon,2140,High Bridge Boro,1674840,280221,1955061,-266869
B. K-8 / 0 - 400,Hunterdon,2450,Kingwood Twp,1752448,260083,2012531,303234
B. K-8 / 0 - 400,Hunterdon,3180,Milford Boro,398892,117940,516832,2539
B. K-8 / 0 - 400,Monmouth,180,Avon Boro,2005292,165419,2170711,27481
B. K-8 / 0 - 400,Monmouth,500,Bradley Beach Boro,1243856,39916,1283772,-124061
B. K-8 / 0 - 400,Monmouth,1000,Deal Boro,648818,177647,826465,179549
B. K-8 / 0 - 400,Monmouth,1490,Farmingdale Boro,486120,25424,511544,43914
B. K-8 / 0 - 400,Monmouth,3250,Monmouth Beach Boro,2594983,-425164,2169819,213089
B. K-8 / 0 - 400,Monmouth,3500,Neptune City,1067547,236506,1304053,66826
B. K-8 / 0 - 400,Monmouth,4690,Sea Girt Boro,1581660,379925,1961585,632025
B. K-8 / 0 - 400,Monmouth,4980,Spring Lake Boro,2694535,44228,2738763,-16591
B. K-8 / 0 - 400,Monmouth,4990,Spring Lake Heights Boro,1079656,494614,1574270,468914
B. K-8 / 0 - 400,Morris,2010,Harding Township,1349646,-39494,1310152,341952
B. K-8 / 0 - 400,Morris,3410,Mount Arlington Boro,2737773,491631,3229404,508101
B. K-8 / 0 - 400,Morris,3520,Netcong Boro,148528,425190,573718,276673
B. K-8 / 0 - 400,Morris,4440,Riverdale Boro,1835733,-199954,1635779,310005
B. K-8 / 0 - 400,Ocean,210,Bay Head Boro,794520,774296,1091433,89801
B. K-8 / 0 - 400,Ocean,2500,Lakehurst Boro,2072927,-272794,1800133,-498074
B. K-8 / 0 - 400,Ocean,2550,Lavallette Boro,1712900,-41721,1671179,34892
B. K-8 / 0 - 400,Salem,60,Alloway Twp,1201161,66259,1267420,148230
B. K-8 / 0 - 400,Salem,1350,Elsinboro Twp,993734,-355633,638101,416727
B. K-8 / 0 - 400,Salem,2800,Lower Alloways Creek,1994052,211727,2205779,-292447
B. K-8 / 0 - 400,Salem,2950,Mannington Twp,557316,530059,1087375,478811
B. K-8 / 0 - 400,Salem,3860,Oldmans Twp,929263,150636,1079899,-6788
B. K-8 / 0 - 400,Salem,4280,Quinton Twp,1461342,40053,1501395,52660
B. K-8 / 0 - 400,Salem,5320,Upper Pittsgrove Twp,906243,146226,1052469,355993
B. K-8 / 0 - 400,Sussex,1930,Hamburg Boro,2167725,561069,2728794,-266254
B. K-8 / 0 - 400,Sussex,2490,Lafayette Twp,1466545,-12188,1454357,176788
B. K-8 / 0 - 400,Sussex,3300,Montague Twp,611050,-135088,475962,240684
B. K-8 / 0 - 400,Sussex,3840,Ogdensburg Boro,367101,163482,530583,83087
B. K-8 / 0 - 400,Sussex,5030,Stanhope Boro,768441,140088,908529,-12709
B. K-8 / 0 - 400,Union,1710,Garwood Boro,1318271,304959,1623230,407507
B. K-8 / 0 - 400,Union,5810,Winfield Twp,153006,3454,156460,148223
B. K-8 / 0 - 400,Warren,70,Alpha Boro,1086699,2609,1089308,7644
B. K-8 / 0 - 400,Warren,2040,Harmony Twp,2180957,613273,2794230,-479271
B. K-8 / 0 - 400,Warren,2250,Hope Twp,1398202,230710,1628912,184508
