CO,DIST,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind15,enroll,distname,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,ind16a,ind16b,ind17a,ind17b,ind18a,ind18b,ind19,COUNTY
80,6060,4489848,1925169,1442663,73122,409384,225397,110945,1749684,313477,587387,39185,0,0,0,294,Atlantic Community Charter S,Atlantic,K. Charter,C,,,1,12.3,53280,,,117.6,110000,9.6,Atlantic
80,6104,3789497,1974856,1356320,203970,414566,266560,265914,1009477,429730,481719,98436,56885,0,0,328,International Academy Of Atl,Atlantic,K. Charter,C,,,1,14.9,48250,328,52000,164,98000,11.5,Atlantic
80,7410,5851762,2674949,2583018,67445,24486,637680,593202,907687,695394,1512733,63310,0,118713,18097,320,Chartertech High School For,Atlantic,K. Charter,C,,,1,8.6,58282,80,60528,80,93000,10.3,Atlantic
80,6013,12950590,6413592,5913821,85799,413972,0,0,4640341,2720362,1896657,0,0,0,49239,1100,Bergen Arts And Sciences Cha,Bergen,K. Charter,C,,,1,13.6,46000,275,65700,550,90900,42.5,Bergen
80,6430,3731624,2309675,2196300,77029,36346,0,0,992001,773093,429948,0,0,0,24990,245,Englewood On The Palisades C,Bergen,K. Charter,C,,,1,10.2,65145,245,36000,122.5,168141,12.5,Bergen
80,7890,4788070,2642628,2503451,50108,89069,67242,67242,657084,537098,1421116,319245,0,0,54611,320,Teaneck Community Charter Sc,Bergen,K. Charter,C,,,1,12.8,62130,123.1,37491,80,111723,6.9,Bergen
80,6026,1421291,915201,864618,19040,31543,0,0,344597,297521,161493,0,0,0,0,143,Riverbank Charter School Of,Burlington,K. Charter,C,,,1,10.2,43500,143,42000,71.5,86872,7.5,Burlington
80,6076,2288430,1286242,1185438,97296,3508,0,0,740771,524565,261417,0,0,0,14652,178,Benjamin Banneker Preparator,Burlington,K. Charter,C,,,1,13.7,55020,89,58242,89,109700,7.5,Burlington
80,1799,14503236,6509059,5620518,669636,218905,0,0,5443263,669190,2550914,1295434,0,0,32114,852,Kipp Cooper Norcross,Camden,K. Charter,C,,,1,11.5,64234,106.5,66063,77.5,102000,7.5,Camden
80,1801,6597331,3321114,2659156,519882,142076,0,0,2320873,791238,955344,398477,0,0,0,376,Camden Prep,Camden,K. Charter,C,,,1,13.9,57000,,,,,,Camden
80,1802,29266964,15824367,12102814,968136,2753417,1885707,1324473,7638135,3444266,3786404,0,0,132351,0,1645,Mastery Schools Of Camden,Camden,K. Charter,C,,,1,13.1,60000,287.1,62868,164.5,116750,13.2,Camden
80,6067,2527679,1258661,1147629,76881,34151,140956,117866,930463,470707,158712,0,26894,11992,55220,204,The Kingdom Charter School O,Camden,K. Charter,C,,,1,10.2,45250,102,49500,40.8,77000,4.4,Camden
80,6086,2422719,1200922,1081857,42957,76108,139487,94606,540704,453631,533307,63332,8298,0,0,190,Hope Community Cs,Camden,K. Charter,C,,,1,7.1,48035,190,21600,95,100175,13.8,Camden
80,6107,26857876,16714088,14970900,768307,974881,0,0,5259804,2835120,4647323,0,236661,0,0,1896,Camden's Promise Charter Sch,Camden,K. Charter,C,,,1,10.5,51000,111.5,64000,139.4,94200,14.6,Camden
80,6232,2767600,1378324,1171711,88322,118291,208886,141624,692198,569022,473230,37739,0,0,0,143,Environment Community Opport,Camden,K. Charter,C,,,1,8.4,53040,1787.5,58500,71.1,104250,8.6,Camden
80,6240,11001329,5617526,4768385,366933,482208,567844,216263,3411153,1255397,1404806,0,0,0,0,812,Freedom Prep Charter School,Camden,K. Charter,C,,,1,15.1,60000,162.4,54060,203,99750,14.7,Camden
80,7109,18502366,9253556,8699023,430153,124380,1606531,1054715,3740379,2652753,3184586,857875,0,157079,184319,1545,Leap Academy University Char,Camden,K. Charter,C,,,1,13.4,54670,154.5,53625,171.7,98750,13.9,Camden
