GROUP,CONAME,DIST,DISTNAME,PP13,RK13,PCT13,SBA3,PP23,RK23,PCT23,SBB3,PP33,RK33,PCT33,SBC3
A. K-6,Statewide,N.A.,1. State average - Operating Type K-6,8132,N.A.,0.575,0.936,8367,N.A.,0.575,0.94,8694,N.A.,0.563,0.933
A. K-6,Statewide,N.A.,2. State median - Operating Type K-6,9046,N.A.,0.6,0.96,8953,N.A.,0.576,0.939,9379,N.A.,0.576,0.952
A. K-6,Statewide,N.A.,5. State average - All operating types,8301,N.A.,0.556,0.94,8464,N.A.,0.555,0.941,8840,N.A.,0.554,0.936
A. K-6,Statewide,N.A.,6. State median - All operating types,8172,N.A.,0.552,0.934,8405,N.A.,0.551,0.94,8788,N.A.,0.551,0.937
A. K-6,Bergen,1270,Edgewater Boro,6179,3|56,0.551,0.9288,6222,1|56,0.536,0.9227,6387,3|56,0.545,0.9357
A. K-6,Bergen,3870,Oradell Boro,7199,10|56,0.552,0.9266,7439,10|56,0.557,0.9273,7370,7|56,0.566,0.9483
A. K-6,Bergen,4410,River Edge Boro,8677,24|56,0.659,0.9397,9213,33|56,0.689,0.959,8782,22|56,0.624,0.9456
A. K-6,Bergen,4620,Saddle River Boro,12459,54|56,0.488,0.965,13323,55|56,0.464,0.9701,13195,54|56,0.441,0.9515
A. K-6,Burlington,200,Bass River Twp,11763,51|56,0.575,0.9088,11556,52|56,0.564,0.9152,9611,33|56,0.562,0.9112
A. K-6,Burlington,830,Chesterfield Twp,6133,2|56,0.55,0.9664,6361,3|56,0.558,0.9469,6204,1|56,0.545,0.9466
A. K-6,Burlington,2960,Mansfield Twp,7464,14|56,0.538,0.9454,8615,21|56,0.529,0.9289,8378,12|56,0.542,0.9518
A. K-6,Burlington,3650,North Hanover Twp,8723,25|56,0.57,0.938,8886,26|56,0.571,0.9347,9370,28|56,0.561,0.9394
A. K-6,Burlington,5010,Springfield Twp,11242,49|56,0.589,0.9432,10920,46|56,0.586,0.9432,11340,45|56,0.581,0.9494
A. K-6,Camden,2540,Laurel Springs Boro,6550,4|56,0.569,0.9172,7105,7|56,0.575,0.9114,7637,8|56,0.518,0.87
A. K-6,Camden,5560,Waterford Twp,8199,21|56,0.506,0.9208,8466,19|56,0.493,0.9578,9015,25|56,0.507,0.9531
A. K-6,Cape May,710,Cape May City,9174,35|56,0.56,0.933,8887,27|56,0.538,0.9021,8496,16|56,0.537,0.9126
A. K-6,Cape May,2840,Lower Twp,8063,17|56,0.574,0.9424,8360,18|56,0.573,0.9574,8732,19|56,0.574,0.9552
A. K-6,Cape May,5610,West Cape May Boro,9062,30|56,0.572,0.9069,8141,17|56,0.575,0.8947,8125,11|56,0.584,0.8944
A. K-6,Essex,1400,Essex Fells Boro,11810,52|56,0.612,0.9232,11260,49|56,0.611,0.9233,12403,52|56,0.611,0.9183
A. K-6,Essex,1465,Fairfield Twp,9484,38|56,0.604,0.9363,9485,36|56,0.609,0.952,9682,34|56,0.6,0.9424
A. K-6,Essex,3630,North Caldwell Boro,9148,32|56,0.582,0.9168,8982,30|56,0.571,0.9067,9871,36|56,0.564,0.9206
A. K-6,Essex,4530,Roseland Boro,9609,40|56,0.604,0.9774,8930,28|56,0.593,0.9775,9596,32|56,0.595,0.9748
A. K-6,Gloucester,1180,East Greenwich Twp,6624,5|56,0.601,0.9393,6889,5|56,0.606,0.9442,7187,6|56,0.584,0.9294
A. K-6,Gloucester,1330,Elk Twp,7309,12|56,0.576,0.8913,7820,13|56,0.576,0.8734,8489,15|56,0.56,0.8688
A. K-6,Gloucester,1590,Franklin Twp,6670,6|56,0.567,0.9285,6731,4|56,0.544,0.9265,7135,5|56,0.54,0.9182
A. K-6,Gloucester,2070,Harrison Twp,6700,7|56,0.603,0.9431,7057,6|56,0.613,0.9562,7828,9|56,0.617,0.9446
A. K-6,Gloucester,2990,Mantua Twp,8941,26|56,0.619,0.9556,8824,25|56,0.618,0.967,8534,17|56,0.608,0.9713
A. K-6,Gloucester,3490,National Park Boro,8166,20|56,0.605,0.955,9062,31|56,0.595,0.9508,9968,38|56,0.604,0.9648
A. K-6,Gloucester,4880,South Harrison Twp,5631,1|56,0.484,0.8461,6255,2|56,0.538,0.8405,6260,2|56,0.514,0.8204
A. K-6,Gloucester,5120,Swedesboro-Woolwich,7278,11|56,0.612,0.9605,7341,8|56,0.591,0.9414,7041,4|56,0.544,0.8728
A. K-6,Gloucester,5590,Wenonah Boro,9236,37|56,0.62,0.9755,9994,40|56,0.588,0.928,9736,35|56,0.605,0.9422
A. K-6,Gloucester,5740,Westville Boro,8952,27|56,0.661,0.9738,7917,16|56,0.661,0.9743,8404,14|56,0.646,0.9726
A. K-6,Gloucester,5870,Woodbury Heights Boro,9547,39|56,0.654,0.9602,9520,37|56,0.66,0.9511,10298,39|56,0.634,0.943
A. K-6,Hunterdon,2590,Lebanon Boro,9986,43|56,0.491,0.9638,10327,44|56,0.548,0.9606,11416,47|56,0.542,0.954
A. K-6,Monmouth,130,Atlantic Highlands Boro,9164,33|56,0.637,0.9722,9063,32|56,0.624,0.9511,9387,29|56,0.626,0.9542
A. K-6,Monmouth,2160,Highlands Boro,9061,29|56,0.502,0.931,9593,38|56,0.492,0.9025,10400,41|56,0.484,0.8942
A. K-6,Monmouth,4520,Roosevelt Boro,11834,53|56,0.584,0.9454,11383,50|56,0.566,0.9226,10855,43|56,0.533,0.9338
A. K-6,Morris,3240,Mine Hill Twp,7450,13|56,0.545,0.9199,7681,11|56,0.538,0.935,8555,18|56,0.531,0.9288
A. K-6,Ocean,230,Beach Haven Boro,13364,56|56,0.454,0.923,13254,54|56,0.478,0.9319,13892,55|56,0.477,0.9369
A. K-6,Ocean,320,Berkeley Twp,7034,8|56,0.547,0.932,7388,9|56,0.559,0.9397,8380,13|56,0.555,0.9386
A. K-6,Ocean,1150,Eagleswood Twp,9076,31|56,0.601,0.9042,10195,41|56,0.619,0.912,10983,44|56,0.627,0.9138
A. K-6,Ocean,2350,Island Heights Boro,9030,28|56,0.551,0.8919,9454,34|56,0.555,0.9167,9948,37|56,0.581,0.9147
A. K-6,Ocean,2690,Little Egg Harbor Twp,9226,36|56,0.612,0.9789,9474,35|56,0.624,0.9712,9495,30|56,0.603,0.9643
A. K-6,Ocean,2760,Long Beach Island,12705,55|56,0.494,0.8963,13502,56|56,0.524,0.9012,14108,56|56,0.516,0.9001
A. K-6,Ocean,3800,Ocean Gate Boro,10782,46|56,0.613,0.9506,10262,43|56,0.6,0.9486,10800,42|56,0.561,0.9099
A. K-6,Ocean,3820,Ocean Twp,9810,41|56,0.549,0.9026,9921,39|56,0.543,0.9276,10346,40|56,0.483,0.9172
A. K-6,Ocean,4710,Seaside Heights Boro,10618,45|56,0.595,0.964,10195,41|56,0.57,0.9544,12319,51|56,0.605,0.9698
A. K-6,Ocean,5020,Stafford Twp,7642,15|56,0.523,0.8909,7893,14|56,0.52,0.9238,8075,10|56,0.504,0.9022
A. K-6,Ocean,5220,Tuckerton Boro,8236,22|56,0.568,0.9671,8600,20|56,0.557,0.9254,9321,27|56,0.572,0.9569
A. K-6,Sussex,1630,Fredon Twp,8115,18|56,0.504,0.9159,7799,12|56,0.481,0.909,8756,21|56,0.443,0.9042
A. K-6,Sussex,1980,Hampton Twp,11219,48|56,0.602,0.9637,11524,51|56,0.611,0.9514,12512,53|56,0.598,0.9526
A. K-6,Sussex,4650,Sandyston-Walpack Twp,11454,50|56,0.587,0.9227,11102,48|56,0.589,0.9101,11348,46|56,0.6,0.8981
A. K-6,Sussex,5040,Stillwater Twp,9863,42|56,0.618,0.9611,11055,47|56,0.619,0.9547,12076,50|56,0.584,0.932
A. K-6,Warren,400,Blairstown Twp,8129,19|56,0.551,0.9148,8759,23|56,0.566,0.9311,9253,26|56,0.553,0.9123
A. K-6,Warren,1620,Franklin Twp,10852,47|56,0.567,0.9572,11795,53|56,0.577,0.9524,11545,48|56,0.567,0.9516
A. K-6,Warren,1670,Frelinghuysen Twp,8378,23|56,0.575,0.8937,8817,24|56,0.569,0.8911,9522,31|56,0.536,0.8628
A. K-6,Warren,2470,Knowlton Twp,10078,44|56,0.579,0.9421,10803,45|56,0.589,0.9451,11550,49|56,0.536,0.9135
A. K-6,Warren,2970,Mansfield Twp,7860,16|56,0.642,0.9143,8701,22|56,0.654,0.9587,9000,24|56,0.667,0.971
A. K-6,Warren,5480,Washington Boro,7162,9|56,0.577,0.9154,7899,15|56,0.56,0.9175,8881,23|56,0.561,0.9003
A. K-6,Warren,5530,Washington Twp,9164,33|56,0.559,0.9608,8975,29|56,0.561,0.956,8734,20|56,0.521,0.9506
B. K-8 / 0 - 400,Statewide,N.A.,1. State average - Operating Type K-8,8584,N.A.,0.578,0.94,8862,N.A.,0.576,0.94,9393,N.A.,0.571,0.938
