CO,DIST,IND1,IND2,IND3,IND4,IND5,IND6,IND7,IND8,IND9,IND10,IND11,IND12,IND13,IND15,IND16A,IND16B,IND17A,IND17B,IND18A,IND18B,IND19,ENROLL,DISTNAME,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,COUNTY
80,6060,5359666,2802523,2089078,176686,536759,648689,191322,1866502,384923,502667,0,0,0,13894,16.6,53000,382,55000,254.7,69250,16,382,Atlantic Community Charter S,Atlantic,K. Charter,C,,,1,Atlantic
80,6104,4777094,3077211,2015703,450000,611508,717715,637715,1237169,599038,820000,0,0,0,20000,18.8,49500,216.5,53500,216.5,89000,12.5,433,International Academy Of Atl,Atlantic,K. Charter,C,,,1,Atlantic
80,7410,4577873,3059550,2917060,69515,72975,1035353,720663,1039916,860929,687921,0,0,0,24500,9.3,61045,117.3,57845,70.4,85000,8.2,352,Chartertech High School For,Atlantic,K. Charter,C,,,1,Atlantic
80,6013,11533991,6885727,6094505,502394,288828,1923736,1579945,3210940,1465835,1731979,0,0,0,79880,13.9,47000,228.4,60000,380.7,93636,29,1142,Bergen Arts And Sciences Cha,Bergen,K. Charter,C,,,1,Bergen
80,6430,3465168,2662950,2512450,87000,63500,631664,435664,713375,546875,449711,0,0,0,50000,11.1,65145,278,50400,139,168141,13,278,Englewood On The Palisades C,Bergen,K. Charter,C,,,1,Bergen
80,7890,4417463,2786159,2700659,45000,40500,616776,469276,661528,561414,978000,0,0,0,16000,12.4,65210,97.6,35986,80.5,115075,7.3,322,Teaneck Community Charter Sc,Bergen,K. Charter,C,,,1,Bergen
80,6026,1180480,846616,816816,16300,13500,87692,68692,340816,309116,159780,0,0,0,0,10.3,42000,144,55000,72,87500,7.5,144,Riverbank Charter School Of,Burlington,K. Charter,C,,,1,Burlington
80,6076,2181677,1331864,1256864,65000,10000,344641,290516,586424,457998,238656,0,0,0,10000,11.9,51500,180,50000,60,125000,5.4,180,Benjamin Banneker Preparator,Burlington,K. Charter,C,,,1,Burlington
80,1799,15906063,11124224,8064946,947641,2111637,3565995,1915263,2868054,1295243,1230451,0,0,0,0,19.5,65000,370.7,73232,,,,1112,Kipp Cooper Norcross,Camden,K. Charter,C,,,1,Camden
80,1801,7100234,2981019,1042867,987607,950545,1376016,377390,4401975,2445354,804860,0,0,0,11000,18.6,59000,,,192,105000,10.3,576,Camden Prep,Camden,K. Charter,C,,,1,Camden
80,1802,26625000,15936073,11954073,894500,3087500,4484387,1664387,8069040,3906270,3688000,0,0,0,467500,12.7,64500,280.1,66352,171.4,113000,14.1,1885,Mastery Schools Of Camden,Camden,K. Charter,C,,,1,Camden
80,6067,2179778,1418745,1303971,63508,51266,290207,132955,902015,692295,72000,0,0,0,0,11.1,50600,105,52750,35,75000,3.5,210,The Kingdom Charter School O,Camden,K. Charter,C,,,1,Camden
80,6086,2664148,1786509,1672509,60000,54000,276151,113502,664463,522373,369700,0,0,0,0,8,47000,147.1,40454,103,116330,13.5,206,Hope Community Cs,Camden,K. Charter,C,,,1,Camden
80,6107,23527801,17779194,16142672,630522,1006000,1668224,1223884,2766679,1966556,5627077,0,0,0,0,10.5,52000,100.8,61200,143.2,98000,15,2077,Camden's Promise Charter Sch,Camden,K. Charter,C,,,1,Camden
80,6232,3002472,2031809,1683109,120000,228700,545840,200840,613577,476577,411246,0,0,0,35419,8.5,55000,115,50750,80.5,107790,10.2,161,Environment Community Opport,Camden,K. Charter,C,,,1,Camden
80,6240,10278167,5871496,4815828,465530,590138,859367,379027,3993779,1805791,1242996,0,0,0,0,,,,,,,,893,Freedom Prep Charter School,Camden,K. Charter,C,,,1,Camden
80,7109,15634646,9017558,8939808,62750,15000,4000799,2752691,3675673,2764309,1392694,0,0,0,0,15.1,56957,600,52250,260,100776,17.6,1560,Leap Academy University Char,Camden,K. Charter,C,,,1,Camden
80,6028,3195061,1764873,1563373,100000,101500,524741,337721,856359,518859,643209,0,0,0,0,12,45000,144.3,50000,144.3,110345,13,433,Vineland Public Charter Scho,Cumberland,K. Charter,C,,,1,Cumberland
80,6069,2493788,1426528,1320028,62000,44500,435252,195252,505633,262033,548876,0,0,0,0,9.7,46183,292,49440,97.3,72000,10.3,292,Millville Public Charter Sch,Cumberland,K. Charter,C,,,1,Cumberland
80,6089,1486205,1009635,919321,56514,33800,146489,105321,353266,239905,185825,0,0,0,10000,13.5,46875,105,55500,140,70693,11.7,210,Compass Academy Charter Scho,Cumberland,K. Charter,C,,,1,Cumberland
80,6100,1301247,477810,420810,49000,8000,177994,39760,497789,307789,380768,0,0,0,0,7.9,45000,,,37,90000,4.7,111,Bridgeton Public Charter Sch,Cumberland,K. Charter,C,,,1,Cumberland
80,6020,3849371,2048553,1951003,48800,48750,700632,517632,978969,848729,575000,0,0,0,40000,11.5,57000,96,61226,48,87411,4.7,288,Pride Academy Charter School,Essex,K. Charter,C,,,1,Essex
80,6022,3723105,2301217,2124582,120000,56635,714588,450078,782683,430803,750137,0,0,0,0,14.2,53679,118.3,64890,118.3,100000,9.3,355,Burch Charter School Of Exce,Essex,K. Charter,C,,,1,Essex
80,6029,3385307,1737676,1547806,115000,74870,462545,193128,771696,569934,940985,0,0,0,6000,14.6,54590,124,49774,62,81275,4.8,248,Newark Educators Community C,Essex,K. Charter,C,,,1,Essex
80,6053,16575377,10150015,7166787,1182501,1800727,2134915,885156,5278260,4645932,2177057,0,0,0,123675,18.3,56008,141.1,66625,115.5,85000,7.1,1270,Great Oaks Legacy Charter Sc,Essex,K. Charter,C,,,1,Essex
80,6057,6292049,4212898,3755151,145188,312559,904922,711622,1696570,1472842,385158,0,0,0,0,15.8,63000,95,58100,126.7,135000,9.3,380,Peoples Preparatory Charter,Essex,K. Charter,C,,,1,Essex
80,6058,4693527,3348858,2821208,330907,196743,662857,340641,1136873,921173,551686,0,0,0,0,12,54590,97.1,65000,82.5,114406,7.7,330,Roseville Community Charter,Essex,K. Charter,C,,,1,Essex
80,6094,4457204,2658031,2484883,86815,86333,634468,534458,1034467,430584,753223,0,0,0,0,11.4,55705,144.7,66300,108.5,80000,10.3,434,Phillip's Academy Charter Sc,Essex,K. Charter,C,,,1,Essex
80,6099,4296678,2993258,2712358,81900,199000,654202,377002,1156300,974295,334412,0,0,0,20000,9,58980,135.7,68731,126.7,80000,14.6,285,Link Community Charter Schoo,Essex,K. Charter,C,,,1,Essex
