GROUP,CONAME,DIST,DISTNAME,PP11,RK11,PP21,RK21,PP31,RK31,E11,E21,E31
A. K-6,Statewide,N.A.,1. State average - Operating Type K-6,14139,N.A.,14554,N.A.,15452,N.A.,,,
A. K-6,Statewide,N.A.,2. State median - Operating Type K-6,15084,N.A.,15530,N.A.,16280,N.A.,,,
A. K-6,Statewide,N.A.,5. State average - All operating types,14940,N.A.,15258,N.A.,15955,N.A.,,,
A. K-6,Statewide,N.A.,6. State median - All operating types,14806,N.A.,15249,N.A.,15954,N.A.,,,
A. K-6,Bergen,1270,Edgewater Boro,11219,4|56,11599,4|56,11725,2|56,906,906,929
A. K-6,Bergen,3870,Oradell Boro,13032,13|56,13363,12|56,13012,8|56,757,773,855
A. K-6,Bergen,4410,River Edge Boro,13177,14|56,13376,13|56,14082,13|56,1177,1192,1197
A. K-6,Bergen,4620,Saddle River Boro,25526,54|56,28684,56|56,29949,56|56,175,151,147
A. K-6,Burlington,200,Bass River Twp,20474,53|56,20496,53|56,17095,34|56,109,106,134
A. K-6,Burlington,830,Chesterfield Twp,11148,3|56,11398,2|56,11381,1|56,764,767,807
A. K-6,Burlington,2960,Mansfield Twp,13885,18|56,16300,34|56,15456,19|56,640,611,697
A. K-6,Burlington,3650,North Hanover Twp,15296,30|56,15562,29|56,16689,31|56,1193,1173,1200
A. K-6,Burlington,5010,Springfield Twp,19098,47|56,18624,46|56,19522,42|56,224,237,238
A. K-6,Camden,2540,Laurel Springs Boro,11504,5|56,12358,7|56,14748,14|56,198,196,188
A. K-6,Camden,5560,Waterford Twp,16198,37|56,17166,40|56,17785,39|56,830,803,782
A. K-6,Cape May,710,Cape May City,16376,38|56,16513,36|56,15831,21|56,188,197,223
A. K-6,Cape May,2840,Lower Twp,14040,19|56,14592,21|56,15209,18|56,1725,1666,1686
A. K-6,Cape May,5610,West Cape May Boro,15849,33|56,14171,16|56,13912,11|56,82,95,111
A. K-6,Essex,1400,Essex Fells Boro,19295,49|56,18442,45|56,20310,44|56,207,223,226
