GROUP,CONAME,DIST,DISTNAME,STRAT0016,RK0016,SALT0016,RKSAL0016,STRAT0116,RK0116,SALT0116,RKSAL0116
A. K-6,Statewide,N.A.,K-6 Average,11.1,N.A.,59926,N.A.,10.9,N.A.,61184,N.A.
A. K-6,Statewide,N.A.,Statewide,11.9,N.A.,66150,N.A.,11.9,N.A.,67812,N.A.
A. K-6,Bergen,1270,Edgewater Boro,14.2,2|56,54028,7|56,13.7,1|56,55578,10|56
A. K-6,Bergen,3870,Oradell Boro,12.4,7|56,58540,23|56,11.9,10|56,58208,21|56
A. K-6,Bergen,4410,River Edge Boro,12.9,6|56,62213,40|56,12.8,3|56,61977,35|56
A. K-6,Bergen,4620,Saddle River Boro,7.9,49|56,74493,56|56,8.9,42|56,74718,56|56
A. K-6,Burlington,200,Bass River Twp,7.5,53|56,60434,34|56,7.8,51|56,60434,27|56
A. K-6,Burlington,830,Chesterfield Twp,13.2,4|56,59570,30|56,12.9,2|56,59570,25|56
A. K-6,Burlington,2960,Mansfield Twp,10.9,20|56,60264,32|56,9.6,31|56,62288,38|56
A. K-6,Burlington,3650,North Hanover Twp,10.7,22|56,62613,43|56,10.3,28|56,69225,49|56
A. K-6,Burlington,5010,Springfield Twp,38.2,1|56,53900,6|56,9.1,38|56,61278,30|56
A. K-6,Camden,2540,Laurel Springs Boro,13.4,3|56,55526,14|56,12.2,6|56,58081,19|56
A. K-6,Camden,5560,Waterford Twp,10.4,29|56,60592,35|56,11.0,19|56,59003,23|56
A. K-6,Cape May,710,Cape May City,9.7,36|56,56795,18|56,8.3,46|56,58105,20|56
A. K-6,Cape May,2840,Lower Twp,12.3,8|56,57265,19|56,11.7,13|56,59507,24|56
A. K-6,Cape May,5610,West Cape May Boro,11.3,17|56,54382,11|56,10.7,24|56,53256,4|56
A. K-6,Essex,1400,Essex Fells Boro,7.9,49|56,60938,37|56,7.5,53|56,62536,39|56
A. K-6,Essex,1465,Fairfield Twp,10.4,29|56,62083,39|56,10.5,26|56,67277,46|56
A. K-6,Essex,3630,North Caldwell Boro,10.5,26|56,52218,3|56,10.0,30|56,51970,2|56
A. K-6,Essex,4530,Roseland Boro,12.1,11|56,63153,45|56,12.4,5|56,63529,40|56
A. K-6,Gloucester,1180,East Greenwich Twp,12.2,9|56,58843,26|56,11.9,10|56,58538,22|56
A. K-6,Gloucester,1330,Elk Twp,10.4,29|56,62354,42|56,11.5,16|56,61799,34|56
A. K-6,Gloucester,1590,Franklin Twp,12.2,9|56,53267,5|56,11.4,17|56,52824,3|56
A. K-6,Gloucester,2070,Harrison Twp,13.0,5|56,58525,22|56,12.0,8|56,70625,54|56
A. K-6,Gloucester,2990,Mantua Twp,10.5,26|56,59799,31|56,11.4,17|56,57053,15|56
A. K-6,Gloucester,3490,National Park Boro,10.7,22|56,73064,55|56,10.8,21|56,69561,51|56
A. K-6,Gloucester,4880,South Harrison Twp,11.2,18|56,54756,12|56,11.7,13|56,54006,6|56
A. K-6,Gloucester,5120,Swedesboro-Woolwich,11.9,14|56,56611,16|56,11.7,13|56,61582,32|56
A. K-6,Gloucester,5590,Wenonah Boro,8.0,47|56,58839,25|56,9.4,36|56,60454,28|56
A. K-6,Gloucester,5740,Westville Boro,12.0,13|56,69715,52|56,12.5,4|56,70470,52|56
A. K-6,Gloucester,5870,Woodbury Heights Boro,9.4,37|56,56292,15|56,9.3,37|56,55242,9|56
A. K-6,Hunterdon,2590,Lebanon Boro,7.0,55|56,54310,9|56,5.9,55|56,53760,5|56
A. K-6,Monmouth,130,Atlantic Highlands Boro,11.4,16|56,72816,54|56,10.8,21|56,74589,55|56
A. K-6,Monmouth,2160,Highlands Boro,9.2,42|56,60395,33|56,9.0,41|56,61195,29|56
A. K-6,Monmouth,4520,Roosevelt Boro,9.9,35|56,52471,4|56,8.4,45|56,55098,8|56
A. K-6,Morris,3240,Mine Hill Twp,10.9,20|56,56775,17|56,10.9,20|56,57925,18|56
A. K-6,Ocean,230,Beach Haven Boro,6.1,56|56,51345,1|56,5.0,56|56,51345,1|56
A. K-6,Ocean,320,Berkeley Twp,11.9,14|56,58961,27|56,12.2,6|56,62056,36|56
