GROUP,CONAME,DIST,DISTNAME,FARAT0019,RK0019,FARAT0119,RK0119
A. K-6,Statewide,N.A.,K-6 Average,14.1,N.A.,14.4,N.A.
A. K-6,Statewide,N.A.,Statewide,14.5,N.A.,14.7,N.A.
A. K-6,Bergen,1270,Edgewater Boro,12.6,29|56,13.4,28|56
A. K-6,Bergen,3870,Oradell Boro,9.9,43|56,12.8,31|56
A. K-6,Bergen,4410,River Edge Boro,11.7,33|56,12.5,34|56
A. K-6,Bergen,4620,Saddle River Boro,5.6,54|56,5.0,56|56
A. K-6,Burlington,200,Bass River Twp,16.1,22|56,15.6,23|56
A. K-6,Burlington,830,Chesterfield Twp,11.7,33|56,13.2,29|56
A. K-6,Burlington,2960,Mansfield Twp,11.2,39|56,12.9,30|56
A. K-6,Burlington,3650,North Hanover Twp,16.5,19|56,16.4,16|56
A. K-6,Burlington,5010,Springfield Twp,3.4,56|56,7.7,53|56
A. K-6,Camden,2540,Laurel Springs Boro,10.8,40|56,10.7,41|56
A. K-6,Camden,5560,Waterford Twp,12.0,31|56,15.0,24|56
A. K-6,Cape May,710,Cape May City,7.4,51|56,7.4,54|56
A. K-6,Cape May,2840,Lower Twp,17.8,11|56,18.2,8|56
A. K-6,Cape May,5610,West Cape May Boro,4.7,55|56,5.2,55|56
A. K-6,Essex,1400,Essex Fells Boro,16.3,21|56,16.9,15|56
A. K-6,Essex,1465,Fairfield Twp,18.1,9|56,18.9,6|56
A. K-6,Essex,3630,North Caldwell Boro,19.1,7|56,19.0,5|56
A. K-6,Essex,4530,Roseland Boro,11.5,36|56,9.0,49|56
A. K-6,Gloucester,1180,East Greenwich Twp,17.0,15|56,17.4,13|56
A. K-6,Gloucester,1330,Elk Twp,17.2,14|56,18.0,10|56
A. K-6,Gloucester,1590,Franklin Twp,17.0,15|56,17.7,12|56
A. K-6,Gloucester,2070,Harrison Twp,12.4,30|56,16.1,18|56
A. K-6,Gloucester,2990,Mantua Twp,19.6,6|56,18.5,7|56
A. K-6,Gloucester,3490,National Park Boro,15.5,25|56,15.8,20|56
A. K-6,Gloucester,4880,South Harrison Twp,38.0,1|56,36.0,1|56
A. K-6,Gloucester,5120,Swedesboro-Woolwich,16.0,23|56,15.9,19|56
A. K-6,Gloucester,5590,Wenonah Boro,17.4,12|56,12.3,36|56
A. K-6,Gloucester,5740,Westville Boro,16.6,18|56,15.7,22|56
A. K-6,Gloucester,5870,Woodbury Heights Boro,27.0,3|56,27.4,3|56
A. K-6,Hunterdon,2590,Lebanon Boro,8.3,50|56,9.0,49|56
A. K-6,Monmouth,130,Atlantic Highlands Boro,13.2,28|56,10.6,42|56
A. K-6,Monmouth,2160,Highlands Boro,11.8,32|56,12.1,37|56
A. K-6,Monmouth,4520,Roosevelt Boro,13.5,27|56,13.7,26|56
A. K-6,Morris,3240,Mine Hill Twp,11.5,36|56,11.8,39|56
A. K-6,Ocean,230,Beach Haven Boro,6.5,53|56,12.0,38|56
A. K-6,Ocean,320,Berkeley Twp,17.3,13|56,17.2,14|56
A. K-6,Ocean,1150,Eagleswood Twp,8.4,49|56,7.9,52|56
A. K-6,Ocean,2350,Island Heights Boro,9.3,46|56,9.3,46|56
A. K-6,Ocean,2690,Little Egg Harbor Twp,16.4,20|56,14.9,25|56
A. K-6,Ocean,2760,Long Beach Island,11.6,35|56,12.4,35|56
A. K-6,Ocean,3800,Ocean Gate Boro,8.8,48|56,9.2,47|56
A. K-6,Ocean,3820,Ocean Twp,19.9,5|56,15.8,20|56
A. K-6,Ocean,4710,Seaside Heights Boro,28.3,2|56,29.1,2|56
A. K-6,Ocean,5020,Stafford Twp,15.9,24|56,16.3,17|56
A. K-6,Ocean,5220,Tuckerton Boro,18.0,10|56,17.9,11|56
A. K-6,Sussex,1630,Fredon Twp,9.4,45|56,10.6,42|56
A. K-6,Sussex,1980,Hampton Twp,9.2,47|56,8.7,51|56
A. K-6,Sussex,4650,Sandyston-Walpack Twp,18.3,8|56,18.2,8|56
A. K-6,Sussex,5040,Stillwater Twp,10.8,40|56,10.3,44|56
A. K-6,Warren,400,Blairstown Twp,11.5,36|56,11.1,40|56
A. K-6,Warren,1620,Franklin Twp,10.0,42|56,10.0,45|56
A. K-6,Warren,1670,Frelinghuysen Twp,7.4,51|56,12.8,31|56
A. K-6,Warren,2470,Knowlton Twp,9.7,44|56,9.2,47|56
A. K-6,Warren,2970,Mansfield Twp,21.0,4|56,20.5,4|56
A. K-6,Warren,5480,Washington Boro,16.8,17|56,12.8,31|56
A. K-6,Warren,5530,Washington Twp,14.5,26|56,13.7,26|56
B. K-8 / 0 - 400,Statewide,N.A.,K-8 Average,15.1,N.A.,15.1,N.A.
B. K-8 / 0 - 400,Statewide,N.A.,Statewide,14.5,N.A.,14.7,N.A.
B. K-8 / 0 - 400,Atlantic,1410,Estell Manor City,7.3,63|75,7.8,65|75
B. K-8 / 0 - 400,Atlantic,1540,Folsom Boro,15.7,N.A.,15.3,15|75
B. K-8 / 0 - 400,Atlantic,3020,Margate City,11.6,33|75,11.9,31|75
B. K-8 / 0 - 400,Atlantic,4240,Port Republic City,10.5,42|75,13.7,19|75
B. K-8 / 0 - 400,Atlantic,5760,Weymouth Twp,6.0,68|75,7.6,66|75
B. K-8 / 0 - 400,Bergen,80,Alpine Boro,6.2,67|75,7.0,70|75
B. K-8 / 0 - 400,Bergen,3350,Moonachie Boro,15.8,15|75,10.3,45|75
B. K-8 / 0 - 400,Bergen,4870,South Hackensack Twp,5.9,71|75,7.3,69|75
B. K-8 / 0 - 400,Burlington,380,Beverly City,6.0,68|75,5.9,71|75
B. K-8 / 0 - 400,Burlington,3540,New Hanover Twp,10.9,37|75,10.5,41|75
B. K-8 / 0 - 400,Burlington,4460,Riverton,13.7,24|75,13.7,19|75
B. K-8 / 0 - 400,Burlington,5890,Woodland Twp,6.4,66|75,9.9,49|75
B. K-8 / 0 - 400,Camden,580,Brooklawn Boro,9.3,56|75,27.4,1|75
