GROUP,CONAME,DIST,DISTNAME,SARAT0018,RK0018,SALAM0018,RKSAL0018,SARAT0118,RK0118,SALAM0118,RKSAL0118
A. K-6,Statewide,N.A.,K-6 Average,136.0,N.A.,107170,N.A.,136.6,N.A.,109000,N.A.
A. K-6,Statewide,N.A.,Statewide,148.7,N.A.,121550,N.A.,150.9,N.A.,123906,N.A.
A. K-6,Bergen,1270,Edgewater Boro,153.3,18|56,128166,55|56,159.3,17|56,137684,54|56
A. K-6,Bergen,3870,Oradell Boro,109.3,34|56,110000,39|56,134.9,27|56,109681,33|56
A. K-6,Bergen,4410,River Edge Boro,131.4,27|56,142800,56|56,140.2,24|56,150504,56|56
A. K-6,Bergen,4620,Saddle River Boro,38.5,55|56,122556,53|56,37.7,56|56,112406,40|56
A. K-6,Burlington,200,Bass River Twp,103.0,37|56,117986,49|56,107.0,35|56,130000,52|56
A. K-6,Burlington,830,Chesterfield Twp,136.4,25|56,99796,23|56,150.8,18|56,106644,27|56
A. K-6,Burlington,2960,Mansfield Twp,108.6,35|56,106044,33|56,111.8,33|56,96823,16|56
A. K-6,Burlington,3650,North Hanover Twp,149.1,20|56,115568,47|56,141.5,21|56,122876,48|56
A. K-6,Burlington,5010,Springfield Twp,92.8,39|56,86430,12|56,61.7,50|56,83215,10|56
A. K-6,Camden,2540,Laurel Springs Boro,122.7,29|56,41720,3|56,111.0,34|56,42498,4|56
A. K-6,Camden,5560,Waterford Twp,108.1,36|56,104921,30|56,140.7,23|56,104921,24|56
A. K-6,Cape May,710,Cape May City,68.3,50|56,83361,10|56,58.7,53|56,85862,11|56
A. K-6,Cape May,2840,Lower Twp,188.6,5|56,98300,19|56,186.2,6|56,100211,19|56
A. K-6,Cape May,5610,West Cape May Boro,49.0,54|56,105545,31|56,51.0,55|56,107703,28|56
A. K-6,Essex,1400,Essex Fells Boro,111.5,33|56,110704,41|56,114.0,31|56,128539,51|56
A. K-6,Essex,1465,Fairfield Twp,163.8,16|56,119246,50|56,170.3,12|56,130207,53|56
A. K-6,Essex,3630,North Caldwell Boro,172.5,10|56,115000,45|56,166.5,14|56,115000,42|56
A. K-6,Essex,4530,Roseland Boro,115.0,32|56,99000,21|56,91.2,39|56,109000,31|56
A. K-6,Gloucester,1180,East Greenwich Twp,179.9,7|56,111000,42|56,181.4,7|56,111000,36|56
A. K-6,Gloucester,1330,Elk Twp,168.5,13|56,45000,4|56,189.0,5|56,45000,5|56
A. K-6,Gloucester,1590,Franklin Twp,178.9,8|56,107477,37|56,175.3,10|56,110933,35|56
A. K-6,Gloucester,2070,Harrison Twp,142.7,24|56,107113,35|56,174.5,11|56,114128,41|56
A. K-6,Gloucester,2990,Mantua Twp,180.7,6|56,102911,28|56,181.0,8|56,105998,25|56
A. K-6,Gloucester,3490,National Park Boro,145.0,22|56,33500,1|56,150.6,19|56,33500,1|56
A. K-6,Gloucester,4880,South Harrison Twp,383.0,1|56,101806,26|56,364.0,1|56,103841,22|56
A. K-6,Gloucester,5120,Swedesboro-Woolwich,168.8,12|56,106854,34|56,165.7,15|56,111193,37|56
A. K-6,Gloucester,5590,Wenonah Boro,126.4,28|56,91200,15|56,100.6,36|56,92500,12|56
A. K-6,Gloucester,5740,Westville Boro,170.0,11|56,33500,1|56,165.0,16|56,33500,1|56
A. K-6,Gloucester,5870,Woodbury Heights Boro,226.0,2|56,110000,39|56,228.0,3|56,110000,34|56
A. K-6,Hunterdon,2590,Lebanon Boro,51.0,53|56,83625,11|56,53.5,54|56,38695,3|56
A. K-6,Monmouth,130,Atlantic Highlands Boro,134.5,26|56,55275,5|56,100.6,36|56,112270,39|56
A. K-6,Monmouth,2160,Highlands Boro,90.9,40|56,55833,6|56,95.7,38|56,55833,6|56
A. K-6,Monmouth,4520,Roosevelt Boro,93.0,38|56,125000,54|56,79.0,42|56,125000,50|56
A. K-6,Morris,3240,Mine Hill Twp,116.3,31|56,119705,51|56,120.0,29|56,122996,49|56
A. K-6,Ocean,230,Beach Haven Boro,35.0,56|56,120500,52|56,59.0,52|56,115000,42|56
A. K-6,Ocean,320,Berkeley Twp,177.7,9|56,107750,38|56,179.3,9|56,109000,31|56
A. K-6,Ocean,1150,Eagleswood Twp,70.5,49|56,95470,18|56,71.0,47|56,95470,14|56
A. K-6,Ocean,2350,Island Heights Boro,84.0,41|56,73919,8|56,80.0,41|56,77086,8|56
A. K-6,Ocean,2690,Little Egg Harbor Twp,149.3,19|56,107308,36|56,142.8,20|56,111516,38|56
A. K-6,Ocean,2760,Long Beach Island,75.3,45|56,111869,43|56,78.3,43|56,116165,45|56
A. K-6,Ocean,3800,Ocean Gate Boro,74.5,47|56,99755,22|56,78.0,44|56,107722,29|56
A. K-6,Ocean,3820,Ocean Twp,165.5,15|56,102622,27|56,125.1,28|56,102622,21|56
A. K-6,Ocean,4710,Seaside Heights Boro,211.0,3|56,88759,14|56,233.0,2|56,92535,13|56
A. K-6,Ocean,5020,Stafford Twp,166.5,14|56,113381,44|56,167.5,13|56,116947,46|56
A. K-6,Ocean,5220,Tuckerton Boro,144.5,23|56,100801,25|56,136.5,26|56,106377,26|56
A. K-6,Sussex,1630,Fredon Twp,80.3,43|56,87125,13|56,73.7,46|56,102500,20|56
A. K-6,Sussex,1980,Hampton Twp,64.2,51|56,81750,9|56,62.4,49|56,82650,9|56
A. K-6,Sussex,4650,Sandyston-Walpack Twp,149.0,21|56,115000,45|56,141.0,22|56,115000,42|56
A. K-6,Sussex,5040,Stillwater Twp,82.6,42|56,94095,16|56,81.7,40|56,96165,15|56
A. K-6,Warren,400,Blairstown Twp,79.6,44|56,103858,29|56,76.0,45|56,103858,23|56
A. K-6,Warren,1620,Franklin Twp,73.7,48|56,94464,17|56,70.7,48|56,96826,17|56
A. K-6,Warren,1670,Frelinghuysen Twp,75.0,46|56,98750,20|56,140.0,25|56,140288,55|56
A. K-6,Warren,2470,Knowlton Twp,64.0,52|56,71890,7|56,61.3,51|56,73688,7|56
A. K-6,Warren,2970,Mansfield Twp,201.3,4|56,105826,32|56,196.6,4|56,107887,30|56
A. K-6,Warren,5480,Washington Boro,157.5,17|56,100800,24|56,115.8,30|56,100000,18|56
A. K-6,Warren,5530,Washington Twp,117.5,30|56,116737,48|56,112.5,32|56,117981,47|56
B. K-8 / 0 - 400,Statewide,N.A.,K-8 Average,142.4,N.A.,115173,N.A.,142.2,N.A.,118007,N.A.
B. K-8 / 0 - 400,Statewide,N.A.,Statewide,148.7,N.A.,121550,N.A.,150.9,N.A.,123906,N.A.
B. K-8 / 0 - 400,Atlantic,1410,Estell Manor City,76.4,53|75,85884,24|75,81.8,47|75,85000,19|75
B. K-8 / 0 - 400,Atlantic,1540,Folsom Boro,134.3,N.A.,87205,N.A.,132.7,11|75,90257,23|75
B. K-8 / 0 - 400,Atlantic,3020,Margate City,73.0,56|75,117413,65|75,73.2,57|75,117413,59|75
B. K-8 / 0 - 400,Atlantic,4240,Port Republic City,84.3,44|75,68308,11|75,116.0,18|75,95900,30|75
B. K-8 / 0 - 400,Atlantic,5760,Weymouth Twp,51.7,69|75,74825,17|75,61.2,66|75,84250,17|75
B. K-8 / 0 - 400,Bergen,80,Alpine Boro,39.8,72|75,115500,63|75,37.0,72|75,129451,66|75
B. K-8 / 0 - 400,Bergen,3350,Moonachie Boro,157.0,11|75,109750,57|75,104.0,30|75,95000,29|75
B. K-8 / 0 - 400,Bergen,4870,South Hackensack Twp,76.3,54|75,130000,70|75,90.0,41|75,132499,69|75
B. K-8 / 0 - 400,Burlington,380,Beverly City,56.2,66|75,62997,7|75,55.4,67|75,67758,6|75
B. K-8 / 0 - 400,Burlington,3540,New Hanover Twp,78.4,49|75,70000,12|75,77.2,52|75,75675,12|75
B. K-8 / 0 - 400,Burlington,4460,Riverton,132.3,16|75,80340,20|75,134.5,8|75,72000,7|75
B. K-8 / 0 - 400,Burlington,5890,Woodland Twp,61.3,64|75,87919,28|75,71.1,59|75,77521,14|75
B. K-8 / 0 - 400,Camden,580,Brooklawn Boro,96.5,39|75,66423,9|75,276.4,1|75,73000,9|75
B. K-8 / 0 - 400,Camden,1720,Gibbsboro Boro,163.3,7|75,67812,10|75,187.9,3|75,127500,65|75
B. K-8 / 0 - 400,Camden,2560,Lawnside Boro,54.8,67|75,70707,13|75,64.4,64|75,74622,11|75
B. K-8 / 0 - 400,Camden,5900,Woodlynne Boro,388.0,1|75,500,1|75,121.3,15|75,65000,5|75
B. K-8 / 0 - 400,Cape May,170,Avalon Boro,14.3,75|75,97419,36|75,24.3,74|75,99368,34|75
B. K-8 / 0 - 400,Cape May,3680,North Wildwood City,63.3,61|75,107772,53|75,52.5,69|75,105805,48|75
