CO,DIST,IND1,IND2,IND3,IND4,IND5,IND6,IND7,IND8,IND9,IND10,IND11,IND12,IND13,IND15,IND16A,IND16B,IND17A,IND17B,IND18A,IND18B,IND19,ENROLL,DISTNAME,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,COUNTY
1,10,10325291,6887628,6661692,172036,53900,1102680,965672,1253268,1024165,1025282,562205,0,47895,2730,13.2,77716,115.9,82775,173.8,107134,14.7,839,Absecon City,Atlantic,D. K-8 / 751 +,2,CD,,1,Atlantic
1,110,124432810,79938056,74149849,2307259,3480948,13431974,11790141,11516671,8811163,18242777,9368158,0,918906,360000,11,96488,94.3,100939,225.7,144471,22.9,7032,Atlantic City,Atlantic,G. K-12 / 3501 +,3,A,,1,Atlantic
1,120,21969769,12105642,11228290,474173,403179,2406443,2192333,2322057,1681523,4208563,2184313,0,589731,188400,12.1,56360,123.8,56085,178.9,100221,16.3,1569,Atlantic Co Vocational,Atlantic,J. VOC,8,,,1,Atlantic
1,125,19486238,10875770,10432963,139497,303310,3881438,3599858,2421001,1992561,2185529,1162440,120000,0,58610,5.9,85326,11.9,92609,49.3,107625,12.4,353,Atlantic Co Special Serv,Atlantic,I. CSSD,7,,,1,Atlantic
1,570,14585579,9089494,8746594,233600,109300,2205174,1874664,1193730,935430,1904155,1015684,0,185601,125904,8.6,91899,52.5,93421,132.5,111389,18,625,Brigantine City,Atlantic,C. K-8 / 401 - 750,2,CD,,1,Atlantic
1,590,30325051,17866543,17294896,236092,335555,4666228,3664094,3457822,2659277,3387393,1657192,0,918915,317678,11.5,82896,58.1,84059,145.2,119954,15.2,1787,Buena Regional,Atlantic,E. K-12 / 0 - 1800,3,A,,1,Atlantic
1,1300,7794500,4615432,4337082,151950,126400,1273465,1156540,874097,719247,946477,403606,0,85029,0,11.1,58526,66.8,69139,133.5,114892,14,507,Egg Harbor City,Atlantic,C. K-8 / 401 - 750,2,A,,1,Atlantic
1,1310,108673713,63760078,61329390,1239154,1191534,20510784,18862534,9417081,7657521,12695380,7752987,0,1171082,236112,12.2,69688,75.7,69125,188.2,105817,17.9,7279,Egg Harbor Twp,Atlantic,G. K-12 / 3501 +,3,CD,,1,Atlantic
1,1410,3051206,1742826,1601301,122825,18700,431534,372284,333870,268880,505377,232154,0,27420,0,12.6,73677,55.6,55745,81.8,85000,7.8,175,Estell Manor City,Atlantic,B. K-8 / 0 - 400,2,DE,,1,Atlantic
1,1540,5918829,3545167,3294167,175000,76000,1098002,989502,675188,442953,534046,286777,0,63028,0,10.2,56036,56.9,54828,132.7,90257,15.3,402,Folsom Boro,Atlantic,B. K-8 / 0 - 400,2,CD,,1,Atlantic
1,1690,52542128,34714815,33627141,860085,227589,7646818,6842776,4927184,4257651,5005566,2798601,65000,139291,47782,11,80910,74.7,83210,193.3,24440,20.1,3269,Galloway Twp,Atlantic,D. K-8 / 751 +,2,CD,,1,Atlantic
1,1790,52364283,28188712,25474443,1028707,1685562,7080908,6381985,5601122,3924497,8447205,4714151,0,3009205,0,11.7,57116,95.8,73510,105.1,87756,10,3157,Greater Egg Harbor Reg,Atlantic,H. 7-12 / 9-12,5,CD,,1,Atlantic
1,1940,39442165,25632547,24301835,1025941,304771,5387597,4835259,3941537,3228958,4290862,2229882,0,173758,0,11.8,66821,94.9,76477,196.2,115724,18.6,3096,Hamilton Twp,Atlantic,D. K-8 / 751 +,2,CD,,1,Atlantic
1,1960,41389651,25149386,24344059,622310,183017,6102412,5382200,4418199,3500750,4228102,1958037,0,1071786,0,14.2,66600,112.9,72026,193.4,111872,15.3,3606,Hammonton Town,Atlantic,F. K-12 / 1801 - 3500,3,B,,1,Atlantic
1,2680,13670618,8131986,7752832,304275,74879,2121138,1983578,1566874,1198654,1709586,743084,0,141034,8000,11.5,68406,67.6,58079,136.5,98846,13.9,835,Linwood City,Atlantic,D. K-8 / 751 +,2,GH,,1,Atlantic
1,2910,24694960,13837996,13442400,395596,0,3458492,3109844,2023806,1480520,3360845,1488977,200000,1492809,148500,11.4,87851,74.5,89151,126.7,121593,12.8,1265,Mainland Regional,Atlantic,H. 7-12 / 9-12,5,DE,,1,Atlantic
1,3020,10678853,6427968,5978576,448392,1000,1754532,1381101,734916,614262,1563101,713040,43458,134684,18289,7.1,93275,45.8,93275,73.2,117413,11.9,362,Margate City,Atlantic,B. K-8 / 0 - 400,2,DE,,1,Atlantic
1,3480,10445590,6098323,5827598,214825,55900,1815385,1503535,1211716,893692,1225836,602300,10000,84331,25000,13,53575,95.1,54963,173.9,95588,15.2,738,Mullica Twp,Atlantic,C. K-8 / 401 - 750,2,B,,1,Atlantic
1,3720,13404904,9283630,8886605,352000,45025,1365699,1200249,1447523,1122041,1231020,556104,0,77032,0,11,53863,87.3,50426,181.6,95000,18.6,916,Northfield City,Atlantic,D. K-8 / 751 +,2,DE,,1,Atlantic
1,4180,68195348,39562457,36910142,1954454,697861,10440702,9077931,7106055,5847349,9351809,4077507,0,1124275,175848,10.3,55811,64.9,56849,146,112513,16.5,3646,Pleasantville City,Atlantic,G. K-12 / 3501 +,3,A,1,1,Atlantic
1,4240,2013991,1200089,1112775,47401,39913,387377,275438,202153,123861,202460,57481,17000,4913,0,8.7,59274,290,28994,116,95900,13.7,121,Port Republic City,Atlantic,B. K-8 / 0 - 400,2,FG,,1,Atlantic
1,4800,15441754,9586742,9192766,226096,167880,2414756,2140306,1616075,1352910,1568232,806103,0,150175,9500,9.2,54309,64.4,72112,132,107500,16.4,981,Somers Point City,Atlantic,D. K-8 / 751 +,2,CD,,1,Atlantic
1,5350,13299531,8115821,7743100,351949,20772,1754950,1429888,1416302,1145395,1930427,362997,0,82032,622208,9.9,87950,73.9,55700,110.8,109274,12.8,697,Ventnor City,Atlantic,C. K-8 / 401 - 750,2,B,,1,Atlantic
1,5760,2849624,1658360,1579242,52768,26350,439615,309923,355245,290395,388498,187798,0,7831,0,8.6,51700,127.5,39567,61.2,84250,7.6,175,Weymouth Twp,Atlantic,B. K-8 / 0 - 400,2,B,,1,Atlantic
3,40,15973762,9072299,8236202,388608,447489,2837205,2431258,1846434,1474245,2038350,1147358,0,170722,155000,12.1,76235,93.4,84665,151.8,144627,14.1,929,Allendale Boro,Bergen,D. K-8 / 751 +,2,I,,1,Bergen
3,80,4657245,2591130,2372844,124434,93852,1087963,966685,331321,287398,516995,166163,0,122591,0,5.9,63199,49.3,78177,37,129451,7,155,Alpine Boro,Bergen,B. K-8 / 0 - 400,2,I,,1,Bergen
3,285,54442824,30535353,27175658,511570,2848125,12873590,12081795,4479642,3491592,5554356,2202316,150000,65035,0,2.9,78852,3.9,83506,36.1,131000,21.5,604,Bergen Co Special Service,Bergen,I. CSSD,7,,,1,Bergen
3,290,62301745,31404773,28691873,1860900,852000,6285964,5778664,12367533,9098275,9964607,5239607,0,1658315,0,10.2,81938,65.6,82297,110.8,139759,12.5,2215,Bergen County Vocational,Bergen,J. VOC,8,,,1,Bergen
3,300,57886069,35348914,29173236,1751262,4424416,7680055,6477013,6572526,5524764,6834515,4022657,0,1038286,315523,13,74275,71.8,79860,186.2,131239,17,3497,Bergenfield Boro,Bergen,G. K-12 / 3501 +,3,FG,,1,Bergen
3,440,17632736,10277735,9266325,559347,452063,2749403,1499490,2264737,1394426,1699696,706696,0,629499,0,11.7,64233,64.5,64233,173.3,115653,17.4,1064,Bogota Boro,Bergen,E. K-12 / 0 - 1800,3,DE,,1,Bergen
3,740,9690273,5713076,5478382,176000,58694,1559003,1185610,1190819,1020069,1188017,505067,0,32189,20000,12.1,74234,88.8,75812,106.6,120000,10,557,Carlstadt Boro,Bergen,C. K-8 / 401 - 750,2,DE,,1,Bergen
3,745,10850032,5139425,4847525,235900,56000,2331931,1185917,1192891,854691,1631972,578842,5000,498444,0,12.6,87502,104.6,116264,85.5,137600,7.6,551,Carlstadt-East Rutherford,Bergen,H. 7-12 / 9-12,5,CD,,1,Bergen
3,890,42401709,27239127,25791386,572351,875390,5843171,3882264,4400627,3151203,3191335,1513162,250000,994567,250000,12.8,64090,100.4,96728,210.9,126490,18.6,3217,Cliffside Park Boro,Bergen,F. K-12 / 1801 - 3500,3,B,,1,Bergen
3,930,18244723,11763427,11072952,494475,196000,2588118,2105268,1958373,1752873,1837582,1045607,0,94823,78420,12.1,87760,77.8,90415,182.3,122005,17.4,1120,Closter Boro,Bergen,D. K-8 / 751 +,2,I,,1,Bergen
