GROUP,CONAME,DIST,DISTNAME,PP111,RK111,PCT111,SBA11,PP211,RK211,PCT211,SBB11,PP311,RK311,PCT311,SBC11
A. K-6,Statewide,N.A.,1. State average - Operating Type K-6,831,N.A.,0.053,0.5,879,N.A.,0.054,0.486,976,N.A.,0.055,0.488
A. K-6,Statewide,N.A.,2. State median - Operating Type K-6,837,N.A.,0.05,0.475,872,N.A.,0.049,0.451,950,N.A.,0.05,0.458
A. K-6,Statewide,N.A.,5. State average - All operating types,964,N.A.,0.059,0.501,977,N.A.,0.058,0.492,1074,N.A.,0.059,0.494
A. K-6,Statewide,N.A.,6. State median - All operating types,883,N.A.,0.054,0.473,889,N.A.,0.053,0.46,1017,N.A.,0.055,0.482
A. K-6,Bergen,1270,Edgewater Boro,806,25|57,0.063,0.5299,864,28|57,0.063,0.4404,1674,53|57,0.073,0.5449
A. K-6,Bergen,3870,Oradell Boro,847,28|57,0.056,0.5287,807,22|57,0.054,0.5147,1035,34|57,0.061,0.5313
A. K-6,Bergen,4410,River Edge Boro,706,16|57,0.049,0.5835,789,21|57,0.054,0.6014,803,17|57,0.05,0.5627
A. K-6,Bergen,4620,Saddle River Boro,1393,50|57,0.047,0.5945,1778,54|57,0.058,0.5945,1936,56|57,0.063,0.4861
A. K-6,Burlington,200,Bass River Twp,1062,42|57,0.045,0.4728,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.
A. K-6,Burlington,830,Chesterfield Twp,860,30|57,0.062,0.5993,1049,41|57,0.067,0.6255,1296,47|57,0.072,0.665
A. K-6,Burlington,2960,Mansfield Twp,1154,46|57,0.06,0.5493,1232,45|57,0.061,0.5507,1237,46|57,0.06,0.5449
A. K-6,Burlington,3650,North Hanover Twp,913,32|57,0.052,0.5422,1047,40|57,0.056,0.556,974,30|57,0.048,0.4877
A. K-6,Burlington,5010,Springfield Twp,1047,40|57,0.068,0.5772,985,36|57,0.064,0.5661,1165,40|57,0.067,0.6055
A. K-6,Camden,2540,Laurel Springs Boro,309,2|57,0.022,0.2091,308,3|57,0.02,0.1688,354,4|57,0.019,0.175
A. K-6,Camden,3770,Oaklyn Boro,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,9,1|57,51E-5,0.006
A. K-6,Camden,5560,Waterford Twp,787,24|57,0.043,0.3343,844,27|57,0.047,0.4322,913,24|57,0.046,0.3807
A. K-6,Cape May,710,Cape May City,1675,54|57,0.069,0.4919,1158,44|57,0.053,0.401,1495,51|57,0.061,0.4214
A. K-6,Cape May,2840,Lower Twp,1390,49|57,0.091,0.6754,1423,52|57,0.084,0.6192,1480,50|57,0.084,0.6712
A. K-6,Cape May,5610,West Cape May Boro,540,8|57,0.03,0.2544,1367,50|57,0.063,0.5766,1444,49|57,0.065,0.5495
A. K-6,Essex,1400,Essex Fells Boro,1177,47|57,0.06,0.5761,1268,46|57,0.063,0.6252,1223,44|57,0.06,0.5189
A. K-6,Essex,1465,Fairfield Twp,827,27|57,0.052,0.4891,777,20|57,0.048,0.5392,895,22|57,0.055,0.5185
A. K-6,Essex,3630,North Caldwell Boro,988,38|57,0.058,0.5186,945,34|57,0.054,0.5324,1215,43|57,0.064,0.5675
A. K-6,Essex,4530,Roseland Boro,741,19|57,0.046,0.464,674,13|57,0.04,0.4391,896,23|57,0.048,0.4817
A. K-6,Gloucester,1180,East Greenwich Twp,633,11|57,0.052,0.5288,640,10|57,0.052,0.4965,797,16|57,0.055,0.508
