GROUP,CONAME,DIST,DISTNAME,PP18,RK18,PCT18,PP28,RK28,PCT28,PP38,RK38,PCT38
A. K-6,Statewide,N.A.,1. State average - Operating Type K-6,1598,N.A.,0.102,1705,N.A.,0.104,1731,N.A.,0.097
A. K-6,Statewide,N.A.,2. State median - Operating Type K-6,1767,N.A.,0.105,1853,N.A.,0.104,1856,N.A.,0.098
A. K-6,Statewide,N.A.,5. State average - All operating types,1819,N.A.,0.111,1896,N.A.,0.113,1924,N.A.,0.106
A. K-6,Statewide,N.A.,6. State median - All operating types,1889,N.A.,0.117,1969,N.A.,0.117,2034,N.A.,0.111
A. K-6,Bergen,1270,Edgewater Boro,1739,27|57,0.135,2152,40|57,0.158,2372,52|57,0.104
A. K-6,Bergen,3870,Oradell Boro,1697,25|57,0.111,1602,19|57,0.108,1837,28|57,0.109
A. K-6,Bergen,4410,River Edge Boro,1727,26|57,0.121,1783,26|57,0.122,1765,23|57,0.11
A. K-6,Bergen,4620,Saddle River Boro,2566,52|57,0.087,3518,57|57,0.114,2350,49|57,0.077
A. K-6,Burlington,200,Bass River Twp,2766,56|57,0.117,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.
A. K-6,Burlington,830,Chesterfield Twp,1582,20|57,0.114,1717,24|57,0.11,1787,24|57,0.099
A. K-6,Burlington,2960,Mansfield Twp,2036,39|57,0.106,2194,43|57,0.108,2163,40|57,0.105
A. K-6,Burlington,3650,North Hanover Twp,1521,15|57,0.086,1550,16|57,0.083,1629,16|57,0.08
A. K-6,Burlington,5010,Springfield Twp,1577,19|57,0.103,1487,12|57,0.097,1584,12|57,0.091
A. K-6,Camden,2540,Laurel Springs Boro,1502,13|57,0.105,1695,23|57,0.109,1745,22|57,0.094
A. K-6,Camden,3770,Oaklyn Boro,1350,9|57,0.081,1583,18|57,0.088,1625,15|57,0.089
A. K-6,Camden,5560,Waterford Twp,1658,24|57,0.092,1794,27|57,0.101,1856,29|57,0.093
A. K-6,Cape May,710,Cape May City,2600,53|57,0.107,2591,54|57,0.118,2217,43|57,0.09
A. K-6,Cape May,2840,Lower Twp,1197,5|57,0.078,1271,3|57,0.075,1289,3|57,0.074
A. K-6,Cape May,5610,West Cape May Boro,1591,21|57,0.087,1866,31|57,0.086,1810,27|57,0.082
A. K-6,Essex,1400,Essex Fells Boro,1744,28|57,0.089,1896,32|57,0.094,1890,31|57,0.093
A. K-6,Essex,1465,Fairfield Twp,1912,34|57,0.12,2161,41|57,0.133,2037,37|57,0.125
A. K-6,Essex,3630,North Caldwell Boro,1998,37|57,0.118,2072,38|57,0.119,2268,47|57,0.119
A. K-6,Essex,4530,Roseland Boro,1790,29|57,0.111,1969,34|57,0.116,1973,35|57,0.105
A. K-6,Gloucester,1180,East Greenwich Twp,1339,8|57,0.11,1296,5|57,0.106,1417,6|57,0.098
A. K-6,Gloucester,1330,Elk Twp,1427,12|57,0.09,1403,8|57,0.093,1570,11|57,0.087
A. K-6,Gloucester,1590,Franklin Twp,1355,10|57,0.098,1421,9|57,0.099,1441,7|57,0.098
A. K-6,Gloucester,2070,Harrison Twp,1305,6|57,0.107,1546,15|57,0.117,1599,14|57,0.111
A. K-6,Gloucester,2990,Mantua Twp,1591,21|57,0.103,1610,20|57,0.099,1585,13|57,0.099
A. K-6,Gloucester,3490,National Park Boro,1518,14|57,0.103,1424,10|57,0.102,1413,5|57,0.086
A. K-6,Gloucester,4880,South Harrison Twp,1540,17|57,0.114,1501,13|57,0.112,1640,18|57,0.109
A. K-6,Gloucester,5120,Swedesboro-Woolwich,1909,33|57,0.134,2058,37|57,0.138,2077,38|57,0.126
A. K-6,Gloucester,5590,Wenonah Boro,2247,45|57,0.125,2204,45|57,0.122,2234,44|57,0.13
A. K-6,Gloucester,5740,Westville Boro,1305,6|57,0.096,1393,7|57,0.097,1504,9|57,0.088
A. K-6,Gloucester,5870,Woodbury Heights Boro,1400,11|57,0.1,1642,21|57,0.112,1798,26|57,0.104
A. K-6,Hunterdon,2590,Lebanon Boro,2630,54|57,0.123,2232,48|57,0.096,1956,32|57,0.096
A. K-6,Hunterdon,3180,Milford Boro,2078,41|57,0.082,2036,35|57,0.072,1961,34|57,0.061
A. K-6,Monmouth,130,Atlantic Highlands Boro,2046,40|57,0.119,2507,52|57,0.126,2203,42|57,0.107
A. K-6,Monmouth,2160,Highlands Boro,1840,31|57,0.08,1719,25|57,0.075,2033,36|57,0.076
A. K-6,Monmouth,4520,Roosevelt Boro,2184,42|57,0.105,2207,47|57,0.101,2194,41|57,0.08
A. K-6,Morris,3240,Mine Hill Twp,2767,57|57,0.161,2679,55|57,0.157,2405,55|57,0.139
A. K-6,Ocean,230,Beach Haven Boro,1935,36|57,0.067,1312,6|57,0.06,1658,19|57,0.064
A. K-6,Ocean,320,Berkeley Twp,1541,18|57,0.113,1668,22|57,0.115,1632,17|57,0.103
A. K-6,Ocean,1150,Eagleswood Twp,2312,48|57,0.114,1853,29|57,0.095,1960,33|57,0.093
A. K-6,Ocean,2350,Island Heights Boro,2251,46|57,0.114,2050,36|57,0.101,2252,46|57,0.112
A. K-6,Ocean,2690,Little Egg Harbor Twp,1174,4|57,0.082,1184,2|57,0.075,1352,4|57,0.076
A. K-6,Ocean,2760,Long Beach Island,1902,32|57,0.071,2177,42|57,0.08,2242,45|57,0.077
A. K-6,Ocean,3800,Ocean Gate Boro,2736,55|57,0.14,2321,51|57,0.119,2117,39|57,0.098
A. K-6,Ocean,3820,Ocean Twp,N.R.,N.R.,N.R.,1921,33|57,0.101,1442,8|57,0.091
A. K-6,Ocean,4710,Seaside Heights Boro,1813,30|57,0.093,1452,11|57,0.077,1736,21|57,0.078
A. K-6,Ocean,5020,Stafford Twp,1108,1|57,0.066,1516,14|57,0.096,1525,10|57,0.092
A. K-6,Ocean,5220,Tuckerton Boro,1110,2|57,0.074,1271,3|57,0.076,1136,2|57,0.066
A. K-6,Sussex,1630,Fredon Twp,2438,51|57,0.12,2687,56|57,0.125,2368,51|57,0.115
A. K-6,Sussex,1980,Hampton Twp,2004,38|57,0.114,2076,39|57,0.116,2389,54|57,0.112
A. K-6,Sussex,4650,Sandyston-Walpack Twp,2403,50|57,0.112,2195,44|57,0.117,2308,48|57,0.111
A. K-6,Sussex,5040,Stillwater Twp,2238,44|57,0.105,2205,46|57,0.111,2419,57|57,0.109
A. K-6,Warren,400,Blairstown Twp,1526,16|57,0.105,1571,17|57,0.086,1680,20|57,0.088
A. K-6,Warren,1620,Franklin Twp,2351,49|57,0.118,2589,53|57,0.119,2381,53|57,0.114
A. K-6,Warren,1670,Frelinghuysen Twp,1920,35|57,0.12,1836,28|57,0.114,1856,29|57,0.094
A. K-6,Warren,2470,Knowlton Twp,2306,47|57,0.097,2246,49|57,0.101,2417,56|57,0.102
A. K-6,Warren,2970,Mansfield Twp,1623,23|57,0.107,1858,30|57,0.104,1788,25|57,0.106
A. K-6,Warren,5480,Washington Boro,1162,3|57,0.072,1124,1|57,0.065,1079,1|57,0.059
A. K-6,Warren,5530,Washington Twp,2198,43|57,0.118,2254,50|57,0.116,2357,50|57,0.118
B. K-8 / 0 - 400,Statewide,N.A.,1. State average - Operating Type K-8,1781,N.A.,0.107,1851,N.A.,0.107,1936,N.A.,0.102
B. K-8 / 0 - 400,Statewide,N.A.,2. State median - Operating Type K-8,1892,N.A.,0.113,1978,N.A.,0.114,2056,N.A.,0.105
B. K-8 / 0 - 400,Statewide,N.A.,5. State average - All operating types,1819,N.A.,0.111,1896,N.A.,0.113,1924,N.A.,0.106
B. K-8 / 0 - 400,Statewide,N.A.,6. State median - All operating types,1889,N.A.,0.117,1969,N.A.,0.117,2034,N.A.,0.111
B. K-8 / 0 - 400,Atlantic,1410,Estell Manor City,1578,13|81,0.104,1170,1|81,0.131,2047,37|81,0.115
B. K-8 / 0 - 400,Atlantic,1540,Folsom Boro,1462,4|81,0.1,1490,9|81,0.104,1667,11|81,0.105
B. K-8 / 0 - 400,Atlantic,3020,Margate City,1945,39|81,0.074,1915,31|81,0.075,2226,57|81,0.067
B. K-8 / 0 - 400,Atlantic,4240,Port Republic City,2064,48|81,0.11,2077,44|81,0.121,2173,49|81,0.114
B. K-8 / 0 - 400,Atlantic,5760,Weymouth Twp,2760,78|81,0.162,2037,37|81,0.106,1919,27|81,0.112
B. K-8 / 0 - 400,Bergen,80,Alpine Boro,2106,51|81,0.074,2147,47|81,0.078,2208,56|81,0.068
B. K-8 / 0 - 400,Bergen,2090,Haworth Boro,2274,61|81,0.109,2334,65|81,0.111,2412,72|81,0.106
B. K-8 / 0 - 400,Bergen,3350,Moonachie Boro,1781,27|81,0.103,1533,11|81,0.091,1766,15|81,0.091
B. K-8 / 0 - 400,Bergen,4870,South Hackensack Twp,1506,7|81,0.082,1780,21|81,0.091,1560,6|81,0.071
B. K-8 / 0 - 400,Burlington,380,Beverly City,1541,9|81,0.091,1450,4|81,0.085,1550,5|81,0.086
B. K-8 / 0 - 400,Burlington,1030,Delanco Twp,2022,45|81,0.139,2093,45|81,0.153,2183,51|81,0.153
B. K-8 / 0 - 400,Burlington,3540,New Hanover Twp,1525,8|81,0.07,2008,35|81,0.092,1977,32|81,0.085
B. K-8 / 0 - 400,Burlington,4460,Riverton,1762,25|81,0.122,1913,30|81,0.124,1852,19|81,0.116
B. K-8 / 0 - 400,Burlington,5890,Woodland Twp,2546,73|81,0.129,2044,38|81,0.094,2192,54|81,0.092
B. K-8 / 0 - 400,Camden,580,Brooklawn Boro,1558,11|81,0.108,1476,7|81,0.098,1470,3|81,0.093
B. K-8 / 0 - 400,Camden,1720,Gibbsboro Boro,1768,26|81,0.108,1758,20|81,0.112,1537,4|81,0.102
B. K-8 / 0 - 400,Camden,2560,Lawnside Boro,2123,53|81,0.143,2053,40|81,0.129,2098,43|81,0.114
B. K-8 / 0 - 400,Camden,2890,Magnolia Boro,2032,47|81,0.119,2153,48|81,0.128,2239,60|81,0.107
B. K-8 / 0 - 400,Camden,5900,Woodlynne Boro,1450,3|81,0.104,1419,3|81,0.108,2019,35|81,0.107
B. K-8 / 0 - 400,Cape May,170,Avalon Boro,2510,72|81,0.076,2548,75|81,0.068,2243,62|81,0.058
B. K-8 / 0 - 400,Cape May,3680,North Wildwood City,2099,50|81,0.067,2184,53|81,0.059,2124,45|81,0.048
B. K-8 / 0 - 400,Cape May,5060,Stone Harbor Boro,2624,75|81,0.097,2267,59|81,0.085,2243,62|81,0.091
B. K-8 / 0 - 400,Cape May,5800,Wildwood Crest Boro,1425,2|81,0.053,1451,5|81,0.05,1444,2|81,0.048
B. K-8 / 0 - 400,Cape May,5840,Woodbine Boro,1933,38|81,0.118,2128,46|81,0.118,1932,28|81,0.105
B. K-8 / 0 - 400,Cumberland,1020,Deerfield Twp,2458,70|81,0.133,1781,22|81,0.103,2233,59|81,0.116
B. K-8 / 0 - 400,Cumberland,1120,Downe Twp,1695,19|81,0.102,1835,27|81,0.103,1870,20|81,0.105
B. K-8 / 0 - 400,Cumberland,1820,Greenwich Twp,1140,1|81,0.076,1688,16|81,0.111,1334,1|81,0.063
B. K-8 / 0 - 400,Cumberland,3050,Maurice River Twp,1662,17|81,0.127,1793,24|81,0.119,1905,24|81,0.123
B. K-8 / 0 - 400,Cumberland,5070,Stow Creek Twp,1955,40|81,0.126,1473,6|81,0.096,1573,7|81,0.093
B. K-8 / 0 - 400,Gloucester,1830,Greenwich Twp,2146,55|81,0.105,2331,63|81,0.106,2202,55|81,0.093
B. K-8 / 0 - 400,Hudson,1200,East Newark Boro,1883,34|81,0.16,2160,49|81,0.177,2412,72|81,0.148
B. K-8 / 0 - 400,Hunterdon,370,Bethlehem Twp,2236,59|81,0.098,2175,51|81,0.097,2060,40|81,0.08
B. K-8 / 0 - 400,Hunterdon,430,Bloomsbury Boro,2366,64|81,0.104,2050,39|81,0.088,2055,38|81,0.076
B. K-8 / 0 - 400,Hunterdon,670,Califon Boro,1852,33|81,0.061,1526,10|81,0.061,1634,9|81,0.055
B. K-8 / 0 - 400,Hunterdon,910,Clinton-Glen Gardner,1820,32|81,0.101,1861,28|81,0.1,1845,18|81,0.09
B. K-8 / 0 - 400,Hunterdon,1040,Delaware Twp,1804,30|81,0.087,1694,17|81,0.074,1963,31|81,0.081
B. K-8 / 0 - 400,Hunterdon,1160,East Amwell Twp,2177,57|81,0.108,2328,62|81,0.106,2249,65|81,0.102
B. K-8 / 0 - 400,Hunterdon,1600,Franklin Twp,1931,37|81,0.104,2192,54|81,0.107,2149,47|81,0.093
B. K-8 / 0 - 400,Hunterdon,1680,Frenchtown Boro,2594,74|81,0.127,2217,56|81,0.096,2079,42|81,0.087
B. K-8 / 0 - 400,Hunterdon,1970,Hampton Boro,2402,68|81,0.087,2826,77|81,0.102,2058,39|81,0.072
B. K-8 / 0 - 400,Hunterdon,2140,High Bridge Boro,1710,21|81,0.085,1730,19|81,0.081,1706,13|81,0.077
B. K-8 / 0 - 400,Hunterdon,2450,Kingwood Twp,1634,16|81,0.096,1371,2|81,0.078,1877,21|81,0.082
B. K-8 / 0 - 400,Hunterdon,5270,Union Twp,1667,18|81,0.093,1992,34|81,0.101,2181,50|81,0.096
B. K-8 / 0 - 400,Monmouth,180,Avon Boro,2274,61|81,0.095,2278,60|81,0.1,2184,53|81,0.089
B. K-8 / 0 - 400,Monmouth,500,Bradley Beach Boro,1926,36|81,0.094,2065,42|81,0.1,2121,44|81,0.095
B. K-8 / 0 - 400,Monmouth,1000,Deal Boro,2096,49|81,0.089,2230,58|81,0.096,2240,61|81,0.096
B. K-8 / 0 - 400,Monmouth,1490,Farmingdale Boro,2353,63|81,0.136,2165,50|81,0.109,1647,10|81,0.083
B. K-8 / 0 - 400,Monmouth,3250,Monmouth Beach Boro,2813,79|81,0.151,3386,81|81,0.167,2163,48|81,0.11
B. K-8 / 0 - 400,Monmouth,3500,Neptune City,2375,65|81,0.14,2444,69|81,0.124,2137,46|81,0.106
B. K-8 / 0 - 400,Monmouth,4690,Sea Girt Boro,1598,14|81,0.071,2473,71|81,0.097,2231,58|81,0.08
B. K-8 / 0 - 400,Monmouth,4980,Spring Lake Boro,2846,80|81,0.085,2830,78|81,0.103,2250,66|81,0.081
