GROUP,CONAME,DIST,DISTNAME,SARAT0018,RK0018,SALAM0018,RKSAL0018,SARAT0118,RK0118,SALAM0118,RKSAL0118
A. K-6,Statewide,N.A.,1. State Average - Operating Type K-6,130.0,N.A.,111091,N.A.,130.7,N.A.,112622,N.A.
A. K-6,Statewide,N.A.,2. State Median - Operating Type K-6,112.0,N.A.,114999,N.A.,114.0,N.A.,115672,N.A.
A. K-6,Statewide,N.A.,5. State Average - All Operating Types,142.9,N.A.,130605,N.A.,144.6,N.A.,133248,N.A.
A. K-6,Statewide,N.A.,6. State Median - All Operating Types,125.5,N.A.,130000,N.A.,128.7,N.A.,132379,N.A.
A. K-6,Bergen,1270,Edgewater Boro,227.0,5|57,169000,57|57,111.2,30|57,135960,50|57
A. K-6,Bergen,3870,Oradell Boro,104.9,31|57,114999,35|57,110.6,31|57,132000,48|57
A. K-6,Bergen,4410,River Edge Boro,150.5,19|57,160334,56|57,148.0,20|57,171246,57|57
A. K-6,Bergen,4620,Saddle River Boro,37.2,56|57,108600,22|57,33.7,57|57,79500,11|57
A. K-6,Burlington,200,Bass River Twp,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.
A. K-6,Burlington,830,Chesterfield Twp,92.5,33|57,109049,23|57,88.5,36|57,110723,27|57
A. K-6,Burlington,2960,Mansfield Twp,84.5,37|57,108234,21|57,86.3,39|57,112004,29|57
A. K-6,Burlington,3650,North Hanover Twp,112.0,29|57,123603,44|57,130.9,24|57,127728,43|57
A. K-6,Burlington,5010,Springfield Twp,114.0,27|57,75000,8|57,103.3,34|57,75000,10|57
A. K-6,Camden,2540,Laurel Springs Boro,92.3,34|57,51783,5|57,78.9,43|57,71700,8|57
A. K-6,Camden,3770,Oaklyn Boro,276.0,3|57,139720,55|57,253.0,2|57,139720,53|57
A. K-6,Camden,5560,Waterford Twp,142.8,21|57,113634,32|57,152.2,18|57,120812,41|57
A. K-6,Cape May,710,Cape May City,74.5,41|57,111188,28|57,87.9,37|57,108476,22|57
A. K-6,Cape May,2840,Lower Twp,166.2,15|57,106250,17|57,168.1,9|57,111927,28|57
A. K-6,Cape May,5610,West Cape May Boro,41.8,55|57,72000,7|57,70.8,46|57,74736,9|57
A. K-6,Essex,1400,Essex Fells Boro,125.5,25|57,138207,54|57,230.0,4|57,138207,52|57
A. K-6,Essex,1465,Fairfield Twp,139.2,22|57,136984,53|57,139.8,21|57,141504,56|57
A. K-6,Essex,3630,North Caldwell Boro,171.0,13|57,115000,36|57,173.3,8|57,115000,35|57
A. K-6,Essex,4530,Roseland Boro,152.0,18|57,136000,51|57,154.7,17|57,140080,54|57
A. K-6,Gloucester,1180,East Greenwich Twp,215.3,7|57,114700,34|57,163.6,11|57,109663,23|57
A. K-6,Gloucester,1330,Elk Twp,313.0,2|57,108161,20|57,330.0,1|57,112596,32|57
A. K-6,Gloucester,1590,Franklin Twp,162.0,17|57,112878,30|57,157.0,15|57,112878,33|57
A. K-6,Gloucester,2070,Harrison Twp,163.0,16|57,115485,38|57,161.9,12|57,117795,38|57
A. K-6,Gloucester,2990,Mantua Twp,200.5,8|57,114164,33|57,179.7,7|57,112500,31|57
A. K-6,Gloucester,3490,National Park Boro,172.9,12|57,33500,3|57,164.1,10|57,33500,2|57
A. K-6,Gloucester,4880,South Harrison Twp,315.0,1|57,109876,24|57,117.3,27|57,65674,7|57
A. K-6,Gloucester,5120,Swedesboro-Woolwich,149.6,20|57,120529,43|57,157.5,14|57,124019,42|57
A. K-6,Gloucester,5590,Wenonah Boro,66.0,47|57,82400,10|57,114.0,29|57,98781,16|57
A. K-6,Gloucester,5740,Westville Boro,106.8,30|57,37250,4|57,109.7,32|57,37250,3|57
A. K-6,Gloucester,5870,Woodbury Heights Boro,229.0,4|57,110000,26|57,247.0,3|57,110000,24|57
A. K-6,Hunterdon,2590,Lebanon Boro,45.5,53|57,118246,39|57,49.0,55|57,131957,47|57
A. K-6,Hunterdon,3180,Milford Boro,34.4,57|57,16500,1|57,54.8,52|57,54055,5|57
A. K-6,Monmouth,130,Atlantic Highlands Boro,80.7,39|57,132999,50|57,103.6,33|57,137654,51|57
A. K-6,Monmouth,2160,Highlands Boro,71.3,43|57,55913,6|57,72.5,45|57,53624,4|57
A. K-6,Monmouth,4520,Roosevelt Boro,72.0,42|57,130000,49|57,82.0,40|57,130000,45|57
A. K-6,Morris,3240,Mine Hill Twp,112.7,28|57,136784,52|57,116.3,28|57,141161,55|57
A. K-6,Ocean,230,Beach Haven Boro,43.5,54|57,127000,47|57,37.5,56|57,130000,45|57
A. K-6,Ocean,320,Berkeley Twp,181.8,10|57,119750,40|57,184.3,6|57,118000,39|57
A. K-6,Ocean,1150,Eagleswood Twp,67.5,44|57,109888,25|57,69.5,47|57,114470,34|57
A. K-6,Ocean,2350,Island Heights Boro,85.3,36|57,93490,12|57,80.7,41|57,94192,14|57
A. K-6,Ocean,2690,Little Egg Harbor Twp,124.3,26|57,120424,42|57,128.9,26|57,120424,40|57
A. K-6,Ocean,2760,Long Beach Island,53.8,50|57,125216,45|57,49.5,54|57,105035,19|57
A. K-6,Ocean,3800,Ocean Gate Boro,67.0,45|57,101892,13|57,66.5,48|57,104506,18|57
A. K-6,Ocean,3820,Ocean Twp,129.2,23|57,113604,31|57,131.3,23|57,116160,37|57
A. K-6,Ocean,4710,Seaside Heights Boro,221.0,6|57,115000,36|57,156.8,16|57,63225,6|57
A. K-6,Ocean,5020,Stafford Twp,194.7,9|57,128593,48|57,194.4,5|57,129984,44|57
A. K-6,Ocean,5220,Tuckerton Boro,175.5,11|57,110000,26|57,151.0,19|57,110000,24|57
A. K-6,Sussex,1630,Fredon Twp,88.0,35|57,120408,41|57,132.9,22|57,94960,15|57
A. K-6,Sussex,1980,Hampton Twp,82.9,38|57,84282,11|57,80.7,41|57,86782,13|57
A. K-6,Sussex,4650,Sandyston-Walpack Twp,52.7,51|57,28800,2|57,58.2,51|57,28800,1|57
A. K-6,Sussex,5040,Stillwater Twp,77.4,40|57,105869,16|57,75.7,44|57,112172,30|57
A. K-6,Warren,400,Blairstown Twp,66.4,46|57,108000,19|57,87.3,38|57,101500,17|57
A. K-6,Warren,1620,Franklin Twp,63.3,49|57,104521,14|57,66.0,49|57,107657,21|57
A. K-6,Warren,1670,Frelinghuysen Twp,65.0,48|57,105297,15|57,64.0,50|57,105797,20|57
A. K-6,Warren,2470,Knowlton Twp,50.0,52|57,79897,9|57,54.7,53|57,83822,12|57
A. K-6,Warren,2970,Mansfield Twp,126.4,24|57,111972,29|57,130.2,25|57,115984,36|57
A. K-6,Warren,5480,Washington Boro,168.2,14|57,107406,18|57,161.9,12|57,110091,26|57
A. K-6,Warren,5530,Washington Twp,95.3,32|57,126432,46|57,97.8,35|57,133570,49|57
B. K-8 / 0 - 400,Statewide,N.A.,1. State Average - Operating Type K-8,131.2,N.A.,124850,N.A.,131.0,N.A.,126745,N.A.
B. K-8 / 0 - 400,Statewide,N.A.,2. State Median - Operating Type K-8,115.7,N.A.,124848,N.A.,119.6,N.A.,126169,N.A.
B. K-8 / 0 - 400,Statewide,N.A.,5. State Average - All Operating Types,142.9,N.A.,130605,N.A.,144.6,N.A.,133248,N.A.
B. K-8 / 0 - 400,Statewide,N.A.,6. State Median - All Operating Types,125.5,N.A.,130000,N.A.,128.7,N.A.,132379,N.A.
B. K-8 / 0 - 400,Atlantic,1410,Estell Manor City,92.2,35|81,65000,5|81,54.8,69|81,111000,42|81
B. K-8 / 0 - 400,Atlantic,1540,Folsom Boro,128.3,9|81,102000,34|81,126.7,14|81,117000,51|81
B. K-8 / 0 - 400,Atlantic,3020,Margate City,76.6,57|81,106546,44|81,89.8,50|81,113839,49|81
B. K-8 / 0 - 400,Atlantic,4240,Port Republic City,105.0,24|81,102999,37|81,111.0,24|81,102999,27|81
B. K-8 / 0 - 400,Atlantic,5760,Weymouth Twp,47.7,71|81,81276,12|81,54.0,70|81,81276,11|81
B. K-8 / 0 - 400,Bergen,80,Alpine Boro,41.9,78|81,119500,63|81,34.7,80|81,124083,65|81
B. K-8 / 0 - 400,Bergen,2090,Haworth Boro,98.0,28|81,118700,61|81,104.8,29|81,118700,55|81
B. K-8 / 0 - 400,Bergen,3350,Moonachie Boro,116.0,13|81,105568,43|81,114.3,22|81,108735,37|81
B. K-8 / 0 - 400,Bergen,4870,South Hackensack Twp,118.3,12|81,75010,8|81,92.5,45|81,47505,2|81
B. K-8 / 0 - 400,Burlington,380,Beverly City,73.6,61|81,123743,67|81,83.5,52|81,130718,72|81
B. K-8 / 0 - 400,Burlington,1030,Delanco Twp,132.7,7|81,108979,51|81,99.4,34|81,110500,40|81
B. K-8 / 0 - 400,Burlington,3540,New Hanover Twp,75.5,58|81,89958,19|81,75.8,59|81,101922,24|81
