GROUP,CONAME,DIST,DISTNAME,STRAT0016,RK0016,SALT0016,RKSAL0016,STRAT0116,RK0116,SALT0116,RKSAL0116
A. K-6,Statewide,N.A.,1. State Average - Operating Type K-6,10.3,N.A.,66787,N.A.,10.3,N.A.,67883,N.A.
A. K-6,Statewide,N.A.,2. State Median - Operating Type K-6,9.7,N.A.,64422,N.A.,9.8,N.A.,65121,N.A.
A. K-6,Statewide,N.A.,5. State Average - All Operating Types,11.6,N.A.,75613,N.A.,11.6,N.A.,76958,N.A.
A. K-6,Statewide,N.A.,6. State Median - All Operating Types,11.0,N.A.,72835,N.A.,10.9,N.A.,74186,N.A.
A. K-6,Bergen,1270,Edgewater Boro,14.2,1|57,64104,31|57,11.7,7|57,64628,28|57
A. K-6,Bergen,3870,Oradell Boro,11.3,10|57,70580,48|57,12.4,2|57,68830,39|57
A. K-6,Bergen,4410,River Edge Boro,13.0,2|57,65692,37|57,11.9,5|57,68892,40|57
A. K-6,Bergen,4620,Saddle River Boro,7.6,49|57,64173,32|57,7.2,54|57,65280,30|57
A. K-6,Burlington,200,Bass River Twp,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.
A. K-6,Burlington,830,Chesterfield Twp,10.4,19|57,66402,40|57,10.3,21|57,69452,43|57
A. K-6,Burlington,2960,Mansfield Twp,8.9,36|57,66668,42|57,8.9,37|57,69550,44|57
A. K-6,Burlington,3650,North Hanover Twp,9.0,32|57,70367,47|57,9.8,28|57,72226,49|57
A. K-6,Burlington,5010,Springfield Twp,12.7,3|57,59234,12|57,12.9,1|57,57134,8|57
A. K-6,Camden,2540,Laurel Springs Boro,11.5,8|57,64286,34|57,11.5,8|57,72877,51|57
A. K-6,Camden,3770,Oaklyn Boro,10.1,21|57,59285,13|57,8.3,40|57,56785,7|57
A. K-6,Camden,5560,Waterford Twp,10.0,22|57,64393,35|57,9.0,35|57,64126,27|57
A. K-6,Cape May,710,Cape May City,7.4,51|57,62765,26|57,7.4,52|57,62010,20|57
A. K-6,Cape May,2840,Lower Twp,10.0,22|57,57548,9|57,10.4,20|57,60107,12|57
A. K-6,Cape May,5610,West Cape May Boro,7.3,52|57,56543,6|57,8.3,40|57,58449,10|57
A. K-6,Essex,1400,Essex Fells Boro,7.3,52|57,66143,39|57,11.5,8|57,65503,33|57
A. K-6,Essex,1465,Fairfield Twp,10.0,22|57,60666,17|57,9.9,27|57,61916,19|57
A. K-6,Essex,3630,North Caldwell Boro,9.9,25|57,51904,2|57,9.6,30|57,51567,1|57
A. K-6,Essex,4530,Roseland Boro,11.1,12|57,67529,44|57,10.5,18|57,66936,36|57
A. K-6,Gloucester,1180,East Greenwich Twp,11.6,7|57,63924,30|57,11.5,8|57,65528,34|57
