GROUP,CONAME,DIST,DISTNAME,PP18A,RK18A,PCT18A,PP28A,RK28A,PCT28A,PP38A,RK38A,PCT38A
A. K-6,Ocean,5220,Tuckerton Boro,3,3|57,19E-5,9,7|57,53E-5,28,11|57,0.002
A. K-6,Sussex,1630,Fredon Twp,45,28|57,0.002,68,37|57,0.003,51,33|57,0.002
A. K-6,Sussex,1980,Hampton Twp,5,4|57,26E-5,6,2|57,33E-5,56,36|57,0.003
A. K-6,Sussex,4650,Sandyston-Walpack Twp,102,45|57,0.005,30,18|57,0.002,38,24|57,0.002
A. K-6,Sussex,5040,Stillwater Twp,59,36|57,0.003,48,25|57,0.002,83,47|57,0.004
A. K-6,Warren,400,Blairstown Twp,67,38|57,0.005,77,39|57,0.004,30,15|57,0.002
A. K-6,Warren,1620,Franklin Twp,23,15|57,0.001,74,38|57,0.003,36,22|57,0.002
A. K-6,Warren,1670,Frelinghuysen Twp,11,7|57,67E-5,13,8|57,79E-5,29,14|57,0.001
A. K-6,Warren,2470,Knowlton Twp,12,11|57,52E-5,N.R.,N.R.,N.R.,6,2|57,27E-5
A. K-6,Warren,2970,Mansfield Twp,43,27|57,0.003,38,22|57,0.002,34,19|57,0.002
A. K-6,Warren,5480,Washington Boro,2,2|57,14E-5,6,2|57,33E-5,21,8|57,0.001
A. K-6,Warren,5530,Washington Twp,6,6|57,34E-5,7,5|57,33E-5,13,4|57,65E-5
B. K-8 / 0 - 400,Statewide,N.A.,1. State average - Operating Type K-8,47,N.A.,0.003,49,N.A.,0.003,50,N.A.,0.003
B. K-8 / 0 - 400,Statewide,N.A.,2. State median - Operating Type K-8,45,N.A.,0.003,49,N.A.,0.003,49,N.A.,0.002
B. K-8 / 0 - 400,Statewide,N.A.,5. State average - All operating types,44,N.A.,0.003,45,N.A.,0.003,48,N.A.,0.003
B. K-8 / 0 - 400,Statewide,N.A.,6. State median - All operating types,40,N.A.,0.002,41,N.A.,0.002,46,N.A.,0.003
B. K-8 / 0 - 400,Atlantic,1410,Estell Manor City,80,49|81,0.005,105,57|81,0.012,77,61|81,0.004
B. K-8 / 0 - 400,Atlantic,1540,Folsom Boro,57,38|81,0.004,60,44|81,0.004,76,60|81,0.005
B. K-8 / 0 - 400,Atlantic,3020,Margate City,106,57|81,0.004,107,59|81,0.004,139,77|81,0.004
B. K-8 / 0 - 400,Atlantic,4240,Port Republic City,109,58|81,0.006,93,53|81,0.005,49,36|81,0.003
B. K-8 / 0 - 400,Atlantic,5760,Weymouth Twp,31,22|81,0.002,48,34|81,0.002,55,46|81,0.003
B. K-8 / 0 - 400,Bergen,80,Alpine Boro,66,42|81,0.002,38,28|81,0.001,107,68|81,0.003
B. K-8 / 0 - 400,Bergen,2090,Haworth Boro,104,54|81,0.005,85,51|81,0.004,49,36|81,0.002
B. K-8 / 0 - 400,Bergen,3350,Moonachie Boro,70,46|81,0.004,54,39|81,0.003,59,49|81,0.003
B. K-8 / 0 - 400,Bergen,4870,South Hackensack Twp,22,16|81,0.001,36,27|81,0.002,37,25|81,0.002
B. K-8 / 0 - 400,Burlington,380,Beverly City,40,29|81,0.002,56,41|81,0.003,80,63|81,0.004
B. K-8 / 0 - 400,Burlington,1030,Delanco Twp,73,48|81,0.005,110,60|81,0.008,50,39|81,0.004
B. K-8 / 0 - 400,Burlington,3540,New Hanover Twp,66,42|81,0.003,49,35|81,0.002,69,59|81,0.003
B. K-8 / 0 - 400,Burlington,4460,Riverton,18,11|81,0.001,4,1|81,25E-5,30,20|81,0.002
B. K-8 / 0 - 400,Burlington,5890,Woodland Twp,45,33|81,0.002,93,53|81,0.004,18,7|81,76E-5
