GROUP,CONAME,DIST,DISTNAME,FARAT0019,RK0019,FARAT0119,RK0119
A. K-6,Statewide,N.A.,1. State Average - Operating Type K-6,14.6,N.A.,14.7,N.A.
A. K-6,Statewide,N.A.,2. State Median - Operating Type K-6,12.8,N.A.,13.2,N.A.
A. K-6,Statewide,N.A.,5. State Average - All Operating Types,14.4,N.A.,14.6,N.A.
A. K-6,Statewide,N.A.,6. State Median - All Operating Types,13.6,N.A.,13.7,N.A.
A. K-6,Bergen,1270,Edgewater Boro,17.3,15|57,10.8,38|57
A. K-6,Bergen,3870,Oradell Boro,10.6,38|57,10.4,41|57
A. K-6,Bergen,4410,River Edge Boro,13.6,26|57,14.8,25|57
A. K-6,Bergen,4620,Saddle River Boro,5.7,57|57,5.6,57|57
A. K-6,Burlington,200,Bass River Twp,N.R.,N.R.,N.R.,N.R.
A. K-6,Burlington,830,Chesterfield Twp,10.1,41|57,10.0,43|57
A. K-6,Burlington,2960,Mansfield Twp,11.0,36|57,11.2,35|57
A. K-6,Burlington,3650,North Hanover Twp,14.6,25|57,15.3,23|57
A. K-6,Burlington,5010,Springfield Twp,10.5,39|57,9.3,47|57
A. K-6,Camden,2540,Laurel Springs Boro,9.6,44|57,8.0,52|57
A. K-6,Camden,3770,Oaklyn Boro,31.2,3|57,32.1,2|57
A. K-6,Camden,5560,Waterford Twp,16.6,19|57,19.2,8|57
A. K-6,Cape May,710,Cape May City,11.1,35|57,13.5,27|57
A. K-6,Cape May,2840,Lower Twp,19.2,8|57,19.2,8|57
A. K-6,Cape May,5610,West Cape May Boro,6.2,54|57,9.4,45|57
A. K-6,Essex,1400,Essex Fells Boro,18.9,10|57,23.9,4|57
A. K-6,Essex,1465,Fairfield Twp,15.8,24|57,16.0,21|57
A. K-6,Essex,3630,North Caldwell Boro,19.2,8|57,20.2,7|57
A. K-6,Essex,4530,Roseland Boro,16.2,21|57,17.2,16|57
A. K-6,Gloucester,1180,East Greenwich Twp,20.8,7|57,16.3,20|57
A. K-6,Gloucester,1330,Elk Twp,35.8,2|57,34.8,1|57
A. K-6,Gloucester,1590,Franklin Twp,16.9,16|57,17.7,15|57
A. K-6,Gloucester,2070,Harrison Twp,15.9,23|57,15.4,22|57
A. K-6,Gloucester,2990,Mantua Twp,23.6,6|57,22.0,6|57
A. K-6,Gloucester,3490,National Park Boro,17.8,14|57,18.7,13|57
A. K-6,Gloucester,4880,South Harrison Twp,37.1,1|57,10.6,39|57
A. K-6,Gloucester,5120,Swedesboro-Woolwich,16.0,22|57,16.5,19|57
A. K-6,Gloucester,5590,Wenonah Boro,8.8,47|57,13.4,28|57
A. K-6,Gloucester,5740,Westville Boro,11.9,32|57,11.6,34|57
A. K-6,Gloucester,5870,Woodbury Heights Boro,27.1,5|57,27.4,3|57
A. K-6,Hunterdon,2590,Lebanon Boro,7.3,51|57,7.7,53|57
A. K-6,Hunterdon,3180,Milford Boro,7.0,52|57,8.2,51|57
A. K-6,Monmouth,130,Atlantic Highlands Boro,10.0,43|57,12.3,32|57
A. K-6,Monmouth,2160,Highlands Boro,10.8,37|57,10.9,36|57
A. K-6,Monmouth,4520,Roosevelt Boro,12.0,30|57,10.5,40|57
A. K-6,Morris,3240,Mine Hill Twp,12.0,30|57,12.3,32|57
A. K-6,Ocean,230,Beach Haven Boro,6.1,55|57,7.1,56|57
A. K-6,Ocean,320,Berkeley Twp,18.5,12|57,18.8,12|57
A. K-6,Ocean,1150,Eagleswood Twp,9.0,46|57,9.0,48|57
A. K-6,Ocean,2350,Island Heights Boro,11.4,33|57,10.9,36|57
A. K-6,Ocean,2690,Little Egg Harbor Twp,13.3,27|57,14.0,26|57
A. K-6,Ocean,2760,Long Beach Island,8.7,48|57,8.7,49|57
