GROUP,CONAME,DIST,DISTNAME,PP17,RK17,PCT17,SBA7,PP27,RK27,PCT27,SBB7,PP37,RK37,PCT37,SBC7
A. K-6,Monmouth,4520,Roosevelt Boro,4029,53|57,0.193,0.9496,3892,51|57,0.177,0.9318,4971,55|57,0.181,0.8531
A. K-6,Morris,3240,Mine Hill Twp,1115,3|57,0.065,0.3758,1080,4|57,0.063,0.4099,1097,2|57,0.063,0.3623
A. K-6,Ocean,230,Beach Haven Boro,4764,56|57,0.166,0.8913,3751,49|57,0.173,0.9093,4147,50|57,0.161,0.8679
A. K-6,Ocean,320,Berkeley Twp,2000,24|57,0.147,0.9246,2024,22|57,0.139,0.8584,2526,30|57,0.16,0.8426
A. K-6,Ocean,1150,Eagleswood Twp,1991,22|57,0.098,0.6818,1979,20|57,0.102,0.7181,2197,21|57,0.105,0.746
A. K-6,Ocean,2350,Island Heights Boro,612,1|57,0.031,0.3544,539,1|57,0.027,0.3287,581,1|57,0.029,0.3832
A. K-6,Ocean,2690,Little Egg Harbor Twp,2258,29|57,0.159,0.8992,2532,32|57,0.159,0.8645,2921,37|57,0.165,0.8622
A. K-6,Ocean,2760,Long Beach Island,3265,45|57,0.122,0.8492,4596,56|57,0.168,0.8195,4263,52|57,0.147,0.8509
A. K-6,Ocean,3800,Ocean Gate Boro,3282,46|57,0.168,0.9364,2591,33|57,0.133,0.7433,2620,33|57,0.121,0.6198
A. K-6,Ocean,3820,Ocean Twp,N.R.,N.R.,N.R.,N.R.,3077,41|57,0.161,0.8781,2496,29|57,0.158,0.8246
A. K-6,Ocean,4710,Seaside Heights Boro,3913,51|57,0.2,0.9295,3946,52|57,0.209,0.9175,4250,51|57,0.19,0.8498
A. K-6,Ocean,5020,Stafford Twp,2198,27|57,0.131,0.964,2699,36|57,0.171,0.967,2886,36|57,0.174,0.9419
A. K-6,Ocean,5220,Tuckerton Boro,1944,20|57,0.129,0.7633,2335,26|57,0.139,0.7768,2222,22|57,0.13,0.6864
A. K-6,Sussex,1630,Fredon Twp,3126,40|57,0.154,0.7573,2528,31|57,0.118,0.6785,2818,34|57,0.137,0.6792
A. K-6,Sussex,1980,Hampton Twp,2344,32|57,0.134,0.9146,2005,21|57,0.112,0.8955,2346,25|57,0.11,0.8343
A. K-6,Sussex,4650,Sandyston-Walpack Twp,1995,23|57,0.093,0.5771,2630,34|57,0.14,0.6947,2871,35|57,0.138,0.6757
A. K-6,Sussex,5040,Stillwater Twp,2930,39|57,0.137,0.8977,2353,27|57,0.119,0.8559,2592,31|57,0.117,0.8321
A. K-6,Warren,400,Blairstown Twp,2324,30|57,0.16,0.8445,3031,40|57,0.166,0.8788,3287,43|57,0.172,0.8463
A. K-6,Warren,1620,Franklin Twp,2825,38|57,0.142,0.7852,3115,43|57,0.143,0.7579,3013,39|57,0.144,0.7408
A. K-6,Warren,1670,Frelinghuysen Twp,1364,8|57,0.085,0.6413,1381,8|57,0.085,0.6462,1955,13|57,0.099,0.7172
A. K-6,Warren,2470,Knowlton Twp,4425,55|57,0.185,0.9129,4371,54|57,0.196,0.9366,4622,54|57,0.195,0.9066
A. K-6,Warren,2970,Mansfield Twp,1823,18|57,0.12,0.8798,2643,35|57,0.147,0.8932,2459,27|57,0.146,0.8994
A. K-6,Warren,5480,Washington Boro,2362,33|57,0.147,0.7881,2159,24|57,0.124,0.5573,2237,23|57,0.122,0.6233
A. K-6,Warren,5530,Washington Twp,3382,48|57,0.182,0.9405,3804,50|57,0.195,0.9584,4085,49|57,0.204,0.9255
B. K-8 / 0 - 400,Statewide,N.A.,1. State average - Operating Type K-8,2289,N.A.,0.138,0.845,2402,N.A.,0.138,0.844,2626,N.A.,0.138,0.816
B. K-8 / 0 - 400,Statewide,N.A.,2. State median - Operating Type K-8,2274,N.A.,0.136,0.813,2361,N.A.,0.136,0.817,2565,N.A.,0.131,0.768
B. K-8 / 0 - 400,Statewide,N.A.,5. State average - All operating types,2298,N.A.,0.141,0.863,2365,N.A.,0.141,0.867,2524,N.A.,0.139,0.832
B. K-8 / 0 - 400,Statewide,N.A.,6. State median - All operating types,2156,N.A.,0.133,0.833,2234,N.A.,0.133,0.841,2376,N.A.,0.13,0.786
B. K-8 / 0 - 400,Atlantic,1410,Estell Manor City,2084,33|81,0.138,0.9077,1315,9|81,0.147,0.8584,2708,40|81,0.153,0.7674
B. K-8 / 0 - 400,Atlantic,1540,Folsom Boro,2455,47|81,0.167,0.9257,2481,42|81,0.174,0.9105,2816,45|81,0.178,0.917
B. K-8 / 0 - 400,Atlantic,3020,Margate City,3902,69|81,0.149,0.8604,3739,69|81,0.146,0.8599,3942,68|81,0.119,0.7916
B. K-8 / 0 - 400,Atlantic,4240,Port Republic City,2938,57|81,0.157,0.8248,3156,59|81,0.184,0.856,3431,59|81,0.18,0.8136
B. K-8 / 0 - 400,Atlantic,5760,Weymouth Twp,2359,42|81,0.139,0.7566,3021,56|81,0.158,0.8005,2442,37|81,0.143,0.717
B. K-8 / 0 - 400,Bergen,80,Alpine Boro,5693,80|81,0.199,0.8508,5013,79|81,0.183,0.7918,6588,80|81,0.204,0.7877
B. K-8 / 0 - 400,Bergen,2090,Haworth Boro,3003,58|81,0.144,0.8232,2909,54|81,0.139,0.7739,2966,51|81,0.131,0.8023
B. K-8 / 0 - 400,Bergen,3350,Moonachie Boro,1490,12|81,0.086,0.3712,1253,6|81,0.074,0.339,1595,13|81,0.082,0.3452
B. K-8 / 0 - 400,Bergen,4870,South Hackensack Twp,2155,35|81,0.117,0.6381,2932,55|81,0.149,0.8325,3089,54|81,0.141,0.8213
B. K-8 / 0 - 400,Burlington,380,Beverly City,3176,61|81,0.187,0.8415,3321,63|81,0.195,0.845,3453,60|81,0.192,0.8447
B. K-8 / 0 - 400,Burlington,1030,Delanco Twp,2026,30|81,0.139,0.7223,1645,13|81,0.12,0.6663,1527,9|81,0.107,0.5358
B. K-8 / 0 - 400,Burlington,3540,New Hanover Twp,3858,68|81,0.178,0.8721,2734,48|81,0.126,0.7081,3279,55|81,0.14,0.7196
B. K-8 / 0 - 400,Burlington,4460,Riverton,1689,17|81,0.117,0.8207,1921,23|81,0.125,0.8403,1903,17|81,0.119,0.8701
B. K-8 / 0 - 400,Burlington,5890,Woodland Twp,1955,27|81,0.099,0.6109,1850,21|81,0.085,0.6903,2549,39|81,0.107,0.6274
B. K-8 / 0 - 400,Camden,580,Brooklawn Boro,1652,16|81,0.114,0.7655,1848,20|81,0.123,0.7811,1859,16|81,0.118,0.6817
B. K-8 / 0 - 400,Camden,1720,Gibbsboro Boro,2441,46|81,0.149,0.9324,2361,38|81,0.15,0.9067,2174,24|81,0.145,0.8969
B. K-8 / 0 - 400,Camden,2560,Lawnside Boro,2342,41|81,0.158,0.6993,2860,52|81,0.179,0.672,3049,53|81,0.165,0.5912
B. K-8 / 0 - 400,Camden,2890,Magnolia Boro,1808,25|81,0.106,0.6405,2072,31|81,0.124,0.7028,2212,26|81,0.106,0.5957
B. K-8 / 0 - 400,Camden,5900,Woodlynne Boro,1932,26|81,0.139,0.6446,2224,36|81,0.17,0.7698,2756,44|81,0.146,0.6592
B. K-8 / 0 - 400,Cape May,170,Avalon Boro,4472,76|81,0.135,0.7865,5092,80|81,0.135,0.7673,4861,77|81,0.125,0.7035
B. K-8 / 0 - 400,Cape May,3680,North Wildwood City,5333,79|81,0.171,0.8903,5933,81|81,0.161,0.8743,7928,81|81,0.178,0.8157
B. K-8 / 0 - 400,Cape May,5060,Stone Harbor Boro,1610,15|81,0.059,0.3291,1667,14|81,0.062,0.3219,1545,11|81,0.062,0.3114
B. K-8 / 0 - 400,Cape May,5800,Wildwood Crest Boro,4464,75|81,0.166,0.8004,4719,77|81,0.163,0.7994,4773,76|81,0.158,0.7509
B. K-8 / 0 - 400,Cape May,5840,Woodbine Boro,1197,5|81,0.073,0.6442,1259,7|81,0.07,0.6205,1527,9|81,0.083,0.5461
B. K-8 / 0 - 400,Cumberland,1020,Deerfield Twp,2423,45|81,0.131,0.7847,4956,78|81,0.288,0.9369,2090,22|81,0.108,0.7718
