GROUP,DISTNAME,csg1PP1,csg1RK1,csg1PP2,csg1RK2,csg1PP3,csg1RK3,csg2PP1,csg2RK1,csg2pct1,csg2PP2,csg2RK2,csg2pct2,csg2PP3,csg2RK3,csg2pct3,csg3PP1,csg3RK1,csg3pct1,csg3sba,csg3PP2,csg3RK2,csg3pct2,csg3sbb,csg3PP3,csg3RK3,csg3pct3,csg3sbc,csg4PP1,csg4RK1,csg4pct1,csg4PP2,csg4RK2,csg4pct2,csg4PP3,csg4RK3,csg4pct3,csg5PP1,csg5RK1,csg5pct1,csg5PP2,csg5RK2,csg5pct2,csg5PP3,csg5RK3,csg5pct3,csg6PP1,csg6RK1,csg6pct1,csg6PP2,csg6RK2,csg6pct2,csg6PP3,csg6RK3,csg6pct3,csg7PP1,csg7RK1,csg7pct1,csg7sba,csg7PP2,csg7RK2,csg7pct2,csg7sbb,csg7PP3,csg7RK3,csg7pct3,csg7sbc,csg8PP1,csg8RK1,csg8pct1,csg8PP2,csg8RK2,csg8pct2,csg8PP3,csg8RK3,csg8pct3,csg9PP1,csg9RK1,csg9pct1,csg9sba,csg9PP2,csg9RK2,csg9pct2,csg9sbb,csg9PP3,csg9RK3,csg9pct3,csg9sbc,csg10PP1,csg10RK1,csg10pct1,csg10PP2,csg10RK2,csg10pct2,csg10PP3,csg10RK3,csg10pct3,csg11PP1,csg11RK1,csg11pct1,csg11sba,csg11PP2,csg11RK2,csg11pct2,csg11sbb,csg11PP3,csg11RK3,csg11pct3,csg11sbc,csg12PP1,csg12RK1,csg12pct1,csg12PP2,csg12RK2,csg12pct2,csg12PP3,csg12RK3,csg12pct3,csg13PP1,csg13RK1,csg13pct1,csg13PP2,csg13RK2,csg13pct2,csg13PP3,csg13RK3,csg13pct3,csg14PP1,csg14PP2,csg14PP3,csg15PP1,csg15PP2,csg15PP3,csg16STRAT00,csg16RK00,csg16SALT00,csg16RKSAL00,csg16STRAT01,csg16RK01,csg16SALT01,csg16RKSAL01,csg17SSRAT00,csg17RK00,csg17SALS00,csg17RKSAL00,csg17SSRAT01,csg17RK01,csg17SALS01,csg17RKSAL01,csg18SARAT00,csg18RK00,csg18SALAM00,csg18RKSAL00,csg18SARAT01,csg18RK01,csg18SALAM01,csg18RKSAL01,csg19FARAT00,csg19RK00,csg19FARAT01,csg19RK01,csg8aPP1,csg8aRK1,csg8apct1,csg8aPP2,csg8aRK2,csg8apct2,csg8aPP3,csg8aRK3,csg8apct3,csg1aEXP1,csg1aADE1,csg1aPP1,csg1aRK1,csg1aEXP2,csg1aADE2,csg1aPP2,csg1aRK2
A. K-6,1. State average - Operating Type K-6,15656,N.A.,16395,N.A.,17770,N.A.,9611,N.A.,0.614,9925,N.A.,0.605,10605,N.A.,0.597,9039,N.A.,0.577,0.94,9374,N.A.,0.572,0.944,9942,N.A.,0.559,0.937,378,N.A.,0.024,367,N.A.,0.022,393,N.A.,0.022,194,N.A.,0.012,184,N.A.,0.011,271,N.A.,0.015,2670,N.A.,0.171,2856,N.A.,0.174,3284,N.A.,0.185,2165,N.A.,0.138,0.811,2327,N.A.,0.142,0.815,2533,N.A.,0.143,0.771,1598,N.A.,0.102,1705,N.A.,0.104,1731,N.A.,0.097,1271,N.A.,0.081,0.795,1364,N.A.,0.083,0.8,1371,N.A.,0.077,0.792,1662,N.A.,0.106,1809,N.A.,0.11,2002,N.A.,0.113,831,N.A.,0.053,0.5,879,N.A.,0.054,0.486,976,N.A.,0.055,0.488,59,N.A.,0.004,45,N.A.,0.003,51,N.A.,0.003,42,N.A.,0.003,19,N.A.,0.001,62,N.A.,0.003,0.328,0.319,0.351,195,187,210,10.3,,66787,,10.3,,67883,,68,,67596,,66.7,,69026,,130,,111091,,130.7,,112622,,14.6,,14.7,,53,N.A.,0.003,52,N.A.,0.003,44,N.A.,0.002,,,21923,,,,23366,
A. K-6,2. State median - Operating Type K-6,16887,N.A.,17827,N.A.,18985,N.A.,9800,N.A.,0.58,10304,N.A.,0.578,11294,N.A.,0.595,9336,N.A.,0.553,0.953,9961,N.A.,0.559,0.967,10559,N.A.,0.556,0.935,346,N.A.,0.02,315,N.A.,0.018,407,N.A.,0.021,209,N.A.,0.012,219,N.A.,0.012,302,N.A.,0.016,2906,N.A.,0.172,3006,N.A.,0.169,3589,N.A.,0.189,2251,N.A.,0.133,0.775,2404,N.A.,0.135,0.8,2496,N.A.,0.131,0.695,1767,N.A.,0.105,1853,N.A.,0.104,1856,N.A.,0.098,1301,N.A.,0.077,0.736,1401,N.A.,0.079,0.756,1383,N.A.,0.073,0.745,1761,N.A.,0.104,1934,N.A.,0.108,2075,N.A.,0.109,837,N.A.,0.05,0.475,872,N.A.,0.049,0.451,950,N.A.,0.05,0.458,32,N.A.,0.002,43,N.A.,0.002,58,N.A.,0.003,48,N.A.,0.003,15,N.A.,0.001,65,N.A.,0.003,0.321,0.31,0.34,137,123,154,9.7,,64422,,9.8,,65121,,71.7,,67529,,64.9,,68957,,112,,114999,,114,,115672,,12.8,,13.2,,46,N.A.,0.003,48,N.A.,0.003,43,N.A.,0.002,,,23274,,,,24483,
B. K-8 / 0 - 400,1. State average - Operating Type K-8,16598,N.A.,17372,N.A.,19060,N.A.,10122,N.A.,0.61,10651,N.A.,0.613,11517,N.A.,0.604,9520,N.A.,0.574,0.941,10024,N.A.,0.577,0.941,10784,N.A.,0.566,0.936,329,N.A.,0.02,346,N.A.,0.02,393,N.A.,0.021,274,N.A.,0.017,281,N.A.,0.016,341,N.A.,0.018,2710,N.A.,0.163,2846,N.A.,0.164,3218,N.A.,0.169,2289,N.A.,0.138,0.845,2402,N.A.,0.138,0.844,2626,N.A.,0.138,0.816,1781,N.A.,0.107,1851,N.A.,0.107,1936,N.A.,0.102,1438,N.A.,0.087,0.807,1507,N.A.,0.087,0.814,1555,N.A.,0.082,0.803,1785,N.A.,0.108,1879,N.A.,0.108,2153,N.A.,0.113,837,N.A.,0.05,0.469,839,N.A.,0.048,0.447,955,N.A.,0.05,0.444,33,N.A.,0.002,54,N.A.,0.003,37,N.A.,0.002,124,N.A.,0.007,73,N.A.,0.004,157,N.A.,0.008,0.309,0.31,0.335,116,138,116,10.2,,72348,,10.1,,73292,,61.8,,73770,,61.3,,74962,,131.2,,124850,,131,,126745,,15,,15.1,,47,N.A.,0.003,49,N.A.,0.003,50,N.A.,0.003,,,22937,,,,24720,
B. K-8 / 0 - 400,2. State median - Operating Type K-8,16782,N.A.,17388,N.A.,19603,N.A.,10141,N.A.,0.604,10668,N.A.,0.614,11632,N.A.,0.593,9534,N.A.,0.568,0.94,10004,N.A.,0.575,0.938,10896,N.A.,0.556,0.937,334,N.A.,0.02,339,N.A.,0.019,413,N.A.,0.021,196,N.A.,0.012,211,N.A.,0.012,278,N.A.,0.014,2797,N.A.,0.167,2891,N.A.,0.166,3341,N.A.,0.17,2274,N.A.,0.136,0.813,2361,N.A.,0.136,0.817,2565,N.A.,0.131,0.768,1892,N.A.,0.113,1978,N.A.,0.114,2056,N.A.,0.105,1449,N.A.,0.086,0.766,1549,N.A.,0.089,0.783,1587,N.A.,0.081,0.772,1797,N.A.,0.107,1898,N.A.,0.109,2212,N.A.,0.113,846,N.A.,0.05,0.471,855,N.A.,0.049,0.45,974,N.A.,0.05,0.44,34,N.A.,0.002,58,N.A.,0.003,57,N.A.,0.003,130,N.A.,0.008,64,N.A.,0.004,168,N.A.,0.009,0.305,0.304,0.333,90,105,83,9.8,,69462,,9.8,,70585,,63.7,,72018,,62.4,,72900,,115.7,,124848,,119.6,,126169,,13.8,,14.3,,45,N.A.,0.003,49,N.A.,0.003,49,N.A.,0.002,,,23496,,,,25325,
C. K-8 / 401 - 750,1. State average - Operating Type K-8,16598,N.A.,17372,N.A.,19060,N.A.,10122,N.A.,0.61,10651,N.A.,0.613,11517,N.A.,0.604,9520,N.A.,0.574,0.941,10024,N.A.,0.577,0.941,10784,N.A.,0.566,0.936,329,N.A.,0.02,346,N.A.,0.02,393,N.A.,0.021,274,N.A.,0.017,281,N.A.,0.016,341,N.A.,0.018,2710,N.A.,0.163,2846,N.A.,0.164,3218,N.A.,0.169,2289,N.A.,0.138,0.845,2402,N.A.,0.138,0.844,2626,N.A.,0.138,0.816,1781,N.A.,0.107,1851,N.A.,0.107,1936,N.A.,0.102,1438,N.A.,0.087,0.807,1507,N.A.,0.087,0.814,1555,N.A.,0.082,0.803,1785,N.A.,0.108,1879,N.A.,0.108,2153,N.A.,0.113,837,N.A.,0.05,0.469,839,N.A.,0.048,0.447,955,N.A.,0.05,0.444,33,N.A.,0.002,54,N.A.,0.003,37,N.A.,0.002,124,N.A.,0.007,73,N.A.,0.004,157,N.A.,0.008,0.309,0.31,0.335,116,138,116,10.2,,72348,,10.1,,73292,,61.8,,73770,,61.3,,74962,,131.2,,124850,,131,,126745,,15,,15.1,,47,N.A.,0.003,49,N.A.,0.003,50,N.A.,0.003,,,22937,,,,24720,
C. K-8 / 401 - 750,2. State median - Operating Type K-8,16782,N.A.,17388,N.A.,19603,N.A.,10141,N.A.,0.604,10668,N.A.,0.614,11632,N.A.,0.593,9534,N.A.,0.568,0.94,10004,N.A.,0.575,0.938,10896,N.A.,0.556,0.937,334,N.A.,0.02,339,N.A.,0.019,413,N.A.,0.021,196,N.A.,0.012,211,N.A.,0.012,278,N.A.,0.014,2797,N.A.,0.167,2891,N.A.,0.166,3341,N.A.,0.17,2274,N.A.,0.136,0.813,2361,N.A.,0.136,0.817,2565,N.A.,0.131,0.768,1892,N.A.,0.113,1978,N.A.,0.114,2056,N.A.,0.105,1449,N.A.,0.086,0.766,1549,N.A.,0.089,0.783,1587,N.A.,0.081,0.772,1797,N.A.,0.107,1898,N.A.,0.109,2212,N.A.,0.113,846,N.A.,0.05,0.471,855,N.A.,0.049,0.45,974,N.A.,0.05,0.44,34,N.A.,0.002,58,N.A.,0.003,57,N.A.,0.003,130,N.A.,0.008,64,N.A.,0.004,168,N.A.,0.009,0.305,0.304,0.333,90,105,83,9.8,,69462,,9.8,,70585,,63.7,,72018,,62.4,,72900,,115.7,,124848,,119.6,,126169,,13.8,,14.3,,45,N.A.,0.003,49,N.A.,0.003,49,N.A.,0.002,,,23496,,,,25325,
D. K-8 / 751 +,1. State average - Operating Type K-8,16598,N.A.,17372,N.A.,19060,N.A.,10122,N.A.,0.61,10651,N.A.,0.613,11517,N.A.,0.604,9520,N.A.,0.574,0.941,10024,N.A.,0.577,0.941,10784,N.A.,0.566,0.936,329,N.A.,0.02,346,N.A.,0.02,393,N.A.,0.021,274,N.A.,0.017,281,N.A.,0.016,341,N.A.,0.018,2710,N.A.,0.163,2846,N.A.,0.164,3218,N.A.,0.169,2289,N.A.,0.138,0.845,2402,N.A.,0.138,0.844,2626,N.A.,0.138,0.816,1781,N.A.,0.107,1851,N.A.,0.107,1936,N.A.,0.102,1438,N.A.,0.087,0.807,1507,N.A.,0.087,0.814,1555,N.A.,0.082,0.803,1785,N.A.,0.108,1879,N.A.,0.108,2153,N.A.,0.113,837,N.A.,0.05,0.469,839,N.A.,0.048,0.447,955,N.A.,0.05,0.444,33,N.A.,0.002,54,N.A.,0.003,37,N.A.,0.002,124,N.A.,0.007,73,N.A.,0.004,157,N.A.,0.008,0.309,0.31,0.335,116,138,116,10.2,,72348,,10.1,,73292,,61.8,,73770,,61.3,,74962,,131.2,,124850,,131,,126745,,15,,15.1,,47,N.A.,0.003,49,N.A.,0.003,50,N.A.,0.003,,,22937,,,,24720,
D. K-8 / 751 +,2. State median - Operating Type K-8,16782,N.A.,17388,N.A.,19603,N.A.,10141,N.A.,0.604,10668,N.A.,0.614,11632,N.A.,0.593,9534,N.A.,0.568,0.94,10004,N.A.,0.575,0.938,10896,N.A.,0.556,0.937,334,N.A.,0.02,339,N.A.,0.019,413,N.A.,0.021,196,N.A.,0.012,211,N.A.,0.012,278,N.A.,0.014,2797,N.A.,0.167,2891,N.A.,0.166,3341,N.A.,0.17,2274,N.A.,0.136,0.813,2361,N.A.,0.136,0.817,2565,N.A.,0.131,0.768,1892,N.A.,0.113,1978,N.A.,0.114,2056,N.A.,0.105,1449,N.A.,0.086,0.766,1549,N.A.,0.089,0.783,1587,N.A.,0.081,0.772,1797,N.A.,0.107,1898,N.A.,0.109,2212,N.A.,0.113,846,N.A.,0.05,0.471,855,N.A.,0.049,0.45,974,N.A.,0.05,0.44,34,N.A.,0.002,58,N.A.,0.003,57,N.A.,0.003,130,N.A.,0.008,64,N.A.,0.004,168,N.A.,0.009,0.305,0.304,0.333,90,105,83,9.8,,69462,,9.8,,70585,,63.7,,72018,,62.4,,72900,,115.7,,124848,,119.6,,126169,,13.8,,14.3,,45,N.A.,0.003,49,N.A.,0.003,49,N.A.,0.002,,,23496,,,,25325,
E. K-12 / 0 - 1800,1. State average - Operating Type K-12,16150,N.A.,16695,N.A.,17959,N.A.,9565,N.A.,0.592,9920,N.A.,0.594,10555,N.A.,0.588,9036,N.A.,0.56,0.945,9391,N.A.,0.563,0.947,9882,N.A.,0.55,0.936,275,N.A.,0.017,278,N.A.,0.017,332,N.A.,0.018,255,N.A.,0.016,251,N.A.,0.015,341,N.A.,0.019,2681,N.A.,0.166,2749,N.A.,0.165,3028,N.A.,0.169,2319,N.A.,0.144,0.865,2389,N.A.,0.143,0.869,2552,N.A.,0.142,0.843,1647,N.A.,0.102,1722,N.A.,0.103,1796,N.A.,0.1,1362,N.A.,0.084,0.827,1427,N.A.,0.085,0.829,1463,N.A.,0.081,0.815,1864,N.A.,0.115,1926,N.A.,0.115,2140,N.A.,0.119,981,N.A.,0.061,0.526,1003,N.A.,0.06,0.521,1076,N.A.,0.06,0.503,60,N.A.,0.004,86,N.A.,0.005,35,N.A.,0.002,292,N.A.,0.018,279,N.A.,0.017,335,N.A.,0.019,0.309,0.313,0.322,73,91,78,11.7,,76829,,11.7,,78185,,68.9,,82046,,68.8,,83020,,149.8,,133276,,152.6,,136523,,15,,15.3,,42,N.A.,0.003,42,N.A.,0.003,46,N.A.,0.003,,,22817,,,,24565,
E. K-12 / 0 - 1800,2. State median - Operating Type K-12,15846,N.A.,16458,N.A.,17833,N.A.,9392,N.A.,0.593,9736,N.A.,0.592,10511,N.A.,0.589,8822,N.A.,0.557,0.939,9229,N.A.,0.561,0.948,9780,N.A.,0.548,0.93,263,N.A.,0.017,263,N.A.,0.016,313,N.A.,0.018,209,N.A.,0.013,205,N.A.,0.012,267,N.A.,0.015,2538,N.A.,0.16,2613,N.A.,0.159,2933,N.A.,0.164,2144,N.A.,0.135,0.845,2234,N.A.,0.136,0.855,2419,N.A.,0.136,0.825,1679,N.A.,0.106,1788,N.A.,0.109,1833,N.A.,0.103,1405,N.A.,0.089,0.837,1465,N.A.,0.089,0.819,1500,N.A.,0.084,0.818,1727,N.A.,0.109,1785,N.A.,0.108,1981,N.A.,0.111,922,N.A.,0.058,0.534,909,N.A.,0.055,0.509,998,N.A.,0.056,0.504,20,N.A.,0.001,29,N.A.,0.002,26,N.A.,0.001,364,N.A.,0.023,356,N.A.,0.022,429,N.A.,0.024,0.296,0.295,0.308,55,72,50,11.4,,74145,,11.4,,75713,,68.4,,81689,,68,,82445,,142.8,,132878,,143,,135325,,14.9,,14.9,,35,N.A.,0.002,35,N.A.,0.002,41,N.A.,0.002,,,22037,,,,23531,
