CONAME,DISTNAME,DIST,GENERAL_CURR_EXP,L76400,GRANTS_ENTITLE,L92180,DEBT_SERVICE,SDA_DEBT_SERVICE,EXP20,TOTENR1A,PP20
Atlantic,Absecon City,10,17325.095965,117.53708395,1282.6243299,335.59952872,422.96659794,177.96014138,18542154.3,943.05555556,19662
Atlantic,Atlantic City,110,21208.95864,308.09444042,1863.0997442,635.90012623,878.31302228,68.971856506,173364556.45,6944.7666667,24963
Atlantic,Atlantic Co Vocational,120,16434.192598,628.55905233,840.90759076,516.67197077,2163.0716643,16.72725719,34954300.81,1696.8,20600
Atlantic,Atlantic Co Special Serv,125,59383.230588,639.09537993,127.67818799,1400.4173305,3496.3288772,3062.0658482,21850821.77,320.82222222,68109
Atlantic,Brigantine City,570,28869.343151,585.46027141,2278.5814496,343.15092642,967.64419634,357.39017023,20210547.85,605.07777778,33402
Atlantic,Buena Regional,590,22263.483211,577.26483441,2015.524379,461.12580497,724.21975621,1155.238512,47300772.82,1739.2,27197
Atlantic,Corbin City,960,15683.617647,0,0,0,0,0,1066486,68,15684
Atlantic,Egg Harbor City,1300,18741.931065,443.46555949,2718.4023713,577.99895132,1162.5833859,2952.8737178,13808556.01,519.17222222,26597
Atlantic,Egg Harbor Twp,1310,19536.547535,331.50287232,557.50850095,391.81957336,1196.5661417,736.9670059,167787720.48,7374.9888889,22751
Atlantic,Estell Manor City,1410,19229.187465,488.674135,161.7498582,390.29353375,498.3862734,738.54767442,5055540.94,235.06666667,21507
Atlantic,Folsom Boro,1540,19521.160145,150.64411097,620.630294,390.9995074,479.56891062,615.83337218,10070412.93,462.39444444,21779
Atlantic,Galloway Twp,1690,19952.113262,864.65337021,1289.6046004,598.94977435,60.893288688,119.69325666,78601649.49,3434.5,22886
Atlantic,Greater Egg Harbor Reg,1790,24181.917856,198.2111532,755.96344678,415.81106966,1740.8116458,1497.2682892,88843329.85,3085.9111111,28790
