GROUP,CONAME,DIST,DISTNAME,PP12,RK12,PCT12,PP22,RK22,PCT22,PP32,RK32,PCT32
A. K-6,Statewide,N.A.,1. State average - Operating Type K-6,9611,N.A.,0.614,9925,N.A.,0.605,10605,N.A.,0.597
A. K-6,Statewide,N.A.,2. State median - Operating Type K-6,9800,N.A.,0.58,10304,N.A.,0.578,11294,N.A.,0.595
A. K-6,Statewide,N.A.,5. State average - All operating types,9582,N.A.,0.587,9902,N.A.,0.589,10629,N.A.,0.584
A. K-6,Statewide,N.A.,6. State median - All operating types,9475,N.A.,0.585,9939,N.A.,0.593,10770,N.A.,0.588
A. K-6,Bergen,1270,Edgewater Boro,7333,1|57,0.569,7438,1|57,0.547,12749,41|57,0.557
A. K-6,Bergen,3870,Oradell Boro,9388,19|57,0.615,9133,11|57,0.617,9958,14|57,0.591
A. K-6,Bergen,4410,River Edge Boro,9355,18|57,0.656,9638,15|57,0.658,10493,19|57,0.652
A. K-6,Bergen,4620,Saddle River Boro,14910,54|57,0.506,13641,52|57,0.443,15981,56|57,0.522
A. K-6,Burlington,200,Bass River Twp,14499,53|57,0.613,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.
A. K-6,Burlington,830,Chesterfield Twp,7507,2|57,0.54,8897,8|57,0.571,9923,13|57,0.549
A. K-6,Burlington,2960,Mansfield Twp,10474,33|57,0.547,11299,36|57,0.556,11208,27|57,0.547
A. K-6,Burlington,3650,North Hanover Twp,10621,36|57,0.601,11467,39|57,0.611,12467,40|57,0.616
A. K-6,Burlington,5010,Springfield Twp,8696,9|57,0.567,8558,6|57,0.56,9397,7|57,0.54
A. K-6,Camden,2540,Laurel Springs Boro,8478,8|57,0.593,9066,10|57,0.581,10818,24|57,0.584
A. K-6,Camden,3770,Oaklyn Boro,9814,29|57,0.59,9945,21|57,0.552,10514,20|57,0.573
A. K-6,Camden,5560,Waterford Twp,9634,24|57,0.532,10099,25|57,0.567,11229,28|57,0.56
A. K-6,Cape May,710,Cape May City,14456,52|57,0.593,12161,43|57,0.553,13587,48|57,0.553
A. K-6,Cape May,2840,Lower Twp,8927,13|57,0.584,10060,24|57,0.596,10190,17|57,0.581
A. K-6,Cape May,5610,West Cape May Boro,8824,10|57,0.485,11413,38|57,0.523,10674,21|57,0.482
A. K-6,Essex,1400,Essex Fells Boro,13462,49|57,0.686,13745,53|57,0.681,13361,46|57,0.656
A. K-6,Essex,1465,Fairfield Twp,9746,25|57,0.613,10057,23|57,0.62,9903,12|57,0.608
A. K-6,Essex,3630,North Caldwell Boro,10487,34|57,0.618,10738,31|57,0.618,11460,34|57,0.604
A. K-6,Essex,4530,Roseland Boro,9771,27|57,0.608,10158,26|57,0.6,11060,25|57,0.589
A. K-6,Gloucester,1180,East Greenwich Twp,7728,3|57,0.634,7714,2|57,0.632,8791,2|57,0.61
A. K-6,Gloucester,1330,Elk Twp,10223,30|57,0.644,9788,17|57,0.646,11294,29|57,0.627
A. K-6,Gloucester,1590,Franklin Twp,8273,6|57,0.598,8546,5|57,0.594,8675,1|57,0.589
A. K-6,Gloucester,2070,Harrison Twp,7796,4|57,0.637,8388,4|57,0.633,9204,5|57,0.638
A. K-6,Gloucester,2990,Mantua Twp,9519,21|57,0.618,9915,20|57,0.607,9718,11|57,0.605
A. K-6,Gloucester,3490,National Park Boro,8922,12|57,0.608,8736,7|57,0.627,10717,22|57,0.652
A. K-6,Gloucester,4880,South Harrison Twp,8222,5|57,0.611,8074,3|57,0.602,9104,4|57,0.604
A. K-6,Gloucester,5120,Swedesboro-Woolwich,8941,14|57,0.627,9204,12|57,0.618,10068,15|57,0.611
A. K-6,Gloucester,5590,Wenonah Boro,9786,28|57,0.545,9909,19|57,0.547,9087,3|57,0.527
A. K-6,Gloucester,5740,Westville Boro,9316,17|57,0.689,9950,22|57,0.692,11319,31|57,0.663
A. K-6,Gloucester,5870,Woodbury Heights Boro,9608,23|57,0.689,10304,29|57,0.703,11672,36|57,0.672
A. K-6,Hunterdon,2590,Lebanon Boro,12398,44|57,0.578,13843,55|57,0.598,11478,35|57,0.564
A. K-6,Hunterdon,3180,Milford Boro,15402,55|57,0.609,17396,57|57,0.611,18487,57|57,0.57
A. K-6,Monmouth,130,Atlantic Highlands Boro,11404,39|57,0.662,13178,50|57,0.664,14173,50|57,0.689
A. K-6,Monmouth,2160,Highlands Boro,12746,45|57,0.554,13355,51|57,0.584,14347,53|57,0.538
A. K-6,Monmouth,4520,Roosevelt Boro,11864,42|57,0.57,12387,45|57,0.565,15146,54|57,0.552
A. K-6,Morris,3240,Mine Hill Twp,9535,22|57,0.556,9849,18|57,0.577,9581,10|57,0.554
A. K-6,Ocean,230,Beach Haven Boro,16778,56|57,0.585,12449,46|57,0.573,14255,52|57,0.553
A. K-6,Ocean,320,Berkeley Twp,8311,7|57,0.61,8951,9|57,0.616,9353,6|57,0.592
A. K-6,Ocean,1150,Eagleswood Twp,13201,47|57,0.653,13112,49|57,0.673,14186,51|57,0.677
A. K-6,Ocean,2350,Island Heights Boro,13022,46|57,0.658,13840,54|57,0.685,13057,43|57,0.648
A. K-6,Ocean,2690,Little Egg Harbor Twp,9188,15|57,0.645,10274,28|57,0.646,11351,32|57,0.64
A. K-6,Ocean,2760,Long Beach Island,17533,57|57,0.656,15551,56|57,0.57,15667,55|57,0.541
A. K-6,Ocean,3800,Ocean Gate Boro,11223,38|57,0.574,11732,41|57,0.6,12933,42|57,0.597
A. K-6,Ocean,3820,Ocean Twp,N.R.,N.R.,N.R.,11116,35|57,0.583,9416,8|57,0.596
A. K-6,Ocean,4710,Seaside Heights Boro,11860,41|57,0.606,11067,34|57,0.587,13627,49|57,0.609
A. K-6,Ocean,5020,Stafford Twp,11672,40|57,0.695,9259,13|57,0.585,9496,9|57,0.571
A. K-6,Ocean,5220,Tuckerton Boro,9275,16|57,0.617,10272,27|57,0.612,10340,18|57,0.604
A. K-6,Sussex,1630,Fredon Twp,10400,32|57,0.514,11610,40|57,0.54,10080,16|57,0.492
A. K-6,Sussex,1980,Hampton Twp,11051,37|57,0.63,11403,37|57,0.64,13394,47|57,0.625
A. K-6,Sussex,4650,Sandyston-Walpack Twp,13634,50|57,0.636,10751,32|57,0.573,11768,37|57,0.564
A. K-6,Sussex,5040,Stillwater Twp,13220,48|57,0.618,12328,44|57,0.623,13318,45|57,0.6
A. K-6,Warren,400,Blairstown Twp,8847,11|57,0.61,10985,33|57,0.6,11361,33|57,0.593
A. K-6,Warren,1620,Franklin Twp,11887,43|57,0.596,12884,47|57,0.592,12369,39|57,0.59
A. K-6,Warren,1670,Frelinghuysen Twp,9441,20|57,0.59,9607,14|57,0.594,11817,38|57,0.599
A. K-6,Warren,2470,Knowlton Twp,14404,51|57,0.603,13041,48|57,0.584,13179,44|57,0.555
A. K-6,Warren,2970,Mansfield Twp,10491,35|57,0.69,11997,42|57,0.668,11182,26|57,0.664
A. K-6,Warren,5480,Washington Boro,9768,26|57,0.607,9667,16|57,0.557,11296,30|57,0.617
A. K-6,Warren,5530,Washington Twp,10371,31|57,0.557,10534,30|57,0.541,10762,23|57,0.538
B. K-8 / 0 - 400,Statewide,N.A.,1. State average - Operating Type K-8,10122,N.A.,0.61,10651,N.A.,0.613,11517,N.A.,0.604
B. K-8 / 0 - 400,Statewide,N.A.,2. State median - Operating Type K-8,10141,N.A.,0.604,10668,N.A.,0.614,11632,N.A.,0.593
B. K-8 / 0 - 400,Statewide,N.A.,5. State average - All operating types,9582,N.A.,0.587,9902,N.A.,0.589,10629,N.A.,0.584
B. K-8 / 0 - 400,Statewide,N.A.,6. State median - All operating types,9475,N.A.,0.585,9939,N.A.,0.593,10770,N.A.,0.588
B. K-8 / 0 - 400,Atlantic,1410,Estell Manor City,9053,16|81,0.598,5136,1|81,0.575,9863,13|81,0.556
B. K-8 / 0 - 400,Atlantic,1540,Folsom Boro,8708,11|81,0.594,8625,12|81,0.603,9244,7|81,0.584
B. K-8 / 0 - 400,Atlantic,3020,Margate City,16046,76|81,0.612,15350,73|81,0.6,19929,79|81,0.604
B. K-8 / 0 - 400,Atlantic,4240,Port Republic City,11448,50|81,0.612,9623,16|81,0.561,11028,24|81,0.577
B. K-8 / 0 - 400,Atlantic,5760,Weymouth Twp,8927,13|81,0.524,10596,30|81,0.553,8953,5|81,0.523
B. K-8 / 0 - 400,Bergen,80,Alpine Boro,16411,77|81,0.573,16093,77|81,0.587,17106,74|81,0.529
B. K-8 / 0 - 400,Bergen,2090,Haworth Boro,12484,62|81,0.598,12242,49|81,0.584,13924,64|81,0.615
B. K-8 / 0 - 400,Bergen,3350,Moonachie Boro,9925,26|81,0.573,9981,20|81,0.593,10859,20|81,0.558
B. K-8 / 0 - 400,Bergen,4870,South Hackensack Twp,10266,29|81,0.556,11524,41|81,0.587,12273,41|81,0.561
B. K-8 / 0 - 400,Burlington,380,Beverly City,9911,25|81,0.582,9908,19|81,0.582,10312,19|81,0.573
B. K-8 / 0 - 400,Burlington,1030,Delanco Twp,7801,5|81,0.535,7488,3|81,0.547,7891,1|81,0.552
B. K-8 / 0 - 400,Burlington,3540,New Hanover Twp,12912,67|81,0.597,12776,55|81,0.588,13539,57|81,0.58
B. K-8 / 0 - 400,Burlington,4460,Riverton,8755,12|81,0.607,9422,14|81,0.613,9862,12|81,0.619
B. K-8 / 0 - 400,Burlington,5890,Woodland Twp,11888,58|81,0.602,15420,74|81,0.71,14793,68|81,0.624
B. K-8 / 0 - 400,Camden,580,Brooklawn Boro,9616,21|81,0.665,10016,21|81,0.668,10070,15|81,0.64
B. K-8 / 0 - 400,Camden,1720,Gibbsboro Boro,10276,30|81,0.625,9808,18|81,0.624,9377,10|81,0.624
B. K-8 / 0 - 400,Camden,2560,Lawnside Boro,7570,3|81,0.511,7909,6|81,0.495,9099,6|81,0.493
B. K-8 / 0 - 400,Camden,2890,Magnolia Boro,10639,38|81,0.621,10166,23|81,0.606,12744,47|81,0.608
B. K-8 / 0 - 400,Camden,5900,Woodlynne Boro,8246,7|81,0.592,7696,5|81,0.588,10954,23|81,0.581
B. K-8 / 0 - 400,Cape May,170,Avalon Boro,18897,80|81,0.57,22347,81|81,0.592,22934,80|81,0.591
B. K-8 / 0 - 400,Cape May,3680,North Wildwood City,18130,79|81,0.58,21541,80|81,0.586,23859,81|81,0.537
B. K-8 / 0 - 400,Cape May,5060,Stone Harbor Boro,15422,75|81,0.568,15841,76|81,0.592,13868,63|81,0.56
B. K-8 / 0 - 400,Cape May,5800,Wildwood Crest Boro,15252,74|81,0.567,17420,79|81,0.601,17534,75|81,0.579
B. K-8 / 0 - 400,Cape May,5840,Woodbine Boro,10855,41|81,0.663,12485,52|81,0.693,12252,40|81,0.667
B. K-8 / 0 - 400,Cumberland,1020,Deerfield Twp,10887,43|81,0.589,8238,9|81,0.478,12028,36|81,0.624
B. K-8 / 0 - 400,Cumberland,1120,Downe Twp,8431,9|81,0.507,10457,28|81,0.587,10092,17|81,0.567
B. K-8 / 0 - 400,Cumberland,1820,Greenwich Twp,8415,8|81,0.562,7530,4|81,0.496,10923,22|81,0.512
B. K-8 / 0 - 400,Cumberland,3050,Maurice River Twp,7384,2|81,0.566,8234,8|81,0.546,8752,3|81,0.564
