GROUP,CONAME,DIST,DISTNAME,pp3vv,stpct01vv,ltpct01vv,fdpct01vv,tupct01vv,fbpct01vv,otpct01vv,strat01vv,ssrat01vv,sarat01vv,pctsevv
A. K-6,Bergen,1270,Edgewater Boro,22843,0.127,0.852,0.021,0,0,0,13.7,88.5,159.3,0.0881
A. K-6,Bergen,3870,Oradell Boro,20309,0.216,0.766,0.018,0,0,0,11.9,96.5,134.9,0.1022
A. K-6,Bergen,4410,River Edge Boro,19876,0.288,0.665,0.025,0.022,0,0,12.8,91.7,140.2,0.1033
A. K-6,Bergen,4620,Saddle River Boro,29912,0.146,0.825,0.018,0.01,0,0.001,8.9,47.4,37.7,0.1034
A. K-6,Burlington,830,Chesterfield Twp,22910,0.308,0.681,0.011,0,0,0,12.9,97.9,150.8,0.1367
A. K-6,Burlington,2960,Mansfield Twp,30133,0.229,0.756,0.012,0.003,0,0,9.6,85.2,111.8,0.1578
A. K-6,Burlington,3650,North Hanover Twp,31399,0.548,0.102,0.342,0.003,0,0.005,10.3,54.6,141.5,0.1339
A. K-6,Burlington,5010,Springfield Twp,23334,0.333,0.626,0.037,0.004,0,0,9.1,72,61.7,0.136
A. K-6,Camden,2540,Laurel Springs Boro,18324,0.473,0.498,0.029,0,0,0,12.2,84.2,111,0.1437
A. K-6,Camden,3770,Oaklyn Boro,20050,0.415,0.54,0.035,0.004,0,0.006,9.3,82.3,181,0.1196
A. K-6,Camden,5560,Waterford Twp,20922,0.528,0.444,0.024,0,0,0.004,11,64.9,140.7,0.1365
A. K-6,Cape May,710,Cape May City,30170,0.254,0.387,0.359,0.001,0,0,8.3,176,58.7,0.1611
A. K-6,Cape May,2840,Lower Twp,23650,0.442,0.5,0.049,0,0,0.009,11.7,79.8,186.2,0.1451
A. K-6,Cape May,5610,West Cape May Boro,28019,0.423,0.558,0.018,0,0,0.001,10.7,127.5,51,0.1013
A. K-6,Essex,1400,Essex Fells Boro,26323,0.207,0.764,0.016,0.013,0,0,7.5,71.3,114,0.1235
A. K-6,Essex,1465,Fairfield Twp,21569,0.197,0.779,0.017,0.008,0,0,10.5,61.9,170.3,0.1049
A. K-6,Essex,3630,North Caldwell Boro,23725,0.213,0.762,0.018,0.007,0,0,10,70.1,166.5,0.155
A. K-6,Essex,4530,Roseland Boro,25770,0.196,0.779,0.023,0.002,0,0,12.4,57,91.2,0.1667
A. K-6,Gloucester,1180,East Greenwich Twp,18652,0.374,0.597,0.025,0.003,0,0.001,11.9,84.7,181.4,0.1246
A. K-6,Gloucester,1330,Elk Twp,22499,0.481,0.443,0.039,0.008,0,0.029,11.5,126,189,0.099
A. K-6,Gloucester,1590,Franklin Twp,20569,0.483,0.419,0.032,0.059,0,0.007,11.4,73.8,175.3,0.1281
A. K-6,Gloucester,2070,Harrison Twp,19092,0.416,0.553,0.027,0.004,0,0,12,107.4,174.5,0.0675
A. K-6,Gloucester,2990,Mantua Twp,21346,0.442,0.528,0.028,0.001,0,0.001,11.4,68.5,181,0.1272
A. K-6,Gloucester,3490,National Park Boro,19827,0.578,0.358,0.052,0.011,0,0.001,10.8,84.7,150.6,0.1565
A. K-6,Gloucester,4880,South Harrison Twp,20757,0.389,0.593,0.016,0.002,0,0,11.7,75.8,364,0.0698
A. K-6,Gloucester,5120,Swedesboro-Woolwich,23042,0.412,0.549,0.021,0.004,0.013,0.001,11.7,95.2,165.7,0.1678
A. K-6,Gloucester,5590,Wenonah Boro,24686,0.295,0.682,0.014,0.009,0,0,9.4,60.3,100.6,0.1152
A. K-6,Gloucester,5740,Westville Boro,21616,0.523,0.357,0.06,0.012,0.048,0,12.5,67.2,165,0.2024
A. K-6,Gloucester,5870,Woodbury Heights Boro,21359,0.39,0.522,0.04,0.003,0.041,0.004,9.3,76,228,0.1179
A. K-6,Hunterdon,2590,Lebanon Boro,27788,0.195,0.763,0.012,0.004,0.026,0,5.9,0,53.5,0.1099
A. K-6,Hunterdon,3180,Milford Boro,28316,0.279,0.698,0.019,0.005,0,0,5.6,350,54.3,0.1818
