GROUP,CONAME,DIST,DISTNAME,PP13,RK13,PCT13,SBA3,PP23,RK23,PCT23,SBB3,PP33,RK33,PCT33,SBC3
A. K-6,Statewide,N.A.,1. State average - Operating Type K-6,9039,N.A.,0.577,0.94,9374,N.A.,0.572,0.944,9942,N.A.,0.559,0.937
A. K-6,Statewide,N.A.,2. State median - Operating Type K-6,9336,N.A.,0.553,0.953,9961,N.A.,0.559,0.967,10559,N.A.,0.556,0.935
A. K-6,Statewide,N.A.,5. State average - All operating types,9008,N.A.,0.552,0.94,9329,N.A.,0.555,0.942,9897,N.A.,0.544,0.931
A. K-6,Statewide,N.A.,6. State median - All operating types,8932,N.A.,0.551,0.943,9322,N.A.,0.556,0.938,9973,N.A.,0.544,0.926
A. K-6,Bergen,1270,Edgewater Boro,6757,1|57,0.524,0.9215,6275,1|57,0.461,0.8436,11551,39|57,0.504,0.906
A. K-6,Bergen,3870,Oradell Boro,8900,21|57,0.583,0.948,8734,13|57,0.59,0.9563,9397,16|57,0.557,0.9437
A. K-6,Bergen,4410,River Edge Boro,8790,18|57,0.616,0.9396,9202,19|57,0.628,0.9548,9896,22|57,0.615,0.9431
A. K-6,Bergen,4620,Saddle River Boro,14068,55|57,0.477,0.9435,13121,55|57,0.426,0.9619,14637,56|57,0.478,0.9159
A. K-6,Burlington,200,Bass River Twp,13724,53|57,0.58,0.9465,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.
A. K-6,Burlington,830,Chesterfield Twp,6915,2|57,0.497,0.9211,8311,9|57,0.533,0.9341,9380,15|57,0.519,0.9453
A. K-6,Burlington,2960,Mansfield Twp,9816,33|57,0.512,0.9372,10693,35|57,0.526,0.9464,10362,27|57,0.505,0.9245
A. K-6,Burlington,3650,North Hanover Twp,9991,36|57,0.565,0.9407,10752,38|57,0.573,0.9376,11724,41|57,0.579,0.9404
A. K-6,Burlington,5010,Springfield Twp,8069,10|57,0.526,0.9279,8118,6|57,0.531,0.9486,8947,11|57,0.515,0.9521
A. K-6,Camden,2540,Laurel Springs Boro,7807,7|57,0.546,0.9209,8685,11|57,0.557,0.958,10137,24|57,0.547,0.937
