CO,DIST,IND1,IND2,IND3,IND4,IND5,IND6,IND7,IND8,IND9,IND10,IND11,IND12,IND13,IND15,IND16A,IND16B,IND17A,IND17B,IND18A,IND18B,IND19,DISTNAME,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,COUNTY,ENROLL
80,6109,4745333,2367561,1336446,109140,921975,312822,205522,1182219,799587,873278,0,0,0,0,22.6,73493,67.7,63125,79,110000,4.7,Lead Charter School,Essex,K. Charter,C,,,1,Essex,237.0
80,6110,6020512,2968442,2006278,86549,875615,688470,288420,1782083,1049475,581517,0,0,0,271756,19.7,68000,,,452,125240,23,Achieve Community Charter School,Essex,K. Charter,C,,,1,Essex,452.0
80,6320,1526187,951987,858584,25637,67766,77768,0,250444,123012,245988,0,0,0,0,14.1,66200,,,66,88686,4.7,Discovery Cs,Essex,K. Charter,C,,,1,Essex,99.0
80,6410,7529317,3554062,3179358,285000,89704,2094639,1904889,1134004,556788,746612,0,0,0,345000,14.2,53329,,,64.9,83424,4.6,East Orange Community Cs,Essex,K. Charter,C,,,1,Essex,454.0
80,6665,5585481,2814857,2494257,150000,170600,816950,701690,1079572,890572,874102,0,0,0,0,22.9,70184,195,92702,130,165000,6.3,Gray Cs,Essex,K. Charter,C,,,1,Essex,390.0
80,7210,23407054,11088715,9774041,450000,864674,2735428,1290141,6340361,5309687,3242551,0,0,0,18000,14.5,62798,103.4,81000,61.1,120600,4.8,Marion P. Thomas Cs,Essex,K. Charter,C,,,1,Essex,1344.0
80,7290,7536132,3827851,3482851,250000,95000,1524003,653232,1914510,1417181,249768,0,0,0,565000,12.6,59785,100,30000,83.2,118650,7.4,New Horizons Comm. Cs,Essex,K. Charter,C,,,1,Essex,416.0
80,7320,98614858,47201676,42466179,3846193,889304,14687391,6951782,24563484,7143520,12162308,0,0,0,0,19.1,69000,579.5,81000,398.4,103500,21.5,North Star Academy Charter School,Essex,K. Charter,C,,,1,Essex,6375.0
80,7325,90174348,50771812,43214797,2706310,4850705,17269651,8630698,14495446,8676507,7004189,0,0,0,1822250,20.8,69000,262.4,72000,,,,Team Academy Charter School,Essex,K. Charter,C,,,1,Essex,5641.9
80,7730,9916850,4787642,3931947,505090,350605,1939953,1604564,1657694,1227661,1531561,0,0,0,25465,16.9,54281,149.3,65368,190.8,124440,12.6,Robert Treat Academy Cs,Essex,K. Charter,C,,,1,Essex,687.0
80,7735,10230505,5457874,5047874,175000,235000,1274790,776390,2554038,2243038,943803,0,0,0,0,13.4,56793,186,62810,53.1,137215,4.2,Maria L. Varisco-Rogers Cs,Essex,K. Charter,C,,,1,Essex,558.0
