GROUP,CONAME,DIST,DISTNAME,SSRAT0017,RK0017,SALS0017,RKSAL0017,SSRAT0117,RK0117,SALS0117,RKSAL0117
A. K-6,Statewide,N.A.,1. State Average - Operating Type K-6,68.0,N.A.,67596,N.A.,66.7,N.A.,69026,N.A.
A. K-6,Statewide,N.A.,2. State Median - Operating Type K-6,71.7,N.A.,67529,N.A.,64.9,N.A.,68957,N.A.
A. K-6,Statewide,N.A.,5. State Average - All Operating Types,68.5,N.A.,80033,N.A.,68.4,N.A.,81095,N.A.
A. K-6,Statewide,N.A.,6. State Median - All Operating Types,70.4,N.A.,78859,N.A.,69.0,N.A.,79921,N.A.
A. K-6,Bergen,1270,Edgewater Boro,170.3,1|57,80326,48|57,81.0,13|57,66886,27|57
A. K-6,Bergen,3870,Oradell Boro,81.6,13|57,79764,47|57,77.4,17|57,87451,56|57
A. K-6,Bergen,4410,River Edge Boro,73.0,26|57,73692,40|57,62.8,35|57,76142,44|57
A. K-6,Bergen,4620,Saddle River Boro,46.8,47|57,66712,29|57,38.1,53|57,66712,26|57
A. K-6,Burlington,200,Bass River Twp,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.,N.R.
A. K-6,Burlington,830,Chesterfield Twp,71.7,29|57,67902,32|57,64.4,30|57,75975,43|57
A. K-6,Burlington,2960,Mansfield Twp,54.3,42|57,65263,27|57,55.5,42|57,69200,31|57
A. K-6,Burlington,3650,North Hanover Twp,50.5,45|57,73209,39|57,66.8,28|57,78713,48|57
A. K-6,Burlington,5010,Springfield Twp,76.0,19|57,57600,17|57,82.7,10|57,57078,13|57
A. K-6,Camden,2540,Laurel Springs Boro,65.0,32|57,17433,2|57,77.2,18|57,34950,1|57
A. K-6,Camden,3770,Oaklyn Boro,71.7,29|57,59650,20|57,148.8,1|57,74652,42|57
A. K-6,Camden,5560,Waterford Twp,64.2,34|57,74556,42|57,63.6,32|57,74239,41|57
A. K-6,Cape May,710,Cape May City,74.5,22|57,60080,21|57,55.7,41|57,63165,22|57
A. K-6,Cape May,2840,Lower Twp,65.0,32|57,85568,56|57,54.4,43|57,82164,52|57
A. K-6,Cape May,5610,West Cape May Boro,79.0,15|57,54943,11|57,85.0,9|57,56444,12|57
A. K-6,Essex,1400,Essex Fells Boro,76.1,18|57,40504,3|57,59.4,38|57,39768,3|57
A. K-6,Essex,1465,Fairfield Twp,77.3,16|57,78891,46|57,77.7,16|57,83313,53|57
A. K-6,Essex,3630,North Caldwell Boro,91.2,9|57,52575,10|57,81.5,12|57,53143,8|57
A. K-6,Essex,4530,Roseland Boro,60.8,38|57,73729,41|57,61.9,36|57,71626,36|57
A. K-6,Gloucester,1180,East Greenwich Twp,93.4,6|57,75047,43|57,80.7,14|57,77301,46|57
A. K-6,Gloucester,1330,Elk Twp,92.1,7|57,80684,52|57,97.1,6|57,81684,51|57
A. K-6,Gloucester,1590,Franklin Twp,72.0,28|57,55273,13|57,69.8,24|57,55555,10|57
A. K-6,Gloucester,2070,Harrison Twp,84.1,10|57,83781,54|57,94.8,7|57,85098,54|57
A. K-6,Gloucester,2990,Mantua Twp,60.2,39|57,80389,49|57,59.9,37|57,80255,49|57
A. K-6,Gloucester,3490,National Park Boro,91.9,8|57,69167,34|57,87.2,8|57,73773,40|57
A. K-6,Gloucester,4880,South Harrison Twp,61.8,37|57,64594,25|57,108.3,4|57,67462,29|57
A. K-6,Gloucester,5120,Swedesboro-Woolwich,69.3,31|57,69361,35|57,63.0,34|57,71095,35|57
A. K-6,Gloucester,5590,Wenonah Boro,31.4,56|57,71296,36|57,48.9,49|57,65599,23|57
A. K-6,Gloucester,5740,Westville Boro,62.5,36|57,60362,22|57,79.1,15|57,63014,21|57
A. K-6,Gloucester,5870,Woodbury Heights Boro,76.3,17|57,84352,55|57,82.3,11|57,85858,55|57
A. K-6,Hunterdon,2590,Lebanon Boro,50.6,44|57,55084,12|57,49.0,48|57,57594,14|57
A. K-6,Hunterdon,3180,Milford Boro,34.4,55|57,16895,1|57,57.0,40|57,61896,19|57
A. K-6,Monmouth,130,Atlantic Highlands Boro,79.7,14|57,67417,30|57,117.3,2|57,68220,30|57
A. K-6,Monmouth,2160,Highlands Boro,40.0,52|57,50613,7|57,52.8,45|57,51813,5|57
A. K-6,Monmouth,4520,Roosevelt Boro,26.7,57|57,41638,4|57,32.8,57|57,39707,2|57
A. K-6,Morris,3240,Mine Hill Twp,112.7,3|57,65753,28|57,116.3,3|57,67344,28|57
A. K-6,Ocean,230,Beach Haven Boro,82.9,11|57,42000,5|57,33.3,56|57,53000,7|57
A. K-6,Ocean,320,Berkeley Twp,73.8,23|57,80585,51|57,68.5,26|57,69785,33|57
A. K-6,Ocean,1150,Eagleswood Twp,96.4,5|57,50734,8|57,99.3,5|57,52640,6|57
A. K-6,Ocean,2350,Island Heights Boro,102.4,4|57,51600,9|57,69.1,25|57,54956,9|57
A. K-6,Ocean,2690,Little Egg Harbor Twp,75.2,21|57,65199,26|57,67.6,27|57,66024,24|57
A. K-6,Ocean,2760,Long Beach Island,53.8,43|57,91057,57|57,49.5,47|57,94319,57|57
A. K-6,Ocean,3800,Ocean Gate Boro,63.8,35|57,67460,31|57,63.3,33|57,70041,34|57
A. K-6,Ocean,3820,Ocean Twp,45.8,49|57,80452,50|57,46.5,50|57,80452,50|57
A. K-6,Ocean,4710,Seaside Heights Boro,39.8,53|57,56634,16|57,35.3,55|57,62529,20|57
A. K-6,Ocean,5020,Stafford Twp,72.6,27|57,58772,19|57,75.3,20|57,61358,17|57
A. K-6,Ocean,5220,Tuckerton Boro,75.5,20|57,55762,15|57,64.9,29|57,55762,11|57
A. K-6,Sussex,1630,Fredon Twp,46.3,48|57,63960,24|57,71.5,23|57,66528,25|57
A. K-6,Sussex,1980,Hampton Twp,82.0,12|57,55593,14|57,76.5,19|57,59124,15|57
A. K-6,Sussex,4650,Sandyston-Walpack Twp,58.0,40|57,61433,23|57,64.0,31|57,61433,18|57
A. K-6,Sussex,5040,Stillwater Twp,73.2,25|57,71775,37|57,71.6,22|57,71775,38|57
A. K-6,Warren,400,Blairstown Twp,42.6,51|57,77235,44|57,44.7,51|57,77570,47|57
A. K-6,Warren,1620,Franklin Twp,47.9,46|57,58375,18|57,49.9,46|57,60126,16|57
A. K-6,Warren,1670,Frelinghuysen Twp,130.0,2|57,82154,53|57,58.2,39|57,69585,32|57
A. K-6,Warren,2470,Knowlton Twp,34.9,54|57,47748,6|57,38.1,53|57,49830,4|57
A. K-6,Warren,2970,Mansfield Twp,54.7,41|57,78519,45|57,54.2,44|57,76528,45|57
A. K-6,Warren,5480,Washington Boro,73.3,24|57,72950,38|57,73.5,21|57,73345,39|57
A. K-6,Warren,5530,Washington Twp,43.1,50|57,68555,33|57,44.3,52|57,71710,37|57
B. K-8 / 0 - 400,Statewide,N.A.,1. State Average - Operating Type K-8,61.8,N.A.,73770,N.A.,61.3,N.A.,74962,N.A.
B. K-8 / 0 - 400,Statewide,N.A.,2. State Median - Operating Type K-8,63.7,N.A.,72018,N.A.,62.4,N.A.,72900,N.A.
B. K-8 / 0 - 400,Statewide,N.A.,5. State Average - All Operating Types,68.5,N.A.,80033,N.A.,68.4,N.A.,81095,N.A.
B. K-8 / 0 - 400,Statewide,N.A.,6. State Median - All Operating Types,70.4,N.A.,78859,N.A.,69.0,N.A.,79921,N.A.
B. K-8 / 0 - 400,Atlantic,1410,Estell Manor City,72.4,32|81,55745,24|81,65.6,39|81,63000,36|81
B. K-8 / 0 - 400,Atlantic,1540,Folsom Boro,42.8,65|81,59756,35|81,47.5,62|81,62438,31|81
B. K-8 / 0 - 400,Atlantic,3020,Margate City,53.3,53|81,96600,81|81,49.9,55|81,82672,76|81
B. K-8 / 0 - 400,Atlantic,4240,Port Republic City,75.0,29|81,50678,17|81,79.3,27|81,52459,12|81
