CONAME,DISTNAME,DIST,GENERAL_CURR_EXP,L76400,GRANTS_ENTITLE,L92180,DEBT_SERVICE,SDA_DEBT_SERVICE,EXP21,TOTENR2A,PP21
Atlantic,Absecon City,10,17772.200679,95.825518493,2059.9908333,488.51094882,436.3705772,176.75981112,19372638.12,921.20555556,21030
Atlantic,Atlantic City,110,24358.709909,206.66207052,2850.4700169,346.93124132,1266.3459513,70.763112772,191113315.35,6567.4944444,29100
Atlantic,Atlantic Co Vocational,120,16650.110172,382.50389275,1524.8377778,279.85937148,2101.9654696,16.247012623,35663856.52,1701.8833333,20956
Atlantic,Atlantic Co Special Serv,125,60010.413544,1091.733434,429.36863105,1046.0840028,3507.7371003,3096.024942,21385111.91,309.11666667,69181
Atlantic,Brigantine City,570,34570.92824,3754.6054637,3351.0911633,309.78609794,1116.6633381,398.46882496,22992257.27,528.53888889,43502
Atlantic,Buena Regional,590,23863.328814,640.08481821,2912.4754228,533.18742821,1075.2737558,1172.0148659,50237357.11,1663.6888889,30196
Atlantic,Corbin City,960,17332.705882,0,57,0,0,0,1182500,68,17390
Atlantic,Egg Harbor City,1300,18973.563312,573.20492008,3586.3673826,546.65147353,1126.5565684,2805.6200237,14741107.01,533.86666667,27612
Atlantic,Egg Harbor Twp,1310,20800.999518,396.57739881,1326.1882507,379.43790993,1212.8602129,726.72070862,180525748.56,7266.7277778,24843
Atlantic,Estell Manor City,1410,12726.45236,53.868961285,249.80447395,245.25828406,290.24071182,423.60420897,5572687.09,398.35555556,13989
Atlantic,Folsom Boro,1540,19733.955662,97.613046883,959.36062445,430.43334638,476.11823432,608.39938338,10128852.4,454.08888889,22306
Atlantic,Galloway Twp,1690,22051.408826,196.4753635,2387.9355249,603.59838048,61.452980571,128.74866033,83220549.72,3272.5833333,25430
Atlantic,Greater Egg Harbor Reg,1790,25192.454483,234.20737013,887.66924324,285.53228899,1613.0227848,1457.4546738,91313111.31,3077.5888889,29670
Atlantic,Hamilton Twp,1940,18961.885533,39.46935693,1867.0036243,716.84183481,688.42255243,267.16535229,64335667.38,2854.1888889,22541
Atlantic,Hammonton Town,1960,16599.013001,175.10343543,1100.8492576,426.51086684,654.95539049,346.54479404,66192588.23,3429.1388889,19303
Atlantic,Linwood City,2680,20008.794488,213.29501104,506.60779342,0,269.62536653,144.52186626,17184786.57,812.79444444,21143
Atlantic,Longport,2780,26134.982456,0,25,0,0,0,1491119,57,26160
Atlantic,Mainland Regional,2910,24443.836174,162.64683531,646.77423732,350.35935295,2695.004614,0,34754480,1228.1333333,28299
Atlantic,Margate City,3020,31049.265282,883.05375509,888.2701339,159.015719,3436.3768678,1599.1586105,16324334.86,429.41666667,38015
Atlantic,Mullica Twp,3480,18669.856217,261.12620208,2398.4418555,338.49760644,1010.9754713,633.97744715,15286122.49,655.69444444,23313
Atlantic,Northfield City,3720,18640.062185,20.646580424,2291.9983592,215.39046894,716.81644155,156.23956768,20597213.14,934.48888889,22041
Atlantic,Pleasantville City,4180,21839.387272,349.26546942,3102.3931886,244.66693891,593.08350553,225.93458892,95372207.58,3618.7888889,26355
Atlantic,Port Republic City,4240,21117.990716,0,829.76790451,0,0,0,3309722,150.8,21948
Atlantic,Somers Point City,4800,22412.88852,141.64742543,3074.6711601,439.54054388,1214.6732192,293.62455832,22321166.98,809.41111111,27577
Atlantic,Ventnor City,5350,26411.799379,136.04390797,2574.8479215,362.60823206,1651.5522262,672.24960699,25854790.95,812.81111111,31809
Atlantic,Weymouth Twp,5760,23298.076011,12.429480779,3444.4208687,583.57900649,646.54643035,114.74848352,5003013.33,178.04444444,28100
Atlantic,Atlantic Community Charter School,6060,21719.300341,22.15301479,1927.2866894,0,0,0,8321929,351.6,23669
Atlantic,Principle Academy Charter School,6104,15000.714557,119.42987457,1487.2348917,295.83618396,0,0,8894472,526.2,16903
Atlantic,Charter~tech High School,7410,19165.152733,92.052518757,1719.9169346,415.60289389,0,0,7983765,373.2,21393
Bergen,Allendale Boro,40,21186.299856,1091.1472316,344.94251324,24.495714974,496.90977371,366.21056909,20345950.73,865.41666667,23510
Bergen,Alpine Boro,80,31520.899389,3442.5377556,616.00989182,0,0,227.8950324,7479777.88,208.88950276,35807
Bergen,Bergen Co Special Service,285,107104.9783,7168.2500949,1626.0293562,474.68945523,2546.8280606,326.62402347,70627580.72,592.27774475,119247
Bergen,Bergen County Vocational Technical,290,29417.291739,1472.437272,2753.1318824,144.91314706,1981.7388731,213.13474632,93790976.62,2606.5612933,35983
Bergen,Bergenfield Boro,300,20214.152235,287.71398971,727.21178801,2648.1832371,0,118.93664966,88916978.13,3705.4611111,23996
Bergen,Bogota Boro,440,19433.067807,632.07345786,2485.9700204,264.81557055,452.44074714,318.67077382,30054604.3,1274.2,23587
Bergen,Carlstadt Boro,740,24812.506103,1562.957867,735.82601528,411.05601877,2945.0997052,698.90953302,16384672.39,525.71666667,31166
Bergen,Carlstadt-East Rutherford,745,27184.757514,202.29678962,946.33709016,737.69296448,0,1365.5064378,17823667.57,585.6,30437
Bergen,Cliffside Park Boro,890,18392.549216,619.20367943,1020.1120711,411.95246506,0,20.818270751,63850572.93,3120.0444444,20465
Bergen,Closter Boro,930,20840.639336,361.45155769,576.75624786,6.0279014036,252.80725779,186.10166895,25966269.19,1168.4,22224
Bergen,Cresskill Boro,990,20514.116808,82.981216963,602.87383242,5.4988289531,1184.4510891,541.62221008,41285569.6,1800.3833333,22932
Bergen,Demarest Boro,1070,23923.697792,908.92618297,612.12208202,7.2582018927,877.14511041,271.20979022,18738475.23,704.44444444,26600
Bergen,Dumont Boro,1130,20755.275543,203.79646767,562.23562204,215.9204095,693.94605798,395.71834442,57863927.08,2534.9016393,22827
