CONAME,DIST,DISTNAME,EXP11A,ADE11A,PP11A,RK11A,EXP21A,ADE21A,PP21A,RK21A,BOTY,DM
A. Statewide,N.A.,State Average - All Operating Types,N.A.,N.A.,22925,,N.A.,N.A.,24543,,N.A.,N.A.
A. Statewide,N.A.,State Median - All Operating Types,N.A.,N.A.,22485,,N.A.,N.A.,24053,,N.A.,N.A.
Atlantic,10,Absecon City,18542154,943,19662,14,19372638,921,21030,14,"K. K-12|K-8,751+",KK-12K-8751plus
Atlantic,110,Atlantic City,173364556,6945,24963,76,191113315,6568,29100,85,"N. K-12|K-12,3500+",NK-12K-123500plus
Atlantic,120,Atlantic Co Vocational,34954301,1697,20600,6,35663857,1702,20956,6,Q. County Voc,QCountyVoc
Atlantic,125,Atlantic Co Special Serv,21850822,321,68109,4,21385112,309,69181,4,P. CSSD,PCSSD
Atlantic,570,Brigantine City,20210548,605,33402,66,22992257,529,43502,67,"J. K-12|K-8,401-750",JK-12K-8401-750
Atlantic,590,Buena Regional,47300773,1739,27197,43,50237357,1664,30196,45,"L. K-12|K-12,0-1800",LK-12K-120-1800
Atlantic,960,Corbin City,1066486,68,15684,1,1182500,68,17390,1,K-12|Non-Operating,
Atlantic,1300,Egg Harbor City,13808556,519,26597,55,14741107,534,27612,54,"D. K-8|K-8,401-750",DK-8K-8401-750
Atlantic,1310,Egg Harbor Twp,167787720,7375,22751,49,180525749,7267,24843,56,"N. K-12|K-12,3500+",NK-12K-123500plus
Atlantic,1410,Estell Manor City,5055541,235,21507,15,5572687,398,13989,1,"I. K-12|K-8,0-400",IK-12K-80-400
Atlantic,1540,Folsom Boro,10070413,462,21779,16,10128852,454,22306,16,"I. K-12|K-8,0-400",IK-12K-80-400
Atlantic,1690,Galloway Twp,78601649,3435,22886,42,83220550,3273,25430,44,"E. K-8|K-8,751+",EK-8K-8751plus
Atlantic,1790,Greater Egg Harbor Reg,88843330,3086,28790,32,91313111,3078,29670,28,"G. G9-12|7-12,9-12",GG9-127-129-12
Atlantic,1940,Hamilton Twp,58823551,3072,19150,11,64335667,2854,22541,29,"E. K-8|K-8,751+",EK-8K-8751plus
Atlantic,1960,Hammonton Town,63370623,3532,17942,1,66192588,3429,19303,2,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
Atlantic,2680,Linwood City,16563957,830,19964,17,17184787,813,21143,15,"E. K-8|K-8,751+",EK-8K-8751plus
Atlantic,2780,Longport,1368116,57,24002,8,1491119,57,26160,12,K-12|Non-Operating,
Atlantic,2910,Mainland Regional,34384977,1242,27680,26,34754480,1228,28299,23,"G. G9-12|7-12,9-12",GG9-127-129-12
Atlantic,3020,Margate City,15140791,410,36918,73,16324335,429,38015,74,"I. K-12|K-8,0-400",IK-12K-80-400
Atlantic,3480,Mullica Twp,14494199,708,20481,7,15286122,656,23313,23,"D. K-8|K-8,401-750",DK-8K-8401-750
Atlantic,3720,Northfield City,19791883,1027,19266,12,20597213,935,22041,23,"E. K-8|K-8,751+",EK-8K-8751plus
Atlantic,4180,Pleasantville City,92762578,3772,24594,73,95372208,3619,26355,73,"N. K-12|K-12,3500+",NK-12K-123500plus
Atlantic,4240,Port Republic City,3326312,151,22053,21,3309722,151,21948,14,"I. K-12|K-8,0-400",IK-12K-80-400
Atlantic,4800,Somers Point City,21019954,879,23908,50,22321167,809,27577,61,"E. K-8|K-8,751+",EK-8K-8751plus
Atlantic,5350,Ventnor City,24317528,869,27977,61,25854791,813,31809,64,"J. K-12|K-8,401-750",JK-12K-8401-750
Atlantic,5760,Weymouth Twp,4986090,201,24800,45,5003013,178,28100,50,"I. K-12|K-8,0-400",IK-12K-80-400
Atlantic,6060,Atlantic Community Chart,7329056,362,20274,74,8321929,352,23669,86,O. Charter,OCharter
Atlantic,6104,Principle Academy Charter School,8071523,474,17039,40,8894472,526,16903,33,O. Charter,OCharter
Atlantic,7410,Charter~tech High School,8117696,367,22137,81,7983765,373,21393,73,O. Charter,OCharter
Bergen,40,Allendale Boro,20208621,897,22529,39,20345951,865,23510,31,"E. K-8|K-8,751+",EK-8K-8751plus
Bergen,80,Alpine Boro,6845934,205,33472,68,7479778,209,35807,71,"I. K-12|K-8,0-400",IK-12K-80-400
Bergen,285,Bergen Co Special Service,60492358,615,98345,7,70627581,592,119247,7,P. CSSD,PCSSD
Bergen,290,Bergen County Vocational,84530575,2477,34128,20,90917557,2607,34880,20,Q. County Voc,QCountyVoc
