CONAME,DIST,DISTNAME,EXP11A,ADE11A,PP11A,RK11A,EXP21A,ADE21A,PP21A,RK21A,BOTY,DM
,,STATE AVERAGE - ALL OPERATING TYPES,,,19642,,,,20385,,,
,,STATE MEDIAN - ALL OPERATING TYPES,,,19064,,,,19768,,,
ATLANTIC,10,ABSECON CITY,14271640,906.1,15750,11,15182098,892.1,17018,12,"K. K-12|K-8,751+",KK-12K-8751plus
ATLANTIC,110,ATLANTIC CITY,194708244,7310.6,26634,100,177141732,7334.8,24151,93,"N. K-12|K-12,3500+",NK-12K-123500plus
ATLANTIC,120,ATLANTIC CO VOCATIONAL,24311330,1398,17390,4,26194327,1489,17592,4,Q. COUNTY VOC,QCOUNTYVOC
ATLANTIC,125,ATLANTIC CO SPECIAL SERV,24141362,411.2,58710,4,23211479,386.5,60051,5,P. CSSD,PCSSD
ATLANTIC,570,BRIGANTINE CITY,20707460,850.3,24353,63,21216024,810.5,26176,65,"J. K-12|K-8,401-750",JK-12K-8401-750
ATLANTIC,590,BUENA REGIONAL,44813579,2007,22329,65,44744322,1909.4,23434,66,"M. K-12|K-12,1800-3500",MK-12K-121800-3500
ATLANTIC,1300,EGG HARBOR CITY,12206138,517.3,23594,61,12856888,527.2,24389,60,"D. K-8|K-8,401-750",DK-8K-8401-750
ATLANTIC,1310,EGG HARBOR TWP,140105440,7575.1,18495,37,148123797,7424.4,19951,49,"N. K-12|K-12,3500+",NK-12K-123500plus
ATLANTIC,1410,ESTELL MANOR CITY,4886027,213.5,22890,55,4433483,209.1,21206,37,"I. K-12|K-8,0-400",IK-12K-80-400
ATLANTIC,1540,FOLSOM BORO,8658799,501,17284,16,8876506,485.4,18286,19,"J. K-12|K-8,401-750",JK-12K-8401-750
ATLANTIC,1690,GALLOWAY TWP,65330760,3318.4,19687,50,66289469,3343.7,19825,45,"E. K-8|K-8,751+",EK-8K-8751plus
ATLANTIC,1790,GREATER EGG HARBOR REG,81298769,3407.8,23857,34,81228327,3392,23947,28,"G. G9-12|7-12,9-12",GG9-127-129-12
ATLANTIC,1940,HAMILTON TWP,53268764,3096.2,17205,19,54010978,3049.5,17712,17,"E. K-8|K-8,751+",EK-8K-8751plus
ATLANTIC,1960,HAMMONTON TOWN,52988652,3622.1,14629,1,55107436,3667.2,15027,1,"N. K-12|K-12,3500+",NK-12K-123500plus
ATLANTIC,2680,LINWOOD CITY,15520318,862.4,17997,33,15480321,836.8,18500,28,"E. K-8|K-8,751+",EK-8K-8751plus
ATLANTIC,2910,MAINLAND REGIONAL,32436083,1363.7,23786,33,32368603,1319.7,24527,33,"G. G9-12|7-12,9-12",GG9-127-129-12
ATLANTIC,3020,MARGATE CITY,15464008,531.2,29113,71,15803186,491.9,32129,72,"I. K-12|K-8,0-400",IK-12K-80-400
ATLANTIC,3480,MULLICA TWP,12592487,770.2,16349,8,13237549,750.1,17648,12,"D. K-8|K-8,401-750",DK-8K-8401-750
ATLANTIC,3720,NORTHFIELD CITY,16472676,926.8,17775,29,16677007,910.4,18318,26,"E. K-8|K-8,751+",EK-8K-8751plus
