GROUP,CONAME,DIST,DISTNAME,PP19,RK19,PCT19,SBA9,PP29,RK29,PCT29,SBB9,PP39,RK39,PCT39,SBC9
A. K-6,,,1. State average - Operating Type K-6,1218,,,,1234,,,,1262,,,
A. K-6,,,2. State median - Operating Type K-6,1308,,,,1363,,,,1388,,,
A. K-6,,,5. State average - All operating types,1284,,,,1310,,,,1344,,,
A. K-6,,,6. State median - All operating types,1335,,,,1366,,,,1405,,,
A. K-6,BERGEN,1270,EDGEWATER BORO,1092,21|56,0.102,0.767,1139,20|56,0.102,0.781,1099,19|56,0.104,0.824
A. K-6,BERGEN,3870,ORADELL BORO,1487,37|56,0.115,0.856,1505,36|56,0.115,0.865,1609,39|56,0.115,0.840
A. K-6,BERGEN,4410,RIVER EDGE BORO,1309,29|56,0.105,0.885,1178,23|56,0.089,0.861,1485,31|56,0.106,0.893
A. K-6,BERGEN,4620,SADDLE RIVER BORO,1453,34|56,0.060,0.743,1545,39|56,0.061,0.772,1643,43|56,0.055,0.824
A. K-6,BURLINGTON,200,BASS RIVER TWP,1434,33|56,0.074,0.690,1543,38|56,0.075,0.674,1326,27|56,0.075,0.674
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,998,15|56,0.090,0.780,960,12|56,0.086,0.774,939,10|56,0.085,0.762
A. K-6,BURLINGTON,2960,MANSFIELD TWP,1513,39|56,0.112,0.850,1436,32|56,0.103,0.810,1315,26|56,0.088,0.776
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,1467,36|56,0.095,0.840,1331,28|56,0.087,0.868,1344,28|56,0.082,0.848
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,1208,25|56,0.066,0.650,1692,47|56,0.089,0.828,1674,45|56,0.081,0.846
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,955,13|56,0.084,0.747,949,11|56,0.083,0.719,931,9|56,0.076,0.734
