GROUP,CONAME,DIST,DISTNAME,DE120,DE220,DE320,DE420
A. K-6,BERGEN,1270,EDGEWATER BORO,2783646,-595314,2188332,-389942
A. K-6,BERGEN,3870,ORADELL BORO,2096645,403056,2499701,678694
A. K-6,BERGEN,4410,RIVER EDGE BORO,1759495,442575,2202070,428877
A. K-6,BERGEN,4620,SADDLE RIVER BORO,1598565,-163712,1434853,131763
A. K-6,BURLINGTON,200,BASS RIVER TWP,250087,-87048,163039,-22619
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,452855,-46162,406693,-267747
A. K-6,BURLINGTON,2960,MANSFIELD TWP,1441307,190013,1630462,464094
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,6231660,-428440,5803220,-1157129
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,823545,-50378,773167,229671
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,512475,50399,562874,142260
A. K-6,CAMDEN,5560,WATERFORD TWP,3321101,-1546518,2762307,-147882
A. K-6,CAPE MAY,710,CAPE MAY CITY,685679,223406,909085,391780
A. K-6,CAPE MAY,2840,LOWER TWP,1687980,288116,1976096,702723
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,753905,58618,812523,-70716
A. K-6,ESSEX,1400,ESSEX FELLS BORO,1104384,-150571,953813,20425
A. K-6,ESSEX,1465,FAIRFIELD TWP,732253,7339,739592,36309
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,3490172,241424,3731596,481506
A. K-6,ESSEX,4530,ROSELAND BORO,891626,158748,1050374,-126186
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,3397881,-170163,3227718,-75385
A. K-6,GLOUCESTER,1330,ELK TWP,902595,-26166,876429,457742
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,3967648,-545303,3422345,1972372
A. K-6,GLOUCESTER,2070,HARRISON TWP,1862014,-226171,1635843,363366
A. K-6,GLOUCESTER,2990,MANTUA TWP,1656561,-343910,1312651,402173
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,1203874,49717,1253591,178851
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,1404630,-166985,1237645,-261312
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,4490820,-617213,3873607,236563
A. K-6,GLOUCESTER,5590,WENONAH BORO,238730,-28747,209983,92821
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,934363,-285421,648942,-108259
A. K-6,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,764562,101100,865662,80427
A. K-6,HUNTERDON,2590,LEBANON BORO,887292,-300625,586667,38099
A. K-6,MONMOUTH,130,ATLANTIC HIGHLANDS BORO,1033807,-123510,910297,-22207
A. K-6,MONMOUTH,2160,HIGHLANDS BORO,1259523,-41012,1220515,76692
A. K-6,MONMOUTH,4520,ROOSEVELT BORO,425257,251680,676937,255788
A. K-6,MORRIS,3240,MINE HILL TWP,2259987,-641105,1618882,254653
A. K-6,OCEAN,230,BEACH HAVEN BORO,636979,81832,718811,178279
A. K-6,OCEAN,320,BERKELEY TWP,7283914,506465,7790379,-516680
A. K-6,OCEAN,1150,EAGLESWOOD TWP,525100,62978,588078,24660
A. K-6,OCEAN,2350,ISLAND HEIGHTS BORO,360924,-70808,290116,179699
A. K-6,OCEAN,2690,LITTLE EGG HARBOR TWP,1736220,-185270,1550950,638130
A. K-6,OCEAN,2760,LONG BEACH ISLAND,2840059,-181286,2658773,-1028533
A. K-6,OCEAN,3800,OCEAN GATE BORO,1461606,-312925,1148681,53988
A. K-6,OCEAN,3820,OCEAN TWP,5571724,79676,5666460,394062
A. K-6,OCEAN,4710,SEASIDE HEIGHTS BORO,1029634,-109683,919951,603367
A. K-6,OCEAN,5020,STAFFORD TWP,2908613,1430159,4338772,-195307
A. K-6,OCEAN,5220,TUCKERTON BORO,1356707,373369,1730076,206201
A. K-6,SUSSEX,1630,FREDON TWP,569982,238524,808506,807695
A. K-6,SUSSEX,1980,HAMPTON TWP,1666801,-7935,1658866,10922
A. K-6,SUSSEX,4650,SANDYSTON-WALPACK TWP,2206292,-72737,2133555,-486499
A. K-6,SUSSEX,5040,STILLWATER TWP,1708757,-7872,1700885,180337
A. K-6,WARREN,400,BLAIRSTOWN TWP,1003138,330407,1333545,184950
A. K-6,WARREN,1620,FRANKLIN TWP,1194514,214961,1409475,115439
A. K-6,WARREN,1670,FRELINGHUYSEN TWP,373086,15836,388922,16775
