GROUP,CONAME,DIST,DISTNAME,EX121,EX221
A. K-6,BERGEN,1270,EDGEWATER BORO,4947,199498
A. K-6,BERGEN,3870,ORADELL BORO,257031,260000
A. K-6,BERGEN,4410,RIVER EDGE BORO,500000,575000
A. K-6,BERGEN,4620,SADDLE RIVER BORO,285637,134796
A. K-6,BURLINGTON,200,BASS RIVER TWP,0,0
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,0,0
A. K-6,BURLINGTON,2960,MANSFIELD TWP,0,922939
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,0,0
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,83047,212786
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,105928,180237
A. K-6,CAMDEN,5560,WATERFORD TWP,433344,77529
A. K-6,CAPE MAY,710,CAPE MAY CITY,0,0
A. K-6,CAPE MAY,2840,LOWER TWP,164441,604902
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,50091,52414
A. K-6,ESSEX,1400,ESSEX FELLS BORO,200607,200000
A. K-6,ESSEX,1465,FAIRFIELD TWP,34431,52687
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,150000,75000
A. K-6,ESSEX,4530,ROSELAND BORO,60488,254998
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,1211449,1093441
A. K-6,GLOUCESTER,1330,ELK TWP,0,458566
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,87804,163403
A. K-6,GLOUCESTER,2070,HARRISON TWP,614687,630440
A. K-6,GLOUCESTER,2990,MANTUA TWP,313289,313850
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,441616,420424
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,360922,347899
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,767413,901916
A. K-6,GLOUCESTER,5590,WENONAH BORO,0,0
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,38100,148689
A. K-6,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,313037,369852
A. K-6,HUNTERDON,2590,LEBANON BORO,0,0
A. K-6,MONMOUTH,130,ATLANTIC HIGHLANDS BORO,153812,85625
A. K-6,MONMOUTH,2160,HIGHLANDS BORO,358464,478677
A. K-6,MONMOUTH,4520,ROOSEVELT BORO,131130,58067
A. K-6,MORRIS,3240,MINE HILL TWP,0,0
A. K-6,OCEAN,230,BEACH HAVEN BORO,0,11742
A. K-6,OCEAN,320,BERKELEY TWP,1338040,1307150
A. K-6,OCEAN,1150,EAGLESWOOD TWP,127186,55110
A. K-6,OCEAN,2350,ISLAND HEIGHTS BORO,0,0
A. K-6,OCEAN,2690,LITTLE EGG HARBOR TWP,401347,900543
A. K-6,OCEAN,2760,LONG BEACH ISLAND,0,0
A. K-6,OCEAN,3800,OCEAN GATE BORO,215428,281896
