GROUP,CONAME,DIST,DISTNAME,SSRAT0017,RK0017,SALS0017,RKSAL0017,SSRAT0117,RK0117,SALS0117,RKSAL0117
A. K-6,,,K-6 Average,79.7,,63938,,76.1,,63235,
A. K-6,,,STATEWIDE,76.2,,73670,,78.8,,74880,
A. K-6,BERGEN,1270,EDGEWATER BORO,104.8,14|56,56728,22|56,83.6,22|56,58228,26|56
A. K-6,BERGEN,3870,ORADELL BORO,139.4,7|56,67138,42|56,107.9,8|56,62003,33|56
A. K-6,BERGEN,4410,RIVER EDGE BORO,83.6,25|56,75793,53|56,107.5,9|56,79521,51|56
A. K-6,BERGEN,4620,SADDLE RIVER BORO,57.4,47|56,62535,33|56,48.4,50|56,65432,39|56
A. K-6,BURLINGTON,200,BASS RIVER TWP,61.7,43|56,66308,39|56,44.8,52|56,49735,13|56
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,94.6,18|56,53799,18|56,99.2,13|56,59000,30|56
A. K-6,BURLINGTON,2960,MANSFIELD TWP,85.7,23|56,66570,40|56,85.3,20|56,70011,44|56
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,61.7,43|56,67731,43|56,59.1,40|56,64438,37|56
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,63.4,41|56,57990,27|56,92.8,19|56,57990,25|56
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,94.8,17|56,13558,2|56,85.1,21|56,13733,3|56
A. K-6,CAMDEN,5560,WATERFORD TWP,59.6,45|56,74466,51|56,67.6,35|56,84675,55|56
A. K-6,CAPE MAY,710,CAPE MAY CITY,185,1|56,73271,48|56,205,1|56,76829,49|56
A. K-6,CAPE MAY,2840,LOWER TWP,91.2,19|56,82731,56|56,77.1,26|56,82473,53|56
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,140,6|56,12112,1|56,163.3,3|56,12475,2|56
A. K-6,ESSEX,1400,ESSEX FELLS BORO,48.8,51|56,47959,12|56,53.1,45|56,48531,11|56
A. K-6,ESSEX,1465,FAIRFIELD TWP,80.3,27|56,66917,41|56,68.2,34|56,66917,40|56
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,76.5,32|56,52000,17|56,65.7,37|56,51896,16|56
A. K-6,ESSEX,4530,ROSELAND BORO,45.7,54|56,64985,38|56,57.5,42|56,69153,43|56
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,115.5,10|56,62846,34|56,82.8,23|56,64825,38|56
A. K-6,GLOUCESTER,1330,ELK TWP,112,11|56,59394,30|56,168.5,2|56,72502,46|56
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,78.5,29|56,54653,19|56,75.3,29|56,58867,29|56
