CO,DIST,IND1,IND2,IND3,IND4,IND5,IND6,IND7,IND8,IND9,IND10,IND11,IND12,IND13,IND15,ENROLL,DISTNAME,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,COUNTY
1,10,10452402,7072177,6854840,141097,76240,1069917,894659,1198395,973582,1055108,584801,0,48116,0,891,ABSECON CITY,ATLANTIC,D. K-8 / 751 +,2,CD,,1,ATLANTIC
1,110,127282597,80837346,76883080,2576439,1377827,14200520,12227276,12019726,9499516,18710300,9646666,0,1155894,505000,6960,ATLANTIC CITY,ATLANTIC,G. K-12 / 3501 +,3,A,,1,ATLANTIC
1,120,20436839,10923129,10028896,578468,315765,2399901,2211476,2218317,1569387,4009903,2069702,0,521899,69000,1508,ATLANTIC CO VOCATIONAL,ATLANTIC,J. VOC,8,,,1,ATLANTIC
1,125,19827036,11123785,10625980,137075,360730,3802544,3588918,2583790,2209338,2113917,1027697,200000,0,22500,366,ATLANTIC CO SPECIAL SERV,ATLANTIC,I. CSSD,7,,,1,ATLANTIC
1,570,13880590,8447462,8094901,261261,91300,2108866,1797553,1286286,1042286,1847182,977603,0,181880,214300,649,BRIGANTINE CITY,ATLANTIC,C. K-8 / 401 - 750,2,CD,,1,ATLANTIC
1,590,30294209,18077540,17783974,237092,56474,4565362,3603087,3328702,2516048,3416904,1740749,0,880034,192000,1836,BUENA REGIONAL,ATLANTIC,F. K-12 / 1801 - 3500,3,A,,1,ATLANTIC
1,1300,7930657,4782144,4547116,167450,67578,1260448,1136983,855075,704795,950215,429855,0,82775,0,551,EGG HARBOR CITY,ATLANTIC,C. K-8 / 401 - 750,2,A,,1,ATLANTIC
1,1310,108476305,63895828,61193210,1488209,1214409,20639078,19025713,9087881,7375117,12427622,7810878,0,1300700,132665,7312,EGG HARBOR TWP,ATLANTIC,G. K-12 / 3501 +,3,CD,,1,ATLANTIC
1,1410,2953160,1679157,1582802,78430,17925,426101,371201,343215,293495,468314,220031,6000,22195,0,179,ESTELL MANOR CITY,ATLANTIC,B. K-8 / 0 - 400,2,DE,,1,ATLANTIC
1,1540,5860205,3385988,3099988,210000,76000,1094946,973946,682199,434464,630857,265357,0,62852,0,398,FOLSOM BORO,ATLANTIC,C. K-8 / 401 - 750,2,CD,,1,ATLANTIC
