GROUP,CONAME,DIST,DISTNAME,FARAT0019,RK0019,FARAT0119,RK0119
A. K-6,,,K-6 Average,14.5,,14.1,
A. K-6,,,STATEWIDE,14.6,,14.2,
A. K-6,BERGEN,1270,EDGEWATER BORO,12.4,37|56,12.6,29|56
A. K-6,BERGEN,3870,ORADELL BORO,11.3,42|56,9.9,41|56
A. K-6,BERGEN,4410,RIVER EDGE BORO,10.2,43|56,9.2,45|56
A. K-6,BERGEN,4620,SADDLE RIVER BORO,5.8,54|56,5.6,53|56
A. K-6,BURLINGTON,200,BASS RIVER TWP,16.6,16|56,16.1,22|56
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,13.2,32|56,11.7,33|56
A. K-6,BURLINGTON,2960,MANSFIELD TWP,12.8,35|56,11.2,38|56
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,15.6,22|56,16.5,19|56
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,14.5,28|56,3.4,55|56
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,12.4,37|56,10.8,39|56
A. K-6,CAMDEN,5560,WATERFORD TWP,16.3,17|56,12,31|56
A. K-6,CAPE MAY,710,CAPE MAY CITY,7.4,52|56,7.4,50|56
A. K-6,CAPE MAY,2840,LOWER TWP,17.9,8|56,17.8,11|56
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,5,55|56,4.6,54|56
A. K-6,ESSEX,1400,ESSEX FELLS BORO,16.3,17|56,16.3,21|56
A. K-6,ESSEX,1465,FAIRFIELD TWP,13.5,30|56,18.1,9|56
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,19.7,6|56,19.1,7|56
A. K-6,ESSEX,4530,ROSELAND BORO,10.1,45|56,11.5,35|56
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,16.3,17|56,17,15|56
A. K-6,GLOUCESTER,1330,ELK TWP,18.3,7|56,17.2,14|56
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,16.7,15|56,17,15|56
A. K-6,GLOUCESTER,2070,HARRISON TWP,15.3,25|56,12.4,30|56
A. K-6,GLOUCESTER,2990,MANTUA TWP,19.9,4|56,19.6,6|56
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,15.6,22|56,15.5,25|56
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,34.8,1|56,38,1|56
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,15.4,24|56,16,23|56
A. K-6,GLOUCESTER,5590,WENONAH BORO,17.7,9|56,17.4,12|56
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,17.6,10|56,16.6,18|56
A. K-6,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,26.3,2|56,27,3|56
A. K-6,HUNTERDON,2590,LEBANON BORO,7.4,52|56,8.3,49|56
A. K-6,MONMOUTH,130,ATLANTIC HIGHLANDS BORO,13.5,30|56,13.2,28|56
A. K-6,MONMOUTH,2160,HIGHLANDS BORO,11.4,41|56,11.8,32|56
A. K-6,MONMOUTH,4520,ROOSEVELT BORO,12.8,35|56,13.5,27|56
A. K-6,MORRIS,3240,MINE HILL TWP,11.5,40|56,11.5,35|56
A. K-6,OCEAN,230,BEACH HAVEN BORO,5,55|56,6.5,52|56
A. K-6,OCEAN,320,BERKELEY TWP,17.5,11|56,17.3,13|56
A. K-6,OCEAN,1150,EAGLESWOOD TWP,7.9,51|56,8.4,48|56
A. K-6,OCEAN,2350,ISLAND HEIGHTS BORO,10.2,43|56,9.3,44|56
A. K-6,OCEAN,2690,LITTLE EGG HARBOR TWP,15.2,26|56,16.4,20|56
A. K-6,OCEAN,2760,LONG BEACH ISLAND,13,34|56,11.6,34|56
A. K-6,OCEAN,3800,OCEAN GATE BORO,8.8,49|56,8.8,47|56
A. K-6,OCEAN,3820,OCEAN TWP,16.1,20|56,19.9,5|56
A. K-6,OCEAN,4710,SEASIDE HEIGHTS BORO,19.9,4|56,28.3,2|56
A. K-6,OCEAN,5020,STAFFORD TWP,17.4,13|56,15.9,24|56
A. K-6,OCEAN,5220,TUCKERTON BORO,13.2,32|56,18,10|56
A. K-6,SUSSEX,1630,FREDON TWP,11.7,39|56,9.4,43|56
A. K-6,SUSSEX,1980,HAMPTON TWP,16.1,20|56,9.2,45|56
A. K-6,SUSSEX,4650,SANDYSTON-WALPACK TWP,17.3,14|56,18.3,8|56
A. K-6,SUSSEX,5040,STILLWATER TWP,9.5,48|56,10.8,39|56
A. K-6,WARREN,400,BLAIRSTOWN TWP,14.2,29|56,11.5,35|56
A. K-6,WARREN,1620,FRANKLIN TWP,10,46|56,,N.R.
A. K-6,WARREN,1670,FRELINGHUYSEN TWP,8.1,50|56,7.4,50|56
A. K-6,WARREN,2470,KNOWLTON TWP,9.7,47|56,9.7,42|56
A. K-6,WARREN,2970,MANSFIELD TWP,20.9,3|56,21,4|56
A. K-6,WARREN,5480,WASHINGTON BORO,17.5,11|56,16.8,17|56
A. K-6,WARREN,5530,WASHINGTON TWP,14.9,27|56,14.5,26|56
B. K-8 / 0 - 400,,,K-8 Average,15.3,,15,
B. K-8 / 0 - 400,,,STATEWIDE,14.6,,14.2,
B. K-8 / 0 - 400,ATLANTIC,1410,ESTELL MANOR CITY,6.9,65|75,7.3,62|75
B. K-8 / 0 - 400,ATLANTIC,3020,MARGATE CITY,11.8,33|75,11.6,33|75
B. K-8 / 0 - 400,ATLANTIC,4240,PORT REPUBLIC CITY,27.2,5|75,10.5,42|75
B. K-8 / 0 - 400,ATLANTIC,5760,WEYMOUTH TWP,7.2,62|75,6,66|75
B. K-8 / 0 - 400,BERGEN,80,ALPINE BORO,5.7,71|75,6.2,65|75
B. K-8 / 0 - 400,BERGEN,3350,MOONACHIE BORO,10.1,50|75,15.8,16|75
B. K-8 / 0 - 400,BERGEN,4870,SOUTH HACKENSACK TWP,5.5,72|75,,N.R.
B. K-8 / 0 - 400,BURLINGTON,380,BEVERLY CITY,6.7,66|75,6,66|75
B. K-8 / 0 - 400,BURLINGTON,1030,DELANCO TWP,18.6,9|75,12.3,30|75
B. K-8 / 0 - 400,BURLINGTON,3540,NEW HANOVER TWP,10.7,42|75,10.9,37|75
B. K-8 / 0 - 400,BURLINGTON,4460,RIVERTON,13.8,24|75,13.7,23|75
B. K-8 / 0 - 400,BURLINGTON,5890,WOODLAND TWP,7,64|75,6.4,64|75
B. K-8 / 0 - 400,CAMDEN,580,BROOKLAWN BORO,14,23|75,9.3,56|75
B. K-8 / 0 - 400,CAMDEN,1720,GIBBSBORO BORO,16.2,16|75,19.9,6|75
B. K-8 / 0 - 400,CAMDEN,2560,LAWNSIDE BORO,4.7,73|75,4.8,71|75
B. K-8 / 0 - 400,CAMDEN,3110,MERCHANTVILLE BORO,27.2,N.A.,36.8,1|75
B. K-8 / 0 - 400,CAMDEN,5900,WOODLYNNE BORO,6.5,68|75,34.3,2|75
B. K-8 / 0 - 400,CAPE MAY,170,AVALON BORO,4.6,74|75,5.6,69|75
B. K-8 / 0 - 400,CAPE MAY,3680,NORTH WILDWOOD CITY,11,38|75,10.8,40|75
B. K-8 / 0 - 400,CAPE MAY,5060,STONE HARBOR BORO,3.6,75|75,5.2,70|75
B. K-8 / 0 - 400,CAPE MAY,5800,WILDWOOD CREST BORO,10.4,45|75,10.4,44|75
B. K-8 / 0 - 400,CAPE MAY,5840,WOODBINE BORO,7.2,62|75,11.2,35|75
B. K-8 / 0 - 400,CUMBERLAND,1020,DEERFIELD TWP,11.1,35|75,11.3,34|75
B. K-8 / 0 - 400,CUMBERLAND,1120,DOWNE TWP,18,10|75,18.8,8|75
B. K-8 / 0 - 400,CUMBERLAND,1820,GREENWICH TWP,9.8,53|75,9.9,49|75
B. K-8 / 0 - 400,CUMBERLAND,5070,STOW CREEK TWP,10.3,49|75,9.3,56|75
B. K-8 / 0 - 400,HUDSON,1200,EAST NEWARK BORO,6.5,68|75,2.1,72|75
B. K-8 / 0 - 400,HUNTERDON,370,BETHLEHEM TWP,12.5,29|75,10.5,42|75
B. K-8 / 0 - 400,HUNTERDON,430,BLOOMSBURY BORO,17.8,11|75,15.8,16|75
B. K-8 / 0 - 400,HUNTERDON,670,CALIFON BORO,7.7,60|75,8.1,59|75
B. K-8 / 0 - 400,HUNTERDON,910,CLINTON-GLEN GARDNER,16.9,14|75,17.1,12|75
B. K-8 / 0 - 400,HUNTERDON,1040,DELAWARE TWP,13.7,N.A.,16.3,14|75
B. K-8 / 0 - 400,HUNTERDON,1160,EAST AMWELL TWP,13,28|75,13.5,24|75
B. K-8 / 0 - 400,HUNTERDON,1600,FRANKLIN TWP,10.8,40|75,10.9,37|75
B. K-8 / 0 - 400,HUNTERDON,1680,FRENCHTOWN BORO,19.2,8|75,20.4,4|75
B. K-8 / 0 - 400,HUNTERDON,1970,HAMPTON BORO,6.7,66|75,6,66|75
B. K-8 / 0 - 400,HUNTERDON,2140,HIGH BRIDGE BORO,10.5,43|75,10.1,47|75
B. K-8 / 0 - 400,HUNTERDON,2450,KINGWOOD TWP,12.3,30|75,17.7,11|75
B. K-8 / 0 - 400,HUNTERDON,3180,MILFORD BORO,9.5,55|75,9.7,52|75
B. K-8 / 0 - 400,MONMOUTH,180,AVON BORO,6.5,68|75,,N.R.
B. K-8 / 0 - 400,MONMOUTH,500,BRADLEY BEACH BORO,10.1,50|75,9.7,52|75
B. K-8 / 0 - 400,MONMOUTH,1000,DEAL BORO,7.5,61|75,8,60|75
B. K-8 / 0 - 400,MONMOUTH,1490,FARMINGDALE BORO,10.9,39|75,12.5,27|75
B. K-8 / 0 - 400,MONMOUTH,3250,MONMOUTH BEACH BORO,13.2,27|75,12.5,27|75
B. K-8 / 0 - 400,MONMOUTH,3500,NEPTUNE CITY,14.8,18|75,15.2,18|75
B. K-8 / 0 - 400,MONMOUTH,4690,SEA GIRT BORO,8.9,58|75,7.6,61|75
B. K-8 / 0 - 400,MONMOUTH,4980,SPRING LAKE BORO,15.4,17|75,9.9,49|75
B. K-8 / 0 - 400,MONMOUTH,4990,SPRING LAKE HEIGHTS BORO,29.6,3|75,16.5,13|75
B. K-8 / 0 - 400,MORRIS,2010,HARDING TOWNSHIP,17.4,12|75,13.9,22|75
B. K-8 / 0 - 400,MORRIS,3410,MOUNT ARLINGTON BORO,9.6,54|75,10.1,47|75
B. K-8 / 0 - 400,MORRIS,3520,NETCONG BORO,10.4,45|75,9.8,51|75
B. K-8 / 0 - 400,MORRIS,4440,RIVERDALE BORO,11.7,34|75,11.8,31|75
B. K-8 / 0 - 400,OCEAN,210,BAY HEAD BORO,12.2,31|75,11.2,35|75
B. K-8 / 0 - 400,OCEAN,2500,LAKEHURST BORO,10.8,40|75,10.9,37|75
B. K-8 / 0 - 400,OCEAN,2550,LAVALLETTE BORO,10.1,50|75,10.4,44|75
B. K-8 / 0 - 400,SALEM,60,ALLOWAY TWP,13.8,24|75,14,21|75
B. K-8 / 0 - 400,SALEM,1350,ELSINBORO TWP,14.6,21|75,15,20|75
B. K-8 / 0 - 400,SALEM,2800,LOWER ALLOWAYS CREEK,37.5,2|75,18,9|75
B. K-8 / 0 - 400,SALEM,2950,MANNINGTON TWP,7.8,59|75,8.6,58|75
B. K-8 / 0 - 400,SALEM,3860,OLDMANS TWP,9.4,56|75,7.1,63|75
B. K-8 / 0 - 400,SALEM,4280,QUINTON TWP,11.1,35|75,10.8,40|75
B. K-8 / 0 - 400,SALEM,5320,UPPER PITTSGROVE TWP,38,1|75,19.8,7|75
B. K-8 / 0 - 400,SUSSEX,1930,HAMBURG BORO,16.4,15|75,17.9,10|75
B. K-8 / 0 - 400,SUSSEX,2490,LAFAYETTE TWP,14.8,18|75,12.6,26|75
B. K-8 / 0 - 400,SUSSEX,3300,MONTAGUE TWP,10.4,45|75,16,15|75
B. K-8 / 0 - 400,SUSSEX,3840,OGDENSBURG BORO,17,13|75,10.4,44|75
B. K-8 / 0 - 400,SUSSEX,5030,STANHOPE BORO,10.4,45|75,12.4,29|75
B. K-8 / 0 - 400,UNION,1710,GARWOOD BORO,14.3,22|75,,N.R.
B. K-8 / 0 - 400,UNION,5810,WINFIELD TWP,11.1,35|75,15.2,18|75
B. K-8 / 0 - 400,WARREN,70,ALPHA BORO,14.8,18|75,23.6,3|75
B. K-8 / 0 - 400,WARREN,2040,HARMONY TWP,27.4,4|75,13.4,25|75
B. K-8 / 0 - 400,WARREN,2250,HOPE TWP,9.3,57|75,9.6,55|75
B. K-8 / 0 - 400,WARREN,3890,OXFORD TWP,12,32|75,11.7,32|75
B. K-8 / 0 - 400,WARREN,4200,POHATCONG TWP,10.5,43|75,9.7,52|75
B. K-8 / 0 - 400,WARREN,5780,WHITE TWP,20.9,7|75,20.4,4|75
C. K-8 / 401 - 750,,,K-8 Average,15.3,,15,
C. K-8 / 401 - 750,,,STATEWIDE,14.6,,14.2,
C. K-8 / 401 - 750,ATLANTIC,570,BRIGANTINE CITY,12.9,45|66,19.9,9|66
C. K-8 / 401 - 750,ATLANTIC,1300,EGG HARBOR CITY,14,36|66,13,46|66
C. K-8 / 401 - 750,ATLANTIC,1540,FOLSOM BORO,15.7,N.A.,15.7,22|66
C. K-8 / 401 - 750,ATLANTIC,3480,MULLICA TWP,17.4,14|66,13.6,38|66
C. K-8 / 401 - 750,ATLANTIC,5350,VENTNOR CITY,13.4,N.A.,13.3,42|66
C. K-8 / 401 - 750,BERGEN,740,CARLSTADT BORO,11.9,56|66,10,61|66
C. K-8 / 401 - 750,BERGEN,1070,DEMAREST BORO,15.5,29|66,15.6,24|66
C. K-8 / 401 - 750,BERGEN,1380,ENGLEWOOD CLIFFS BORO,12.2,54|66,15,29|66
C. K-8 / 401 - 750,BERGEN,2050,HARRINGTON PARK BORO,15.8,23|66,16,19|66
C. K-8 / 401 - 750,BERGEN,2090,HAWORTH BORO,11.4,59|66,11.7,53|66
C. K-8 / 401 - 750,BERGEN,2200,HO HO KUS BORO,14.2,35|66,12.6,49|66
C. K-8 / 401 - 750,BERGEN,3730,NORTHVALE BORO,12.3,52|66,10.8,56|66
C. K-8 / 401 - 750,BERGEN,3740,NORWOOD BORO,15.6,27|66,13.8,35|66
C. K-8 / 401 - 750,BERGEN,3850,OLD TAPPAN BORO,16.1,21|66,12.9,47|66
C. K-8 / 401 - 750,BERGEN,4470,ROCHELLE PARK TWP,13.9,37|66,15.4,26|66
C. K-8 / 401 - 750,BURLINGTON,1250,EASTAMPTON TWP,16.6,18|66,13.6,38|66
C. K-8 / 401 - 750,BURLINGTON,1910,HAINESPORT TWP,16.7,17|66,16.2,18|66
C. K-8 / 401 - 750,BURLINGTON,3070,MEDFORD LAKES BORO,12.1,55|66,11.9,50|66
C. K-8 / 401 - 750,BURLINGTON,4930,SOUTHAMPTON TWP,15.3,30|66,11.6,54|66
C. K-8 / 401 - 750,BURLINGTON,5130,TABERNACLE TWP,12.5,49|66,13.7,36|66
C. K-8 / 401 - 750,CAMDEN,190,BARRINGTON BORO,13,43|66,13.6,38|66
C. K-8 / 401 - 750,CAMDEN,340,BERLIN TWP,12.8,46|66,15,29|66
C. K-8 / 401 - 750,CAMDEN,880,CLEMENTON BORO,18.9,7|66,15.1,27|66
