GROUP,CONAME,DIST,DISTNAME,PP11,RK11,PP21,RK21,PP31,RK31,E11,E21,E31,ABBOTT
G. K-12 / 3501 +,SOMERSET,1610,FRANKLIN TWP,13916,44|103,14585,50|103,15397,47|101,7494,7298,7377,
G. K-12 / 3501 +,SOMERSET,2170,HILLSBOROUGH TWP,13653,39|103,14200,39|103,14964,41|101,7230,7242,7139,
G. K-12 / 3501 +,SOMERSET,3320,MONTGOMERY TWP,14102,47|103,14222,40|103,15095,43|101,4757,4776,4796,
G. K-12 / 3501 +,UNION,980,CRANFORD TWP,13837,43|103,14258,45|103,14693,34|101,3857,3866,3934,
G. K-12 / 3501 +,UNION,1320,ELIZABETH CITY,16128,89|103,15624,74|103,16284,68|101,25674,25994,26508,1
G. K-12 / 3501 +,UNION,2660,LINDEN CITY,14783,60|103,15619,72|103,17210,84|101,6010,5966,5855,
G. K-12 / 3501 +,UNION,4160,PLAINFIELD CITY,15331,70|103,15657,76|103,15566,51|101,7546,7833,7911,1
G. K-12 / 3501 +,UNION,4290,RAHWAY CITY,14135,49|103,14276,47|103,14675,33|101,3749,3754,3836,
G. K-12 / 3501 +,UNION,4670,SCOTCH PLAINS-FANWOOD REG,12465,16|103,12920,18|103,14198,24|101,5427,5435,5514,
G. K-12 / 3501 +,UNION,5090,SUMMIT CITY,14537,54|103,14729,52|103,15529,49|101,4062,4116,4083,
G. K-12 / 3501 +,UNION,5290,UNION TWP,13346,31|103,14155,38|103,14707,35|101,7506,7265,7262,
G. K-12 / 3501 +,UNION,5730,WESTFIELD TOWN,13434,35|103,13284,27|103,14323,26|101,6256,6272,6321,
G. K-12 / 3501 +,WARREN,4100,PHILLIPSBURG TOWN,15997,87|103,15942,80|103,16847,74|101,3707,3778,3963,1
H. 7-12 / 9-12,,,1. State average - Operating Type 7-12,14480,,14828,,15728,,,,,
H. 7-12 / 9-12,,,2. State median - Operating Type 7-12,15323,,15880,,16798,,,,,
H. 7-12 / 9-12,,,3. State average - Operating Type 9-12,15495,,15875,,17135,,,,,
H. 7-12 / 9-12,,,4. State median - Operating Type 9-12,15713,,16167,,17750,,,,,
H. 7-12 / 9-12,,,5. State average - All operating types,14736,,14940,,15714,,,,,
H. 7-12 / 9-12,,,6. State median - All operating types,14490,,14813,,15552,,,,,
H. 7-12 / 9-12,ATLANTIC,1790,GREATER EGG HARBOR REG,15713,25|46,15423,20|46,16820,21|46,3291,3272,3254,
H. 7-12 / 9-12,ATLANTIC,2910,MAINLAND REGIONAL,16961,32|46,17187,31|46,18034,29|46,1334,1298,1331,
H. 7-12 / 9-12,BERGEN,745,CARLSTADT-EAST RUTHERFORD,18754,40|46,20988,46|46,19144,40|46,484,457,551,
H. 7-12 / 9-12,BERGEN,3700,NORTHERN HIGHLANDS REG,16263,26|46,18410,39|46,18141,31|46,1370,1337,1320,
H. 7-12 / 9-12,BERGEN,3710,NORTHERN VALLEY REGIONAL,19081,41|46,17904,37|46,19122,39|46,2334,2499,2523,
H. 7-12 / 9-12,BERGEN,3960,PASCACK VALLEY REGIONAL,19144,42|46,19071,41|46,21060,44|46,2028,2059,2091,
H. 7-12 / 9-12,BERGEN,4300,RAMAPO-INDIAN HILL REG,16647,31|46,17128,30|46,19479,41|46,2304,2284,2249,
H. 7-12 / 9-12,BERGEN,4405,RIVER DELL REGIONAL,15323,20|46,15880,22|46,16798,20|46,1669,1644,1672,
H. 7-12 / 9-12,BURLINGTON,2610,LENAPE REGIONAL,17019,33|46,17635,35|46,18881,37|46,6824,6734,6794,
