CO,DIST,IND1,IND2,IND3,IND4,IND5,IND6,IND7,IND8,IND9,IND10,IND11,IND12,IND13,IND15,ENROLL,DISTNAME,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,COUNTY
80,6060,4109953,1979848,1494218,124806,360824,772280,144585,1231500,355901,516232,0,0,0,10810,300,ATLANTIC COMMUNITY CHARTE,ATLANTIC,K. CHARTER,C,,,1,ATLANTIC
80,6104,3491158,2532831,1552156,500000,480675,529847,459847,969532,444526,415000,0,0,0,35000,333,INTERNATIONAL ACAD OF ATL,ATLANTIC,K. CHARTER,C,,,1,ATLANTIC
80,7410,4897982,2766590,2651420,75015,40155,1008856,742672,898463,699194,1262588,0,0,0,56250,321,CHARTERTECH HIGH SCHOOL,ATLANTIC,K. CHARTER,C,,,1,ATLANTIC
80,6013,11053991,6739731,5913191,505735,320805,1980797,1549630,3100407,1315188,1630406,0,0,0,42406,1102,BERGEN ARTS AND SCIENCES,BERGEN,K. CHARTER,C,,,1,BERGEN
80,6430,3306605,2588577,2433827,98500,56250,483627,313627,702111,534470,441628,0,0,0,45000,251,ENGLEWOOD ON THE PALISADE,BERGEN,K. CHARTER,C,,,1,BERGEN
80,7890,4405245,2760221,2590221,65000,105000,601491,451491,686533,546533,977000,0,0,0,30000,320,TEANECK COMMUNITY CHARTER,BERGEN,K. CHARTER,C,,,1,BERGEN
80,6026,1181506,780875,694575,26500,59800,148090,106090,309785,274585,183006,0,0,0,0,142,RIVERBANK CHARTER SCH OF,BURLINGTON,K. CHARTER,C,,,1,BURLINGTON
80,6076,1934757,1241758,1106758,125000,10000,215406,161281,578090,439664,269140,0,0,0,10000,180,BENJAMIN BANNEKER PREPARA,BURLINGTON,K. CHARTER,C,,,1,BURLINGTON
80,1799,13202824,9229214,5648871,971943,2608400,1650810,1150690,1463036,901836,2875750,0,0,0,0,849,KIPP COOPER NORCROSS,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,1801,6620603,3855240,2559212,701165,594863,975359,348795,2906236,1522963,198775,0,0,0,0,444,CAMDEN PREP,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,1802,23938750,16215257,12331257,576250,3307750,4267263,1657013,5822480,2716730,1910000,0,0,0,740000,1750,MASTERY SCHOOLS OF CAMDE,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,6063,10215391,5571276,3830519,381937,1358820,1338555,477708,1930017,625460,2197952,0,0,0,47391,843,CAMDEN COMMUNITY CHARTER,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,6067,2143621,1334797,1199514,74200,61083,242440,121340,818006,164238,96000,0,0,0,71250,205,THE KINGDOM CHARTER SCHOO,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,6086,2285522,1395045,1245820,62500,86725,331970,184370,635706,436481,347815,0,0,0,0,192,HOPE COMMUNITY CS,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,6107,22060050,15237440,13746440,637000,854000,2674498,959498,3237140,2231534,4884250,0,0,0,0,1907,CAMDEN'S PROMISE CHARTER,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,6232,2384665,1631996,1381596,110000,140400,403592,98592,581096,463096,342981,0,0,0,10000,148,ENVIRONMENT COMMUNITY OPP,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,6240,9758450,5562910,4635310,446000,481600,910267,276267,3588751,1458000,1212000,0,0,0,0,843,FREEDOM PREP CHARTER SCHO,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,7109,15330816,9140982,8534742,524955,81285,4211684,2570235,3486238,2625185,1386915,0,0,0,359300,1560,LEAP ACADEMY UNIVERSITY C,CAMDEN,K. CHARTER,C,,,1,CAMDEN
80,6028,2760280,1820865,1641689,110900,68276,506177,285526,698017,399528,282809,0,0,0,3000,396,VINELAND PUBLIC CHARTER S,CUMBERLAND,K. CHARTER,C,,,1,CUMBERLAND
80,6069,2534061,1685739,1583634,48628,53477,422032,274532,455165,203709,394055,0,0,0,0,307,MILLVILLE PUBLIC CHARTER,CUMBERLAND,K. CHARTER,C,,,1,CUMBERLAND
80,6089,1380983,901959,845084,33075,23800,146989,100004,322720,231647,164575,0,0,0,0,198,COMPASS ACADEMY CHARTER S,CUMBERLAND,K. CHARTER,C,,,1,CUMBERLAND
80,6100,1264711,669149,619395,41500,8254,183479,106879,303726,154755,325500,0,0,0,0,133,BRIDGETON PUBLIC CHARTER,CUMBERLAND,K. CHARTER,C,,,1,CUMBERLAND
80,6020,3734231,2092325,1972325,60000,60000,652812,487996,1025894,893654,515000,0,0,0,45000,288,PRIDE ACADEMY CHARTER SCH,ESSEX,K. CHARTER,C,,,1,ESSEX
80,6022,3611499,2195516,2018881,120000,56635,742268,477758,791176,439296,735174,0,0,0,0,344,BURCH CHARTER SCHOOL OF E,ESSEX,K. CHARTER,C,,,1,ESSEX
80,6029,3382034,1658860,1492759,92295,73806,458708,199744,843037,641275,933430,0,0,0,6000,248,NEWARK EDUCATORS COMMUNIT,ESSEX,K. CHARTER,C,,,1,ESSEX
80,6053,15689690,10254935,8256707,1182501,815727,2664832,1593738,3834430,3101886,2276716,0,0,0,123675,1229,GREAT OAKS LEGACY CHARTER,ESSEX,K. CHARTER,C,,,1,ESSEX
