GROUP,CONAME,DIST,DISTNAME,SARAT0018,RK0018,SALAM0018,RKSAL0018,SARAT0118,RK0118,SALAM0118,RKSAL0118
A. K-6,WARREN,2970,MANSFIELD TWP,206.3,3|56,102889,25|56,201.3,4|56,105826,31|56
A. K-6,WARREN,5480,WASHINGTON BORO,169.5,12|56,96875,18|56,157.5,17|56,100800,23|56
A. K-6,WARREN,5530,WASHINGTON TWP,119.3,33|56,114112,44|56,117.5,30|56,116737,47|56
B. K-8 / 0 - 400,,,K-8 Average,146.1,,113504,,149.4,,115003,
B. K-8 / 0 - 400,,,STATEWIDE,151.5,,119362,,153.2,,121407,
B. K-8 / 0 - 400,ATLANTIC,1410,ESTELL MANOR CITY,76.9,54|75,84200,26|75,76.4,52|75,85884,23|75
B. K-8 / 0 - 400,ATLANTIC,3020,MARGATE CITY,80,49|75,113993,63|75,73,54|75,117413,62|75
B. K-8 / 0 - 400,ATLANTIC,4240,PORT REPUBLIC CITY,246,5|75,40800,2|75,84.3,43|75,68308,10|75
B. K-8 / 0 - 400,ATLANTIC,5760,WEYMOUTH TWP,56.3,66|75,75190,18|75,51.7,66|75,74825,16|75
B. K-8 / 0 - 400,BERGEN,80,ALPINE BORO,33.8,72|75,109100,57|75,39.8,69|75,115500,60|75
B. K-8 / 0 - 400,BERGEN,3350,MOONACHIE BORO,100.7,38|75,120017,68|75,157,11|75,109750,54|75
B. K-8 / 0 - 400,BERGEN,4870,SOUTH HACKENSACK TWP,60.2,64|75,87077,29|75,,N.R.,,N.R.
B. K-8 / 0 - 400,BURLINGTON,380,BEVERLY CITY,58,65|75,71512,15|75,56.2,64|75,62997,6|75
B. K-8 / 0 - 400,BURLINGTON,1030,DELANCO TWP,198,7|75,109200,58|75,132.7,15|75,99168,38|75
B. K-8 / 0 - 400,BURLINGTON,3540,NEW HANOVER TWP,76.8,55|75,70000,13|75,78.4,48|75,70000,11|75
B. K-8 / 0 - 400,BURLINGTON,4460,RIVERTON,139.1,17|75,78000,20|75,132.3,16|75,80340,19|75
B. K-8 / 0 - 400,BURLINGTON,5890,WOODLAND TWP,62.9,62|75,86195,28|75,61.3,62|75,87919,26|75
B. K-8 / 0 - 400,CAMDEN,580,BROOKLAWN BORO,145.5,12|75,55000,6|75,96.5,38|75,66423,8|75
B. K-8 / 0 - 400,CAMDEN,1720,GIBBSBORO BORO,133.7,18|75,50000,4|75,163.3,7|75,67812,9|75
