GROUP,CONAME,DIST,DISTNAME,PP3VV,STPCT01VV,LTPCT01VV,FDPCT01VV,TUPCT01VV,FBPCT01VV,OTPCT01VV,STRAT01VV,SSRAT01VV,SARAT01VV,PCTSEVV
A. K-6,BERGEN,1270,EDGEWATER BORO,17775,0.078,0.883,0.023,0,0,0.016,14,104.8,152.8,0.0785
A. K-6,BERGEN,3870,ORADELL BORO,16556,0.146,0.829,0.016,0.006,0,0.003,12.1,139.4,125.5,0.1341
A. K-6,BERGEN,4410,RIVER EDGE BORO,16817,0.173,0.762,0.024,0.04,0,0.001,13.3,83.6,117,0.1043
A. K-6,BERGEN,4620,SADDLE RIVER BORO,22839,0.1,0.876,0.013,0.011,0,0,9.1,57.4,45.6,0.0618
A. K-6,BURLINGTON,200,BASS RIVER TWP,25164,0.429,0.536,0.035,0,0,0,7.5,61.7,111,0.2613
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,16630,0.146,0.804,0.014,0.004,0,0.032,13.1,94.6,151.4,0.1162
A. K-6,BURLINGTON,2960,MANSFIELD TWP,20644,0.17,0.811,0.013,0.006,0,0,11.7,85.7,131.9,0.1153
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,24234,0.489,0.106,0.404,0.001,0,0,10.4,61.7,139.3,0.1047
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,23340,0.324,0.647,0.022,0.006,0,0.001,8.7,63.4,111,0.1441
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,16149,0.412,0.563,0.024,0,0,0.001,13.1,94.8,144.2,0.1859
A. K-6,CAMDEN,5560,WATERFORD TWP,17975,0.497,0.478,0.021,0.004,0,0,11,59.6,151.7,0.1384
A. K-6,CAPE MAY,710,CAPE MAY CITY,20386,0.248,0.414,0.329,0.01,0,0,8.7,185,61.7,0.1676
A. K-6,CAPE MAY,2840,LOWER TWP,17870,0.431,0.53,0.038,0.001,0,0,12.2,91.2,192.4,0.1686
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,22386,0.393,0.577,0.021,0.008,0,0.001,9.1,140,42,0.0357
A. K-6,ESSEX,1400,ESSEX FELLS BORO,24148,0.135,0.851,0.014,0,0,0,7.2,48.8,102.5,0.0878
A. K-6,ESSEX,1465,FAIRFIELD TWP,19549,0.142,0.841,0.015,0.002,0,0,10,80.3,120.4,0.1310
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,20478,0.117,0.83,0.014,0.008,0,0.031,9.6,76.5,168.3,0.1501
A. K-6,ESSEX,4530,ROSELAND BORO,23177,0.148,0.828,0.014,0.008,0.001,0.001,12.1,45.7,96.4,0.1336
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,15725,0.303,0.681,0.015,0.001,0,0,12.3,115.5,181.4,0.1157
A. K-6,GLOUCESTER,1330,ELK TWP,17435,0.509,0.449,0.041,0.001,0,0,10,112,168,0.1042
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,15999,0.459,0.445,0.032,0.064,0,0,12.3,78.5,176.6,0.1104
A. K-6,GLOUCESTER,2070,HARRISON TWP,14952,0.401,0.573,0.021,0.006,0,0,13.2,111.2,180.6,0.0623
A. K-6,GLOUCESTER,2990,MANTUA TWP,18481,0.381,0.574,0.025,0.02,0.001,0,10.3,68.1,178,0.1477
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,17397,0.541,0.415,0.037,0,0,0.007,10.8,90.3,150.6,0.1734
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,16284,0.37,0.609,0.018,0.002,0,0.001,12.9,77,385,0.1299
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,17285,0.346,0.581,0.016,0.007,0.05,0,12.3,119,171.4,0.1657
A. K-6,GLOUCESTER,5590,WENONAH BORO,18721,0.251,0.727,0.018,0.003,0,0.001,8.4,101.6,137.9,0.1088
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,18338,0.504,0.428,0.038,0.028,0,0.002,10.7,64.5,161.4,0.2000
