GROUP,CONAME,DIST,DISTNAME,STRAT0016,RK0016,SALT0016,RKSAL0016,STRAT0116,RK0116,SALT0116,RKSAL0116
A. K-6,,,K-6 Average,11.1,,59113,,11.3,,59799,
A. K-6,,,STATEWIDE,12,,64550,,12.5,,66117,
A. K-6,BERGEN,1270,EDGEWATER BORO,14,1|56,52978,8|56,14.2,3|56,54028,7|56
A. K-6,BERGEN,3870,ORADELL BORO,12.1,11|56,58540,26|56,12.4,7|56,58540,23|56
A. K-6,BERGEN,4410,RIVER EDGE BORO,13.3,2|56,61813,41|56,18.9,2|56,61977,38|56
A. K-6,BERGEN,4620,SADDLE RIVER BORO,9.1,39|56,66054,50|56,7.9,48|56,74493,55|56
A. K-6,BURLINGTON,200,BASS RIVER TWP,7.5,54|56,61302,39|56,7.5,52|56,60434,34|56
A. K-6,BURLINGTON,830,CHESTERFIELD TWP,13.1,4|56,57138,18|56,13.2,5|56,59570,30|56
A. K-6,BURLINGTON,2960,MANSFIELD TWP,11.7,14|56,60254,32|56,10.9,20|56,60264,32|56
A. K-6,BURLINGTON,3650,NORTH HANOVER TWP,10.4,26|56,63481,45|56,10.7,22|56,62613,42|56
A. K-6,BURLINGTON,5010,SPRINGFIELD TWP,8.7,44|56,61278,38|56,38.2,1|56,53900,6|56
A. K-6,CAMDEN,2540,LAUREL SPRINGS BORO,13.1,4|56,60505,35|56,13.4,4|56,55526,14|56
A. K-6,CAMDEN,5560,WATERFORD TWP,11,18|56,58748,27|56,10.4,29|56,60592,35|56
A. K-6,CAPE MAY,710,CAPE MAY CITY,8.7,44|56,56425,15|56,9.7,36|56,56795,18|56
A. K-6,CAPE MAY,2840,LOWER TWP,12.2,10|56,57265,20|56,12.3,8|56,57265,19|56
A. K-6,CAPE MAY,5610,WEST CAPE MAY BORO,9.1,39|56,51564,4|56,11.4,16|56,54382,11|56
A. K-6,ESSEX,1400,ESSEX FELLS BORO,7.2,55|56,60829,36|56,7.9,48|56,60938,37|56
A. K-6,ESSEX,1465,FAIRFIELD TWP,10,31|56,62083,42|56,10.4,29|56,62083,39|56
A. K-6,ESSEX,3630,NORTH CALDWELL BORO,9.6,34|56,53000,9|56,10.5,26|56,52218,3|56
A. K-6,ESSEX,4530,ROSELAND BORO,12.1,11|56,62485,43|56,12.1,11|56,63153,44|56
A. K-6,GLOUCESTER,1180,EAST GREENWICH TWP,12.3,7|56,58135,22|56,12.2,9|56,58843,26|56
A. K-6,GLOUCESTER,1330,ELK TWP,10,31|56,54382,11|56,10.4,29|56,62354,41|56
A. K-6,GLOUCESTER,1590,FRANKLIN TWP,12.3,7|56,52153,7|56,12.2,9|56,53267,5|56
A. K-6,GLOUCESTER,2070,HARRISON TWP,13.2,3|56,58525,25|56,13,6|56,58525,22|56
A. K-6,GLOUCESTER,2990,MANTUA TWP,10.3,29|56,60305,34|56,10.5,26|56,59799,31|56
A. K-6,GLOUCESTER,3490,NATIONAL PARK BORO,10.8,20|56,66178,51|56,10.7,22|56,73064,54|56
A. K-6,GLOUCESTER,4880,SOUTH HARRISON TWP,12.9,6|56,53142,10|56,11.2,18|56,54756,12|56
A. K-6,GLOUCESTER,5120,SWEDESBORO-WOOLWICH,12.3,7|56,56411,14|56,11.9,14|56,56611,16|56
A. K-6,GLOUCESTER,5590,WENONAH BORO,8.4,47|56,58839,28|56,8,46|56,58839,25|56
A. K-6,GLOUCESTER,5740,WESTVILLE BORO,10.7,21|56,71065,55|56,12,13|56,69715,51|56
A. K-6,GLOUCESTER,5870,WOODBURY HEIGHTS BORO,10.4,26|56,59727,31|56,9.4,37|56,56292,15|56
A. K-6,HUNTERDON,2590,LEBANON BORO,7.6,53|56,56860,16|56,7,54|56,54310,9|56
A. K-6,MONMOUTH,130,ATLANTIC HIGHLANDS BORO,10.7,21|56,67880,54|56,11.4,16|56,72816,53|56
A. K-6,MONMOUTH,2160,HIGHLANDS BORO,9.5,35|56,60268,33|56,9.2,42|56,60395,33|56
A. K-6,MONMOUTH,4520,ROOSEVELT BORO,8.2,48|56,49981,2|56,9.9,35|56,52471,4|56
A. K-6,MORRIS,3240,MINE HILL TWP,11.3,17|56,56951,17|56,10.9,20|56,56775,17|56
A. K-6,OCEAN,230,BEACH HAVEN BORO,6.4,56|56,45219,1|56,6.1,55|56,51345,1|56
A. K-6,OCEAN,320,BERKELEY TWP,11.6,15|56,58500,24|56,11.9,14|56,58961,27|56
A. K-6,OCEAN,1150,EAGLESWOOD TWP,10.4,26|56,58280,23|56,9.1,43|56,57495,20|56
A. K-6,OCEAN,2350,ISLAND HEIGHTS BORO,8.2,48|56,51670,5|56,10,33|56,54196,8|56
A. K-6,OCEAN,2690,LITTLE EGG HARBOR TWP,10.7,21|56,65194,47|56,10.5,26|56,65999,48|56
A. K-6,OCEAN,2760,LONG BEACH ISLAND,7.8,51|56,65794,49|56,7.3,53|56,63074,43|56
A. K-6,OCEAN,3800,OCEAN GATE BORO,8.8,43|56,51960,6|56,9.4,37|56,51960,2|56
A. K-6,OCEAN,3820,OCEAN TWP,9.9,33|56,61532,40|56,10,33|56,62350,40|56
A. K-6,OCEAN,4710,SEASIDE HEIGHTS BORO,9.1,39|56,66704,52|56,9.4,37|56,69302,50|56
A. K-6,OCEAN,5020,STAFFORD TWP,12,13|56,57942,21|56,12.1,11|56,57767,21|56
A. K-6,OCEAN,5220,TUCKERTON BORO,10.3,29|56,51057,3|56,9.3,41|56,54377,10|56
A. K-6,SUSSEX,1630,FREDON TWP,10.6,25|56,54940,12|56,10.1,32|56,54940,13|56
A. K-6,SUSSEX,1980,HAMPTON TWP,8.1,50|56,64197,46|56,7.6,51|56,65859,47|56
A. K-6,SUSSEX,4650,SANDYSTON-WALPACK TWP,9,42|56,59608,30|56,8.6,45|56,60771,36|56
