CO,DIST,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind15,distname,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,ENROLL,ind16a,ind16b,ind17a,ind17b,ind18a,ind18b,ind19,COUNTY
80,6109,2947056,1314602,566128,127657,620817,0,0,1173997,758874,456443,0,2014,0,0,Lead Charter School,Essex,K. Charter,C,,,1,221.8,20.2,65000,55.5,58100,44.4,78750,3,Essex
80,6110,2931660,1664879,1433701,159315,71863,176570,80439,525390,298503,545924,139400,0,0,74241,Achieve Community Charter School,Essex,K. Charter,C,,,1,221.2,13,62000,221,66000,88.4,112000,7.2,Essex
80,6320,1779674,1071065,873518,41577,155970,0,0,471623,224951,231927,0,5059,0,0,Discovery Cs,Essex,K. Charter,C,,,1,100,13,61800,,,38.8,84872,3,Essex
80,6410,6747702,2874217,2659328,173727,41162,0,0,3132605,1911487,740880,0,0,0,0,East Orange Community Cs,Essex,K. Charter,C,,,1,490.9,,,491,80793,,,,Essex
80,6665,5134506,2454304,2137529,151051,165724,0,0,1827845,1397603,852357,0,0,0,0,Gray Cs,Essex,K. Charter,C,,,1,348.7,17.5,69070,174.5,89713,116.3,118000,7.3,Essex
80,7210,26532600,10628389,8849327,579427,1199635,1312829,1247511,7775147,6904324,6098479,1254998,0,27546,6850,Marion P. Thomas Cs,Essex,K. Charter,C,,,1,1481.4,15.5,58725,113.9,77204,105.8,118980,7.8,Essex
80,7290,8412771,5059703,4634006,313917,111780,0,0,2091289,1656341,1226297,519434,35482,0,341101,New Horizons Comm. Cs,Essex,K. Charter,C,,,1,679,16.9,55913,271.6,30000,157.9,100000,9.9,Essex
80,7320,81269694,32262269,27450685,3148365,1663219,0,0,33128829,17759080,15771028,0,107568,0,1092193,North Star Academy Charter School,Essex,K. Charter,C,,,1,5381.7,15.6,62000,414,70999,302.4,89500,20.1,Essex
80,7325,69218071,25033306,21442913,2291631,1298762,0,0,33359235,20211725,10735864,0,89666,0,1615288,Team Academy Charter School,Essex,K. Charter,C,,,1,4367.9,25.8,71000,189.9,74000,1092,92500,48,Essex
80,7730,10041961,5251684,4475884,612511,163289,0,0,1473342,1112320,3316053,1117066,0,0,2078,Robert Treat Academy Cs,Essex,K. Charter,C,,,1,683,14.6,58767,148.5,62220,148.5,124873,11.2,Essex
80,7735,8960459,4402801,4116916,109587,176298,732550,730169,2653155,2032124,1171953,235399,0,0,3871,Maria L. Varisco-Rogers Cs,Essex,K. Charter,C,,,1,554.2,9.9,53400,184.7,57475,61.6,124540,6.6,Essex
80,8065,15242497,6952331,6007445,262445,682441,530294,200272,5741669,3513987,1901799,0,116404,0,0,University Heights Cs,Essex,K. Charter,C,,,1,825.5,14.5,53500,165.2,55000,82.6,91500,6.2,Essex
80,6030,3867339,2111712,2013235,63483,34994,0,0,778519,604811,977108,460401,0,0,0,The Ethical Community Charter School,Hudson,K. Charter,C,,,1,382.9,11.6,46398,127.7,52545,63.8,66500,6,Hudson
80,6036,4446426,2600856,2364414,90115,146327,0,0,1003476,830080,842094,141763,0,0,0,Hola Hoboken Dual Lang Cs,Hudson,K. Charter,C,,,1,398.9,18.1,54894,199.5,65819,399,78000,24.1,Hudson
80,6064,5200559,2507650,2425291,33416,48943,0,0,1931724,1437725,761185,0,0,0,42601,Dr Lena Edwards Academic Charter School,Hudson,K. Charter,C,,,1,393.6,13.6,55750,131.3,60750,131.3,105000,10.7,Hudson
80,6068,9372272,4208630,3462036,232611,513983,745420,549825,1865389,1378180,2388892,385164,0,163940,2818,M E T S Charter School,Hudson,K. Charter,C,,,1,701.1,12.1,55950,233.7,66829,116.8,104000,10.2,Hudson
80,6082,11264096,5242380,4920510,89536,232334,0,0,1982586,1316209,4039130,1477308,0,0,69970,Beloved Community Charter School,Hudson,K. Charter,C,,,1,1073.5,16,56250,358,65000,119.3,75000,7.8,Hudson
80,6093,3933525,2216676,2040501,119540,56635,156073,83264,704798,362322,855978,164901,0,0,2714,Jersey City Global Cs,Hudson,K. Charter,C,,,1,425,14.7,46000,425,66000,141.7,90000,10,Hudson
80,6103,5907475,3071154,2746735,10705,313714,0,0,1068003,779166,1768317,397346,0,0,59400,Empowerment Academy Charter School,Hudson,K. Charter,C,,,1,575.2,14.7,54000,191.7,54000,115,90000,8.4,Hudson
80,6105,8587833,3669493,3007623,497371,164499,333950,215334,2086039,924486,2349814,480099,0,148537,204616,Hudson Arts And Science  Charter School,Hudson,K. Charter,C,,,1,695.4,15.8,45400,347.5,58650,695,93636,46,Hudson
80,6420,4379009,2291501,2178155,23572,89774,0,0,1270183,1132989,817325,296819,0,0,0,Elysian Cs Of Hoboken,Hudson,K. Charter,C,,,1,288,11,62294,94.4,71120,276.9,10250,29.2,Hudson
80,6720,4595291,2331174,2185132,80816,65226,600797,284777,930308,711548,733012,0,0,0,0,Hoboken Cs,Hudson,K. Charter,C,,,1,297.6,10.6,58500,106.4,39875,59.6,94000,6.2,Hudson
80,6910,5573285,2244034,2115693,82637,45704,314887,180329,2276673,1983838,737691,350064,0,0,52509,Jersey City Comm. Cs,Hudson,K. Charter,C,,,1,567.5,15.8,57480,162.3,54879,142,94000,9.9,Hudson
80,6915,6377561,3465813,3233956,122821,109036,278283,147061,821012,566484,1812453,511709,0,0,8033,Jersey City Golden Door Charter School,Hudson,K. Charter,C,,,1,532.5,12.7,50160,177.7,50845,88.8,111179,7.5,Hudson
80,7115,6305966,4205549,3732241,95121,378187,43468,37928,1095239,836754,961710,366171,0,0,0,Learning Community Cs,Hudson,K. Charter,C,,,1,586.5,13.8,49533,146.8,64158,489.2,84701,38.8,Hudson
80,7830,2808518,1804437,1709102,66461,28874,0,0,490421,313377,513660,88269,0,0,0,Soaring Heights Cs,Hudson,K. Charter,C,,,1,265.9,16.7,70810,166.3,52223,266,118180,17.5,Hudson
80,8060,6861371,3752215,3500506,58119,193590,1169462,1169462,816570,712379,1123124,0,0,0,74946,University Academy Cs,Hudson,K. Charter,C,,,1,430.5,10.5,50958,79.8,61118,63.9,81949,6.8,Hudson
