GROUP,CONAME,DIST,DISTNAME,pp3vv,stpct01vv,ltpct01vv,fdpct01vv,tupct01vv,fbpct01vv,otpct01vv,strat01vv,ssrat01vv,sarat01vv,pctsevv
A. K-6,Bergen,1270,Edgewater Boro,17771,0.13,0.85,0.02,0,0,0,13.7,88.5,159.3,0.0996
A. K-6,Bergen,3870,Oradell Boro,20371,0.153,0.762,0.016,0,0.068,0.001,11.9,96.5,134.9,0.1204
A. K-6,Bergen,4410,River Edge Boro,18631,0.246,0.668,0.019,0.026,0.041,0,12.8,91.7,140.2,0.1045
A. K-6,Bergen,4620,Saddle River Boro,26187,0.133,0.843,0.009,0.014,0,0.001,8.9,47.4,37.7,0.0988
A. K-6,Burlington,200,Bass River Twp,26390,0.425,0.529,0.046,0,0,0,7.8,59.4,107,0.283
A. K-6,Burlington,830,Chesterfield Twp,18628,0.273,0.714,0.009,0.003,0,0.001,12.9,97.9,150.8,0.1303
A. K-6,Burlington,2960,Mansfield Twp,26906,0.166,0.768,0.015,0.009,0.042,0,9.6,85.2,111.8,0.1471
A. K-6,Burlington,3650,North Hanover Twp,24675,0.519,0.113,0.363,0.005,0,0,10.3,54.6,141.5,0.1267
A. K-6,Burlington,5010,Springfield Twp,25724,0.332,0.634,0.026,0.008,0,0,9.1,72,61.7,0.1156
A. K-6,Camden,2540,Laurel Springs Boro,17837,0.442,0.538,0.02,0,0,0,12.2,84.2,111,0.1237
A. K-6,Camden,3770,Oaklyn Boro,19930,0.416,0.559,0.025,0,0,0,9.3,82.3,181,0.133
A. K-6,Camden,5560,Waterford Twp,20611,0.533,0.449,0.018,0.001,0,0,11,64.9,140.7,0.1314
A. K-6,Cape May,710,Cape May City,31765,0.241,0.364,0.392,0.003,0,0,8.3,176,58.7,0.1242
A. K-6,Cape May,2840,Lower Twp,20044,0.462,0.504,0.034,0,0,0,11.7,79.8,186.2,0.1446
A. K-6,Cape May,5610,West Cape May Boro,23103,0.407,0.536,0.052,0.005,0,0,10.7,127.5,51,0.0306
A. K-6,Essex,1400,Essex Fells Boro,23724,0.166,0.81,0.011,0.014,0,0,7.5,71.3,114,0.136
A. K-6,Essex,1465,Fairfield Twp,20617,0.164,0.807,0.013,0.007,0,0.009,10.5,61.9,170.3,0.1001
A. K-6,Essex,3630,North Caldwell Boro,22474,0.152,0.808,0.015,0.008,0.017,0,10,70.1,166.5,0.1379
A. K-6,Essex,4530,Roseland Boro,22509,0.154,0.825,0.014,0.007,0,0,12.4,57,91.2,0.1325
A. K-6,Gloucester,1180,East Greenwich Twp,17761,0.317,0.661,0.014,0,0,0.008,11.9,84.7,181.4,0.123
A. K-6,Gloucester,1330,Elk Twp,19660,0.484,0.47,0.032,0.014,0,0,11.5,126,189,0.0946
