GROUP,DISTNAME,csg1PP1,csg1RK1,csg1PP2,csg1RK2,csg1PP3,csg1RK3,csg2PP1,csg2RK1,csg2pct1,csg2PP2,csg2RK2,csg2pct2,csg2PP3,csg2RK3,csg2pct3,csg3PP1,csg3RK1,csg3pct1,csg3sba,csg3PP2,csg3RK2,csg3pct2,csg3sbb,csg3PP3,csg3RK3,csg3pct3,csg3sbc,csg4PP1,csg4RK1,csg4pct1,csg4PP2,csg4RK2,csg4pct2,csg4PP3,csg4RK3,csg4pct3,csg5PP1,csg5RK1,csg5pct1,csg5PP2,csg5RK2,csg5pct2,csg5PP3,csg5RK3,csg5pct3,csg6PP1,csg6RK1,csg6pct1,csg6PP2,csg6RK2,csg6pct2,csg6PP3,csg6RK3,csg6pct3,csg7PP1,csg7RK1,csg7pct1,csg7sba,csg7PP2,csg7RK2,csg7pct2,csg7sbb,csg7PP3,csg7RK3,csg7pct3,csg7sbc,csg8PP1,csg8RK1,csg8pct1,csg8PP2,csg8RK2,csg8pct2,csg8PP3,csg8RK3,csg8pct3,csg9PP1,csg9RK1,csg9pct1,csg9sba,csg9PP2,csg9RK2,csg9pct2,csg9sbb,csg9PP3,csg9RK3,csg9pct3,csg9sbc,csg10PP1,csg10RK1,csg10pct1,csg10PP2,csg10RK2,csg10pct2,csg10PP3,csg10RK3,csg10pct3,csg11PP1,csg11RK1,csg11pct1,csg11sba,csg11PP2,csg11RK2,csg11pct2,csg11sbb,csg11PP3,csg11RK3,csg11pct3,csg11sbc,csg12PP1,csg12RK1,csg12pct1,csg12PP2,csg12RK2,csg12pct2,csg12PP3,csg12RK3,csg12pct3,csg13PP1,csg13RK1,csg13pct1,csg13PP2,csg13RK2,csg13pct2,csg13PP3,csg13RK3,csg13pct3,csg14PP1,csg14PP2,csg14PP3,csg15PP1,csg15PP2,csg15PP3,csg16STRAT00,csg16RK00,csg16SALT00,csg16RKSAL00,csg16STRAT01,csg16RK01,csg16SALT01,csg16RKSAL01,csg17SSRAT00,csg17RK00,csg17SALS00,csg17RKSAL00,csg17SSRAT01,csg17RK01,csg17SALS01,csg17RKSAL01,csg18SARAT00,csg18RK00,csg18SALAM00,csg18RKSAL00,csg18SARAT01,csg18RK01,csg18SALAM01,csg18RKSAL01,csg19FARAT00,csg19RK00,csg19FARAT01,csg19RK01,csg8aPP1,csg8aRK1,csg8apct1,csg8aPP2,csg8aRK2,csg8apct2,csg8aPP3,csg8aRK3,csg8apct3,csg1aEXP1,csg1aADE1,csg1aPP1,csg1aRK1,csg1aEXP2,csg1aADE2,csg1aPP2,csg1aRK2
A. K-6,1. State average - Operating Type K-6,14915,N.A.,15428,N.A.,16581,N.A.,9052,N.A.,0.607,9291,N.A.,0.602,10020,N.A.,0.604,8494,N.A.,0.569,0.938,8720,N.A.,0.565,0.939,9365,N.A.,0.565,0.935,362,N.A.,0.024,364,N.A.,0.024,402,N.A.,0.024,196,N.A.,0.013,206,N.A.,0.013,252,N.A.,0.015,2428,N.A.,0.163,2600,N.A.,0.169,2885,N.A.,0.174,1960,N.A.,0.131,0.807,2095,N.A.,0.136,0.806,2308,N.A.,0.139,0.8,1605,N.A.,0.108,1624,N.A.,0.105,1659,N.A.,0.1,1285,N.A.,0.086,0.801,1299,N.A.,0.084,0.8,1338,N.A.,0.081,0.807,1682,N.A.,0.113,1772,N.A.,0.115,1878,N.A.,0.113,824,N.A.,0.055,0.49,866,N.A.,0.056,0.489,916,N.A.,0.055,0.488,66,N.A.,0.004,88,N.A.,0.006,79,N.A.,0.005,52,N.A.,0.003,57,N.A.,0.004,60,N.A.,0.004,0.336,0.336,0.37,116,160,121,10.8,,64220,,10.7,,65751,,72.6,,64474,,71.3,,65515,,140.8,,108628,,137.2,,112179,,14.9,,14.7,,50,N.A.,0.003,48,N.A.,0.003,37,N.A.,0.002,,,20092,,,,21171,
A. K-6,2. State median - Operating Type K-6,15706,N.A.,16941,N.A.,17493,N.A.,9541,N.A.,0.607,9891,N.A.,0.584,10688,N.A.,0.611,9207,N.A.,0.586,0.965,9124,N.A.,0.539,0.922,10040,N.A.,0.574,0.939,371,N.A.,0.024,350,N.A.,0.021,436,N.A.,0.025,189,N.A.,0.012,221,N.A.,0.013,273,N.A.,0.016,2652,N.A.,0.169,2798,N.A.,0.165,3042,N.A.,0.174,1842,N.A.,0.117,0.695,2092,N.A.,0.123,0.748,2479,N.A.,0.142,0.815,1766,N.A.,0.112,1773,N.A.,0.105,1818,N.A.,0.104,1447,N.A.,0.092,0.819,1412,N.A.,0.083,0.796,1463,N.A.,0.084,0.805,1662,N.A.,0.106,1801,N.A.,0.106,2060,N.A.,0.118,817,N.A.,0.052,0.492,848,N.A.,0.05,0.471,905,N.A.,0.052,0.439,53,N.A.,0.003,85,N.A.,0.005,67,N.A.,0.004,50,N.A.,0.003,53,N.A.,0.003,65,N.A.,0.004,0.324,0.333,0.367,80,130,91,9.9,,61900,,10,,63692,,71,,64650,,70.2,,65440,,116.6,,111620,,115,,115000,,14,,13.1,,48,N.A.,0.003,48,N.A.,0.003,38,N.A.,0.002,,,21537,,,,22591,
B. K-8 / 0 - 400,1. State average - Operating Type K-8,15947,N.A.,16500,N.A.,17598,N.A.,9786,N.A.,0.614,10074,N.A.,0.611,10648,N.A.,0.605,9197,N.A.,0.577,0.94,9482,N.A.,0.575,0.941,9992,N.A.,0.568,0.938,339,N.A.,0.021,322,N.A.,0.02,362,N.A.,0.021,251,N.A.,0.016,270,N.A.,0.016,296,N.A.,0.017,2533,N.A.,0.159,2664,N.A.,0.161,2909,N.A.,0.165,2137,N.A.,0.134,0.844,2237,N.A.,0.136,0.84,2420,N.A.,0.138,0.832,1721,N.A.,0.108,1762,N.A.,0.107,1829,N.A.,0.104,1396,N.A.,0.088,0.811,1432,N.A.,0.087,0.813,1466,N.A.,0.083,0.802,1717,N.A.,0.108,1802,N.A.,0.109,1991,N.A.,0.113,803,N.A.,0.05,0.468,836,N.A.,0.051,0.464,898,N.A.,0.051,0.451,34,N.A.,0.002,40,N.A.,0.002,42,N.A.,0.002,122,N.A.,0.008,129,N.A.,0.008,145,N.A.,0.008,0.316,0.318,0.352,110,126,89,10.6,,69242,,10.5,,70570,,67.6,,70925,,66.5,,72086,,136,,119031,,136.3,,121079,,14.8,,15.1,,44,N.A.,0.003,45,N.A.,0.003,43,N.A.,0.002,,,21864,,,,22996,
B. K-8 / 0 - 400,2. State median - Operating Type K-8,16393,N.A.,16944,N.A.,18142,N.A.,9905,N.A.,0.604,10252,N.A.,0.605,10782,N.A.,0.594,9321,N.A.,0.569,0.941,9559,N.A.,0.564,0.932,9980,N.A.,0.55,0.926,338,N.A.,0.021,330,N.A.,0.019,368,N.A.,0.02,211,N.A.,0.013,216,N.A.,0.013,232,N.A.,0.013,2552,N.A.,0.156,2765,N.A.,0.163,2931,N.A.,0.162,2095,N.A.,0.128,0.821,2222,N.A.,0.131,0.803,2356,N.A.,0.13,0.804,1843,N.A.,0.112,1876,N.A.,0.111,1949,N.A.,0.107,1440,N.A.,0.088,0.781,1484,N.A.,0.088,0.791,1483,N.A.,0.082,0.761,1740,N.A.,0.106,1866,N.A.,0.11,1999,N.A.,0.11,819,N.A.,0.05,0.471,846,N.A.,0.05,0.453,913,N.A.,0.05,0.457,48,N.A.,0.003,46,N.A.,0.003,47,N.A.,0.003,123,N.A.,0.008,129,N.A.,0.008,153,N.A.,0.008,0.31,0.312,0.347,79,96,83,10.1,,66405,,10.1,,67903,,69.2,,69320,,67.1,,70199,,121.7,,118947,,122.2,,120762,,13.7,,14.3,,44,N.A.,0.003,43,N.A.,0.003,45,N.A.,0.002,,,22226,,,,23564,
C. K-8 / 401 - 750,1. State average - Operating Type K-8,15947,N.A.,16500,N.A.,17598,N.A.,9786,N.A.,0.614,10074,N.A.,0.611,10648,N.A.,0.605,9197,N.A.,0.577,0.94,9482,N.A.,0.575,0.941,9992,N.A.,0.568,0.938,339,N.A.,0.021,322,N.A.,0.02,362,N.A.,0.021,251,N.A.,0.016,270,N.A.,0.016,296,N.A.,0.017,2533,N.A.,0.159,2664,N.A.,0.161,2909,N.A.,0.165,2137,N.A.,0.134,0.844,2237,N.A.,0.136,0.84,2420,N.A.,0.138,0.832,1721,N.A.,0.108,1762,N.A.,0.107,1829,N.A.,0.104,1396,N.A.,0.088,0.811,1432,N.A.,0.087,0.813,1466,N.A.,0.083,0.802,1717,N.A.,0.108,1802,N.A.,0.109,1991,N.A.,0.113,803,N.A.,0.05,0.468,836,N.A.,0.051,0.464,898,N.A.,0.051,0.451,34,N.A.,0.002,40,N.A.,0.002,42,N.A.,0.002,122,N.A.,0.008,129,N.A.,0.008,145,N.A.,0.008,0.316,0.318,0.352,110,126,89,10.6,,69242,,10.5,,70570,,67.6,,70925,,66.5,,72086,,136,,119031,,136.3,,121079,,14.8,,15.1,,44,N.A.,0.003,45,N.A.,0.003,43,N.A.,0.002,,,21864,,,,22996,
C. K-8 / 401 - 750,2. State median - Operating Type K-8,16393,N.A.,16944,N.A.,18142,N.A.,9905,N.A.,0.604,10252,N.A.,0.605,10782,N.A.,0.594,9321,N.A.,0.569,0.941,9559,N.A.,0.564,0.932,9980,N.A.,0.55,0.926,338,N.A.,0.021,330,N.A.,0.019,368,N.A.,0.02,211,N.A.,0.013,216,N.A.,0.013,232,N.A.,0.013,2552,N.A.,0.156,2765,N.A.,0.163,2931,N.A.,0.162,2095,N.A.,0.128,0.821,2222,N.A.,0.131,0.803,2356,N.A.,0.13,0.804,1843,N.A.,0.112,1876,N.A.,0.111,1949,N.A.,0.107,1440,N.A.,0.088,0.781,1484,N.A.,0.088,0.791,1483,N.A.,0.082,0.761,1740,N.A.,0.106,1866,N.A.,0.11,1999,N.A.,0.11,819,N.A.,0.05,0.471,846,N.A.,0.05,0.453,913,N.A.,0.05,0.457,48,N.A.,0.003,46,N.A.,0.003,47,N.A.,0.003,123,N.A.,0.008,129,N.A.,0.008,153,N.A.,0.008,0.31,0.312,0.347,79,96,83,10.1,,66405,,10.1,,67903,,69.2,,69320,,67.1,,70199,,121.7,,118947,,122.2,,120762,,13.7,,14.3,,44,N.A.,0.003,43,N.A.,0.003,45,N.A.,0.002,,,22226,,,,23564,
D. K-8 / 751 +,1. State average - Operating Type K-8,15947,N.A.,16500,N.A.,17598,N.A.,9786,N.A.,0.614,10074,N.A.,0.611,10648,N.A.,0.605,9197,N.A.,0.577,0.94,9482,N.A.,0.575,0.941,9992,N.A.,0.568,0.938,339,N.A.,0.021,322,N.A.,0.02,362,N.A.,0.021,251,N.A.,0.016,270,N.A.,0.016,296,N.A.,0.017,2533,N.A.,0.159,2664,N.A.,0.161,2909,N.A.,0.165,2137,N.A.,0.134,0.844,2237,N.A.,0.136,0.84,2420,N.A.,0.138,0.832,1721,N.A.,0.108,1762,N.A.,0.107,1829,N.A.,0.104,1396,N.A.,0.088,0.811,1432,N.A.,0.087,0.813,1466,N.A.,0.083,0.802,1717,N.A.,0.108,1802,N.A.,0.109,1991,N.A.,0.113,803,N.A.,0.05,0.468,836,N.A.,0.051,0.464,898,N.A.,0.051,0.451,34,N.A.,0.002,40,N.A.,0.002,42,N.A.,0.002,122,N.A.,0.008,129,N.A.,0.008,145,N.A.,0.008,0.316,0.318,0.352,110,126,89,10.6,,69242,,10.5,,70570,,67.6,,70925,,66.5,,72086,,136,,119031,,136.3,,121079,,14.8,,15.1,,44,N.A.,0.003,45,N.A.,0.003,43,N.A.,0.002,,,21864,,,,22996,
D. K-8 / 751 +,2. State median - Operating Type K-8,16393,N.A.,16944,N.A.,18142,N.A.,9905,N.A.,0.604,10252,N.A.,0.605,10782,N.A.,0.594,9321,N.A.,0.569,0.941,9559,N.A.,0.564,0.932,9980,N.A.,0.55,0.926,338,N.A.,0.021,330,N.A.,0.019,368,N.A.,0.02,211,N.A.,0.013,216,N.A.,0.013,232,N.A.,0.013,2552,N.A.,0.156,2765,N.A.,0.163,2931,N.A.,0.162,2095,N.A.,0.128,0.821,2222,N.A.,0.131,0.803,2356,N.A.,0.13,0.804,1843,N.A.,0.112,1876,N.A.,0.111,1949,N.A.,0.107,1440,N.A.,0.088,0.781,1484,N.A.,0.088,0.791,1483,N.A.,0.082,0.761,1740,N.A.,0.106,1866,N.A.,0.11,1999,N.A.,0.11,819,N.A.,0.05,0.471,846,N.A.,0.05,0.453,913,N.A.,0.05,0.457,48,N.A.,0.003,46,N.A.,0.003,47,N.A.,0.003,123,N.A.,0.008,129,N.A.,0.008,153,N.A.,0.008,0.31,0.312,0.347,79,96,83,10.1,,66405,,10.1,,67903,,69.2,,69320,,67.1,,70199,,121.7,,118947,,122.2,,120762,,13.7,,14.3,,44,N.A.,0.003,43,N.A.,0.003,45,N.A.,0.002,,,22226,,,,23564,
E. K-12 / 0 - 1800,1. State average - Operating Type K-12,15381,N.A.,15904,N.A.,16750,N.A.,9111,N.A.,0.592,9391,N.A.,0.59,9880,N.A.,0.59,8590,N.A.,0.558,0.943,8850,N.A.,0.556,0.942,9277,N.A.,0.554,0.939,261,N.A.,0.017,259,N.A.,0.016,309,N.A.,0.018,260,N.A.,0.017,282,N.A.,0.018,294,N.A.,0.018,2512,N.A.,0.163,2618,N.A.,0.165,2791,N.A.,0.167,2165,N.A.,0.141,0.862,2239,N.A.,0.141,0.855,2363,N.A.,0.141,0.847,1592,N.A.,0.104,1626,N.A.,0.102,1685,N.A.,0.101,1315,N.A.,0.085,0.826,1350,N.A.,0.085,0.83,1375,N.A.,0.082,0.816,1782,N.A.,0.116,1869,N.A.,0.118,1971,N.A.,0.118,938,N.A.,0.061,0.526,966,N.A.,0.061,0.517,998,N.A.,0.06,0.506,38,N.A.,0.002,51,N.A.,0.003,37,N.A.,0.002,286,N.A.,0.019,298,N.A.,0.019,316,N.A.,0.019,0.307,0.31,0.332,72,87,65,12,,73482,,11.9,,75085,,75.8,,79630,,75.2,,80907,,156.7,,128951,,155.7,,131734,,15.2,,15.2,,43,N.A.,0.003,44,N.A.,0.003,42,N.A.,0.003,,,21497,,,,22642,
E. K-12 / 0 - 1800,2. State median - Operating Type K-12,15249,N.A.,15756,N.A.,16575,N.A.,8976,N.A.,0.589,9299,N.A.,0.59,9833,N.A.,0.593,8419,N.A.,0.552,0.938,8710,N.A.,0.553,0.937,9214,N.A.,0.556,0.937,263,N.A.,0.017,260,N.A.,0.016,284,N.A.,0.017,205,N.A.,0.013,212,N.A.,0.013,251,N.A.,0.015,2364,N.A.,0.155,2491,N.A.,0.158,2717,N.A.,0.164,2046,N.A.,0.134,0.866,2100,N.A.,0.133,0.843,2256,N.A.,0.136,0.83,1651,N.A.,0.108,1690,N.A.,0.107,1765,N.A.,0.106,1360,N.A.,0.089,0.823,1406,N.A.,0.089,0.832,1455,N.A.,0.088,0.824,1650,N.A.,0.108,1733,N.A.,0.11,1826,N.A.,0.11,898,N.A.,0.059,0.544,930,N.A.,0.059,0.537,982,N.A.,0.059,0.538,13,N.A.,0.001,30,N.A.,0.002,20,N.A.,0.001,360,N.A.,0.024,373,N.A.,0.024,396,N.A.,0.024,0.292,0.3,0.32,56,67,47,11.7,,70120,,11.7,,72199,,73.4,,78934,,73.5,,80315,,145.8,,128388,,146.8,,130930,,14.8,,14.9,,36,N.A.,0.002,37,N.A.,0.002,38,N.A.,0.002,,,20871,,,,21914,
