GROUP,CONAME,DIST,DISTNAME,SARAT0018,RK0018,SALAM0018,RKSAL0018,SARAT0118,RK0118,SALAM0118,RKSAL0118
A. K-6,Statewide,N.A.,1. State Average - Operating Type K-6,140.8,N.A.,108628,N.A.,137.2,N.A.,112179,N.A.
A. K-6,Statewide,N.A.,2. State Median - Operating Type K-6,116.6,N.A.,111620,N.A.,115.0,N.A.,115000,N.A.
A. K-6,Statewide,N.A.,5. State Average - All Operating Types,148.3,N.A.,125862,N.A.,147.6,N.A.,128369,N.A.
A. K-6,Statewide,N.A.,6. State Median - All Operating Types,130.4,N.A.,125239,N.A.,132.5,N.A.,128052,N.A.
A. K-6,Bergen,1270,Edgewater Boro,167.3,13|57,129178,52|57,157.8,18|57,129178,50|57
A. K-6,Bergen,3870,Oradell Boro,115.8,31|57,107161,24|57,107.1,32|57,129445,51|57
A. K-6,Bergen,4410,River Edge Boro,151.5,21|57,154869,57|57,146.9,20|57,159427,57|57
A. K-6,Bergen,4620,Saddle River Boro,43.8,57|57,120018,43|57,40.0,57|57,116118,35|57
A. K-6,Burlington,200,Bass River Twp,106.0,37|57,130000,53|57,94.0,39|57,105000,20|57
A. K-6,Burlington,830,Chesterfield Twp,155.0,20|57,106644,22|57,135.9,23|57,111114,28|57
A. K-6,Burlington,2960,Mansfield Twp,134.3,25|57,112192,34|57,90.5,40|57,104390,15|57
A. K-6,Burlington,3650,North Hanover Twp,139.1,24|57,125425,49|57,132.1,26|57,125600,47|57
A. K-6,Burlington,5010,Springfield Twp,112.5,34|57,102500,19|57,97.2,36|57,75000,7|57
A. K-6,Camden,2540,Laurel Springs Boro,114.8,33|57,46176,3|57,113.0,30|57,47475,4|57
A. K-6,Camden,3770,Oaklyn Boro,116.5,30|57,121199,45|57,372.0,1|57,136312,56|57
A. K-6,Camden,5560,Waterford Twp,145.4,23|57,105593,21|57,146.3,21|57,111934,29|57
A. K-6,Cape May,710,Cape May City,51.0,56|57,85862,11|57,74.5,44|57,85431,9|57
A. K-6,Cape May,2840,Lower Twp,182.9,8|57,102857,20|57,178.6,10|57,105625,22|57
A. K-6,Cape May,5610,West Cape May Boro,81.7,43|57,67012,6|57,54.7,54|57,72000,6|57
A. K-6,Essex,1400,Essex Fells Boro,125.0,28|57,131616,54|57,125.0,27|57,135073,55|57
A. K-6,Essex,1465,Fairfield Twp,167.3,13|57,134438,55|57,137.4,22|57,132659,54|57
A. K-6,Essex,3630,North Caldwell Boro,166.8,15|57,115000,38|57,172.3,13|57,115000,33|57
A. K-6,Essex,4530,Roseland Boro,156.0,19|57,122830,47|57,156.0,19|57,126515,48|57
A. K-6,Gloucester,1180,East Greenwich Twp,184.7,6|57,111000,32|57,187.3,7|57,112150,30|57
A. K-6,Gloucester,1330,Elk Twp,349.0,2|57,102151,18|57,323.0,3|57,105113,21|57
A. K-6,Gloucester,1590,Franklin Twp,173.4,10|57,114242,36|57,176.8,12|57,109851,24|57
A. K-6,Gloucester,2070,Harrison Twp,173.4,10|57,116411,40|57,176.9,11|57,111000,26|57
A. K-6,Gloucester,2990,Mantua Twp,205.5,4|57,109178,28|57,180.4,9|57,112453,31|57
A. K-6,Gloucester,3490,National Park Boro,96.4,40|57,37822,2|57,106.7,33|57,37822,1|57
A. K-6,Gloucester,4880,South Harrison Twp,357.0,1|57,106759,23|57,330.0,2|57,109876,25|57
A. K-6,Gloucester,5120,Swedesboro-Woolwich,163.1,16|57,114992,37|57,158.1,17|57,118238,40|57
