Group,Coname,Dist,Distname,PP18,RK18, PCT18 ,PP28,RK28, PCT28 ,PP38,RK38, PCT38 
A. K–6,Ocean,5020,Stafford Twp,1414,16|57, 0.092 ,1491,17|57, 0.089 ,1498,14|57, 0.083 
A. K–6,Ocean,5220,Tuckerton Boro,1266,7|57, 0.083 ,1348,8|57, 0.086 ,1384,8|57, 0.085 
A. K–6,Sussex,1630,Fredon Twp,2425,57|57, 0.115 ,2521,55|57, 0.116 ,2301,56|57, 0.108 
A. K–6,Sussex,1980,Hampton Twp,2201,48|57, 0.110 ,2358,52|57, 0.116 ,2133,49|57, 0.102 
A. K–6,Sussex,4650,Sandyston-Walpack Twp,2285,52|57, 0.118 ,2330,51|57, 0.114 ,2296,52|57, 0.104 
A. K–6,Sussex,5040,Stillwater Twp,2158,46|57, 0.114 ,2291,50|57, 0.115 ,2302,57|57, 0.098 
A. K–6,Warren,400,Blairstown Twp,1599,20|57, 0.102 ,1574,20|57, 0.089 ,1650,20|57, 0.097 
A. K–6,Warren,1620,Franklin Twp,2217,49|57, 0.109 ,2250,49|57, 0.110 ,2297,53|57, 0.110 
A. K–6,Warren,1670,Frelinghuysen Twp,1761,28|57, 0.118 ,1858,34|57, 0.123 ,1936,37|57, 0.113 
A. K–6,Warren,2470,Knowlton Twp,1932,38|57, 0.099 ,2074,41|57, 0.100 ,2090,44|57, 0.093 
A. K–6,Warren,2970,Mansfield Twp,1331,11|57, 0.097 ,1445,13|57, 0.104 ,1481,13|57, 0.102 
A. K–6,Warren,5480,Washington Boro,1191,3|57, 0.076 ,1141,1|57, 0.074 ,1137,1|57, 0.066 
A. K–6,Warren,5530,Washington Twp,1793,33|57, 0.126 ,2223,48|57, 0.119 ,2300,55|57, 0.119 
B. K–8/0–400,Statewide,N.A.,1. State average - Operating Type K-8,1721,N.A., 0.108 ,1762,N.A., 0.107 ,1829,N.A., 0.104 
B. K–8/0–400,Statewide,N.A.,2. State median - Operating Type K-8,1843,N.A., 0.112 ,1876,N.A., 0.111 ,1949,N.A., 0.107 
B. K–8/0–400,Statewide,N.A.,5. State average - All operating types,1732,N.A., 0.111 ,1792,N.A., 0.111 ,1804,N.A., 0.106 
B. K–8/0–400,Statewide,N.A.,6. State median - All operating types,1814,N.A., 0.116 ,1866,N.A., 0.115 ,1918,N.A., 0.113 
B. K–8/0–400,Atlantic,1410,Estell Manor City,1982,42|75, 0.118 ,1876,31|75, 0.112 ,1845,22|77, 0.102 
B. K–8/0–400,Atlantic,1540,Folsom Boro,1418,N.R., 0.100 ,1414,2|75, 0.100 ,1491,7|77, 0.102 
B. K–8/0–400,Atlantic,3020,Margate City,1967,39|75, 0.071 ,1970,42|75, 0.071 ,2135,60|77, 0.070 
B. K–8/0–400,Atlantic,4240,Port Republic City,1795,25|75, 0.106 ,2000,46|75, 0.107 ,1972,38|77, 0.104 
B. K–8/0–400,Atlantic,5760,Weymouth Twp,2490,68|75, 0.127 ,2490,73|75, 0.137 ,2112,55|77, 0.127 
B. K–8/0–400,Bergen,80,Alpine Boro,2611,71|75, 0.084 ,2097,55|75, 0.069 ,2298,71|77, 0.065 
B. K–8/0–400,Bergen,2090,Haworth Boro,2170,61|75, 0.109 ,2167,61|75, 0.103 ,2192,67|77, 0.101 
