Co,Dist,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind15,Distname,Coname,Group,ENROLL,ind16a,ind16b,ind17a,ind17b,ind18a,ind18b,ind19
11,1460,7914907,5385236,5110379,77011,197846,1184026,930621,757015,588327,555226,90524,0,19334,0,Fairfield Twp,Cumberland,C. K–8/401–750,572,9.6,57762,554,35000,277,110547,29.5
11,1820,1439532,813839,652891,92344,68604,332666,279963,124584,11677,142824,24650,21557,4062,26428,Greenwich Twp,Cumberland,B. K–8/0–400,66.6,6.2,58152,31,59964,31,84872,6
11,2270,6362181,3933706,3637353,198278,98075,992882,817704,599185,418460,792978,232973,0,43429,129227,Hopewell Twp,Cumberland,C. K–8/401–750,501.9,11.9,71817,90.4,76565,180.8,102480,17.2
11,2570,6668729,4249553,3850276,278680,120597,1174828,1025464,608362,453743,575212,214558,0,55021,53168,Lawrence Twp,Cumberland,C. K–8/401–750,512.7,11.5,69794,83.3,63694,125,97521,12.4
11,3050,5588450,3167138,3024837,131484,10817,735313,505663,626651,534510,905135,350305,29999,46272,37118,Maurice River Twp,Cumberland,C. K–8/401–750,414.1,11.9,53316,107.5,63726,94.8,94803,8.8
11,3230,82877478,46847948,43112090,864056,2871802,14861367,12982555,9692850,7908551,10184913,5050445,0,1239169,222209,Millville City,Cumberland,G. K–12/3501+,5393.9,12.7,71039,71.9,77439,134.8,106071,12.5
11,5070,1833632,1320439,1207813,23424,89202,86097,80756,224198,138187,184248,68209,9000,7964,59001,Stow Creek Twp,Cumberland,B. K–8/0–400,116.7,7.7,58152,63.3,19680,57,148347,8.4
11,5300,13142138,7775436,7412074,258590,104772,2248643,1917800,1371650,1086953,1746409,914199,0,0,181582,Upper Deerfield Twp,Cumberland,D. K–8/751+,848.2,10.3,60871,89.3,77874,156,108214,16.8
11,5390,151839738,92806232,84071423,3245193,5489616,22866602,19382793,13501156,9967187,18509082,9312153,0,1980981,571688,Vineland City,Cumberland,G. K–12/3501+,9632.1,12.5,65309,80.1,71793,204.5,115398,18.9
13,250,60259925,36579026,35096961,1414451,67614,7890087,6369334,8525642,6637734,5983242,4320136,0,963374,49044,Belleville Town,Essex,G. K–12/3501+,4464,13,75956,81.5,87111,179.3,160327,16
13,410,86401709,52393003,50004125,1291124,1097754,11757793,8951634,10852174,9052848,9338850,4653805,0,1427721,308124,Bloomfield Twp,Essex,G. K–12/3501+,6296.6,11.2,62100,73.4,63100,186.6,141831,19.2
13,660,41872840,22892058,21460195,1217103,214760,7750480,5261120,4395880,3599399,5191442,2431088,0,1481711,402907,Caldwell-West Caldwell,Essex,F. K–12/1801–3500,2626.1,12,69689,60.8,70221,163.4,140467,16.4
13,760,25088085,13928073,13639544,188546,99983,3724211,2982368,3306567,2815395,3182287,1883238,0,940438,27227,Cedar Grove Twp,Essex,E. K–12/0–1800,1552.6,10.4,61222,67.2,74522,140.6,131901,15.6
13,1210,174159607,92558403,89656244,1572103,1330056,38093927,35466756,18550878,14899682,23136432,13341808,0,1631384,344325,East Orange,Essex,G. K–12/3501+,9273.2,11.6,88409,62.4,101900,142.9,139138,14.6
13,1390,40145312,19008234,17794695,721093,492446,4615666,4474080,7460242,4662465,7295257,1148860,0,1646905,139813,Essex Co Voc-Tech,Essex,J. Voc,2316.1,15.9,69729,108.2,82890,152.9,117813,11
13,1400,4729298,3294147,2981189,212968,99990,546779,428282,430458,361433,454233,287822,0,1229,45894,Essex Fells Boro,Essex,A. K–6,252.1,7.8,64100,59.5,41956,125,131616,18.1
13,1465,10894805,6668854,6222220,76830,369804,1789271,1700088,1225293,1006577,1154622,561829,11742,43818,59920,Fairfield Twp,Essex,A. K–6,674.2,10.5,60692,60.8,74650,167.3,134438,18.7
13,1750,29661463,17755332,16834241,801749,119342,4074008,3469695,4110650,3165581,2680655,1454863,0,1022484,107040,Glen Ridge Boro,Essex,F. K–12/1801–3500,1910.4,12.6,74777,68.2,79744,156.3,153816,14.7
13,2330,107299344,60850162,51553299,1022412,8274451,20374492,18913986,8496962,7557216,16613304,9594625,0,854804,326959,Irvington Township,Essex,G. K–12/3501+,6888.8,13.8,75974,80.6,92638,202.8,130966,17.2
13,2730,98623252,61813512,60040554,1578626,194332,15903499,14122060,10238741,8224937,8389974,5001894,0,1927563,40035,Livingston Twp,Essex,G. K–12/3501+,6009.6,12.3,83189,67.1,85929,162.4,135478,15.6
13,3190,82238058,49098155,44610128,1323863,3164164,13725602,13006058,7758357,6558100,9810311,4652218,0,1647599,1084990,Millburn Twp,Essex,G. K–12/3501+,4783.8,11.8,92784,78.4,96529,153.5,130000,14.9
13,3310,112213926,62804092,59525170,1833642,1445280,26370334,23788290,10216588,8730255,10790183,5522109,116397,1779734,33570,Montclair Town,Essex,G. K–12/3501+,6652.9,11.8,73194,60.4,83341,201.9,140772,20.5
13,3570,620856444,313526637,290655882,11455411,11415344,133152249,119637402,65662493,54405040,94912197,59830064,2200000,6154958,1655638,Newark City,Essex,G. K–12/3501+,37130.3,12.5,65550,73,98916,93.3,107985,8.7
13,3630,11594624,7085070,6602743,239266,243061,1718970,1106958,1373565,1235561,1411728,746624,0,0,90003,North Caldwell Boro,Essex,A. K–6,673,10.7,51904,78.5,52183,166.8,115000,17.7
13,3750,58546044,35826116,34742968,717297,365851,7613796,6631078,7100872,6240061,6131371,3663228,0,1509472,468709,Nutley Town,Essex,G. K–12/3501+,4067.7,12.3,59500,72.6,71795,157.7,126170,14.9
13,3880,85234713,48799672,43794464,2266080,2739128,15608102,13428026,11098828,8279650,8779475,1794748,0,808352,187233,City Of Orange Twp,Essex,G. K–12/3501+,5078,10.3,59516,77.3,71235,97.5,110788,10.7
13,4530,7077844,4288442,4208936,40860,38646,1302095,973065,833514,703553,636857,333444,0,0,0,Roseland Boro,Essex,A. K–6,465.1,11.7,62529,55.1,63529,156,122830,16.2
13,4900,104400682,64591847,56147731,1214558,7229558,14844611,12142537,10598437,9058928,12693197,1284243,24661,1366354,175463,South Orange-Maplewood,Essex,G. K–12/3501+,7096.8,12.6,74212,83.3,79431,197.4,117192,18.1
13,5370,30790433,18024549,17270517,531630,222402,4958473,4343131,3712276,3028885,3145886,1649421,0,913417,12075,Verona Boro,Essex,F. K–12/1801–3500,2168.2,13.1,70468,58.1,70450,138.4,132122,12.9
13,5630,31572304,18266412,17091493,482154,692765,3705780,3259286,3704732,3211319,4015626,2246416,0,1873875,0,West Essex Regional,Essex,H. 7–12/9–12,1687.3,11.1,77527,76.6,72596,118.7,136715,12.2
13,5680,129247339,80045624,77326272,1746098,973254,18482731,16839533,13522428,11784865,13835711,7479096,0,2735143,194750,West Orange Town,Essex,G. K–12/3501+,6608.8,10.4,87123,57.9,98127,148.2,149509,16.8
15,860,18054157,10667066,9349423,398989,918654,2765527,2089364,2322433,1983399,1606589,715462,0,608840,70355,Clayton Boro,Gloucester,E. K–12/0–1800,1462.1,12.2,56435,96.6,55869,160.9,108791,14.8
15,870,29543059,16522631,15522102,719091,281438,4109506,3175392,3804788,3043369,3714380,1370266,0,1223174,390569,Clearview Regional,Gloucester,H. 7–12/9–12,2251.6,13.4,65500,114.2,68400,132,113845,11
15,1100,57466477,34892261,32867634,854684,1169943,8873228,8220045,5158461,4333170,6536198,4217437,182532,1151872,160611,Deptford Twp,Gloucester,G. K–12/3501+,4105.6,12.4,76530,103.5,85943,172.5,109252,15.6
15,1180,15369410,9748381,9230619,378899,138863,2313162,1914708,1725597,1473166,1556516,823044,0,0,37824,East Greenwich Twp,Gloucester,A. K–6,1299.2,12.5,62335,96.5,68269,184.7,111000,16.6
15,1330,5123101,3246294,2928960,37544,279790,780849,450160,440839,249249,486514,238450,0,6973,0,Elk Twp,Gloucester,A. K–6,348.1,11,69301,105.8,71889,349,102151,35
15,1590,17183026,10149504,9503413,316948,329143,2699788,2426554,1774592,1368120,2194353,1265456,0,34586,52478,Franklin Twp,Gloucester,A. K–6,1409.6,11.9,51474,73,55824,173.4,114242,17
15,1715,16962304,9347776,8863949,290859,192968,3176105,2538764,1431415,1189361,1906591,896339,0,803603,234471,Gateway Regional,Gloucester,H. 7–12/9–12,909.6,10.7,77819,48.1,68241,73.6,113171,8.4
15,1730,31235684,18035068,16704889,663657,666522,4809235,4421480,3749561,2974810,3521960,2021142,0,615314,249730,Glassboro,Gloucester,F. K–12/1801–3500,1921.3,10.6,66886,67.3,83473,109.5,110747,12
15,1774,28796531,16126204,14420489,603926,1101789,6628386,3037693,2726256,2324414,3174646,1566817,0,128983,139868,Gloucester Co Spec Serv,Gloucester,I. CSSD,604.1,5.6,59780,6.4,57847,28,119688,9.3
15,1775,20352807,10581522,9327349,924092,330081,3741189,2835805,1609420,1021588,3525141,1698775,98958,769833,354716,Gloucester Co Vocational,Gloucester,J. Voc,1531.1,16.7,66787,150.2,63590,236,105139,15.7
15,1830,8818262,4723736,4501613,86897,135226,1491870,1103991,854706,624857,1718041,624588,0,21765,0,Greenwich Twp,Gloucester,C. K–8/401–750,404.2,8.8,62830,55.9,59760,101.3,123310,13.3
15,2070,17459188,11138019,10486668,595137,56214,1946036,1675206,1909026,1479035,2293674,944076,0,0,91165,Harrison Twp,Gloucester,A. K–6,1358,12.8,76625,94,80725,173.4,116411,15.4
15,2440,30111119,17484980,16251538,748647,484795,4041518,3561243,3722922,3013983,3366260,1845770,0,1273956,890750,Kingsway Regional,Gloucester,H. 7–12/9–12,2706.4,12.9,57375,115.5,63381,132.4,115829,11.4
15,2750,14062723,8769608,8208827,128259,432522,2525677,2177461,1134239,918695,1588214,266526,0,37000,90682,Logan Twp,Gloucester,D. K–8/751+,885.3,9.7,65403,78.3,58595,122,117419,14.2
15,2990,19089827,12101518,11574159,505187,22172,2545909,2276918,2078487,1583677,2288003,1207364,0,75910,58817,Mantua Twp,Gloucester,A. K–6,1270.2,11,61853,63.9,71080,205.5,109178,21.8
15,3280,74865777,44081767,41766141,735644,1579982,12130758,9738153,8331716,6644276,8866283,287870,0,1355457,84787,Monroe Twp,Gloucester,G. K–12/3501+,5747.4,12.7,59999,84.4,59999,199,135188,18
15,3490,4107228,2565361,2443036,99020,23305,706286,550842,418985,233118,407512,211442,0,7543,0,National Park Boro,Gloucester,A. K–6,270,11.1,70717,84.4,67080,96.4,37822,9.8
15,4020,16183643,9433884,8909438,159017,365429,2304109,2017074,2072570,1584525,1742200,832190,0,505065,207313,Paulsboro Boro,Gloucester,E. K–12/0–1800,1163.9,12,79894,78,64638,130,123308,12.5
15,4140,21957289,13388636,12641894,284621,462121,3371379,3238570,2414998,2063452,2068559,1212187,80000,623478,10272,Pitman Boro,Gloucester,E. K–12/0–1800,1264.7,8.9,67374,48.6,65761,110.9,109600,14.8
15,4880,4640382,2878623,2452812,45982,379829,727503,424116,519372,238096,497063,0,0,17821,97421,South Harrison Twp,Gloucester,A. K–6,358.9,11.2,56994,93.9,63249,357,106759,35.8
15,4940,24805394,13731069,12249748,211016,1270305,3596355,3115774,2278201,1632887,3283264,1950108,0,955848,336579,Delsea Regional H.S Dist.,Gloucester,H. 7–12/9–12,1605.1,12.9,77483,81.3,85744,130.9,125617,11.7
15,5120,21643367,13397581,12405860,468781,522940,3060830,2401965,2919373,2293048,2180360,789452,0,76764,117280,Swedesboro-Woolwich,Gloucester,A. K–6,1646.5,11.6,64482,91.6,65882,163.1,114992,15.9
15,5500,120647568,70663814,63828169,900014,5935631,19883694,17553320,13853116,12031267,12370178,6669555,873835,2328735,0,Washington Twp,Gloucester,G. K–12/3501+,7104.4,11,75171,63.7,82785,152,122625,16.2
15,5590,2985738,1761049,1675725,53141,32183,620613,445792,356895,297989,225410,91542,0,12120,3995,Wenonah Boro,Gloucester,A. K–6,176.2,8.9,62378,58.5,28910,109.4,91050,14.3
15,5620,41290569,24427893,22559458,1417344,451091,6718157,5339394,4210347,3418699,4545371,2601016,0,1052421,169337,West Deptford Twp,Gloucester,F. K–12/1801–3500,2898,13,79076,81,82553,191.6,132550,17.1
15,5740,4649275,3143447,3025090,102718,15639,697028,490593,459385,279244,328796,162266,0,20620,0,Westville Boro,Gloucester,A. K–6,394.8,13,73265,69.1,58810,116.6,37250,10.7
15,5860,22485117,14047408,12587027,606339,854042,3666303,3229968,2271438,1975549,1833002,1075182,0,605048,142260,Woodbury City,Gloucester,E. K–12/0–1800,1513.7,11.4,64014,80.5,66014,121.8,110000,12.2
15,5870,3437391,2373185,2261244,73974,37967,412120,257823,409253,252920,230073,125403,0,12761,0,Woodbury Heights Boro,Gloucester,A. K–6,234.5,9.4,58974,76.3,83602,229,110000,27.4
17,220,123461198,78515852,72458058,1393025,4664769,14218944,12116376,12284476,8567377,15621139,9550233,0,1188184,409795,Bayonne City,Hudson,G. K–12/3501+,9561.7,13.8,58584,127.5,92537,225,138603,18
17,1200,2931376,1747442,1580826,126842,39774,307148,255221,491492,321022,376498,76835,0,1180,38834,East Newark Boro,Hudson,B. K–8/0–400,241,14.9,45176,107.7,36000,237,65000,18.1
17,1850,11944076,6873866,6620596,191062,62208,2179669,1843615,1538990,1051526,1226438,338115,0,80227,33209,Guttenberg Town,Hudson,D. K–8/751+,959.3,11.2,58084,89.6,57956,171.1,118584,17.1
17,2060,33487195,18660577,18318806,276964,64807,5151006,5025115,4020280,3646848,4443675,2142188,0,479230,273193,Harrison Town,Hudson,F. K–12/1801–3500,2016.1,12,74728,95.8,99115,114.4,141322,10.7
17,2210,46370595,24286750,23040026,1009856,236868,10212360,8782807,4134319,3188619,5954078,3782948,0,1748066,0,Hoboken City,Hudson,F. K–12/1801–3500,1948.9,8.8,73739,56.1,103216,103.4,132071,13.5
17,2295,49342260,24842551,24286591,445213,110747,6469210,6430281,6377090,5154224,7989251,4639929,521621,687717,0,Hudson County Vocational,Hudson,J. Voc,2628.9,17.4,71393,112.2,101499,199.4,173917,13.3
17,2390,489857968,296442824,288917438,3579664,3945722,73866912,66725481,45645467,38810394,68706074,49831771,0,3317569,497980,Jersey City,Hudson,G. K–12/3501+,25544,11.4,87130,69,107230,209.7,143600,21.5
17,2410,79536898,50669081,48308959,849943,1510179,7206826,6376401,10767090,9412419,9117163,6616594,377796,1250628,52620,Kearny Town,Hudson,G. K–12/3501+,5295,12,68220,95.5,73189,185.7,143947,17.4
17,3610,108480243,65005128,62800540,1565466,639122,14697102,12583567,14238663,12384133,12021784,8336416,0,2310150,116050,North Bergen Twp,Hudson,G. K–12/3501+,7490.2,12.7,77275,109.4,83655,187.4,130745,16.5
17,4730,33637758,19892245,18471206,334458,1086581,3806204,3056767,4290947,3382329,4275680,2339710,0,1066214,95978,Secaucus Town,Hudson,F. K–12/1801–3500,2269.6,12.5,65342,87.3,66365,151.4,122500,13.8
17,5240,210686006,106049824,103662731,2042346,344747,40043040,36861607,19499480,14526538,39412709,24382391,0,702958,8088,Union City,Hudson,G. K–12/3501+,12198.8,14,69730,114.3,73028,169.9,153094,13.7
17,5580,21958069,12913580,12018943,377097,517540,3503422,2261176,2307852,1873598,1984719,1119917,0,1072853,14843,Weehawken Twp,Hudson,E. K–12/0–1800,1403.6,11.6,61766,93.8,62330,100.5,114750,9.7
17,5670,116514236,70905945,69482740,1360827,62378,22482123,20893291,9252706,7022112,11170205,5908914,0,1042704,544497,West New York Town,Hudson,G. K–12/3501+,8357.1,13.8,67071,93.8,73887,189.8,145500,15.8
19,20,9330070,5767030,5452317,173964,140749,1582423,1313030,771853,589604,1104889,126698,0,103875,12013,Alexandria Twp,Hunterdon,C. K–8/401–750,479.7,9.7,71623,48.3,73523,108.6,115305,13.5
19,370,7946578,4301572,4085023,151320,65229,1697183,1435508,773080,633617,1091033,394741,0,76484,16795,Bethlehem Twp,Hunterdon,B. K–8/0–400,332.1,7.9,60150,42.7,71000,88.5,102543,13.3
19,430,1865718,1143488,1069738,27690,46060,298355,233178,211783,115019,198087,134216,6130,7875,0,Bloomsbury Boro,Hunterdon,B. K–8/0–400,90.2,8.8,59830,39.6,50555,95,125000,13.3
19,670,2421754,1558338,1467370,58190,32778,490203,294874,146945,102685,192651,84796,0,31764,0,Califon Boro,Hunterdon,B. K–8/0–400,76.4,4.9,54924,68.2,37784,44.1,60000,9.7
19,910,7900318,4922319,4598955,218804,104560,1460887,1170297,756918,656612,657162,348234,0,98830,20846,Clinton-Glen Gardner,Hunterdon,B. K–8/0–400,418.8,6.8,70340,37.9,71228,101,102165,17.6
19,920,24213277,13631523,12466731,435044,729748,4894281,4329774,2362128,1767056,3109459,1752619,0,175024,71838,Clinton Twp,Hunterdon,D. K–8/751+,1265.8,8.3,60580,42,73677,122.1,118739,17.6
19,1040,7831550,4936410,4556698,330040,49672,1139772,880831,793856,675965,833645,363280,0,124634,27444,Delaware Twp,Hunterdon,B. K–8/0–400,372.9,8.8,69408,113,65010,103.6,100163,12.7
19,1050,15323794,7135611,6602727,228665,304219,3664779,3461093,1409893,1214210,1746128,1000445,0,1367382,46772,Delaware Valley Regional,Hunterdon,H. 7–12/9–12,674.8,9.9,71080,52.8,83440,68.3,124451,8.2
19,1160,7153591,4287652,4024604,165131,97917,1211842,1053907,755140,615856,785525,454463,0,106589,51434,East Amwell Twp,Hunterdon,B. K–8/0–400,363.1,9.7,76575,46.6,82240,89.8,123571,11.1
19,1376,18114888,10602990,10158315,301279,143396,2866248,2638198,1909097,1658936,1813849,909831,0,763580,0,South Hunterdon Regional School District,Hunterdon,E. K–12/0–1800,904.7,8.3,65645,52.7,74315,99.5,103102,13.9
19,1510,53986308,35246498,31252074,1010719,2983705,6404601,5464354,6028214,4908409,6035182,1184164,0,254025,480411,Flemington-Raritan Reg,Hunterdon,D. K–8/751+,3081.9,9.3,68570,62.5,63510,139.2,123600,17.2
19,1600,5331210,2998522,2670767,217035,110720,881208,540171,602671,511508,801099,296646,0,47056,34352,Franklin Twp,Hunterdon,B. K–8/0–400,278.2,9.6,63286,73.9,60066,92.3,110316,10.9
19,1680,2696677,1539156,1456733,43413,39010,560022,463253,251506,152484,319258,165719,0,26550,0,Frenchtown Boro,Hunterdon,B. K–8/0–400,127.1,7,59800,50.8,60515,127,117000,20.7
19,1970,2372646,1200756,1146800,27646,26310,712310,420643,172942,101308,279696,184580,0,6941,2229,Hampton Boro,Hunterdon,B. K–8/0–400,105.5,6.5,51033,56.9,14525,53.5,50000,9.2
19,2140,7316578,4251449,3942527,60018,248904,1612942,1170914,600116,473466,791429,401023,0,58572,0,High Bridge Boro,Hunterdon,B. K–8/0–400,364.6,9.6,69875,48.9,59510,74.4,102104,9.3
19,2220,9935656,6204115,5967889,169629,66597,1679102,1467891,922795,765442,1021340,499202,0,96510,249630,Holland Twp,Hunterdon,C. K–8/401–750,534.3,9.3,58482,62.5,57009,132.8,96880,16.5
19,2300,49713534,28406426,26944945,1018373,443108,9121877,8686872,3878632,3350545,5692804,3020135,0,2230062,609813,Hunterdon Central Reg,Hunterdon,H. 7–12/9–12,2745.7,11.6,71078,71.7,75355,125.8,140640,12.6
19,2308,6620532,3154731,1600252,187993,1366486,823463,620344,1104206,680019,1584700,75520,0,32912,27797,Hunterdon Co Vocational,Hunterdon,J. Voc,403.7,31.6,60705,293.8,62150,195.8,75000,6.9
19,2450,5964515,3617907,3360320,171014,86573,980442,940339,607525,551008,672690,337522,0,71154,101495,Kingwood Twp,Hunterdon,B. K–8/0–400,330.6,9.8,63575,50.9,57795,101.9,105226,12.4
19,2590,2193482,1220423,1183471,27445,9507,487354,420183,256582,179065,215199,119502,11472,2452,0,Lebanon Boro,Hunterdon,A. K–6,106.3,7.8,57838,133.8,44727,107,143500,14.6
19,2600,11956215,7339864,6521409,357324,461131,2198748,1903199,1102130,946712,1171114,585185,0,131746,55601,Lebanon Twp,Hunterdon,C. K–8/401–750,626.5,9.8,62525,67,72500,140,132000,16.4
19,3180,2090740,1209939,1094627,31038,84274,442354,331838,149070,62311,255261,140779,0,29686,12881,Milford Boro,Hunterdon,B. K–8/0–400,85.3,7.5,53735,430,10665,46.5,49275,6.1
19,3660,45968321,23957606,21244930,1552771,1159905,6698010,5980195,4516132,3270993,7211998,2829802,25413,3542098,429516,N Hunt/Voorhees Regional,Hunterdon,H. 7–12/9–12,2634.7,12,72115,73.5,78055,124.4,129672,12.1
19,4350,27609362,16687798,16044122,563313,80363,4930635,4467947,2887848,2437760,2577263,742507,0,345188,118322,Readington Twp,Hunterdon,D. K–8/751+,1489.9,9.1,68095,54.9,75782,123.5,125469,15.8
19,5180,11632951,6732673,6487686,225512,19475,1999126,1495892,1159560,894150,1481593,735222,0,191049,141952,Tewksbury Twp,Hunterdon,C. K–8/401–750,532.4,8.8,81783,92.1,84001,106.8,133640,13.2
19,5270,8335817,4795164,4598625,172451,24088,1428198,1036635,977100,775505,1043749,496651,0,88972,41614,Union Twp,Hunterdon,C. K–8/401–750,437,10.3,61937,49,68429,100.2,127849,11.8
21,1245,75218759,46457088,42001796,2525186,1930106,11020884,9884076,7216471,6112331,8406808,5176592,0,1403662,1028177,East Windsor Regional,Mercer,G. K–12/3501+,5106.8,11.5,70720,84.6,75943,153.9,122213,15.2
21,1430,60104003,36128859,34381476,519191,1228192,8831223,7738377,6134456,4899301,7760803,4361671,0,1190240,139252,Ewing Twp,Mercer,F. K–12/1801–3500,3428.1,10,61800,61.6,73925,154.3,151085,18
21,1950,164915565,98961921,92696800,1863069,4402052,27840040,23671307,16826814,14241154,18363122,11943484,0,2753664,60511,Hamilton Twp,Mercer,G. K–12/3501+,11424.7,12,68606,69.3,78916,178.8,119306,17.5
21,2280,70221636,44430622,41160523,1745214,1524885,11081758,10212743,5248222,4523911,7122370,4071312,0,1751581,206961,Hopewell Valley Regional,Mercer,F. K–12/1801–3500,3480.6,9.8,79857,60.7,73866,146.4,135969,17.4
21,2580,62390312,36184594,34481751,1465910,236933,10891257,10036715,5530254,4726243,8259695,4509080,30000,1354518,383074,Lawrence Twp,Mercer,G. K–12/3501+,3761.6,11.3,65811,57.7,73104,144.3,118869,15.3
21,3103,36714725,21270826,20874477,250951,145398,9084527,8715519,3411430,2722602,2894013,1437480,0,2196,137850,Mercer County Special Services School Di,Mercer,I. CSSD,556,5.5,78165,7.1,90545,41.5,89921,13.3
21,3105,12151231,5623007,4942717,473446,206844,1819704,1603707,2268876,1723538,2377503,761433,0,0,554713,Mercer County Vocational,Mercer,J. Voc,530.7,18.3,61430,119.4,67372,104.4,80000,6.6
21,4255,75707567,45564251,43225653,1704665,633933,13305912,12068242,7085136,6001504,7442824,4263974,0,1932132,266129,Princeton Public Schools,Mercer,G. K–12/3501+,3777.4,11,82589,57.1,89846,134.9,137678,14.6
21,5210,182583643,102074249,95586191,3318862,3169196,32439981,21296600,19044182,15497678,25771531,6559210,0,1150550,1376446,Trenton Public School District,Mercer,G. K–12/3501+,11813.1,13.2,74740,85.8,88265,211.5,131500,18.5
21,5510,36820602,21627166,20472807,908572,245787,5738701,4822402,4250585,3493000,3691773,642915,0,1382934,852338,Robbinsville,Mercer,F. K–12/1801–3500,3154.1,13.2,64230,85.4,67980,184.6,133563,16.1
21,5715,136902422,83810429,81613786,1958022,238621,19905241,18061886,13569804,11474476,16133288,1765502,0,3175253,1342427,W Windsor-Plainsboro Reg,Mercer,G. K–12/3501+,9555.6,12.4,75600,82,86550,203,142089,18.9
23,750,50961311,34716862,30928697,1402396,2385769,5896921,4568786,4787528,4085743,4798337,2714273,0,517892,111814,Carteret Boro,Middlesex,G. K–12/3501+,3784.4,12.5,76962,110.7,91362,188.2,133901,16.7
23,970,10544353,6254975,5595917,319075,339983,1741505,1479409,1150291,900431,1180070,385577,7500,196584,14645,Cranbury Twp,Middlesex,C. K–8/401–750,474.8,8.7,67760,61,74160,79.3,108718,10.4
23,1140,15568578,8953797,8355958,382659,215180,2311237,2066203,2244539,1828719,1586317,781566,0,472688,0,Dunellen Boro,Middlesex,E. K–12/0–1800,1270.6,12.3,55000,75,62500,125.3,133450,11.9
23,1170,127291525,74580843,71792149,2047431,741263,21862864,19075860,13538991,11224601,15310470,6553055,0,1516828,335863,East Brunswick Twp,Middlesex,G. K–12/3501+,8262.5,11.8,67886,73.5,71659,178.1,142232,17.6
23,1290,201415866,133021768,128144270,4630587,246911,27444042,22921742,18015079,13697537,19985670,13034490,0,2591222,2006789,Edison Twp,Middlesex,G. K–12/3501+,16343.4,14,93758,119.1,88055,256.3,144880,20.5
23,2150,27307506,15956899,15247050,256054,453795,5055597,4301817,3123522,2582253,2440033,530556,0,727258,23460,Highland Park Boro,Middlesex,E. K–12/0–1800,1609.4,11.3,64895,72.8,74995,123.1,102500,12.6
23,2370,8846983,5481546,4443492,305929,732125,1372217,1165559,1234182,938668,713690,363469,0,45347,318511,Jamesburg Boro,Middlesex,C. K–8/401–750,691.1,11,56075,106.6,62550,106.6,111021,10.7
23,3120,32965156,20664304,19493174,1049390,121740,4620331,3919532,3303135,2785957,3259131,1824947,0,1026148,271352,Metuchen Boro,Middlesex,F. K–12/1801–3500,2260.5,12.4,60021,89,61672,141.8,114018,13.1
23,3140,33429305,19569876,18169120,793454,607302,5052906,4308379,4068597,3328225,3812040,1787562,0,874966,115525,Middlesex Boro,Middlesex,F. K–12/1801–3500,2074.2,11.5,62904,68,60864,148.4,131255,15.1
23,3150,40337369,18801779,16738908,1461153,601718,4981972,4765938,7036645,5977528,8492255,3671478,0,864151,0,Middlesex Co Vocational,Middlesex,J. Voc,2170,14.2,63570,70.8,74789,98,128574,8.3
23,3220,10848241,6309214,5120834,540192,648188,1862603,1461067,1349812,1195873,1077789,541394,5000,225454,0,Milltown Boro,Middlesex,D. K–8/751+,746.6,11.3,51820,82.6,54690,125.3,121000,12.7
23,3290,102111206,62863464,57926828,2688870,2247766,14487138,13116236,9877508,8880414,11857039,8037053,0,1983595,151546,Monroe Twp,Middlesex,G. K–12/3501+,6809.2,12.7,65367,70.5,84466,234.8,128039,21.8
23,3530,154999966,90376504,83545165,1908205,4923134,24790045,18508208,15255561,13548273,23338072,12433974,0,973752,59731,New Brunswick City,Middlesex,G. K–12/3501+,9565.5,11.9,69797,67,89495,156.7,127976,15.5
23,3620,89531647,54966044,52175036,846908,1944100,14993584,12699985,8578342,6551875,8979064,5506217,0,1652288,397078,North Brunswick Twp,Middlesex,G. K–12/3501+,5939.1,11.3,66193,91.9,80490,123.3,116757,12.2
23,3845,136124747,84882756,83178944,1539498,164314,18189443,15924167,11773346,9882665,18201236,4416848,0,2148108,909608,Old Bridge Twp,Middlesex,G. K–12/3501+,8440.3,11.8,75673,85.8,84494,222.1,157369,21.4
23,4090,188056958,116133300,110218226,4133395,1781679,27997743,22474612,17231706,13868908,20919198,12890177,0,1478165,3244624,Perth Amboy City,Middlesex,G. K–12/3501+,10412.3,12,64650,79.7,84075,155.3,118166,14.9
23,4130,95495605,56331241,51803117,1536295,2991829,15454540,13436899,9447317,7751094,11986000,6411482,0,1973354,978631,Piscataway Twp,Middlesex,G. K–12/3501+,7124.9,13.4,79881,91.3,79330,164.9,123125,14.1
23,4660,77577027,49418110,46994488,1299489,1124133,11181671,9625446,7846175,5917869,7272586,4552148,0,1364930,395422,Sayreville Boro,Middlesex,G. K–12/3501+,6218.6,12.3,68125,84.3,75925,199.7,125655,18.6
23,4830,14382421,8966312,8402440,353723,210149,1950717,1628443,1787401,1447753,1377112,767447,0,293691,14232,South Amboy City,Middlesex,E. K–12/0–1800,1075.6,11.1,67162,107.9,81212,133.1,137872,13.3
23,4860,118888440,71533405,69857224,1182690,493491,13981049,12274207,13330039,12202981,17410077,9283943,0,1739559,379381,South Brunswick Twp,Middlesex,G. K–12/3501+,8576.6,13.5,77601,92.5,80516,164.4,94148,14
