Co,Dist,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind15,Distname,Coname,Group,ENROLL,ind16a,ind16b,ind17a,ind17b,ind18a,ind18b,ind19
5,200,2173989,1314841,1229409,5438,79994,304702,232864,257535,158117,275027,128742,0,21884,0,Bass River Twp,Burlington,A. K–6,105.3,8.3,61302,58.9,52339,106,130000,14.6
5,380,5079921,2926836,2751567,76374,98895,1050941,843918,497794,394869,566930,210166,0,17745,83509,Beverly City,Burlington,B. K–8/0–400,307.4,10.7,55874,76,68304,71.5,96663,7.6
5,475,34592495,18046616,17112769,715302,218545,6935828,4631629,3572136,3017468,4699507,2780972,0,990544,267373,Bordentown Regional,Burlington,F. K–12/1801–3500,2387.5,12.9,65504,66.9,73372,164.9,123742,15.2
5,600,31037251,17671521,15821923,665508,1184090,5817403,5059910,3155059,2610493,3504169,1564949,0,810702,2450,Burlington City,Burlington,E. K–12/0–1800,1618.5,9.6,66766,48,61554,110.1,111427,13.8
5,605,40827760,23171117,22001935,256409,912773,7456493,7014163,4247222,2849458,4772890,2173739,728350,323798,393385,Burlington Co Spec Serv,Burlington,I. CSSD,608.1,4.3,66598,5.5,68260,33.1,96984,13.7
5,610,32113813,15704231,14067238,786765,850228,4175975,3641903,4641421,2679581,5982894,2117003,137470,1384748,1034299,Burlington Co Vocational,Burlington,J. Voc,2067.9,15,64404,104.9,72110,209.8,136629,16
5,620,55664615,35493799,32165802,643129,2684868,9137368,5617505,4254924,2963213,5810770,548748,0,967754,297000,Burlington Twp,Burlington,G. K–12/3501+,3696.9,11.3,69449,82.6,77415,160.8,128740,16.2
5,830,10013861,5674382,5122202,513019,39161,2078147,1346517,1114810,811181,1111481,660420,0,6407,25000,Chesterfield Twp,Burlington,A. K–6,785.9,13.4,59570,79.9,64630,155,106644,13.5
5,840,39093010,21898826,20931711,722218,244897,6397807,5810740,4433767,3881122,4183014,1882320,0,1766692,191584,Cinnaminson Twp,Burlington,F. K–12/1801–3500,2554.4,11.9,72359,90.1,78500,134.7,112330,12.8
5,1030,5768476,3165292,3025176,42123,97993,1052408,784159,751836,509609,730024,459073,0,51324,26361,Delanco Twp,Burlington,C. K–8/401–750,401.1,14,60435,63.6,86358,116.3,98679,10.1
5,1060,39577828,24056877,22958396,554516,543965,6793926,5494733,3392542,2796247,4260740,1082992,0,1056532,226549,Delran Twp,Burlington,F. K–12/1801–3500,2960.4,12.4,61020,84.6,71949,164.5,118936,15.2
5,1250,8286117,5106465,4513467,98992,494006,1126045,901764,1121441,969244,847842,476504,0,84325,63473,Eastampton Twp,Burlington,C. K–8/401–750,589.3,12.2,69268,86,55842,133,87000,12.5
5,1280,12937969,8004117,7377715,141858,484544,2180757,1808850,1542050,998619,1048735,631210,0,107309,9353,Edgewater Park Twp,Burlington,D. K–8/751+,917.6,11.9,56872,75.6,75108,151.2,109218,14.7
5,1420,69355484,42445966,41181915,612210,651841,12296142,10327697,5616559,4757815,7704492,4668144,0,602925,694986,Evesham Twp,Burlington,D. K–8/751+,4417.8,12.7,76251,64.3,85841,214.3,128094,20.2
5,1520,21794951,11797593,11274387,175945,347261,3734297,2447648,2856604,2198309,2847281,1069309,0,557541,0,Florence Twp,Burlington,E. K–12/0–1800,1560.6,12,69786,81.2,66676,192.8,101610,18.4
5,1910,8377426,5201351,4848373,220434,132544,1346887,1007996,950188,817246,796217,286639,0,75428,9505,Hainesport Twp,Burlington,C. K–8/401–750,578.6,9.9,56702,67.5,54241,143.5,90781,16.6
5,2610,124781637,71124918,67821372,1840492,1463054,20608434,18505827,9736802,7485066,16246271,8533122,0,6670384,506944,Lenape Regional,Burlington,H. 7–12/9–12,6750.8,11.5,85238,70,78499,166.3,148500,16.8
5,2850,19362610,11219275,10696319,319036,203920,3186951,2683129,2211926,1789811,2605596,1092144,0,138862,20740,Lumberton Twp,Burlington,D. K–8/751+,1222.1,12.8,76376,48.9,73026,152.1,114131,15
5,2960,10149161,5597772,5237406,243775,116591,2306828,1631927,1138714,985281,1092522,612442,0,8625,95229,Mansfield Twp,Burlington,A. K–6,537.8,9.5,61812,95.4,73808,134.3,112192,15.5
5,3010,33802135,20545169,19158535,664700,721934,5815758,3961707,3244572,2687955,3257831,1696497,0,778536,48786,Maple Shade Twp,Burlington,F. K–12/1801–3500,2250.9,12,68687,74.1,70936,168.5,130683,16.4
5,3070,7023869,4334011,3950659,137566,245786,1122824,905592,912988,666082,611152,311903,0,42894,3750,Medford Lakes Boro,Burlington,C. K–8/401–750,518.1,12,62181,82.9,58831,128.5,126309,12.3
5,3080,44734556,28047377,23386773,629534,4031070,6218145,5793327,5302663,4118938,4622648,2478607,0,54465,384577,Medford Twp,Burlington,D. K–8/751+,2661.5,11.9,75148,63.3,73607,177.3,132669,17.8
5,3360,65521546,40057449,37649525,717991,1689933,12083572,10874985,5209519,4419181,6104472,2704030,0,1827990,52137,Moorestown Twp,Burlington,G. K–12/3501+,3975.8,11.7,75343,80.8,89821,156.9,135351,15.4
5,3430,16395786,8900863,8135895,238222,526746,2559713,1910109,2070187,1661433,2730996,1289912,0,134026,184577,Mount Holly Twp,Burlington,D. K–8/751+,1064,11.1,57730,65.1,57518,130.3,118101,13.8
5,3440,61966722,41029682,39031707,740843,1257132,7927928,7152130,5682393,4479638,6307572,3897613,0,363152,63894,Mount Laurel Twp,Burlington,D. K–8/751+,4227.2,12,79495,79.3,83690,200.2,122796,19.2
5,3540,3862596,2256055,2155249,42659,58147,839891,701554,281091,106805,423045,116417,0,46908,19012,New Hanover Twp,Burlington,B. K–8/0–400,170.5,7.3,56063,86,67186,49.1,85000,7.3
5,3650,19911737,12219613,11596986,337107,285520,3639317,3325495,1868133,1605573,2061606,1053374,0,42779,244992,North Hanover Twp,Burlington,A. K–6,1104.4,9.8,68060,59.5,69533,139.1,125425,16.6
5,3690,30712659,16500032,15017241,765659,717132,5717476,4248706,3014297,2737524,3496892,1917932,0,1619098,209073,Northern Burlington Reg,Burlington,H. 7–12/9–12,2153.2,13.2,61218,98.1,79015,143.9,104713,12.4
5,3920,13945528,7721120,7023425,133840,563855,2189181,1760130,1574255,1375721,1809356,833170,0,629446,98959,Palmyra Boro,Burlington,E. K–12/0–1800,929.5,11.4,64700,92.3,63716,92.3,92542,9.1
5,4050,86167780,49201025,46701679,1159681,1339665,16667610,12443931,7884098,6526841,10205306,6328028,0,1110326,358318,Pemberton Twp,Burlington,G. K–12/3501+,4726.4,10.4,86119,58,83207,135,130388,15.3
5,4320,28377243,15173426,14322164,598765,252497,4138241,3328154,3378248,2707906,4155632,1988038,0,1531697,6610,Rancocas Valley Regional,Burlington,H. 7–12/9–12,2027.5,13.9,73750,95.2,80960,136.5,113626,11.2
5,4450,19826421,12001716,11550240,241469,210007,2462347,2181655,2379830,2062256,2328236,1332080,0,654292,39834,Riverside Twp,Burlington,E. K–12/0–1800,1403.7,12.1,71525,81.1,76585,137.8,120670,13.1
5,4460,4314414,2651085,2446524,180389,24172,597655,495069,528817,436050,462833,147012,0,74023,28151,Riverton,Burlington,B. K–8/0–400,294.4,10.9,64405,58,37455,131.8,76500,14.3
5,4740,12013691,7046029,6219501,173440,653088,1839152,1646791,1466546,1267585,1515963,896763,0,140151,22420,Shamong Twp,Burlington,C. K–8/401–750,739.9,11.4,72745,104.9,66275,146.8,138738,14.3
5,4930,11554885,6785721,5828592,300821,656308,1910870,1282080,1411355,1165625,1291198,649442,0,155741,5787,Southampton Twp,Burlington,C. K–8/401–750,701.5,10,56471,71.2,72025,113.3,112428,12.8
5,5010,4156746,2392690,2295085,64172,33433,813890,655210,461074,348273,476627,283627,0,7518,0,Springfield Twp,Burlington,A. K–6,227,9.9,59018,56.3,65276,112.5,102500,13.4
5,5130,12340415,7030674,6461556,190108,379010,2272803,1865477,1298323,1093129,1506807,842228,0,107644,52628,Tabernacle Twp,Burlington,C. K–8/401–750,704.6,11.3,63102,50.5,69765,110.2,106296,11.8
5,5720,11908231,7950988,7584251,340173,26564,1371199,1107456,1095439,972691,1423324,814443,0,67281,39744,Westampton,Burlington,D. K–8/751+,1016.8,12.4,63792,100.7,61661,201.4,121353,18.2
5,5805,54735767,29944397,26730087,1582851,1631459,9548579,8150221,5090222,4148963,9007571,3829916,0,1075771,740468,Willingboro Twp,Burlington,F. K–12/1801–3500,3323.4,13,68136,69.8,71793,124.1,107315,11.3
5,5890,2485455,1523823,1394468,52574,76781,329581,282428,313262,229223,213165,87260,43409,15928,0,Woodland Twp,Burlington,B. K–8/0–400,131.5,7.8,51644,81.9,82437,72.8,86509,10.2
7,150,22006065,12909087,12455343,328819,124925,3733161,3449652,2309736,1927246,2117862,1400592,25000,898909,4397,Audubon Public School Disrict,Camden,E. K–12/0–1800,1498.2,10.9,62200,62.2,73300,118.6,121172,12.8
7,190,9097945,5783719,5582314,112534,88871,1462204,1190251,886522,721139,908182,547689,0,57319,0,Barrington Boro,Camden,C. K–8/401–750,592.5,9.6,60809,65.6,64209,120.4,107517,14.3
7,260,15244072,9437421,8077968,572622,786831,2667023,1723846,1730279,1416490,1289134,673194,0,120216,7730,Bellmawr Boro,Camden,D. K–8/751+,1212.3,12.8,67561,134.9,61150,121.4,125552,10.4
7,330,10487767,6642437,6254628,262238,125571,1687400,1352930,1235704,1024365,815749,390709,0,106477,15000,Berlin Boro,Camden,D. K–8/751+,824.5,13.1,60706,94,58040,167.1,105000,14.5
7,340,11450159,7220451,6847509,113279,259663,1931756,1502110,1198846,965101,958842,483599,0,52873,357737,Berlin Twp,Camden,C. K–8/401–750,631.9,10.5,71103,61,64864,111.8,93332,12.5
7,390,55553308,29927892,27825045,1059333,1043514,9200643,7881073,5516190,4754810,8007686,4138756,0,2812623,148333,Black Horse Pike Regional,Camden,H. 7–12/9–12,3508,12.4,68038,78.6,78455,103.3,107774,9.6
7,580,4502093,2909117,2808704,67959,32454,727558,471870,443382,302832,329872,143619,28000,64164,0,Brooklawn Boro,Camden,B. K–8/0–400,319.5,11.4,64550,137.4,59450,150.5,69010,14.2
7,680,167094137,88999982,83781665,1062388,4155929,31156037,26192656,19552062,15364279,26026837,13930790,0,1249656,311831,Camden City,Camden,G. K–12/3501+,7394.2,14.7,71003,94.3,76703,93.6,103025,7.4
7,700,39830103,19943702,18186582,1087148,669972,4009348,3782362,6582102,5065877,7691700,2978559,82337,1414627,128231,Camden County Vocational,Camden,J. Voc,2076.9,10.8,61072,80.8,75748,85.8,94500,9
7,800,163710858,102702479,94784208,2133041,5785230,24698843,20110852,19122816,16212470,14070324,8007809,0,3053951,1802567,Cherry Hill Twp,Camden,G. K–12/3501+,10816,12.5,77992,75.1,83601,229.6,137144,21.4
7,880,6780540,4302279,3918592,101522,282165,1132839,673228,811669,603400,461912,240303,0,58692,70268,Clementon Boro,Camden,C. K–8/401–750,484.9,9.9,57061,61.7,57061,120.3,103713,14.1
7,940,31968984,19045063,17121214,713249,1210600,5176016,4626989,3031419,2529279,3766927,2505957,0,947129,328012,Collingswood Boro,Camden,F. K–12/1801–3500,2114.2,11.4,68750,79,59500,112.1,123575,11.3
7,1255,30852392,16324404,15411127,769825,143452,5481274,4098803,3321343,2803183,4074670,1636624,0,1593087,208796,Eastern Camden County Reg,Camden,H. 7–12/9–12,1948.6,14,84882,95.1,82261,150.7,128506,12.4
7,1720,4191293,2597397,2473588,68965,54844,686743,608163,433460,343473,341596,140271,0,132097,3985,Gibbsboro Boro,Camden,B. K–8/0–400,275,10.4,64892,63.2,61146,196.4,142500,22
