CO,DIST,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind15,distname,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,ENROLL,COUNTY,enrol1
80,6060,5743464,2516840,1879468,162835,474537,368246,194618,2175411,368782,682968,37689,0,0,0,Atlantic Community Charter School,Atlantic,K. Charter,C,,,1,374.6,Atlantic,
80,6104,4720658,2151260,1482077,150212,518971,330455,298947,1279561,563737,959382,113715,0,0,39889,International Academy Of Atlantic City C,Atlantic,K. Charter,C,,,1,348,Atlantic,
80,7410,5691960,3314982,3258090,46017,10875,474645,428052,861105,626218,933747,50505,0,107481,62978,Charter~tech High School,Atlantic,K. Charter,C,,,1,352.7,Atlantic,
80,6013,13506715,6178053,5597504,426109,154440,833186,732332,3201192,1426230,2857326,823094,0,436958,155520,Bergen Arts And Sciences Charter School,Bergen,K. Charter,C,,,1,1132.3,Bergen,
80,6430,4140274,2550671,2434827,66501,49343,0,0,1150646,943512,438957,0,0,0,5616,Englewood On The Palisades Charter Schoo,Bergen,K. Charter,C,,,1,276,Bergen,
80,7890,4989176,2777329,2681238,56850,39241,76283,74221,693260,588301,1442304,359630,0,0,44619,Teaneck Community Cs,Bergen,K. Charter,C,,,1,322,Bergen,
80,6026,1343128,800709,773720,25469,1520,0,0,388101,358748,154318,0,0,0,0,Riverbank Charter School Of Excelle,Burlington,K. Charter,C,,,1,144,Burlington,
80,6076,2690237,1258615,1186775,63860,7980,0,0,1028258,723526,403364,0,0,0,0,Benjamin Banneker Prep Cs,Burlington,K. Charter,C,,,1,198.4,Burlington,
80,1799,22231465,9069243,7878594,246607,944042,0,0,5635916,1614974,7526305,1871163,0,0,341722,Kipp Cooper Norcross,Camden,K. Charter,C,,,1,1115.3,Camden,
80,1801,9543064,3668288,3217213,369614,81461,0,0,5007050,2259215,867726,0,0,0,5886,Camden Prep,Camden,K. Charter,C,,,1,517.6,Camden,
80,1802,37076624,18677835,14304294,937292,3436249,2139766,1634009,10089951,4131586,5995273,19915,0,173799,0,Mastery Schools Of Camden,Camden,K. Charter,C,,,1,2081.1,Camden,
80,6086,2801864,1371178,1250362,76759,44057,81490,81490,761069,612841,578275,61837,9852,0,0,Hope Community Cs,Camden,K. Charter,C,,,1,198,Camden,
80,6107,28449820,18163487,16556832,641004,965651,0,0,2935606,1950520,7262813,1244043,87914,0,0,Camden’s Promise Charter School,Camden,K. Charter,C,,,1,2065.8,Camden,
80,6232,3244095,1631481,1355621,110442,165418,196257,89588,884025,661686,518499,0,13833,0,35419,Environment Community Cs,Camden,K. Charter,C,,,1,155.2,Camden,
80,6240,12104606,6653542,5642926,405315,605301,0,0,3404736,1551459,2046328,336282,0,0,0,Freedom Prep Charter School,Camden,K. Charter,C,,,1,872.7,Camden,
80,7109,19146887,10012502,8841945,491837,678720,1703222,1116691,3761166,2572851,2991068,1013944,0,123956,38739,Leap Academy University Cs,Camden,K. Charter,C,,,1,1538.1,Camden,
80,6028,3924932,1731998,1625337,50034,56627,266134,202911,1105379,608089,774196,35796,47225,0,0,Vineland Public Charter School,Cumberland,K. Charter,C,,,1,397.2,Cumberland,
80,6069,2752436,1339875,1249963,57432,32480,44859,39859,545335,259336,822367,44073,0,0,0,Millville Public Charter School,Cumberland,K. Charter,C,,,1,274,Cumberland,
80,6089,1833916,1080858,957435,71108,52315,0,0,324186,153882,428872,195510,0,0,0,Compass Academy Cs,Cumberland,K. Charter,C,,,1,206.3,Cumberland,
80,6100,1281840,299139,282166,13268,3705,27109,26109,448249,264427,495608,0,11735,0,0,Bridgeton Public Charter School,Cumberland,K. Charter,C,,,1,106.3,Cumberland,
80,6020,4039739,1500498,1455285,26787,18426,0,0,1200792,992453,1338449,458328,0,0,29676,Pride Academy Charter School,Essex,K. Charter,C,,,1,286.9,Essex,
80,6022,4550865,2109738,1977077,93536,39125,0,0,1707422,1031702,733705,0,0,0,0,Burch Charter School Of Excellence,Essex,K. Charter,C,,,1,351.8,Essex,
80,6029,4555091,2093149,1838697,110723,143729,611723,399434,722188,527276,1128031,75098,0,0,7880,Newark Educators Community Charter Schoo,Essex,K. Charter,C,,,1,250.9,Essex,
80,6053,21994448,10144274,7352072,1058500,1733702,236500,180503,8510624,6152357,3103050,0,0,0,0,Great Oaks Legacy Charter School,Essex,K. Charter,C,,,1,1349.5,Essex,
80,6057,7245166,3868564,3428015,96226,344323,0,0,1557130,1189678,1809512,813816,9960,0,0,Peoples Preparatory Charter School,Essex,K. Charter,C,,,1,373.8,Essex,
80,6058,4835631,2770726,2379578,137214,253934,0,0,885144,504206,1179761,250479,0,0,0,Roseville Community Cs,Essex,K. Charter,C,,,1,326.2,Essex,
80,6094,5856373,3218777,3037868,59301,121608,279571,168249,941060,424950,1416965,592801,0,0,0,Phillip's Academy  Cs,Essex,K. Charter,C,,,1,377.3,Essex,
80,6099,4764435,2780501,2515094,76492,188915,12138,0,1633563,1232346,338233,0,0,0,39301,Link Community Charter School,Essex,K. Charter,C,,,1,287.3,Essex,
80,6109,1380169,528984,429630,44811,54543,0,0,307789,8136,526545,298338,16851,0,19974,Lead Charter School,Essex,K. Charter,C,,,1,92,Essex,
80,6110,762278,564409,414968,68838,80603,872,0,161171,97761,32256,0,0,0,6280,Achieve Community Charter School,Essex,K. Charter,C,,,1,62.8,Essex,
80,6320,1708081,1042649,862119,62197,118333,0,0,431927,215036,213505,0,20000,0,0,Discovery Cs,Essex,K. Charter,C,,,1,100,Essex,
80,6410,6118449,2795743,2709403,65239,21101,0,0,2567872,1785721,709643,0,45191,0,0,East Orange Community Cs,Essex,K. Charter,C,,,1,482.3,Essex,
80,6665,4917657,2336541,1981278,167243,188020,0,0,1705869,1315342,875247,0,0,0,0,Gray Cs,Essex,K. Charter,C,,,1,337.4,Essex,
80,7210,25291906,12137416,10758324,477663,901429,1007758,1001274,7141838,6267226,4797659,1796664,165000,42235,0,Marion P. Thomas Cs,Essex,K. Charter,C,,,1,1358.4,Essex,
80,7290,6824930,3636008,3366592,105987,163429,0,0,1844934,1397423,1343988,411272,0,0,263912,New Horizons Comm. Cs,Essex,K. Charter,C,,,1,590.7,Essex,
80,7320,72885822,30884182,26016014,2894992,1973176,0,0,31220697,16781932,10705859,0,75084,0,248610,North Star Academy Charter School,Essex,K. Charter,C,,,1,4958.9,Essex,
80,7325,65792519,28672585,24365489,2968983,1338113,0,0,19343737,6697982,17776197,5069827,0,0,1450679,Team Academy Charter School,Essex,K. Charter,C,,,1,4043.3,Essex,
80,7730,9916744,5042352,4270604,583060,188688,1808191,1093975,1546694,1085826,1519507,0,0,0,333794,Robert Treat Academy Cs,Essex,K. Charter,C,,,1,677.5,Essex,
80,7735,9041027,4356199,4090123,168742,97334,716986,690682,2791128,2241834,1176714,243917,0,0,2819,Maria L. Varisco-Rogers Cs,Essex,K. Charter,C,,,1,539.6,Essex,
80,8065,14324921,7650431,6457680,315894,876857,650637,299147,4025401,2627812,1907419,0,91033,0,0,University Heights Cs,Essex,K. Charter,C,,,1,749.3,Essex,
80,6030,3731882,2313457,2017465,47855,248137,0,0,666074,575860,752352,377072,0,0,27630,The Ethical Community Charter School,Hudson,K. Charter,C,,,1,374.7,Hudson,
80,6036,4419132,2699704,2449619,16115,233970,0,0,1002288,916180,717140,267359,0,0,0,Hola Hoboken Dual Lang Cs,Hudson,K. Charter,C,,,1,383.2,Hudson,
80,6064,4782951,2351968,2255915,51232,44821,0,0,1807572,1335516,623411,0,0,0,21289,Dr Lena Edwards Academic Charter School,Hudson,K. Charter,C,,,1,381.5,Hudson,
80,6068,8172040,4112024,3587666,129876,394482,472064,389184,1746468,1341744,1819854,274072,0,21630,0,M E T S Charter School,Hudson,K. Charter,C,,,1,678.9,Hudson,
80,6082,9799645,4669252,4304744,0,364508,0,0,1622550,891107,3507843,1153421,0,0,212459,Beloved Community Charter School,Hudson,K. Charter,C,,,1,957.7,Hudson,
80,6093,3611655,1893282,1797554,59692,36036,89274,22236,916700,326490,712400,23023,0,0,2380,Jersey City Global Cs,Hudson,K. Charter,C,,,1,377,Hudson,
80,6103,4840364,2348541,1991349,0,357192,0,0,948163,666639,1543660,397034,0,0,49500,Empowerment Academy Charter School,Hudson,K. Charter,C,,,1,451.9,Hudson,
80,6105,4525386,2386231,1927950,414169,44112,146391,96233,1119565,423805,864569,232345,0,8629,161871,Hudson Arts And Science  Charter School,Hudson,K. Charter,C,,,1,472,Hudson,
80,6420,4394142,2327945,2145466,40520,141959,0,0,1250602,1133082,815595,298567,0,0,0,Elysian Cs Of Hoboken,Hudson,K. Charter,C,,,1,287.9,Hudson,
80,6720,4720499,2397763,2272906,82044,42813,820425,354568,937319,709036,564992,0,0,0,0,Hoboken Cs,Hudson,K. Charter,C,,,1,293.2,Hudson,
80,6910,5780646,3298471,3174548,67726,56197,364163,285736,1306330,816727,811682,454998,0,0,24861,Jersey City Comm. Cs,Hudson,K. Charter,C,,,1,574.9,Hudson,
80,6915,6132101,3536978,3299509,138472,98997,183411,134451,772147,556180,1639565,291216,0,0,168996,Jersey City Golden Door Charter School,Hudson,K. Charter,C,,,1,519.8,Hudson,
80,7115,5897121,3697264,3382625,50749,263890,95558,71192,1229475,979902,874824,257842,0,0,132040,Learning Community Cs,Hudson,K. Charter,C,,,1,538.2,Hudson,
