CO,DIST,ind1,ind2,ind3,ind4,ind5,ind6,ind7,ind8,ind9,ind10,ind11,ind12,ind13,ind15,distname,CONAME,GROUP,OPTYPE,DFG,ABBOTT,FLAG,ENROLL,COUNTY,enrol1
3,745,9987501,4976885,4665063,291720,20102,1943835,908870,1331611,974789,1255033,626812,0,448453,0,Carlstadt-East Rutherford,Bergen,H. 7-12 / 9-12,5,CD,,1,467,Bergen,
3,890,41595092,26743714,24687019,1186517,870178,6127222,4229698,4169163,3037727,2916083,1669274,251935,895844,248640,Cliffside Park Boro,Bergen,F. K-12 / 1801 - 3500,3,B,,1,3109.7,Bergen,
3,930,17759169,11715032,11103177,398512,213343,2285714,1848452,2011490,1774040,1650342,1031869,0,92249,78572,Closter Boro,Bergen,D. K-8 / 751 +,2,I,,1,1165.7,Bergen,
3,990,26740031,17318305,15847571,608619,862115,2947341,2435752,3277783,2876291,2523353,1314182,0,673248,42341,Cresskill Boro,Bergen,F. K-12 / 1801 - 3500,3,I,,1,1850.6,Bergen,
3,1070,12687058,7581809,6941229,326635,313945,2271226,1794172,1342431,1159492,1304323,719980,0,129842,181502,Demarest Boro,Bergen,C. K-8 / 401 - 750,2,I,,1,684.3,Bergen,
3,1130,38571817,24259022,22781043,1379515,98464,3922292,3547834,4740915,4121824,4621919,2906188,0,951005,26896,Dumont Boro,Bergen,F. K-12 / 1801 - 3500,3,FG,,1,2536.1,Bergen,
3,1230,13643147,8943737,8369544,178729,395464,1924270,1527710,1524390,1222830,1160691,595692,0,47689,8773,East Rutherford Boro,Bergen,D. K-8 / 751 +,2,CD,,1,818.9,Bergen,
3,1270,10905308,6640476,6200951,311139,128386,1749532,1066356,1312197,1098662,1163581,615890,0,18136,151727,Edgewater Boro,Bergen,A. K-6,1,DE,,1,956.7,Bergen,
3,1345,28402086,15400086,14573226,463320,363540,4754446,3687048,4449710,3596137,3142540,1832801,25000,607103,145165,Elmwood Park,Bergen,F. K-12 / 1801 - 3500,3,CD,,1,2601.2,Bergen,
3,1360,17503646,10282821,9720788,263546,298487,1929980,1537618,2504951,2363392,1929746,1142745,0,795338,31447,Emerson Boro,Bergen,E. K-12 / 0 - 1800,3,GH,,1,1112.7,Bergen,
3,1370,53745406,31942675,26931029,1265099,3746547,9225985,6087199,6444790,5022513,5156473,1090197,0,922739,66759,Englewood City,Bergen,F. K-12 / 1801 - 3500,3,DE,,1,3008.9,Bergen,
3,1380,10475748,6043059,5354561,522288,166210,2162138,1864206,1160319,880960,1068437,627484,0,19142,102943,Englewood Cliffs Boro,Bergen,C. K-8 / 401 - 750,2,I,,1,484.2,Bergen,
3,1450,79385420,46384838,44293980,957262,1133596,13342965,11654949,9643399,8103439,7868576,3360040,0,1548046,316816,Fair Lawn Public Schools,Bergen,G. K-12 / 3501 +,3,GH,,1,4941.5,Bergen,
3,1470,14565299,9176943,8846862,220300,109781,1736055,1456847,1918275,1666374,1628257,848209,0,55739,0,Fairview Boro,Bergen,D. K-8 / 751 +,2,A,,1,1428.5,Bergen,
3,1550,56458907,33419578,31889820,976648,553110,10125354,8118920,6005924,5107307,5686619,2221006,0,1118584,0,Fort Lee Boro,Bergen,G. K-12 / 3501 +,3,FG,,1,3920.2,Bergen,
3,1580,27408620,17695723,16954044,645675,96004,4348649,4130480,2546952,2365404,2671053,365199,0,136976,297468,Franklin Lakes Boro,Bergen,D. K-8 / 751 +,2,I,,1,1129,Bergen,
3,1700,81320431,50444040,49905718,503560,34762,12744547,10452253,8759324,7569482,8330096,5217208,0,814935,68307,Garfield City,Bergen,G. K-12 / 3501 +,3,B,1,1,4903.8,Bergen,
3,1760,41191845,22433445,20674758,955074,803613,7770902,4408710,5373721,4688398,4514765,1091547,0,1083776,154113,Glen Rock Boro,Bergen,F. K-12 / 1801 - 3500,3,J,,1,2515.5,Bergen,
3,1860,89365169,55977895,51910539,1843510,2223846,13995727,12074570,8602797,7628343,8903881,4622850,0,1873416,596350,Hackensack City,Bergen,G. K-12 / 3501 +,3,CD,,1,5655.7,Bergen,
3,2050,10630532,6790211,6427827,118573,243811,1589376,1314903,1123597,942489,1018524,427862,0,108824,2499,Harrington Park Boro,Bergen,C. K-8 / 401 - 750,2,I,,1,606.7,Bergen,
3,2080,26077994,15802071,14920384,371799,509888,3939818,2967964,2752786,2304584,2739651,1499399,0,832733,47411,Hasbrouck Heights Boro,Bergen,E. K-12 / 0 - 1800,3,FG,,1,1799.6,Bergen,
3,2090,8275315,4921099,4594920,127546,198633,1475464,1182724,902607,677598,926383,411935,0,49762,20000,Haworth Boro,Bergen,B. K-8 / 0 - 400,2,I,,1,415.9,Bergen,
3,2180,20166601,11839996,11576766,218496,44734,4282778,2884732,1956839,1562170,1990764,593366,0,90515,29862,Hillsdale Boro,Bergen,D. K-8 / 751 +,2,GH,,1,1149.2,Bergen,
3,2200,8946028,5397520,5282524,67875,47121,1587655,1386133,1183130,800301,776456,404076,0,0,0,Ho Ho Kus Boro,Bergen,C. K-8 / 401 - 750,2,J,,1,602,Bergen,
3,2620,28829487,16738868,16127303,594558,17007,4093828,3811096,3947836,3240233,3135335,1972983,0,793726,123971,Leonia Boro,Bergen,F. K-12 / 1801 - 3500,3,GH,,1,1884.3,Bergen,
3,2710,13171111,8071003,7553581,295439,221983,2133924,1781938,1414079,1127566,1496889,830478,0,42861,51491,Little Ferry Boro,Bergen,D. K-8 / 751 +,2,CD,,1,904.4,Bergen,
3,2740,38591682,21687613,20627363,687009,373241,6777929,4809055,5115237,4438901,4247433,2164663,0,762182,39441,Lodi Borough,Bergen,F. K-12 / 1801 - 3500,3,B,,1,3093.5,Bergen,
3,2860,37081617,21014055,20090233,362357,561465,5688027,4813365,4537180,3642590,4043832,1970839,542315,968991,0,Lyndhurst Twp,Bergen,F. K-12 / 1801 - 3500,3,DE,,1,2503.1,Bergen,
3,2900,52722270,29755731,27965190,1060852,729689,9947154,7480962,5992800,4943712,5520939,787091,0,1392001,99481,Mahwah Twp,Bergen,F. K-12 / 1801 - 3500,3,I,,1,2866.4,Bergen,
3,3060,12929473,8308334,7727200,540626,40508,1752997,1300372,1272238,1009344,1506174,706803,0,82677,0,Maywood Boro,Bergen,D. K-8 / 751 +,2,FG,,1,977.3,Bergen,
3,3170,19184668,10862980,10519386,229443,114151,3200810,2609006,2437055,2176266,1937453,1044866,0,684484,32963,Midland Park Boro,Bergen,E. K-12 / 0 - 1800,3,GH,,1,935.7,Bergen,
3,3330,14626137,8949887,8573343,289765,86779,2367932,1839179,1839238,1640695,1356594,296145,0,110234,49718,Montvale Boro,Bergen,D. K-8 / 751 +,2,I,,1,999.7,Bergen,
3,3350,5488066,3153647,2986607,110418,56622,1243591,423461,478251,367054,486573,269569,88293,29212,13794,Moonachie Boro,Bergen,B. K-8 / 0 - 400,2,B,,1,313.4,Bergen,
3,3550,32102809,17233968,16316586,705411,211971,5064242,4301142,4653031,4052209,3987665,2251505,0,1034460,152569,New Milford Boro,Bergen,F. K-12 / 1801 - 3500,3,FG,,1,1990,Bergen,
3,3600,21563897,12464632,11768450,382030,314152,2692695,2171933,2988686,2609343,2825325,1315277,0,565103,35104,North Arlington Boro,Bergen,F. K-12 / 1801 - 3500,3,DE,,1,1770,Bergen,
3,3700,24815692,14656505,12771309,1001548,883648,3543976,2988995,2194273,1682169,2828715,1259777,4285,1535932,114834,Northern Highlands Reg,Bergen,H. 7-12 / 9-12,5,J,,1,1356.9,Bergen,
3,3710,48444936,28596372,26618196,534974,1443202,6942183,5908733,5381587,4407582,4827148,2856511,0,2663252,238769,Northern Valley Regional,Bergen,H. 7-12 / 9-12,5,I,,1,2254.8,Bergen,
3,3730,8406873,4907967,4752346,130249,25372,1592173,1096769,1018359,877009,781651,265461,0,102478,58730,Northvale Boro,Bergen,C. K-8 / 401 - 750,2,FG,,1,516.3,Bergen,
3,3740,8636589,5083544,4736917,321828,24799,1534337,1260510,1045460,902614,937766,595316,1658,33825,0,Norwood Boro,Bergen,C. K-8 / 401 - 750,2,I,,1,592.8,Bergen,
3,3760,26273849,16102036,15456341,609436,36259,4211477,3426581,3247081,2769359,2521711,1678594,0,131097,118026,Oakland Boro,Bergen,D. K-8 / 751 +,2,I,,1,1376.5,Bergen,
3,3850,10660566,6577452,6218954,241095,117403,1807431,1538249,1248016,1087953,951001,346857,0,76666,11071,Old Tappan Boro,Bergen,C. K-8 / 401 - 750,2,I,,1,659.9,Bergen,
