GROUP,CONAME,DIST,DISTNAME,DE120,DE220,DE320,DE420
A. K-6,Bergen,1270,Edgewater Boro,1584469,-262654,1321815,1822
A. K-6,Bergen,3870,Oradell Boro,2926132,550729,3476861,-401911
A. K-6,Bergen,4410,River Edge Boro,2545490,-165494,2379996,646150
A. K-6,Bergen,4620,Saddle River Boro,1559873,203402,1763275,81493
A. K-6,Burlington,200,Bass River Twp,186027,-61700,124327,133310
A. K-6,Burlington,830,Chesterfield Twp,432292,646849,1079141,1511643
A. K-6,Burlington,2960,Mansfield Twp,2156959,81006,2237965,322978
A. K-6,Burlington,3650,North Hanover Twp,5995088,1996001,7991089,843935
A. K-6,Burlington,5010,Springfield Twp,897725,289081,1186806,96392
A. K-6,Camden,2540,Laurel Springs Boro,567461,255035,822496,174228
A. K-6,Camden,3770,Oaklyn Boro,1821021,165400,1986421,44940
A. K-6,Camden,5560,Waterford Twp,2210180,937568,3147748,811526
A. K-6,Cape May,710,Cape May City,1329968,211227,1541195,-48485
A. K-6,Cape May,2840,Lower Twp,3377828,1633104,5010932,1061216
A. K-6,Cape May,5610,West Cape May Boro,879839,94393,974232,43812
A. K-6,Essex,1400,Essex Fells Boro,1088507,-136588,951919,49237
A. K-6,Essex,1465,Fairfield Twp,688237,551184,1239421,677823
A. K-6,Essex,3630,North Caldwell Boro,5172429,1098454,6270883,1423992
A. K-6,Essex,4530,Roseland Boro,1655032,607473,2262505,692962
A. K-6,Gloucester,1180,East Greenwich Twp,3433546,330457,3764003,168393
A. K-6,Gloucester,1330,Elk Twp,1471482,97818,1569300,573803
A. K-6,Gloucester,1590,Franklin Twp,4463822,-906911,3556911,2197462
A. K-6,Gloucester,2070,Harrison Twp,2213299,562488,2775787,92160
A. K-6,Gloucester,2990,Mantua Twp,2072189,282942,2355131,292896
A. K-6,Gloucester,3490,National Park Boro,1368853,-101367,1267486,-90316
A. K-6,Gloucester,4880,South Harrison Twp,866877,-203763,663114,66760
A. K-6,Gloucester,5120,Swedesboro-Woolwich,3617261,237996,3855257,609792
A. K-6,Gloucester,5590,Wenonah Boro,333264,91116,424380,90098
A. K-6,Gloucester,5740,Westville Boro,880657,562513,1443170,500887
A. K-6,Gloucester,5870,Woodbury Heights Boro,1169874,255883,1425757,65754
A. K-6,Hunterdon,2590,Lebanon Boro,901052,-44138,856914,-9022
A. K-6,Monmouth,130,Atlantic Highlands Boro,818223,-26414,793042,220262
A. K-6,Monmouth,2160,Highlands Boro,1408135,110505,1518640,-34577
A. K-6,Monmouth,4520,Roosevelt Boro,953146,121689,1074835,18398
A. K-6,Morris,3240,Mine Hill Twp,2023266,1149000,3172266,616441
A. K-6,Ocean,230,Beach Haven Boro,917834,253048,1170882,304200
A. K-6,Ocean,320,Berkeley Twp,7914991,167229,8082220,205979
A. K-6,Ocean,1150,Eagleswood Twp,642633,100025,742658,-39962
A. K-6,Ocean,2350,Island Heights Boro,515509,-13148,502361,-85654
A. K-6,Ocean,2690,Little Egg Harbor Twp,2410717,667775,3078492,1123094
A. K-6,Ocean,2760,Long Beach Island,2153936,711544,2865480,645344
A. K-6,Ocean,3800,Ocean Gate Boro,1181527,24825,1206352,-198632
A. K-6,Ocean,3820,Ocean Twp,6495076,-240449,6254627,-657756
A. K-6,Ocean,4710,Seaside Heights Boro,1378845,-636291,742554,-54274
A. K-6,Ocean,5020,Stafford Twp,5904166,586902,6491068,1300057
A. K-6,Ocean,5220,Tuckerton Boro,1923301,-278245,1691799,231782
A. K-6,Sussex,1630,Fredon Twp,2490599,-20547,2470052,-716401
A. K-6,Sussex,1980,Hampton Twp,2000696,268381,2269077,238339
A. K-6,Sussex,4650,Sandyston-Walpack Twp,1473132,-280299,1192833,-537244
A. K-6,Sussex,5040,Stillwater Twp,2132838,-24202,2108636,-124705
A. K-6,Warren,400,Blairstown Twp,1021810,657421,1679231,-823064
A. K-6,Warren,1620,Franklin Twp,1591652,108274,1699926,183408
A. K-6,Warren,1670,Frelinghuysen Twp,416535,158243,574778,188776
A. K-6,Warren,2470,Knowlton Twp,1552693,365697,1918390,255160
A. K-6,Warren,2970,Mansfield Twp,1894572,-96176,1798396,421139
A. K-6,Warren,5480,Washington Boro,1608884,-61028,1547856,253760
A. K-6,Warren,5530,Washington Twp,1093902,323579,1417481,199673
