GROUP,CONAME,DIST,DISTNAME,PP114,PP214,PP314
A. K-6,Statewide,N.A.,1. State average - Operating Type K-6,0.336,0.336,0.370
A. K-6,Statewide,N.A.,2. State median - Operating Type K-6,0.324,0.333,0.367
A. K-6,Statewide,N.A.,5. State average - All operating types,0.306,0.309,0.334
A. K-6,Statewide,N.A.,6. State median - All operating types,0.295,0.300,0.328
A. K-6,Bergen,1270,Edgewater Boro,0.324,0.333,0.428
A. K-6,Bergen,3870,Oradell Boro,0.299,0.304,0.300
A. K-6,Bergen,4410,River Edge Boro,0.313,0.329,0.353
A. K-6,Bergen,4620,Saddle River Boro,0.370,0.383,0.422
A. K-6,Burlington,200,Bass River Twp,0.370,0.331,0.399
A. K-6,Burlington,830,Chesterfield Twp,0.299,0.268,0.332
A. K-6,Burlington,2960,Mansfield Twp,0.306,0.313,0.328
A. K-6,Burlington,3650,North Hanover Twp,0.362,0.371,0.386
A. K-6,Burlington,5010,Springfield Twp,0.322,0.359,0.396
A. K-6,Camden,2540,Laurel Springs Boro,0.282,0.338,0.390
A. K-6,Camden,3770,Oaklyn Boro,0.347,0.360,0.371
A. K-6,Camden,5560,Waterford Twp,0.334,0.289,0.346
A. K-6,Cape May,710,Cape May City,0.346,0.363,0.395
A. K-6,Cape May,2840,Lower Twp,0.334,0.356,0.372
A. K-6,Cape May,5610,West Cape May Boro,0.154,0.153,0.148
A. K-6,Essex,1400,Essex Fells Boro,0.248,0.229,0.262
A. K-6,Essex,1465,Fairfield Twp,0.295,0.283,0.287
A. K-6,Essex,3630,North Caldwell Boro,0.362,0.364,0.396
A. K-6,Essex,4530,Roseland Boro,0.305,0.306,0.394
A. K-6,Gloucester,1180,East Greenwich Twp,0.253,0.257,0.276
A. K-6,Gloucester,1330,Elk Twp,0.365,0.395,0.415
A. K-6,Gloucester,1590,Franklin Twp,0.383,0.364,0.436
A. K-6,Gloucester,2070,Harrison Twp,0.242,0.234,0.248
A. K-6,Gloucester,2990,Mantua Twp,0.305,0.302,0.327
A. K-6,Gloucester,3490,National Park Boro,0.304,0.336,0.362
A. K-6,Gloucester,4880,South Harrison Twp,0.329,0.368,0.363
A. K-6,Gloucester,5120,Swedesboro-Woolwich,0.374,0.366,0.365
A. K-6,Gloucester,5590,Wenonah Boro,0.251,0.226,0.246
A. K-6,Gloucester,5740,Westville Boro,0.302,0.280,0.326
A. K-6,Gloucester,5870,Woodbury Heights Boro,0.253,0.267,0.311
A. K-6,Hunterdon,2590,Lebanon Boro,0.385,0.356,0.379
A. K-6,Monmouth,130,Atlantic Highlands Boro,0.327,0.325,0.333
A. K-6,Monmouth,2160,Highlands Boro,0.332,0.301,0.319
A. K-6,Monmouth,4520,Roosevelt Boro,0.198,0.234,0.345
A. K-6,Morris,3240,Mine Hill Twp,0.312,0.321,0.341
A. K-6,Ocean,230,Beach Haven Boro,0.327,0.402,0.434
A. K-6,Ocean,320,Berkeley Twp,0.378,0.375,0.426
A. K-6,Ocean,1150,Eagleswood Twp,0.322,0.331,0.414
A. K-6,Ocean,2350,Island Heights Boro,0.305,0.314,0.352
A. K-6,Ocean,2690,Little Egg Harbor Twp,0.431,0.426,0.475
A. K-6,Ocean,2760,Long Beach Island,0.338,0.347,0.393
A. K-6,Ocean,3800,Ocean Gate Boro,0.376,0.369,0.410
A. K-6,Ocean,3820,Ocean Twp,0.394,0.397,0.465
A. K-6,Ocean,4710,Seaside Heights Boro,0.440,0.454,0.434
A. K-6,Ocean,5020,Stafford Twp,0.386,0.400,0.450
A. K-6,Ocean,5220,Tuckerton Boro,0.400,0.394,0.383
A. K-6,Sussex,1630,Fredon Twp,0.314,0.337,0.380
A. K-6,Sussex,1980,Hampton Twp,0.340,0.333,0.372
A. K-6,Sussex,4650,Sandyston-Walpack Twp,0.337,0.313,0.301
A. K-6,Sussex,5040,Stillwater Twp,0.320,0.335,0.367
A. K-6,Warren,400,Blairstown Twp,0.269,0.250,0.295
A. K-6,Warren,1620,Franklin Twp,0.364,0.314,0.327
A. K-6,Warren,1670,Frelinghuysen Twp,0.231,0.226,0.272
A. K-6,Warren,2470,Knowlton Twp,0.290,0.272,0.298
A. K-6,Warren,2970,Mansfield Twp,0.316,0.334,0.374
A. K-6,Warren,5480,Washington Boro,0.395,0.382,0.435
A. K-6,Warren,5530,Washington Twp,0.287,0.279,0.294
B. K-8 / 0 - 400,Statewide,N.A.,1. State average - Operating Type K-8,0.316,0.318,0.352
B. K-8 / 0 - 400,Statewide,N.A.,2. State median - Operating Type K-8,0.310,0.312,0.347
B. K-8 / 0 - 400,Statewide,N.A.,5. State average - All operating types,0.306,0.309,0.334
B. K-8 / 0 - 400,Statewide,N.A.,6. State median - All operating types,0.295,0.300,0.328
B. K-8 / 0 - 400,Atlantic,1410,Estell Manor City,0.369,0.307,0.327
B. K-8 / 0 - 400,Atlantic,1540,Folsom Boro,0.356,0.353,0.370
B. K-8 / 0 - 400,Atlantic,3020,Margate City,0.320,0.290,0.325
B. K-8 / 0 - 400,Atlantic,4240,Port Republic City,0.279,0.297,0.330
B. K-8 / 0 - 400,Atlantic,5760,Weymouth Twp,0.400,0.425,0.512
B. K-8 / 0 - 400,Bergen,80,Alpine Boro,0.309,0.326,0.458
B. K-8 / 0 - 400,Bergen,2090,Haworth Boro,0.264,0.272,0.306
B. K-8 / 0 - 400,Bergen,3350,Moonachie Boro,0.305,0.289,0.346
B. K-8 / 0 - 400,Bergen,4870,South Hackensack Twp,0.351,0.335,0.381
B. K-8 / 0 - 400,Burlington,380,Beverly City,0.335,0.333,0.345
B. K-8 / 0 - 400,Burlington,3540,New Hanover Twp,0.371,0.388,0.509
B. K-8 / 0 - 400,Burlington,4460,Riverton,0.245,0.232,0.259
B. K-8 / 0 - 400,Burlington,5890,Woodland Twp,0.300,0.274,0.372
B. K-8 / 0 - 400,Camden,580,Brooklawn Boro,0.348,0.312,0.286
B. K-8 / 0 - 400,Camden,1720,Gibbsboro Boro,0.336,0.328,0.328
B. K-8 / 0 - 400,Camden,2560,Lawnside Boro,0.292,0.320,0.321
B. K-8 / 0 - 400,Camden,2890,Magnolia Boro,0.384,0.423,0.506
B. K-8 / 0 - 400,Camden,5900,Woodlynne Boro,0.433,0.376,0.476
B. K-8 / 0 - 400,Cape May,170,Avalon Boro,0.349,0.371,0.467
B. K-8 / 0 - 400,Cape May,3680,North Wildwood City,0.338,0.327,0.399
B. K-8 / 0 - 400,Cape May,5060,Stone Harbor Boro,0.291,0.329,0.435
B. K-8 / 0 - 400,Cape May,5800,Wildwood Crest Boro,0.338,0.323,0.389
B. K-8 / 0 - 400,Cape May,5840,Woodbine Boro,0.302,0.310,0.367
B. K-8 / 0 - 400,Cumberland,1020,Deerfield Twp,0.285,0.293,0.319
B. K-8 / 0 - 400,Cumberland,1120,Downe Twp,0.387,0.387,0.402
B. K-8 / 0 - 400,Cumberland,1820,Greenwich Twp,0.407,0.474,0.503
B. K-8 / 0 - 400,Cumberland,5070,Stow Creek Twp,0.492,0.412,0.451
B. K-8 / 0 - 400,Hudson,1200,East Newark Boro,0.468,0.356,0.401
B. K-8 / 0 - 400,Hunterdon,370,Bethlehem Twp,0.358,0.353,0.416
B. K-8 / 0 - 400,Hunterdon,430,Bloomsbury Boro,0.320,0.259,0.358
B. K-8 / 0 - 400,Hunterdon,670,Califon Boro,0.325,0.295,0.337
B. K-8 / 0 - 400,Hunterdon,910,Clinton-Glen Gardner,0.292,0.311,0.347
B. K-8 / 0 - 400,Hunterdon,1040,Delaware Twp,0.348,0.347,0.379
B. K-8 / 0 - 400,Hunterdon,1160,East Amwell Twp,0.285,0.286,0.314
B. K-8 / 0 - 400,Hunterdon,1600,Franklin Twp,0.225,0.276,0.266
B. K-8 / 0 - 400,Hunterdon,1680,Frenchtown Boro,0.339,0.373,0.406
B. K-8 / 0 - 400,Hunterdon,1970,Hampton Boro,0.357,0.476,0.481
B. K-8 / 0 - 400,Hunterdon,2140,High Bridge Boro,0.282,0.303,0.332
B. K-8 / 0 - 400,Hunterdon,2450,Kingwood Twp,0.389,0.393,0.491
B. K-8 / 0 - 400,Hunterdon,3180,Milford Boro,0.282,0.427,0.359
B. K-8 / 0 - 400,Monmouth,180,Avon Boro,0.261,0.259,0.329
B. K-8 / 0 - 400,Monmouth,500,Bradley Beach Boro,0.284,0.276,0.284
B. K-8 / 0 - 400,Monmouth,1000,Deal Boro,0.259,0.281,0.323
B. K-8 / 0 - 400,Monmouth,1490,Farmingdale Boro,0.206,0.228,0.298
B. K-8 / 0 - 400,Monmouth,3250,Monmouth Beach Boro,0.243,0.249,0.239
B. K-8 / 0 - 400,Monmouth,3500,Neptune City,0.397,0.434,0.516
B. K-8 / 0 - 400,Monmouth,4690,Sea Girt Boro,0.164,0.187,0.395
B. K-8 / 0 - 400,Monmouth,4980,Spring Lake Boro,0.286,0.297,0.302
B. K-8 / 0 - 400,Monmouth,4990,Spring Lake Heights Boro,0.341,0.307,0.343
B. K-8 / 0 - 400,Morris,460,Boonton Twp,0.290,0.304,0.309
B. K-8 / 0 - 400,Morris,2010,Harding Township,0.275,0.283,0.292
B. K-8 / 0 - 400,Morris,3410,Mount Arlington Boro,0.266,0.275,0.345
B. K-8 / 0 - 400,Morris,3520,Netcong Boro,0.280,0.238,0.266
B. K-8 / 0 - 400,Morris,4440,Riverdale Boro,0.328,0.311,0.342
B. K-8 / 0 - 400,Ocean,210,Bay Head Boro,0.246,0.264,0.267
B. K-8 / 0 - 400,Ocean,2500,Lakehurst Boro,0.364,0.507,0.340
B. K-8 / 0 - 400,Ocean,2550,Lavallette Boro,0.292,0.343,0.345
B. K-8 / 0 - 400,Salem,60,Alloway Twp,0.290,0.277,0.338
B. K-8 / 0 - 400,Salem,1350,Elsinboro Twp,0.293,0.309,0.326
B. K-8 / 0 - 400,Salem,2800,Lower Alloways Creek,0.257,0.250,0.319
B. K-8 / 0 - 400,Salem,2950,Mannington Twp,0.336,0.323,0.365
B. K-8 / 0 - 400,Salem,3860,Oldmans Twp,0.341,0.340,0.402
B. K-8 / 0 - 400,Salem,4280,Quinton Twp,0.265,0.276,0.277
B. K-8 / 0 - 400,Salem,5320,Upper Pittsgrove Twp,0.303,0.337,0.348
B. K-8 / 0 - 400,Sussex,1930,Hamburg Boro,0.318,0.337,0.441
B. K-8 / 0 - 400,Sussex,2490,Lafayette Twp,0.285,0.273,0.268
B. K-8 / 0 - 400,Sussex,3300,Montague Twp,0.293,0.369,0.459
B. K-8 / 0 - 400,Sussex,3840,Ogdensburg Boro,0.314,0.300,0.285
B. K-8 / 0 - 400,Sussex,5030,Stanhope Boro,0.301,0.309,0.303
B. K-8 / 0 - 400,Union,1710,Garwood Boro,0.300,0.290,0.312
B. K-8 / 0 - 400,Union,5810,Winfield Twp,0.245,0.234,0.224
B. K-8 / 0 - 400,Warren,70,Alpha Boro,0.371,0.327,0.364
B. K-8 / 0 - 400,Warren,2040,Harmony Twp,0.321,0.351,0.401
B. K-8 / 0 - 400,Warren,2250,Hope Twp,0.303,0.277,0.333
B. K-8 / 0 - 400,Warren,3890,Oxford Twp,0.307,0.276,0.379
B. K-8 / 0 - 400,Warren,4200,Pohatcong Twp,0.293,0.354,0.355
B. K-8 / 0 - 400,Warren,5780,White Twp,0.399,0.356,0.421
C. K-8 / 401 - 750,Statewide,N.A.,1. State average - Operating Type K-8,0.316,0.318,0.352
C. K-8 / 401 - 750,Statewide,N.A.,2. State median - Operating Type K-8,0.310,0.312,0.347
C. K-8 / 401 - 750,Statewide,N.A.,5. State average - All operating types,0.306,0.309,0.334
C. K-8 / 401 - 750,Statewide,N.A.,6. State median - All operating types,0.295,0.300,0.328
C. K-8 / 401 - 750,Atlantic,570,Brigantine City,0.330,0.346,0.404
C. K-8 / 401 - 750,Atlantic,1300,Egg Harbor City,0.281,0.294,0.349
C. K-8 / 401 - 750,Atlantic,3480,Mullica Twp,0.326,0.323,0.361
C. K-8 / 401 - 750,Atlantic,5350,Ventnor City,0.291,0.298,0.333
C. K-8 / 401 - 750,Bergen,740,Carlstadt Boro,0.280,0.286,0.377
C. K-8 / 401 - 750,Bergen,1070,Demarest Boro,0.320,0.329,0.386
C. K-8 / 401 - 750,Bergen,1380,Englewood Cliffs Boro,0.326,0.339,0.373
C. K-8 / 401 - 750,Bergen,2050,Harrington Park Boro,0.346,0.370,0.397
C. K-8 / 401 - 750,Bergen,2200,Ho Ho Kus Boro,0.294,0.305,0.321
C. K-8 / 401 - 750,Bergen,3730,Northvale Boro,0.279,0.288,0.312
C. K-8 / 401 - 750,Bergen,3740,Norwood Boro,0.302,0.311,0.345
C. K-8 / 401 - 750,Bergen,3850,Old Tappan Boro,0.215,0.232,0.406
C. K-8 / 401 - 750,Bergen,4470,Rochelle Park Twp,0.265,0.273,0.239
C. K-8 / 401 - 750,Bergen,5880,Woodcliff Lake Boro,0.302,0.307,0.385
C. K-8 / 401 - 750,Burlington,1030,Delanco Twp,0.349,0.358,0.362
C. K-8 / 401 - 750,Burlington,1250,Eastampton Twp,0.319,0.335,0.389
C. K-8 / 401 - 750,Burlington,1910,Hainesport Twp,0.300,0.301,0.352
C. K-8 / 401 - 750,Burlington,3070,Medford Lakes Boro,0.238,0.243,0.297
C. K-8 / 401 - 750,Burlington,4740,Shamong Twp,0.311,0.313,0.385
C. K-8 / 401 - 750,Burlington,4930,Southampton Twp,0.279,0.269,0.263
C. K-8 / 401 - 750,Burlington,5130,Tabernacle Twp,0.367,0.368,0.356
C. K-8 / 401 - 750,Camden,190,Barrington Boro,0.256,0.290,0.299
C. K-8 / 401 - 750,Camden,340,Berlin Twp,0.309,0.305,0.344
C. K-8 / 401 - 750,Camden,880,Clementon Boro,0.350,0.409,0.417
C. K-8 / 401 - 750,Camden,3110,Merchantville Boro,0.256,0.249,0.319
C. K-8 / 401 - 750,Camden,3420,Mount Ephraim Boro,0.309,0.310,0.334
C. K-8 / 401 - 750,Camden,4790,Somerdale Boro,0.303,0.309,0.353
C. K-8 / 401 - 750,Cape May,1080,Dennis Twp,0.350,0.383,0.332
C. K-8 / 401 - 750,Cumberland,950,Commercial Twp,0.359,0.351,0.384
C. K-8 / 401 - 750,Cumberland,1460,Fairfield Twp,0.385,0.495,0.479
C. K-8 / 401 - 750,Cumberland,2270,Hopewell Twp,0.257,0.242,0.273
C. K-8 / 401 - 750,Cumberland,2570,Lawrence Twp,0.297,0.301,0.313
C. K-8 / 401 - 750,Cumberland,3050,Maurice River Twp,0.422,0.426,0.471
C. K-8 / 401 - 750,Gloucester,1830,Greenwich Twp,0.331,0.332,0.347
C. K-8 / 401 - 750,Hunterdon,20,Alexandria Twp,0.286,0.270,0.294
C. K-8 / 401 - 750,Hunterdon,2220,Holland Twp,0.379,0.401,0.450
C. K-8 / 401 - 750,Hunterdon,2600,Lebanon Twp,0.375,0.371,0.471
C. K-8 / 401 - 750,Hunterdon,5180,Tewksbury Twp,0.350,0.372,0.438
C. K-8 / 401 - 750,Hunterdon,5270,Union Twp,0.280,0.316,0.299
C. K-8 / 401 - 750,Middlesex,970,Cranbury Twp,0.325,0.324,0.424
C. K-8 / 401 - 750,Middlesex,2370,Jamesburg Boro,0.331,0.283,0.311
